course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Complete C# Unity 2D Game Development (Updated To Unity 6),258316,"GameDev.tv Team, Rick Davidson, Ahmed Nassef","Game Development Fundamentals, 2D Game Development, Unity, C# (programming language), Game Development",2D Game Development,All Levels,17.5 hours,4.8,107868,489625,"Rp169,000",2/2026,2,0,8,https://www.udemy.com/course/unitycourse/
Jumpstart to 2D Game Development: Godot 4.5/6 for Beginners,5348848,"Richard Allbert, Martyna Olivares","2D Game Development, Game Development, Development",2D Game Development,All Levels,69 hours,4.8,3870,23655,"Rp169,000",3/2026,14,0,134,https://www.udemy.com/course/jumpstart-to-2d-game-development-godot-4-for-beginners/
The Ultimate Unreal Engine 2D Game Development Course,5258518,Cobra Code,"Unreal Engine, Game Development Fundamentals, Unreal Engine Blueprints, 2D Game Development, Game Development",2D Game Development,All Levels,12 hours,4.8,3214,14586,"Rp159,000",3/2026,19,0,11,https://www.udemy.com/course/unreal-2d-course/
The Ultimate Guide to Creating an RPG Game in Unity 6,5059176,Unity Alex Dev,"Unity, Game Development Fundamentals, C# (programming language), Object-Oriented Programming (OOP), Game Development",2D Game Development,All Levels,60.5 hours,4.8,3834,23961,"Rp169,000",9/2025,1,0,24,https://www.udemy.com/course/2d-rpg-alexdev/
Learn 2D Game Development: Godot 4.5 & C# from Scratch,6293523,"Richard Allbert, Martyna Olivares","2D Game Development, Game Development, Development",2D Game Development,All Levels,71.5 hours,4.8,334,2237,"Rp149,000",2/2026,17,0,118,https://www.udemy.com/course/learn-2d-game-development-godot-43-c-from-scratch/
Learn how to create a 2D RPG game with Unity,5618224,Gianny Dantas,"Unity, Game Development, Development",2D Game Development,All Levels,19.5 hours,4.5,480,3756,"Rp149,000",11/2024,16,0,14,https://www.udemy.com/course/learn-how-to-create-a-2d-rpg-game-with-unity/
Complete C# Unity 3D Game Development in Unity 6,1178124,"Rick Davidson, GameDev.tv Team, Stephen Hubbard","Game Development Fundamentals, 3D Game Development, C# (programming language), Unity, Game Development",2D Game Development,All Levels,27 hours,4.7,48200,253102,"Rp169,000",2/2026,3,0,11,https://www.udemy.com/course/unitycourse2/
Unity 2D Dungeon Gunner Roguelike Development Course,4308321,Rob Ager,"Unity, C# (programming language), Game Design, 2D Game Development, Game Development",2D Game Development,Intermediate,51 hours,4.7,1377,13175,"Rp159,000",4/2026,0,0,48,https://www.udemy.com/course/unity-2d-dungeon-gunner-roguelike-development-course/
Unity Game Development: Create 2D And 3D Games With C#,2514486,Awesome Tuts,"Unity, Android Game Development, Game Design, C# (programming language), Game Development",2D Game Development,Beginner,78 hours,4.6,1700,15562,"Rp159,000",2/2022,1,0,56,https://www.udemy.com/course/unity-game-development-create-2d-and-3d-games-with-c/
Learn To Code By Making a 2D Platformer in Unity & C#,2707960,James Doyle,"Unity, C# (programming language), Game Development Fundamentals, 2D Game Development, Game Development",2D Game Development,Beginner,15 hours,4.5,1745,8541,"Rp159,000",9/2020,2,0,3,https://www.udemy.com/course/unityplatformer/
Learn to Create a Metroidvania Game using Unity & C#,4356686,James Doyle,"Unity, C# (programming language), Game Development Fundamentals, 2D Game Development, Game Development",2D Game Development,Beginner,11.5 hours,4.6,906,6104,"Rp149,000",8/2023,2,0,4,https://www.udemy.com/course/unity-metvania/
Unity Android Game Development : Build 10 2D & 3D Games,817926,"Raja Biswas, Charger Games","Android Game Development, Android Development, Game Development Fundamentals, Unity, Game Development",2D Game Development,Beginner,36 hours,4.3,1742,11921,"Rp149,000",3/2026,7,0,16,https://www.udemy.com/course/unityandroidgamecourse/
Unity 2D Game - Kawaii Survivor - The Coolest Roguelike Ever,5926906,Tabsil Makes Games,"Unity, Mobile Game Development, Game Design, Game Development, Development",2D Game Development,Beginner,32.5 hours,4.8,237,2088,"Rp149,000",9/2025,5,0,9,https://www.udemy.com/course/unity-2d-game-kawaii-survivor-the-coolest-roguelike-ever/
Unity C# Scripting : Complete C# For Unity Game Development,1691638,"Raja Biswas, Charger Games","Unity, 3D Scripting, C# (programming language), Game Development Fundamentals, Game Development",2D Game Development,Beginner,30.5 hours,4.5,2964,18596,"Rp309,000",3/2026,12,4,17,https://www.udemy.com/course/unity-c-sharp-scripting/
The Complete Guide to Unity 2D : Platformer Development,5927092,Unity Alex Dev,"Unity, Game Development Fundamentals, C# (programming language), Object-Oriented Programming (OOP), Game Development",2D Game Development,Beginner,24.5 hours,4.9,508,3247,"Rp159,000",1/2026,0,0,17,https://www.udemy.com/course/platformer-alexdev/
The Ultimate Guide to Game Development with Unity (Official),1328572,"Jonathan Weinberger, Unity Technologies, GameDevHQ Team, Thomas Kesler","Unity, 2D Game Development, Game Development, Development",2D Game Development,Beginner,36.5 hours,4.4,20788,108359,"Rp299,000",4/2025,0,0,8,https://www.udemy.com/course/the-ultimate-guide-to-game-development-with-unity/
Master Unity Game Development in 30 Days : 25+ Game Projects,5500932,Raja Biswas,"Unity, Game Development Fundamentals, 2D Game Development, 3D Game Development, Game Development",2D Game Development,Beginner,27 hours,4.6,137,1320,"Rp159,000",3/2026,12,0,25,https://www.udemy.com/course/master-unity-game-development-in-30-days/
Complete Action Game Development in UNITY for Beginners 2025,5810432,Giorgi Luarsabishvili,"Unity, Unity Visual Scripting, Game Development Fundamentals, 2D Game Development, Game Development",2D Game Development,All Levels,8 hours,4.8,38,249,"Rp149,000",10/2025,0,0,14,https://www.udemy.com/course/complete-action-game-development-in-unity-for-beginners-2024/
Master 2D Game Development: Create 4 Complete Games in Unity,5997728,Giorgi Luarsabishvili,"Unity, C# (programming language), Game Development Fundamentals, 2D Game Development, Game Development",2D Game Development,Beginner,16 hours,4.6,14,132,"Rp149,000",5/2024,0,0,28,https://www.udemy.com/course/master-2d-game-development-create-4-complete-games-in-unity/
Unity Game Development : Build 5 Games With Unity & C#,1891054,"Raja Biswas, Charger Games","Unity, 2D Game Development, Game Development Fundamentals, C# (programming language), Game Development",2D Game Development,Beginner,23 hours,4.7,251,1876,"Rp149,000",11/2025,1,0,5,https://www.udemy.com/course/unity-2d-game-development-by-example/
Godot 2D Megacourse: Mastering 2D Game Development,6248357,Skillademia Academy,"Godot, Game Development Fundamentals, 2D Game Development, Game Design, Game Development",2D Game Development,Intermediate,24.5 hours,4.4,141,1528,"Rp149,000",1/2026,0,0,102,https://www.udemy.com/course/godot-2d-megacourse-game-development-beginner-to-expert/
Complete 3D Godot 4 Game Development Course,6798057,"Richard Allbert, Martyna Olivares","3D Game Development, Other IT & Software, IT & Software",2D Game Development,All Levels,61 hours,4.8,311,3106,"Rp159,000",2/2026,10,0,240,https://www.udemy.com/course/complete-3d-godot-4-game-development-course/
Game Dev Kickstart: 2D Game Development Using LibGDX & Java,5229980,Brandon Grant,"LibGDX, Game Design, Game Development, Development",2D Game Development,Beginner,10 hours,4.6,44,342,"Rp149,000",3/2025,2,0,2,https://www.udemy.com/course/game-dev-kickstart/
Learn To Create A Farming Game With Unity 6 & C#,6242273,James Doyle,"Unity, C# (programming language), Game Development Fundamentals, 2D Game Development, Game Development",2D Game Development,Beginner,11.5 hours,4.6,336,2582,"Rp159,000",3/2025,2,0,3,https://www.udemy.com/course/unity6-farming/
Learn Easy HTML5 Game Development in Construct 2,809896,Richard Sneyd,"Construct Game Engine, Game Development, Development",2D Game Development,All Levels,3 hours,4.3,24,531,"Rp149,000",4/2016,0,0,1,https://www.udemy.com/course/learn-easy-2d-html5-game-development-in-construct-2/
Learn how to create a 2D Action game with Unity,5572298,Gianny Dantas,"Unity, Game Development, Development",2D Game Development,All Levels,18 hours,4.8,37,311,"Rp149,000",11/2024,14,0,12,https://www.udemy.com/course/learn-how-to-create-a-2d-action-game-with-unity/
Godot 4: Introduction to 2D Game Development,6290909,Tundra Feed and Supply Company,"Game Development Fundamentals, Game Development, Development",2D Game Development,Beginner,7 hours,4.7,15,114,"Rp149,000",11/2024,0,0,0,https://www.udemy.com/course/godot-4-introduction-to-2d-game-development/
Unity 5.5: develop and publish games quickly,1094808,"Dragan Neskovic, Jasmin Skamo","Unity, Game Development Fundamentals, Game Development, Development",2D Game Development,Beginner,1.5 hours,4.2,111,11626,Free,5/2017,0,0,31,https://www.udemy.com/course/learn-how-to-use-unity-55-to-develop-and-publish-games/
COMPLETE 2D Game Development in Unity with Coding EXPLAINED.,4269686,TheLostSun Studios,"Game Design, Game Mechanics, Game Physics, 2D Game Development, Game Development",2D Game Development,Beginner,2 hours,4.8,5,329,"Rp149,000",12/2021,0,0,2,https://www.udemy.com/course/complete-2d-game-development-in-unity-for-non-coders/
Complete 2D Platformer in Unity C#,5608542,James Doyle,"Unity, C# (programming language), Game Development Fundamentals, 2D Game Development, Game Development",2D Game Development,Beginner,15 hours,4.7,208,1436,"Rp159,000",11/2023,2,0,3,https://www.udemy.com/course/complete-unity-platformer/
Unity 2D and C# - A Practical Game-Dev Course,4858030,"Eincode by Filip Jerga, Filip Jerga","Unity, C# (programming language), Game Mechanics, 2D Game Development, Game Development",2D Game Development,All Levels,24.5 hours,4.5,27,401,"Rp149,000",11/2023,0,0,2,https://www.udemy.com/course/unity-2d-with-c-complete-game-dev-course/
Learn To Code By Making a 2D Platformer in Unity,775550,James Doyle,"Unity, C (programming language), Game Development Fundamentals, Game Development, Development",2D Game Development,Beginner,13 hours,4.8,2596,8888,"Rp149,000",10/2017,1,0,9,https://www.udemy.com/course/unity2dplatformer/
"Build 2D, 3D, and VR Games in Unity and Unreal *Masterclass*",1566468,"Mammoth Interactive, John Bura","C++ (programming language), Unity, Augmented Reality (AR), Unreal Engine, Game Development",2D Game Development,Beginner,85.5 hours,4.3,52,652,"Rp149,000",9/2019,20,0,9,https://www.udemy.com/course/build-2d-3d-and-vr-games-in-unity-and-unreal-masterclass/
Unity for NON-CODERS - Learn 2d and 2.5d Game development,1545944,Bhaumik Patel,"Unity, Game Development, Development",2D Game Development,Beginner,5 hours,4.4,20,189,"Rp149,000",5/2018,0,0,1,https://www.udemy.com/course/unity-for-non-coders-2d/
Construct 3 Game Development: Build 2D Games Without Coding,2376156,"John Bura, Mammoth Interactive","Construct Game Engine, Game Development Fundamentals, 2D Game Development, Game Development, Development",2D Game Development,All Levels,17.5 hours,4.2,135,783,"Rp149,000",10/2019,7,0,2,https://www.udemy.com/course/construct-3-game-development-build-2d-games-without-coding/
Unity: 2D Game Development,993978,Chris Tutorials,"Unity, Game Development Fundamentals, 2D Game Development, Game Development, Development",2D Game Development,Beginner,7 hours,4.3,626,47941,Free,1/2020,0,0,0,https://www.udemy.com/course/2d-game-development-for-unity/
Unity Game Design & Development : 20+ 2D & 3D Projects,2136258,Raja Biswas,"Game Design, Game Art, Game Asset Creation, Unity, Game Development",2D Game Development,Beginner,21 hours,4.7,42,577,"Rp149,000",1/2025,1,0,1,https://www.udemy.com/course/complete-game-design-development/
Unity 2D Platformer Game Development,1422606,Robert Gioia,"Unity, 2D Game Development, Game Development, Development",2D Game Development,Beginner,2.5 hours,4.2,13,76,"Rp169,000",10/2022,0,0,2,https://www.udemy.com/course/unity-2017-new-2d-tools-and-game-development-workflow/
Game Art : Design 2D Game Art For Unity Game Development,982344,"Raja Biswas, Charger Games","Game Art, Game Design, Inkscape, Game Development Fundamentals, Design",2D Game Development,Beginner,7 hours,4.3,37,456,"Rp149,000",3/2026,1,0,0,https://www.udemy.com/course/game-art-design-for-unity-game-development/
Learn to Create 2D Action Shooter Game Unity & C#,5786802,Giorgi Luarsabishvili,"2D Game Development, Game Development Fundamentals, Unity, C# (programming language), Game Development",2D Game Development,Beginner,6.5 hours,4.7,10,51,"Rp149,000",1/2024,0,0,14,https://www.udemy.com/course/learn-to-create-2d-action-shooter-game-unity-c/
2D Platformer Game Development Crash Course for Unity 2022,4958184,Chris Tutorials,"Unity, Game Development, Development",2D Game Development,Intermediate,7.5 hours,4.5,17,172,"Rp149,000",11/2022,0,0,6,https://www.udemy.com/course/2d-platformer-game-development-crash-course-for-unity-2022/
The Game Design and AI Master Class Beginner to Expert,526534,[ School of Game Design ],"Game Development Fundamentals, C (programming language), Game Design, Design",2D Game Development,All Levels,85 hours,3.9,8485,71293,"Rp149,000",5/2024,13,0,21,https://www.udemy.com/course/become-a-game-designer/
HTML5 Game Development: 2D Platform Game Fundamentals,2770720,Jed Hastwell,"Game Development Fundamentals, JavaScript, Phaser, Game Development, Development",2D Game Development,Beginner,4.5 hours,4.5,230,1149,"Rp149,000",11/2020,0,0,6,https://www.udemy.com/course/html5-game-development-2d-platform-game-fundamentals/
Unity 6 & C# Full Master Course - Beginner to Intermediate,6501837,Bhairab Roy,"Unity, Game Development, Development",2D Game Development,Beginner,30.5 hours,4.7,4,52,"Rp149,000",1/2026,2,0,20,https://www.udemy.com/course/unity-c-master-course-beginner-to-intermediate/
Flame & Flutter with Dart : Build your First 2D Mobile Game,4652628,Piotr Paweska,"Mobile Game Development, Game Development, Development",2D Game Development,All Levels,11 hours,4.7,250,1960,"Rp149,000",8/2023,0,0,50,https://www.udemy.com/course/code-a-2d-mobile-game-in-less-than-6-hours/
Master C# Scripting in 30 Days : C# Unity 6 Game Development,5570566,Raja Biswas,"Unity, C# (programming language), Game Development Fundamentals, Game Design, Game Development",2D Game Development,Beginner,24 hours,4.5,102,782,"Rp149,000",3/2026,27,4,26,https://www.udemy.com/course/master-c-sharp-scripting-for-unity-in-30-days/
"Mobile,PC & Web Game Development with Unity 6 & C#-Beginners",6635515,Bhairab Roy,"Game Development, Development",2D Game Development,All Levels,47.5 hours,4.2,9,129,"Rp159,000",1/2026,1,0,39,https://www.udemy.com/course/full-master-course-unity-6-c-beginners-to-intermediate/
The Complete Unity C# Game Developer Bootcamp Part 1 of 2,6166393,"Jonathan Weinberger, GameDevHQ Team","Unity, Other IT & Software, IT & Software",2D Game Development,Beginner,44.5 hours,4.6,352,3366,"Rp169,000",5/2025,10,0,10,https://www.udemy.com/course/the-complete-unity-c-game-developer-bootcamp-part-1-of-2/
The Complete Guide to Unity 3D : Making a Top Down Shooter,5455934,Unity Alex Dev,"Unity, Game Development Fundamentals, C# (programming language), Object-Oriented Programming (OOP), Game Development",2D Game Development,All Levels,55 hours,4.7,752,6116,"Rp159,000",1/2026,2,0,41,https://www.udemy.com/course/3d-tds-alexdev/
Create a Complete 2D Survivors Style Game in Godot 4,5183438,Firebelley Games,"Godot, Game Development, Development",2D Game Development,Intermediate,17.5 hours,4.8,3655,20495,"Rp159,000",5/2023,0,0,16,https://www.udemy.com/course/create-a-complete-2d-arena-survival-roguelike-game-in-godot-4/
Complete 2D Platformer in Unity C# For Beginners,5720392,Giorgi Luarsabishvili,"2D Game Development, C# (programming language), Unity, Game Development, Development",2D Game Development,Beginner,5 hours,4.8,19,81,"Rp149,000",12/2023,0,0,12,https://www.udemy.com/course/complete-2d-platformer-in-unity-c-for-beginners/
Unity Game Development Build 2D & 3D Games,980770,"Mark Price, Devslopes by Nathan Sevedge","Game Development Fundamentals, C (programming language), 3D Animation, Unity, Game Development",2D Game Development,Beginner,35 hours,4.3,5452,37101,"Rp149,000",9/2018,7,0,17,https://www.udemy.com/course/devslopes-unity3d/
