course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Complete Blender Creator: 3D Modelling (Compatible with 4.3),438522,"GameDev.tv Team, Rick Davidson, Grant Abbitt","3D Modeling, Game Development Fundamentals, 3D Animation, Blender, 3D & Animation",3D Modeling,All Levels,14 hours,4.8,68391,345007,"Rp169,000",2/2026,4,0,85,https://www.udemy.com/course/blendertutorial/
Complete Blender Megacourse: Beginner to Expert,4651924,Skillademia Academy,"Blender, 3D Animation, 3D Modeling, 3D Texturing, 3D & Animation",3D Modeling,All Levels,131 hours,4.5,10544,70439,"Rp169,000",3/2026,0,0,16,https://www.udemy.com/course/complete-blender-megacourse-beginner-to-expert/
Blender 3D for Beginners Complete Modeling & Texturing guide,6276849,"The Parabox 3D, 3d production house","Blender, 3D Rendering, 3D Texturing, 3D Modeling, 3D & Animation",3D Modeling,All Levels,11.5 hours,4.5,808,10602,"Rp169,000",11/2025,3,0,5,https://www.udemy.com/course/blender-3d-for-beginners-complete-modeling-and-texturing-guide/
3D Printing from Zero to Hero in Blender – FDM & MSLA,839134,Thomas McDonald,"3D Printing, Blender, 3D Modeling, 3D & Animation, Design",3D Modeling,Beginner,10 hours,4.6,2069,17913,"Rp159,000",2/2026,4,0,119,https://www.udemy.com/course/learn-3d-printing/
Become a Pro at 3D Character Modeling & Animation in Blender,6468885,Abdelilah Hamdani,"Blender, 3D & Animation, Design",3D Modeling,Beginner,12 hours,4.5,124,1592,"Rp159,000",12/2025,0,0,40,https://www.udemy.com/course/blender-3d-character/
Blender Essentials - 3D Modelling Training Course,6662041,Daniel Walter Scott,"Blender, 3D Modeling, 3D & Animation, Design",3D Modeling,Beginner,8.5 hours,4.7,320,1815,"Rp159,000",7/2025,0,0,1,https://www.udemy.com/course/blender-essentials-3d-modelling-training-course/
Complete Fusion 360 All-in-One Course for Beginners (2025),6688295,CADArtifex LLC,"Autodesk Fusion, 3D Modeling, Design Tools, Design",3D Modeling,All Levels,15 hours,4.4,118,1894,"Rp149,000",4/2026,1,0,126,https://www.udemy.com/course/complete-fusion-360-all-in-one-course-for-beginners/
Fusion 360 Beginners Course,2668390,Jaiprakash Pandey,"Autodesk Fusion, 3D & Animation, Design",3D Modeling,Beginner,15.5 hours,4.7,6297,28393,"Rp149,000",2/2023,0,0,2,https://www.udemy.com/course/fusion-360-beginners-course/
Blender Fundamentals - Modeling,4862004,Stephen Ulibarri,"Blender, 3D & Animation, Design",3D Modeling,Beginner,9.5 hours,4.8,734,3934,"Rp159,000",2/2026,2,0,3,https://www.udemy.com/course/blender-fundamentals-modeling/
Blender Essentials: 3D Modeling and Animation for Beginner,6232421,"Bevel Studio, Barzu Ibrohimov","Blender, 3D Modeling, 3D Animation, 3D & Animation, Design",3D Modeling,Beginner,15 hours,4.4,274,1588,"Rp159,000",1/2026,0,0,33,https://www.udemy.com/course/blender-4-essentials-3d-modeling-and-animation-for-beginner/
Learn Architectural Design & Animation With Blender,6454981,Edward Harding,"Blender, Interior Design, Architectural Design, Design",3D Modeling,All Levels,20 hours,4.7,178,1015,"Rp159,000",9/2025,0,0,3,https://www.udemy.com/course/learn-architectural-design-animation-with-blender/
Mega Blender Digital Painting 13 Courses in 1 + Updates 2026,6014852,Artstudio 313,"Digital Painting, Game Design, Design",3D Modeling,All Levels,43 hours,4.6,37,692,"Rp159,000",3/2026,0,0,5,https://www.udemy.com/course/the-ultimate-blender-hand-painting-course-bundle-is-here/
Introduction to 3D Characters Modeling in Blender,7018859,Cisco Raya,"Blender, 3D Rendering, Character Design, 3D Modeling, 3D & Animation",3D Modeling,Beginner,25 hours,4.5,3,62,"Rp149,000",2/2026,0,0,1,https://www.udemy.com/course/introduction-to-3d-characters-modeling-in-blender/
AutoCAD 3D Modeling Essentials,6924725,Manal Abdullal,"3D & Animation, Design",3D Modeling,All Levels,8.5 hours,5.0,59,1367,"Rp149,000",2/2026,1,0,3,https://www.udemy.com/course/autocad-3d-modeling-essentials/
Blender 5 Project Based Bootcamp: 40+ Hands On Mini Projects,7045933,"Codestars • over 2.5 million students worldwide!, Raja Biswas","Blender, 3D Rendering, 3D Animation, 3D Modeling, 3D & Animation",3D Modeling,Beginner,11 hours,4.6,8,181,"Rp149,000",3/2026,41,0,75,https://www.udemy.com/course/blender-project-based-bootcamp/
Blender 3D for Complete Beginners | Modelling a Candle,7065493,Vitor Silva,"3D Rendering, 3D Modeling, 3D & Animation, Design",3D Modeling,Beginner,2.5 hours,4.7,N/A,N/A,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/blender-3d-for-complete-beginners-modelling-a-candle/
AutoCAD Plant 3D 2026: From P&ID to Plant Design,7076825,Vítor Vanzolin Bento,"AutoCAD Plant 3D, Other IT & Software, IT & Software",3D Modeling,All Levels,8.5 hours,4.8,16,36,"Rp149,000",4/2026,14,0,6,https://www.udemy.com/course/autocad-plant-3d-essentials/
Blender 5.x for Beginners: The Complete Modeling Guide,7017379,Ümit Kaya,"Blender, 3D & Animation, Design",3D Modeling,Beginner,3 hours,5.0,1,1,"Rp479,000",3/2026,0,0,2,https://www.udemy.com/course/blender-5x-for-beginners-the-complete-modeling-guide/
Blender from Zero to 3D Artist: A Beginner-Friendly Course,7110517,Artstudio 313,"3D Modeling, 3D Animation, Blender, 3D & Animation, Design",3D Modeling,Beginner,2 hours,4.8,313,8,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/blender-from-zero-to-3d-artist-a-beginner-friendly-course/
Substance Painter to UE5,7035347,"3D College, Konstantine Logan Arnaoutoglou","Substance Painter, Unreal Engine, 3D & Animation, Design",3D Modeling,Beginner,4 hours,5.0,3,17,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/substance-painter-to-ue5/
Blender 3D for Beginners Complete 3d Modelling Guide,6303911,Pradeep Durai,"3D Modeling, 3D & Animation, Design",3D Modeling,Beginner,10 hours,4.7,20,175,"Rp149,000",8/2025,0,0,3,https://www.udemy.com/course/blender-3d-for-beginners-complete-3d-modelling-guide/
3D Modeling for Games: Create AAA Assets in Maya & Substance,6036426,Shoaib Mohammed,"3D Modeling, Game Art, 3D & Animation, Design",3D Modeling,Beginner,20 hours,4.7,34,354,"Rp149,000",5/2025,0,0,3,https://www.udemy.com/course/the-ultimate-game-art-creation-kit-maya-substance-painter/
The Ultimate Blender 3D Modeling Guide,2167314,Alex Cordebard,"3D Modeling, Blender, 3D & Animation, Design",3D Modeling,All Levels,10 hours,4.6,571,3799,"Rp149,000",8/2025,0,0,0,https://www.udemy.com/course/blender3dmodelingguide/
