course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
3D Printing from Zero to Hero in Blender – FDM & MSLA,839134,Thomas McDonald,"3D Printing, Blender, 3D Modeling, 3D & Animation, Design",3D Printing,Beginner,10 hours,4.6,2069,17913,"Rp159,000",2/2026,4,0,119,https://www.udemy.com/course/learn-3d-printing/
3D Printing Masterclass: Beginner to Pro with Complete Start,6922187,NextGen 3D,"3D Printing, 3D & Animation, Design",3D Printing,All Levels,6.5 hours,4.4,40,1482,"Rp149,000",3/2026,0,0,50,https://www.udemy.com/course/3d-printing-masterclass-beginner-to-pro-with-complete-start/
Designing for 3D Printing with Fusion 360,958668,Vladimir Mariano,"Autodesk Fusion, 3D Modeling, 3D Printing, 3D & Animation, Design",3D Printing,Beginner,4 hours,4.6,9904,38336,"Rp159,000",7/2021,7,0,0,https://www.udemy.com/course/designing-for-3d-printing-with-fusion-360/
Autodesk Fusion 360 (2026) - Complete Beginners Guide,6439263,Christopher Richardson,"Autodesk Fusion, Mechanical Engineering, CAD Software, 3D & Animation, Design",3D Printing,Beginner,10.5 hours,4.7,1935,8477,"Rp159,000",3/2026,0,0,43,https://www.udemy.com/course/autodesk-fusion-360-year-2025-complete-beginners-guide/
3D Printing: From Start to Finish,1680146,Kevin Volo,"3D Printing, 3D & Animation, Design",3D Printing,Beginner,5.5 hours,4.5,1265,7612,"Rp159,000",7/2020,3,0,0,https://www.udemy.com/course/3d-printing-from-start-to-finish/
Bambu Rundown (Bambu Lab Studio & Printer Course),5307510,Gregg Cerenzio,"3D Printing, Other IT & Software, IT & Software",3D Printing,Beginner,13.5 hours,4.3,209,1321,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/bambu-rundown/
How to Make Money With Your 3D Printer,2251910,Kevin Volo,"3D Printing, 3D & Animation, Design",3D Printing,Intermediate,3.5 hours,4.6,193,1455,"Rp149,000",2/2021,4,0,5,https://www.udemy.com/course/how-to-make-money-with-your-3d-printer/
Design For 3D Printing | Fusion 360 Masterclass,3991118,Steven Wolfe,"3D Printing, Autodesk Fusion, Other Design, Design",3D Printing,Beginner,9.5 hours,4.4,904,6087,"Rp149,000",12/2022,1,0,0,https://www.udemy.com/course/design-for-3d-printing-fusion-360-masterclass/
Complete Blender Creator: 3D Modelling (Compatible with 4.3),438522,"GameDev.tv Team, Rick Davidson, Grant Abbitt","3D Modeling, Game Development Fundamentals, 3D Animation, Blender, 3D & Animation",3D Printing,All Levels,14 hours,4.8,68391,345007,"Rp169,000",2/2026,4,0,85,https://www.udemy.com/course/blendertutorial/
Complete Blender Megacourse: Beginner to Expert,4651924,Skillademia Academy,"Blender, 3D Animation, 3D Modeling, 3D Texturing, 3D & Animation",3D Printing,All Levels,131 hours,4.5,10544,70439,"Rp169,000",3/2026,0,0,16,https://www.udemy.com/course/complete-blender-megacourse-beginner-to-expert/
