course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Ultimate Blender 3D Character Creation & Animation Course,2915650,Alex Cordebard,"3D Animation, Animation, Blender, Character Animation, 3D & Animation",3D & Animation,All Levels,35.5 hours,4.7,3498,25238,Free,3/2026,1,0,11,https://www.udemy.com/course/blender3dcharacteranimation/
Maya for Beginners: Complete Guide to 3D Animation in Maya,1556128,"Video School, Lucas Ridley, Phil Ebiner","Autodesk Maya, 3D Animation, Animation, Motion Graphics, 3D & Animation",3D & Animation,All Levels,30 hours,4.6,8566,43456,"Rp159,000",3/2026,2,0,1,https://www.udemy.com/course/autodesk-maya-3d-animation-course/
Learn 3D Animation - The Ultimate Blender A-Z Guide,922654,Alex Cordebard,"3D Animation, 3D Modeling, Animation, Blender, 3D & Animation",3D & Animation,All Levels,28.5 hours,4.7,2385,19835,"Rp149,000",3/2026,0,0,11,https://www.udemy.com/course/blendercourse/
Learn 3D Animation - The Ultimate Blender A-Z Guide,7060815,My 3D Class,"3D Animation, Character Animation, 3D Modeling, Blender, 3D & Animation",3D & Animation,All Levels,13 hours,5.0,3,11,"Rp149,000",3/2026,0,0,26,https://www.udemy.com/course/learn-3d-animation-the-ultimate-blender-a-z-guide/
Learn 3D Animation - The Ultimate Blender A-Z Guide,1961224,Alex Cordebard,"Blender, Animation, 3D Animation, 3D & Animation, Design",3D & Animation,Beginner,28.5 hours,4.6,1938,9925,"Rp149,000",3/2026,0,0,11,https://www.udemy.com/course/ultimateblendercourse/
The Ultimate Guide to Blender 3D Rigging & Animation,5009098,3D Tudor,"3D Rigging, 3D Animation, Blender, Character Animation, 3D & Animation",3D & Animation,All Levels,8 hours,4.6,374,4614,"Rp149,000",4/2025,0,0,2,https://www.udemy.com/course/blender-3d-rigging-animation/
Blender 3D Animation: Full Modeling to Animation Workflow,6372715,Artstudio 313,"3D Animation, 3D & Animation, Design",3D & Animation,All Levels,14.5 hours,4.4,38,2922,"Rp149,000",3/2026,0,0,3,https://www.udemy.com/course/blender-43-essentials-free-3d-to-animation-crash-course/
Blender 3D Animation: Beginner to Pro,764088,Thomas McDonald,"3D Animation, Animation, Blender, 3D & Animation, Design",3D & Animation,Beginner,4 hours,4.5,67,1717,"Rp149,000",5/2025,1,0,4,https://www.udemy.com/course/3d-animation-with-blender/
Blender 3D Minecraft Animation Course - Ultimate A-Z Guide,7014659,Temur Aptsiauri,"3D Animation, Video Editing, Minecraft, Blender, 3D & Animation",3D & Animation,Beginner,12.5 hours,4.7,30,157,"Rp149,000",3/2026,2,0,3,https://www.udemy.com/course/blender-minecraft-animation-course/
Blender Total! From Basic to Advanced 3D!,2401230,Gustavo Rosa,"Blender, 3D Rendering, 3D Modeling, 3D Animation, 3D & Animation",3D & Animation,All Levels,21.5 hours,4.8,2392,9761,"Rp149,000",3/2025,0,0,64,https://www.udemy.com/course/learn-blender-28/
Blender Essentials - 3D Modelling Training Course,6662041,Daniel Walter Scott,"Blender, 3D Modeling, 3D & Animation, Design",3D & Animation,Beginner,8.5 hours,4.7,320,1815,"Rp159,000",7/2025,0,0,1,https://www.udemy.com/course/blender-essentials-3d-modelling-training-course/
LEARN 3D ANIMATION : Create Credible & Unique Animations,3366422,David Omair Fuertes Martin,"Character Animation, 3D Animation, Animation, Blender, 3D & Animation",3D & Animation,All Levels,8.5 hours,4.4,163,1310,"Rp149,000",4/2023,0,0,6,https://www.udemy.com/course/canimando/
3D Fighting Game Animation Intro Course by HyperDev,6782715,Hyper Dev,"Unreal Engine Blueprints, 3D Animation, Unreal Engine, Game Development, Development",3D & Animation,Beginner,2.5 hours,4.8,N/A,N/A,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/3d-fighting-game-animation-intro-course-by-hyperdev/
Blender 5 Project Based Bootcamp: 40+ Hands On Mini Projects,7045933,"Codestars • over 2.5 million students worldwide!, Raja Biswas","Blender, 3D Rendering, 3D Animation, 3D Modeling, 3D & Animation",3D & Animation,Beginner,11 hours,4.6,8,181,"Rp149,000",3/2026,41,0,75,https://www.udemy.com/course/blender-project-based-bootcamp/
Bitcoin From Scratch,7108895,Afton Johnson,"Bitcoin, Cryptocurrency & Blockchain, Finance & Accounting",3D & Animation,Beginner,1.5 hours,4.2,N/A,N/A,"Rp849,000",3/2026,8,0,8,https://www.udemy.com/course/bitcoin-from-scratch/
