course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
AI Engineer Agentic Track: The Complete Agent & MCP Course,6566789,"Ed Donner, Ligency ​","AI Agents & Agentic AI, Large Language Models (LLM), Data Science, Development",AI Agents & Agentic AI,Intermediate,17 hours,4.7,36344,243257,"Rp169,000",2/2026,0,0,0,https://www.udemy.com/course/the-complete-agentic-ai-engineering-course/
AI Coder: Vibe Coder to Agentic Engineer in 3 Weeks,7053781,"Ligency ​, Ed Donner","Claude Code, Vibe Coding, AI Agents & Agentic AI, Large Language Models (LLM), Software Development Tools",AI Agents & Agentic AI,All Levels,16 hours,4.7,2793,23823,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/ai-coder-from-vibe-coder-to-agentic-engineer/
"AI Builder: Create Agents, Voice Agents & Automations in n8n",6973513,"Ligency ​, Ed Donner","AI Agents & Agentic AI, n8n, No-Code Development, Development",AI Agents & Agentic AI,Beginner,14.5 hours,4.8,1751,13730,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/ai-builder-with-n8n-create-agents-voice-agents/
Certified Master in Agentic AI: A 52-Week Applied Program,6600645,School of AI,"AI Agents & Agentic AI, Data Science, Development",AI Agents & Agentic AI,All Levels,23.5 hours,4.4,237,14692,"Rp149,000",2/2026,141,0,156,https://www.udemy.com/course/certified-master-in-agentic-ai/
"Agentic AI: Build AI Agents with LangGraph, CrewAI & MCP",6609121,TechLynk Selenium | DevOps | GenAI | Cloud,"AI Agents & Agentic AI, Artificial Intelligence (AI), Generative AI (GenAI), Other IT & Software, IT & Software",AI Agents & Agentic AI,All Levels,21.5 hours,4.8,147,5420,"Rp149,000",12/2025,3,0,0,https://www.udemy.com/course/agentic-ai-bootcamp-build-ai-agents/
Learn Agentic AI – Build Multi-Agent Automation Workflows,6723177,Rahul Shetty Academy,"Generative AI (GenAI), Software Testing, Development",AI Agents & Agentic AI,All Levels,10 hours,4.6,1805,17877,"Rp169,000",2/2026,10,0,7,https://www.udemy.com/course/agentic-ai-for-automation-multi-agent-autogen/
Agentic AI Internals: Build an Agent from Scratch,7087449,Eden Marco,"AI Agents & Agentic AI, Software Engineering, Development",AI Agents & Agentic AI,Intermediate,5.5 hours,5.0,3,60,"Rp149,000",3/2026,1,1,0,https://www.udemy.com/course/agentic-ai-internals/
Production AI Agents with LangChain + LangGraph [2026],7031331,"Paulo Dichone | Software Engineer, AWS Cloud Practitioner & Instructor","LangGraph, LangChain, Data Science, Development",AI Agents & Agentic AI,Intermediate,17 hours,4.9,49,1016,"Rp149,000",3/2026,3,0,10,https://www.udemy.com/course/production-ai-agents/
Build Smart AI Agents 10x Faster: Basic to Agentic AI 2026,7004819,MetaTact AI Experts,"AI Agents & Agentic AI, Artificial Intelligence (AI), LangGraph, Python, Other IT & Software",AI Agents & Agentic AI,All Levels,2 hours,4.7,51,114,"Rp149,000",1/2026,0,0,17,https://www.udemy.com/course/build-ai-agents-agentic-2026-python-langchain-langgraph/
The Agentic AI Engineering Masterclass 2026,6668705,"Prof. Ryan Ahmed, Ph.D., MBA | 500,000+ Students | Best-Selling Instructor, Stemplicity Inc.","AI Agents & Agentic AI, Large Language Models (LLM), Other IT & Software, IT & Software",AI Agents & Agentic AI,All Levels,13.5 hours,4.5,1947,10080,"Rp159,000",1/2026,4,0,1,https://www.udemy.com/course/become-an-ai-agent-workflow-automation-engineer/
"AI Engineer Core Track: LLM Engineering, RAG, QLoRA, Agents",6100015,"Ligency ​, Ed Donner","Large Language Models (LLM), Artificial Intelligence (AI), ChatGPT, Data Science, Development",AI Agents & Agentic AI,All Levels,33.5 hours,4.7,32127,228464,"Rp169,000",2/2026,0,0,0,https://www.udemy.com/course/llm-engineering-master-ai-and-large-language-models/
The AI Agent Bootcamp 2026: Complete AI Аgent Course,6962211,365 Careers,"AI Agents & Agentic AI, Other IT & Software, IT & Software",AI Agents & Agentic AI,All Levels,11.5 hours,4.5,466,5408,"Rp149,000",2/2026,3,0,69,https://www.udemy.com/course/the-ai-agent-engineer-course-complete-ai-gent-bootcamp/
AI Agent Engineering: Build Production Ready Agentic Systems,7037847,Arnab Das,"AI Agents & Agentic AI, Model Context Protocol (MCP), LangChain, Other IT & Software, IT & Software",AI Agents & Agentic AI,All Levels,11 hours,4.8,4,126,"Rp149,000",2/2026,1,0,2,https://www.udemy.com/course/ai-agent-engineering-build-production-ready-agentic-systems/
Agentic AI Masterclass 2026: Build Autonomous AI Agents,7084371,"Geeta Patwal, Shivyaansh Singh Rawat","AI Agents & Agentic AI, Artificial Intelligence (AI), Other IT & Software, IT & Software",AI Agents & Agentic AI,All Levels,33 mins,4.7,N/A,100,"Rp149,000",4/2026,42,0,0,https://www.udemy.com/course/agentic-ai-masterclass-2026-build-autonomous-ai-agents/
Agentic AI Fundamentals: Build Your First Real AI Agent,7053963,Manish Kumar Khatri,"AI Agents & Agentic AI, Other IT & Software, IT & Software",AI Agents & Agentic AI,Beginner,1 hour,4.8,2,2,"Rp169,000",2/2026,6,1,19,https://www.udemy.com/course/agentic-ai-fundamentals-build-your-first-real-ai-agent/
Agentic AI for Beginners: Build Business AI Agents Bootcamp,7110813,Metla Sudha Sekhar,"AI Agents & Agentic AI, LangChain, Generative AI (GenAI), Large Language Models (LLM), Data Science",AI Agents & Agentic AI,Beginner,5.5 hours,5.0,3,6,"Rp149,000",3/2026,2,1,2,https://www.udemy.com/course/agentic-ai-for-beginners-build-business-ai-agents-bootcamp/
"AI Agents and Agentic AI for Leaders: Strategy, Risk & Gov",7117037,Fortivance Academy,"AI Agents & Agentic AI, Other IT & Software, IT & Software",AI Agents & Agentic AI,All Levels,3 hours,4.7,N/A,1,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/ai-agents-and-agentic-ai-for-leaders-strategy-risk-gov/
AI Agents for Beginners: Use AI Agents at Work (No Code),7011777,Nicolle Merrill,"AI Agents & Agentic AI, Other Business, Business",AI Agents & Agentic AI,All Levels,2.5 hours,4.8,19,198,"Rp149,000",2/2026,1,0,9,https://www.udemy.com/course/ai-agents-for-beginners-use-ai-agents-at-work-no-code/
Agentic AI Masterclass: Build Autonomous AI Agents with Tool,7073211,PurpleSkill - Updgrade With Us,"Data Science, Development",AI Agents & Agentic AI,Intermediate,14 hours,N/A,N/A,2,"Rp149,000",2/2026,0,0,11,https://www.udemy.com/course/agentic-ai-masterclass/
"Agentic AI Bootcamp: AI Agents with Python, n8n, MCP & RAG",6908385,Arnold Oberleiter,"AI Agents & Agentic AI, n8n, Generative AI (GenAI), Artificial Intelligence (AI), Software Engineering",AI Agents & Agentic AI,All Levels,32 hours,4.7,165,2175,"Rp149,000",12/2025,7,0,19,https://www.udemy.com/course/agentic-ai-bootcamp-ai-agents-with-python-n8n-mcp-rag/
