course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Asp.Net Core 10 (.NET 10) | True Ultimate Guide,4931546,Web Academy by Harsha Vardhan,"ASP.NET Core, C# (programming language), Web Development, Development",ASP.NET Core,All Levels,80 hours,4.5,7551,46824,"Rp159,000",3/2026,68,0,0,https://www.udemy.com/course/asp-net-core-true-ultimate-guide-real-project/
Build ASP.NET Core Web API - Scratch To Finish (.NET8 API),4421508,Sameer Saini,"ASP.NET Core, ASP.NET, C# (programming language), Entity Framework, Web Development",ASP.NET Core,All Levels,18 hours,4.5,10084,49525,"Rp159,000",5/2025,4,0,17,https://www.udemy.com/course/build-rest-apis-with-aspnet-core-web-api-entity-framework/
.NET Core MVC - The Complete Guide 2026 [E-commerce],1844356,Bhrugen Patel - (DotNetMastery | Microsoft MVP | 300k+ Students),"ASP.NET Core, ASP.NET, Web Development, Development",ASP.NET Core,Intermediate,16.5 hours,4.4,20350,96300,"Rp169,000",2/2026,9,0,0,https://www.udemy.com/course/complete-aspnet-core-21-course/
Build an app with ASPNET Core and Angular from scratch,1455016,Neil Cummings,"ASP.NET, Entity Framework, Angular, Web Development, Development",ASP.NET Core,Beginner,32 hours,4.6,25451,119744,"Rp149,000",2/2026,1,0,2,https://www.udemy.com/course/build-an-app-with-aspnet-core-and-angular-from-scratch/
Complete ASP.NET Core and Entity Framework Development,2725016,Trevoir Williams,"ASP.NET Core, Entity Framework, Web Development, .NET, Development",ASP.NET Core,All Levels,21.5 hours,4.5,3058,23770,"Rp159,000",1/2026,13,0,0,https://www.udemy.com/course/complete-aspnet-core-31-and-entity-framework-development/
ASP.NET Core Web API [.NET 10]: The Complete Guide,3702120,Frank Liu,"ASP.NET Core, Web API, Web Development, Development",ASP.NET Core,All Levels,24 hours,4.6,1207,9371,"Rp149,000",1/2026,25,0,39,https://www.udemy.com/course/complete-web-api-course/
The complete ASP.NET Core 9 course for busy developers,4599016,"Denis Panjuta, Jannick Leismann, Tutorials.eu by Denis Panjuta","ASP.NET Core, Web Development, Development",ASP.NET Core,All Levels,16 hours,4.3,2714,13691,"Rp149,000",8/2024,1,0,35,https://www.udemy.com/course/aspnet-6-course/
Ultimate ASP.NET Core Web API Development Guide,3669306,Trevoir Williams,"ASP.NET Core, Web API, Web Development, .NET, Development",ASP.NET Core,All Levels,19 hours,4.5,2207,13028,"Rp149,000",2/2026,18,0,0,https://www.udemy.com/course/ultimate-aspnet-5-web-api-development-guide/
ASP.NET Core - SOLID and Clean Architecture,4003980,Trevoir Williams,"ASP.NET Core, Entity Framework, REST API, Unit Testing, Web Development",ASP.NET Core,All Levels,10 hours,4.5,2628,18390,"Rp159,000",12/2025,15,0,0,https://www.udemy.com/course/aspnet-core-solid-and-clean-architecture-net-5-and-up/
Complete guide to building an app with .Net Core and React,2472180,Neil Cummings,"ASP.NET Core, React JS, Web Development, Development",ASP.NET Core,All Levels,33.5 hours,4.7,8585,52814,"Rp159,000",1/2026,2,0,3,https://www.udemy.com/course/complete-guide-to-building-an-app-with-net-core-and-react/
ASP.NET Core for Backend: From beginners to deep dive,6285149,Deniz Kanmaz,"ASP.NET Core, Web Development, Development",ASP.NET Core,Beginner,18 hours,4.7,16,220,"Rp149,000",8/2025,11,0,4,https://www.udemy.com/course/aspnet-core-for-backend-from-beginners-to-deep-dive/
.NET Microservices with Azure DevOps & AKS | Basic to Master,6171063,Web Academy by Harsha Vardhan,"Microservices, Azure Kubernetes Service (AKS), Azure DevOps, Software Development Tools, Development",ASP.NET Core,All Levels,45 hours,4.7,1227,8933,"Rp159,000",3/2026,39,0,0,https://www.udemy.com/course/dot-net-microservices-ecommerce-project-azure-devops-kubernetes-aks/
C# Developer Interview Questions & Mock Exams,7111847,"Pratik Barai, Rahul Udgata, Isha Choudhury","C# (programming language), IT Certifications, IT & Software",ASP.NET Core,All Levels,N/A,1.0,1,100,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/c-developer-interview-questions-mock-exams-w/
ASP Net Core MVC in Hindi/Urdu,7048457,Vikash Kumar Singh,"Web Development, Development",ASP.NET Core,Beginner,39 hours,N/A,N/A,3,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/learn-step-by-step-complete-asp-net-core-mvc-in-hindi-urdu/
Asp Net Core PayTr 3D Secure ve Taksitli Ödeme Entegrasyonu,7113803,Oğuzhan Turan,"Software Development, Mobile Payment Systems, .NET, ASP.NET Core, Other IT & Software",ASP.NET Core,Intermediate,7 hours,4.5,N/A,2,"Rp799,000",4/2026,0,0,1,https://www.udemy.com/course/asp-net-core-paytr-3d-secure-ve-taksitli-odeme-entegrasyonu/
ASP.NET Core Blazor Server - Thương Mại Điện Tử (DB First),6946257,Phạm Thanh Thịnh - Coding With Thịnh,"ASP.NET Core, Web Development, Development",ASP.NET Core,Beginner,6.5 hours,4.5,N/A,2,"Rp149,000",3/2026,0,0,20,https://www.udemy.com/course/aspnet-core-blazor-server-thuong-mai-dien-tu-database-first/
Database Mastery: ASP.NET Core ile MongoDB-PostgreSQL-MSSQL,7050841,Murat Yücedağ,"MongoDB, PostgreSQL, ASP.NET Core, Web Development, Development",ASP.NET Core,All Levels,16.5 hours,4.4,15,504,"Rp149,000",3/2026,1,0,0,https://www.udemy.com/course/database-mastery-aspnet-core-ile-mongodb-postgresql-mssql/
ASP.NET MVC Complete Guide using .NET Core [.NET8 Updated],4910406,Sameer Saini,"ASP.NET Core, ASP.NET MVC, .NET, ASP.NET, Web Development",ASP.NET Core,All Levels,13.5 hours,4.6,1750,8008,"Rp159,000",5/2025,2,0,8,https://www.udemy.com/course/aspnet-mvc-course-aspnet-core/
Latest C# ASP.NET Core MVC+ Projects + Web API + Exercises,4229340,Amardeep Singh,"ASP.NET Core, Web Development, Development",ASP.NET Core,All Levels,35.5 hours,4.4,79,643,"Rp149,000",9/2025,0,0,213,https://www.udemy.com/course/h-asp-core/
React 19 and .NET 10 API - The Complete Full Stack Bootcamp,5057468,Bhrugen Patel - (DotNetMastery | Microsoft MVP | 300k+ Students),"React JS, .NET, ASP.NET Core, Programming Languages, Development",ASP.NET Core,Beginner,19.5 hours,4.5,1259,7662,"Rp159,000",2/2026,2,0,0,https://www.udemy.com/course/full-stack-react-bootcamp-with-net-api/
ASP.NET Core complete course by University Coding Teacher C#,6895445,University Coding Teacher Dr Albert Sadowski,"ASP.NET Core, RESTful Web Services, REST API, ASP.NET, Web Development",ASP.NET Core,Beginner,6.5 hours,4.9,22,69,"Rp149,000",12/2025,1,0,1,https://www.udemy.com/course/aspnet-tutorial-for-beginners-by-university-coding-teacher/
Learn to build an e-commerce app with .Net Core and Angular,2813723,Neil Cummings,".NET, E-Commerce, Angular, Business",ASP.NET Core,Intermediate,31 hours,4.6,4872,28065,"Rp159,000",1/2026,1,0,1,https://www.udemy.com/course/learn-to-build-an-e-commerce-app-with-net-core-and-angular/
ASP.NET Core MVC - Build an E-Commerce Web Application 2026,5899144,Coding Courses,"ASP.NET Core, ASP.NET MVC, .NET, ASP.NET, Web Development",ASP.NET Core,Beginner,9 hours,4.7,220,926,"Rp159,000",3/2026,1,0,2,https://www.udemy.com/course/aspnet-core-mvc-guide/
Master Blazor in .NET 10: Build Inventory Management System,4562950,Frank Liu,"Blazor, Web Development, Development",ASP.NET Core,All Levels,14 hours,4.6,1229,7224,"Rp149,000",1/2026,2,0,0,https://www.udemy.com/course/learn-blazor-while-creating-an-inventory-management-system/
Master .NET 10 MVC: Build Market Management System,5666230,Frank Liu,"ASP.NET Core, Web Development, Development",ASP.NET Core,All Levels,8 hours,4.7,282,1758,"Rp149,000",1/2026,2,0,5,https://www.udemy.com/course/master-net-core-mvc/
Clean Architecture in .NET Core MVC [2025]- Complete Guide,2237386,Bhrugen Patel - (DotNetMastery | Microsoft MVP | 300k+ Students),"ASP.NET Core, Web Development, Development",ASP.NET Core,Beginner,14.5 hours,4.6,2825,32448,"Rp149,000",2/2026,2,0,0,https://www.udemy.com/course/asp-net-core/
Clean Architecture with ASP.NET Core,6773839,Felipe Gavilán,"ASP.NET Core, Web Development, Development",ASP.NET Core,Intermediate,5 hours,4.7,55,345,"Rp149,000",11/2025,2,0,0,https://www.udemy.com/course/clean-architecture-with-aspnet-core/
ANGULAR 20 and ASP.NET Core Web API - Real World Application,4253526,Sameer Saini,"ASP.NET Core, ASP.NET, Entity Framework, Angular, Web Development",ASP.NET Core,All Levels,31.5 hours,4.6,3456,18745,"Rp159,000",11/2025,4,0,5,https://www.udemy.com/course/real-world-app-angular-aspnet-core-web-api-and-sql/
ASP.NET Core [.NET 9] Deep-Dive,6230473,Frank Liu,"ASP.NET Core, Web Development, Development",ASP.NET Core,All Levels,32.5 hours,4.5,236,1512,"Rp149,000",1/2026,6,0,91,https://www.udemy.com/course/aspnet-core-deep-dive/
Building Applications with React 19 and ASP.NET Core 9,6653437,Felipe Gavilán,"React JS, Web Development, Development",ASP.NET Core,Intermediate,17.5 hours,4.5,89,479,"Rp149,000",8/2025,1,0,0,https://www.udemy.com/course/building-applications-with-react-and-aspnet-core-v2/
