course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
[NEW] Ultimate AWS Certified AI Practitioner AIF-C01,6082775,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified AI Practitioner, IT Certifications, IT & Software",AWS Certified AI Practitioner,Beginner,10 hours,4.7,42283,212151,"Rp169,000",4/2026,4,0,0,https://www.udemy.com/course/aws-ai-practitioner-certified/
[Practice Exams] AWS Certified AI Practitioner - AIF-C01,6093727,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh","AWS Certified AI Practitioner, IT Certifications, IT & Software",AWS Certified AI Practitioner,Beginner,N/A,4.6,7963,72338,"Rp159,000",12/2024,0,0,0,https://www.udemy.com/course/practice-exams-aws-certified-ai-practitioner/
AWS Certified AI Practitioner Practice Exams | AIF-C01 |2026,7033653,IT Assurance Academy Center,"AWS Certified AI Practitioner, IT Certifications, IT & Software",AWS Certified AI Practitioner,All Levels,N/A,4.9,69,219,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/aws-certified-ai-practitioner-aif-c01-practice-exams-2026/
Comprehensive AWS Certified AI Practitioner AIF-C01 Bootcamp,6399435,Vladimir Raykov,"AWS Certified AI Practitioner, Artificial Intelligence (AI), Amazon AWS, Generative AI (GenAI), IT Certifications",AWS Certified AI Practitioner,All Levels,16.5 hours,4.7,634,3800,"Rp159,000",2/2026,4,0,4,https://www.udemy.com/course/aif-c01-comprehensive-aws-certified-ai-practitioner-aif-c01-bootcamp/
6 Practice Exams | AWS Certified AI Practitioner - AIF-C01,6172887,Odoben | Practice Exams | AWS Certified Cloud Practitioner | AWS Certified AI Practitioner | Microsoft Azure Fundamentals,"AWS Certified AI Practitioner, IT Certifications, IT & Software",AWS Certified AI Practitioner,Beginner,N/A,4.6,161,6041,"Rp159,000",2/2026,0,0,0,https://www.udemy.com/course/aws-certified-ai-practitioner-practice-exams-new/
Ultimate AWS Certified Generative AI Developer Professional,6928347,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified Generative AI Developer - Professional, IT Certifications, IT & Software",AWS Certified AI Practitioner,All Levels,24 hours,4.6,2529,26127,"Rp149,000",4/2026,15,0,0,https://www.udemy.com/course/ultimate-aws-certified-generative-ai-developer-professional/
Mastering AWS Certified AI Practitioner AIF-C01 - Hands On!,6092035,"Sundog Education by Frank Kane, Frank Kane","AWS Certified AI Practitioner, IT Certifications, IT & Software",AWS Certified AI Practitioner,All Levels,10 hours,4.7,995,8246,"Rp149,000",1/2026,6,0,4,https://www.udemy.com/course/aws-certified-ai-practitioner-aif-c01-hands-on-in-depth/
AWS Certified AI Practitioner: Hands-On + Practice Exams,6134111,Karan Gupta - Coursediy.com,"AWS Certified AI Practitioner, Artificial Intelligence (AI), Amazon AWS, Generative AI (GenAI), IT Certifications",AWS Certified AI Practitioner,All Levels,13.5 hours,4.6,348,2534,"Rp149,000",3/2026,3,0,0,https://www.udemy.com/course/get-aws-ai-certified-handsonquiz-testszero-to-hero-2025/
Practice Exams | AWS Certified AI Practitioner (AIF-C01),6106345,Nikolai Schuler,"AWS Certified AI Practitioner, Artificial Intelligence (AI), Amazon AWS, Generative AI (GenAI), IT Certifications",AWS Certified AI Practitioner,All Levels,N/A,4.5,963,10459,"Rp149,000",10/2025,0,0,0,https://www.udemy.com/course/aws-ai-practitioner-certification-aif-c01-practice-exams/
AWS Certified AI Practitioner AIF-C01 [Beginner to Advanced],5902346,Rahul Trisal,"AWS Certified AI Practitioner, Amazon AWS, Generative AI (GenAI), IT Certifications, IT & Software",AWS Certified AI Practitioner,All Levels,11 hours,4.5,581,4258,"Rp149,000",12/2025,3,0,2,https://www.udemy.com/course/aws-certified-ai-practitioner-aif-c01-beginner-to-advanced/
