course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
[NEW] Ultimate AWS Certified Cloud Practitioner CLF-C02 2026,3142166,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","Amazon AWS, Cloud Computing, AWS Certified Cloud Practitioner, IT Certifications, IT & Software",AWS Certified Cloud Practitioner,Beginner,14.5 hours,4.7,285317,1303307,"Rp169,000",4/2026,5,0,0,https://www.udemy.com/course/aws-certified-cloud-practitioner-new/
6 Practice Exams | AWS Certified Cloud Practitioner CLF-C02,3142170,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh","AWS Certified Cloud Practitioner, IT Certifications, IT & Software",AWS Certified Cloud Practitioner,Beginner,N/A,4.5,38829,327710,"Rp2,079,000",1/2026,0,0,0,https://www.udemy.com/course/practice-exams-aws-certified-cloud-practitioner/
AWS Certified Cloud Practitioner CLF-C02 Mock Exams Apr 2026,7001563,Joel Palmer - Microsoft Solution Architect - Technical Expert - PMP,"AWS Certified Cloud Practitioner, IT / Technical Support, IT Fundamentals, Amazon AWS, IT Certifications",AWS Certified Cloud Practitioner,All Levels,N/A,4.7,93,394,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/aws-certified-cloud-practitioner-clf-c02-practice-tests-2026/
[NEW] AWS Certified Cloud Practitioner 2026 [CLF-C02],6311615,Chetan Agrawal | Ex. Senior Solutions Architect at AWS,"Amazon AWS, Cloud Computing, AWS Certified Cloud Practitioner, Other IT & Software, IT & Software",AWS Certified Cloud Practitioner,Beginner,22.5 hours,4.7,945,11397,"Rp149,000",2/2026,0,0,10,https://www.udemy.com/course/aws-certified-cloud-practitioner-clf-c02-latest/
Ultimate AWS Certified Solutions Architect Associate 2026,2196488,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",AWS Certified Cloud Practitioner,All Levels,27 hours,4.7,286420,1257254,"Rp169,000",4/2026,11,0,1,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/
AWS Certified Cloud Practitioner - AWS Certification,3545764,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect","AWS Certified Cloud Practitioner, Amazon AWS, IT Certifications, IT & Software",AWS Certified Cloud Practitioner,All Levels,19 hours,4.6,13222,89981,"Rp149,000",1/2026,24,0,1,https://www.udemy.com/course/aws-certified-cloud-practitioner-step-by-step/
[2025] AWS Cloud Practitioner CLF-C02: Course & 2 Exams,5513664,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","AWS Certified Cloud Practitioner, IT Certifications, IT & Software",AWS Certified Cloud Practitioner,Intermediate,15.5 hours,4.7,2824,17129,"Rp149,000",3/2026,2,0,0,https://www.udemy.com/course/aws-certified-cloud-practitioner-clf-c02-complete-course/
Zero to Certified: AWS Certified Cloud Practitioner [2026],6596689,Krish Sasmal,"AWS Certified Cloud Practitioner, IT Certifications, IT & Software",AWS Certified Cloud Practitioner,Beginner,24 hours,4.7,43,116,"Rp149,000",1/2026,1,0,0,https://www.udemy.com/course/zero-to-certified-aws-certified-cloud-practitioner-bootcamp/
AWS Certified Cloud Practitioner Practice Exams CLF-C02,2059853,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate","AWS Certified Cloud Practitioner, IT Certifications, IT & Software",AWS Certified Cloud Practitioner,All Levels,N/A,4.5,27666,154453,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/aws-certified-cloud-practitioner-practice-exams-c/
AWS Certified Cloud Practitioner (CLF-C02) Exam Training,2645936,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate","Amazon AWS, Cloud Computing, AWS Certified Cloud Practitioner, IT Certifications, IT & Software",AWS Certified Cloud Practitioner,Beginner,14 hours,4.7,39225,172254,"Rp159,000",3/2026,14,0,0,https://www.udemy.com/course/aws-certified-cloud-practitioner-training-course/
[NEW] Ultimate AWS Certified AI Practitioner AIF-C01,6082775,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified AI Practitioner, IT Certifications, IT & Software",AWS Certified Cloud Practitioner,Beginner,10 hours,4.7,42283,212151,"Rp169,000",4/2026,4,0,0,https://www.udemy.com/course/aws-ai-practitioner-certified/
Ultimate AWS Certified Developer Associate 2026 DVA-C02,1921420,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified Developer - Associate, Amazon AWS, IT Certifications, IT & Software",AWS Certified Cloud Practitioner,All Levels,32 hours,4.7,121501,664932,"Rp169,000",4/2026,8,0,0,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/
AWS Certified Cloud Practitioner Mock Exams CLF-C02 2026,2590994,"Jon Bonso AWS Generative AI Developer, AWS Certified Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer, Tutorials Dojo Support","AWS Certified Cloud Practitioner, IT Certifications, IT & Software",AWS Certified Cloud Practitioner,Beginner,N/A,4.5,3757,18394,"Rp159,000",2/2026,0,0,0,https://www.udemy.com/course/aws-certified-cloud-practitioner-practice-tests-clf-c02/
Introduction to Cloud Computing on AWS for Beginners [2026],3329962,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate","Cloud Computing, Amazon AWS, Other IT & Software, IT & Software",AWS Certified Cloud Practitioner,Beginner,10 hours,4.6,38598,226886,"Rp159,000",3/2026,2,0,0,https://www.udemy.com/course/introduction-to-cloud-computing-on-amazon-aws-for-beginners/
