course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Ultimate AWS Certified Developer Associate 2026 DVA-C02,1921420,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified Developer - Associate, Amazon AWS, IT Certifications, IT & Software",AWS Certified Developer - Associate,All Levels,32 hours,4.7,121501,664932,"Rp169,000",4/2026,8,0,0,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/
Practice Exams | AWS Certified Developer Associate,1975038,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh","AWS Certified Developer - Associate, IT Certifications, IT & Software",AWS Certified Developer - Associate,Beginner,N/A,4.6,13424,145133,"Rp169,000",12/2025,0,0,0,https://www.udemy.com/course/aws-certified-developer-associate-practice-tests-dva-c01/
AWS Certified Developer Associate - AWS Certification,3594850,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect","AWS Certified Developer - Associate, Amazon AWS, IT Certifications, IT & Software",AWS Certified Developer - Associate,All Levels,35.5 hours,4.5,4940,50032,"Rp149,000",1/2026,32,0,1,https://www.udemy.com/course/aws-certified-developer-associate-step-by-step/
AWS Certified Developer Associate Practice Exams,2322586,"Jon Bonso AWS Generative AI Developer, AWS Certified Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer, Carlo Acebedo | AWS Certified Developer Associate | AWS Professional","AWS Certified Developer - Associate, Software Development Tools, IT Certifications, Development, IT & Software",AWS Certified Developer - Associate,All Levels,N/A,4.4,3904,26264,"Rp3,129,000",11/2025,0,0,0,https://www.udemy.com/course/aws-certified-developer-associate-practice-exams-amazon-dva-c01/
AWS Certified Developer Associate Exam Training DVA-C02,2827920,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate","Amazon AWS, AWS Certified Developer - Associate, IT Certifications, IT & Software",AWS Certified Developer - Associate,Beginner,17 hours,4.5,4600,40741,"Rp149,000",4/2026,2,0,0,https://www.udemy.com/course/aws-certified-developer-associate-exam-training/
AWS Developer Associate DVA-C02 Practice Exams 2026,6451435,Nex Arc,"Cloud Computing, Amazon AWS, AWS Certified Developer - Associate, IT Certifications, IT & Software",AWS Certified Developer - Associate,Intermediate,N/A,4.7,16,167,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/aws-developer-associate-dva-c02-practice-exam/
AWS Certified Developer Associate Practice Exams DVA-C02,2981704,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate","AWS Certified Developer - Associate, IT Certifications, IT & Software",AWS Certified Developer - Associate,Beginner,N/A,4.2,3782,35727,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/aws-developer-associate-practice-exams/
Ultimate AWS Certified Solutions Architect Associate 2026,2196488,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",AWS Certified Developer - Associate,All Levels,27 hours,4.7,286420,1257383,"Rp169,000",4/2026,11,0,1,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/
AWS Certified Developer Associate 2026 – DVA-C02,3942104,"Jon Bonso AWS Generative AI Developer, AWS Certified Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer","AWS Certified Developer - Associate, IT Certifications, IT & Software",AWS Certified Developer - Associate,All Levels,14 hours,4.6,80,681,"Rp149,000",3/2026,2,0,0,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01-cda/
AWS Certified Developer - Associate (DVA-C02) Practice |2026,5587936,"Bui Phuong Nam, Danh Hien","AWS Certified Developer - Associate, IT Certifications, IT & Software",AWS Certified Developer - Associate,All Levels,N/A,4.9,28,1771,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/aws-certified-developer-associate-dva-c02-practice-exam-y/
