course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Ultimate AWS Certified Solutions Architect Associate 2026,2196488,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",AWS Certified Solutions Architect - Associate,All Levels,27 hours,4.7,286420,1257383,"Rp169,000",4/2026,11,0,1,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/
Practice Exams | AWS Certified Solutions Architect Associate,2597160,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh","AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",AWS Certified Solutions Architect - Associate,Beginner,N/A,4.6,21510,265887,"Rp169,000",2/2026,0,0,0,https://www.udemy.com/course/practice-exams-aws-certified-solutions-architect-associate/
[NEW!] AWS Certified Solutions Architect Associate (SAA-C03),6899699,Chetan Agrawal | Ex. Senior Solutions Architect at AWS,"AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",AWS Certified Solutions Architect - Associate,Intermediate,35 hours,4.8,224,2961,"Rp149,000",3/2026,0,0,16,https://www.udemy.com/course/new-aws-certified-solutions-architect-associate-saa-c03/
AWS Solutions Architect Associate SAA-C03 Mock Exam Apr 2026,7063477,Joel Palmer - Microsoft Solution Architect - Technical Expert - PMP,"AWS Certified Solutions Architect - Associate, IT / Technical Support, Artificial Intelligence (AI), Amazon AWS, IT Certifications",AWS Certified Solutions Architect - Associate,All Levels,N/A,5.0,54,141,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/aws-solutions-architect-associate-saa-c03-mock-exam-feb-2026/
AWS Certified Solutions Architect Associate (SAA-C03) Course,2469516,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate","Amazon AWS, AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",AWS Certified Solutions Architect - Associate,All Levels,23 hours,4.6,22581,119667,"Rp159,000",4/2026,18,0,0,https://www.udemy.com/course/aws-certified-solutions-architect-associate-hands-on/
AWS Certified Solutions Architect Associate Practice Exams,1878624,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate","AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",AWS Certified Solutions Architect - Associate,All Levels,N/A,4.6,13414,124109,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/aws-certified-solutions-architect-associate-practice-tests-k/
AWS Certified Solutions Architect Associate - SAA C03,3082678,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect","AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",AWS Certified Solutions Architect - Associate,All Levels,31 hours,4.7,6310,64033,"Rp149,000",1/2026,38,0,1,https://www.udemy.com/course/aws-certified-solutions-architect-associate-step-by-step/
AWS Solutions Architect Associate with Practice Test,2369182,Rick Crisci,"AWS Certified Solutions Architect - Associate, AWS Databases, Cloud Computing, IT Certifications, IT & Software",AWS Certified Solutions Architect - Associate,All Levels,20 hours,4.7,1082,25165,"Rp149,000",11/2025,1,0,153,https://www.udemy.com/course/ultimateaws/
Topmost AWS Certified Solutions Architect Associate SAA-C03,6000716,CloudFolks HUB,"Cloud Computing, Amazon AWS, AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",AWS Certified Solutions Architect - Associate,All Levels,106 hours,4.7,561,3319,"Rp149,000",4/2026,18,0,341,https://www.udemy.com/course/aws-solutions-architect-associate-saa-c03-training-2024/
Ultimate AWS Certified Solutions Architect Professional 2026,2789348,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified Solutions Architect - Professional, IT Certifications, IT & Software",AWS Certified Solutions Architect - Associate,Expert,16.5 hours,4.7,25515,227592,"Rp489,000",4/2026,5,0,0,https://www.udemy.com/course/aws-solutions-architect-professional/
