course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
AZ-104 Microsoft Azure Administrator - Complete Exam Prep,802576,"Scott Duffy • 1.000.000+ Students, Software Architect.ca","AZ-104: Microsoft Azure Administrator Associate, Microsoft Azure, IT Certifications, IT & Software",AZ-104: Microsoft Azure Administrator Associate,Intermediate,15 hours,4.6,56073,301849,"Rp159,000",2/2026,24,0,9,https://www.udemy.com/course/70533-azure/
AZ-104 Microsoft Azure Administrator Associate Practice Exam,6689375,Nex Arc,"AZ-104: Microsoft Azure Administrator Associate, Cloud Computing, Microsoft Azure, IT Certifications, IT & Software",AZ-104: Microsoft Azure Administrator Associate,Intermediate,N/A,5.0,33,1054,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/az-104-microsoft-azure-administrator-associate-practice-exams/
AZ-104 Microsoft Azure Administrator course with SIMULATIONS,4912650,"John Christopher | 500,000+ enrollments","AZ-104: Microsoft Azure Administrator Associate, Microsoft Azure, Azure Virtual Machines, IT Certifications, IT & Software",AZ-104: Microsoft Azure Administrator Associate,All Levels,18 hours,4.7,5379,27980,"Rp159,000",2/2026,0,0,25,https://www.udemy.com/course/az-104-microsoft-azure-administrator-course-with-simulations/
AZ-104 Azure Administrator 100% Original Practice Exam,5593476,"Scott Duffy • 1.000.000+ Students, Software Architect","AZ-104: Microsoft Azure Administrator Associate, IT Certifications, IT & Software",AZ-104: Microsoft Azure Administrator Associate,All Levels,N/A,4.1,1858,17720,"Rp159,000",12/2025,0,0,0,https://www.udemy.com/course/az104-azure-practice/
AZ-104 Practice Tests : Microsoft Azure Administrator (2026),6262249,Shireen Khan,"AZ-104: Microsoft Azure Administrator Associate, IT Certifications, IT & Software",AZ-104: Microsoft Azure Administrator Associate,All Levels,N/A,4.6,969,7798,"Rp1,959,000",4/2026,0,0,0,https://www.udemy.com/course/microsoft-azure-administrator-az-104-practice-tests-latest/
AZ-104 Practice Tests Apr 2026 Azure Administrator Associate,6908415,Joel Palmer - Microsoft Solution Architect - Technical Expert - PMP,"AZ-104: Microsoft Azure Administrator Associate, Microsoft 365 (Office), AZ-900: Microsoft Azure Fundamentals, Microsoft Azure, IT Certifications",AZ-104: Microsoft Azure Administrator Associate,All Levels,N/A,4.2,100,562,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/az-104-practice-tests-2025-azure-administrator-associate/
AZ-104 Microsoft Azure Administrator Certification,2131244,Alan Rodrigues,"AZ-104: Microsoft Azure Administrator Associate, Microsoft Azure, IT Certifications, IT & Software",AZ-104: Microsoft Azure Administrator Associate,All Levels,27 hours,4.6,26814,135856,"Rp159,000",11/2025,12,0,29,https://www.udemy.com/course/microsoft-certified-azure-administrator/
AZ-104: Microsoft Azure Administrator - Full Course -2026,2873370,Anand Rao Nednur,"Microsoft Azure, AZ-104: Microsoft Azure Administrator Associate, IT Certifications, IT & Software",AZ-104: Microsoft Azure Administrator Associate,Intermediate,59 hours,4.3,7314,62210,"Rp149,000",2/2026,7,0,7,https://www.udemy.com/course/exam-az-104-microsoft-azure-administrator/
*August 2025* AZ-104 Microsoft Azure Administrator,1927250,"Refactored LLC, Nick Colyer","AZ-104: Microsoft Azure Administrator Associate, Microsoft Azure, IT Certifications, IT & Software",AZ-104: Microsoft Azure Administrator Associate,All Levels,11 hours,4.7,7175,27491,"Rp1,959,000",8/2025,9,0,9,https://www.udemy.com/course/az-100-skylines-academy/
AZ-104: Microsoft Azure Administrator Associate,6114153,Christopher Nett | 100.000+ Enrollments Worldwide,"AZ-104: Microsoft Azure Administrator Associate, IT Certifications, IT & Software",AZ-104: Microsoft Azure Administrator Associate,All Levels,17.5 hours,3.9,7,59,"Rp149,000",1/2026,3,0,4,https://www.udemy.com/course/az-104-microsoft-azure-administrator-associate-f/
