course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Master Microsoft Azure Fundamentals: AZ-900 Exam Prep 2025,2394982,"Scott Duffy • 1.000.000+ Students, Software Architect.ca","AZ-900: Microsoft Azure Fundamentals, Microsoft Azure, IT Certifications, IT & Software",AZ-900: Microsoft Azure Fundamentals,Beginner,8.5 hours,4.6,138735,584567,"Rp169,000",2/2026,4,0,3,https://www.udemy.com/course/az900-azure/
Microsoft Azure Fundamentals: AZ-900 Full Course & Exams,6874313,"Jason Dion • 3 Million+ Enrollments Worldwide, Brandon Spencer, Dion Training Solutions • ATO for ITIL & PRINCE2","AZ-900: Microsoft Azure Fundamentals, IT Certifications, IT & Software",AZ-900: Microsoft Azure Fundamentals,All Levels,7 hours,4.7,431,2978,"Rp149,000",4/2026,11,0,8,https://www.udemy.com/course/microsoft-az-900-fundamentals/
AZ-900: Microsoft Azure Fundamentals Original Practice Tests,2514204,"Scott Duffy • 1.000.000+ Students, Software Architect.ca","AZ-900: Microsoft Azure Fundamentals, Microsoft Azure, IT Certifications, IT & Software",AZ-900: Microsoft Azure Fundamentals,Beginner,N/A,4.6,33861,176526,"Rp159,000",10/2025,0,0,0,https://www.udemy.com/course/az900-azure-tests/
AZ-900 Microsoft Azure Fundamentals in a Weekend,4049392,"in28Minutes Official, Open Cloud Solutions | Microsoft Azure Certification - AZ 900","AZ-900: Microsoft Azure Fundamentals, Cloud Computing, Microsoft Azure, IT Certifications, IT & Software",AZ-900: Microsoft Azure Fundamentals,Beginner,11.5 hours,4.6,47766,199028,"Rp149,000",1/2026,23,0,0,https://www.udemy.com/course/azure-certification-az-900-azure-fundamentals/
AZ-900 Microsoft Azure Fundamentals with SIMULATIONS,4967820,"John Christopher | 500,000+ enrollments","AZ-900: Microsoft Azure Fundamentals, Microsoft Azure, Azure Subscription, IT Certifications, IT & Software",AZ-900: Microsoft Azure Fundamentals,All Levels,10 hours,4.7,1971,8562,"Rp159,000",2/2026,0,0,21,https://www.udemy.com/course/az-900-microsoft-azure-fundamentals-with-simulations/
Microsoft Azure: From Zero to Hero - The Complete Guide,3651110,Memi Lavi,"Microsoft Azure, Other IT & Software, IT & Software",AZ-900: Microsoft Azure Fundamentals,Beginner,21 hours,4.5,22500,148534,"Rp169,000",3/2026,33,0,47,https://www.udemy.com/course/microsoft-azure-from-zero-to-hero-the-complete-guide/
AZ-900: Microsoft Azure Fundamentals Certification - 2026,2420912,Anand Rao Nednur,"Microsoft Azure, AZ-900: Microsoft Azure Fundamentals, IT Certifications, IT & Software",AZ-900: Microsoft Azure Fundamentals,Intermediate,13.5 hours,4.5,4493,25324,"Rp849,000",3/2026,1,0,57,https://www.udemy.com/course/az-900-microsoft-azure-fundamentals-certification/
AZ-900 Microsoft Azure Fundamentals,1704776,Alan Rodrigues,"AZ-900: Microsoft Azure Fundamentals, Microsoft Azure, IT Certifications, IT & Software",AZ-900: Microsoft Azure Fundamentals,Beginner,14.5 hours,4.5,66074,260164,"Rp159,000",2/2026,14,0,8,https://www.udemy.com/course/microsoft-azure-beginners-guide/
AZ-900 Practice Tests Apr 2026 Microsoft Azure Fundamentals,6861245,Joel Palmer - Microsoft Solution Architect - Technical Expert - PMP,"AZ-900: Microsoft Azure Fundamentals, Microsoft Azure, IT Certifications, IT & Software",AZ-900: Microsoft Azure Fundamentals,All Levels,N/A,4.6,168,823,"Rp849,000",4/2026,0,0,0,https://www.udemy.com/course/az-900-microsoft-azure-fundamentals-practice-tests-2025-v/
AZ-900: Azure Fundamentals Exam Prep 2026,4999638,Nikolai Schuler,"AZ-900: Microsoft Azure Fundamentals, Cloud Computing, Azure Compute, IT Certifications, IT & Software",AZ-900: Microsoft Azure Fundamentals,All Levels,8 hours,4.6,3428,16772,"Rp159,000",3/2026,26,0,15,https://www.udemy.com/course/az-900-azure-certification-exam-prep/
