course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Accounting: From Beginner to Advanced!,133428,"Stefan Ignatovski, Ph.D.","Accounting, Uniform CPA Examination, Accounting & Bookkeeping, Finance & Accounting",Accounting,All Levels,10 hours,4.7,12346,53156,"Rp159,000",3/2024,2,0,4,https://www.udemy.com/course/accounting101/
Accounting & Bookkeeping Masterclass - Beginner to Advanced,400858,Irfan Sharif ACA ACCA | #1 Best Selling Instructor of Accounting & Bookkeeping,"Accounting, Bookkeeping, Financial Statement, Financial Accounting, Accounting & Bookkeeping",Accounting,All Levels,20 hours,4.5,8468,108672,"Rp159,000",4/2026,23,0,24,https://www.udemy.com/course/accounting-for-entrepreneurs/
The Complete Financial Analyst Course 2026,648826,365 Careers,"Financial Analysis, Finance Fundamentals, Financial Modeling & Analysis, Finance & Accounting",Accounting,All Levels,21.5 hours,4.6,102653,506204,"Rp169,000",1/2026,17,0,542,https://www.udemy.com/course/the-complete-financial-analyst-course/
Accounting & Financial Statement Analysis: Complete Training,640100,365 Careers,"Financial Accounting, Accounting, Financial Statement, Financial Analysis, Financial Modeling & Analysis",Accounting,All Levels,3.5 hours,4.7,25507,99373,"Rp169,000",10/2024,2,0,45,https://www.udemy.com/course/accounting-fsa-a-solid-foundation-for-a-career-in-finance/
Financial Accounting - #1 Ranked University: Course 1 of 5,302562,Norm Nemrow,"Accounting, Business Fundamentals, Business Strategy, Accounting & Bookkeeping, Finance & Accounting",Accounting,All Levels,31.5 hours,4.7,5019,34818,"Rp159,000",4/2026,22,0,11,https://www.udemy.com/course/learnaccountingforfree/
TallyPrime+GST+Payroll+IncomeTax+TDS+TCS+MSExcel (ComboPack),3465656,Urs Ravi I Vedanta Educational Academy,"TallyPrime (Tally.ERP), Goods and Services Tax (GST), Microsoft Excel, Accounting & Bookkeeping, Finance & Accounting",Accounting,All Levels,68.5 hours,4.5,8194,41620,"Rp149,000",2/2026,11,0,305,https://www.udemy.com/course/tally-erp-9-gst-ms-excel-online-course-udemy/
Accounting Basics - A Complete Study,494800,"Raja Natarajan, B.Com., PGDBA, FCA","Accounting, Bookkeeping, Accounting & Bookkeeping, Finance & Accounting",Accounting,All Levels,39.5 hours,4.3,1229,6728,"Rp209,000",10/2021,2,0,94,https://www.udemy.com/course/fundamentals-of-accounting-a-complete-study/
Accounting And QuickBooks Online Comprehensive Course,6257589,Mark Smolen,"Accounting, Accounting & Bookkeeping, Finance & Accounting",Accounting,All Levels,22 hours,4.6,279,1098,"Rp159,000",4/2026,0,0,62,https://www.udemy.com/course/accounting-and-quickbooks-online-comprehensive-course/
Complete Accounting & Taxation Course 2026,4486836,Urs Ravi I Vedanta Educational Academy,"TallyPrime (Tally.ERP), Accounting, Accounting & Bookkeeping, Finance & Accounting",Accounting,All Levels,68.5 hours,4.4,674,3505,"Rp149,000",2/2026,10,0,294,https://www.udemy.com/course/complete-accounting-taxation-course-tally/
Accounting 101 - Learn the Basic Principles the Right Way,2313402,Mark Cunningham,"Accounting, Accounting & Bookkeeping, Finance & Accounting",Accounting,Beginner,1 hour,4.6,560,1581,"Rp149,000",2/2025,1,0,0,https://www.udemy.com/course/accounting-101-course-learn-basics-fundamentals-small-business/
"Introduction to Finance, Accounting, Modeling and Valuation",888716,Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof.,"Accounting, Financial Modeling, Finance Fundamentals, Financial Modeling & Analysis, Accounting & Bookkeeping",Accounting,All Levels,4.5 hours,4.5,38529,226915,"Rp329,000",5/2025,9,0,15,https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/
