course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Learn How To Paint With Acrylics: Projects For Beginners,5109826,Emily Armstrong,"Acrylic Painting, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,6 hours,4.5,97,716,"Rp149,000",2/2026,0,0,7,https://www.udemy.com/course/learn-how-to-paint-with-acrylics-projects-for-beginners/
The Ultimate Acrylic Painting Course,1894742,Nancy Reyner,"Acrylic Painting, Arts & Crafts, Lifestyle",Acrylic Painting,All Levels,11.5 hours,4.8,1320,6173,"Rp599,000",3/2026,0,0,16,https://www.udemy.com/course/acrylic-painting-the-complete-course/
Acrylic Painting For Beginners,3369164,Robert Joyner,"Acrylic Painting, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,4.5 hours,4.6,257,1365,"Rp149,000",11/2020,1,0,2,https://www.udemy.com/course/best-acrylic-painting-for-beginners/
The Acrylic Painting Academy,850954,Matthew Fussell,"Acrylic Painting, Painting, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,4 hours,4.4,1552,9288,"Rp149,000",5/2016,0,0,33,https://www.udemy.com/course/the-acrylic-painting-academy/
Acrylic Painting - Colors Mastery Course,3889162,Sameer Nagi,"Acrylic Painting, Abstract Painting, Painting, Creativity, Personal Development",Acrylic Painting,All Levels,11 hours,4.7,91,663,"Rp149,000",4/2021,0,0,27,https://www.udemy.com/course/acrylic-painting-colors-mastery-course/
Acrylic Painting for Beginners,1490364,Malcolm Dewey,"Acrylic Painting, Painting, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,4.5 hours,4.6,785,3775,"Rp149,000",2/2021,0,0,7,https://www.udemy.com/course/acrylic-painting-for-beginners/
Painting Made Simple for Beginners,5197780,Viktoria Majestic,"Painting, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,13.5 hours,4.6,87,466,"Rp149,000",6/2023,0,0,19,https://www.udemy.com/course/painting-made-simple/
Find your Style in 7 days,4866686,Richard Robinson,"Painting, Arts & Crafts, Lifestyle",Acrylic Painting,All Levels,6.5 hours,4.8,39,280,"Rp149,000",9/2022,2,0,30,https://www.udemy.com/course/find-your-style-in-7-days/
Acrylic Painting for Beginners,5952668,"Cheryl Kline, Skills Academy","Acrylic Painting, Arts & Crafts, Lifestyle",Acrylic Painting,All Levels,2.5 hours,4.5,114,631,"Rp149,000",7/2025,0,0,1,https://www.udemy.com/course/acrylic-painting-masterclass/
Acrylic Painting: The Ultimate Canvas Painting Course,3241754,Art & Craft Letstute,"Acrylic Painting, Arts & Crafts, Lifestyle",Acrylic Painting,All Levels,12.5 hours,4.2,161,2826,"Rp149,000",1/2025,0,0,0,https://www.udemy.com/course/acrylic-landscape-paintings-for-beginners-on-canvas/
Easy & Fun Acrylics,5455486,Wendy Anderson,"Acrylic Painting, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,8 hours,4.7,23,109,"Rp149,000",7/2023,0,0,0,https://www.udemy.com/course/easy-fun-acrylics/
Foundations of Acrylic Painting,6493491,William K.,"Acrylic Painting, Painting, Arts & Crafts, Lifestyle",Acrylic Painting,All Levels,4.5 hours,4.3,18,414,"Rp149,000",3/2025,0,0,0,https://www.udemy.com/course/foundations-of-acrylic-painting/
Brushstroke Masterclass: Learn 40+ Easy Painting Techniques,2072169,Melissa Fryer,"Acrylic Painting, Painting, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,5.5 hours,4.4,65,493,"Rp149,000",1/2026,2,0,44,https://www.udemy.com/course/brushstroke-masterclass-acrylic-painting/
Impressionism: Paint this Countryside Path in Oil or Acrylic,3582221,Christopher Clark,"Painting, Arts & Crafts, Lifestyle",Acrylic Painting,All Levels,3 hours,4.8,126,727,"Rp149,000",10/2020,1,0,6,https://www.udemy.com/course/impressionism-paint-this-countryside-path-in-oil-or-acrylic/
"Expressive Drawing, Painting & Mixed Media Techniques Course",2543987,"Chad Neuman, Ph.D., Jonathan Simon, BFA, MFA","Drawing, Painting, Pen Drawing, Arts & Crafts, Lifestyle",Acrylic Painting,All Levels,8 hours,4.8,235,15208,"Rp149,000",4/2020,10,0,54,https://www.udemy.com/course/expressive-drawing-painting-mixed-media-techniques-course/
Proven Formular for Composition in Your Abstract Painting,4926560,Joy Fahey,"Art Composition, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,2.5 hours,4.3,122,1464,"Rp447,000.00",8/2023,0,0,2,https://www.udemy.com/course/abstract-painting-compostion/
Impressionism - Paint this Night Cityscape in Oil or Acrylic,3289994,Christopher Clark,"Painting, Arts & Crafts, Lifestyle",Acrylic Painting,All Levels,3.5 hours,4.9,85,609,"Rp149,000",8/2020,1,0,7,https://www.udemy.com/course/impressionism-paint-this-night-cityscape-in-oil-or-acrylic/
Free Expressionism Painting like you just don't care Flowers,5483588,Christopher Clark,"Painting, Arts & Crafts, Lifestyle",Acrylic Painting,All Levels,2 hours,4.8,37,258,"Rp149,000",8/2023,1,0,10,https://www.udemy.com/course/free-expressionism-painting-like-you-just-dont-care-flowers/
Paint a realistic bird using acrylics,828840,Joe McMenamin,"Painting, Other Design, Design",Acrylic Painting,Intermediate,2.5 hours,4.9,26,294,"Rp149,000",5/2016,0,0,1,https://www.udemy.com/course/paint-a-realistic-bird-using-acrylics/
Anybody Can Paint - Painting Course for Beginners (Acrylics),2963426,Sameer Nagi,"Acrylic Painting, Creativity, Personal Development",Acrylic Painting,Beginner,5 hours,4.5,46,269,"Rp149,000",6/2020,0,0,0,https://www.udemy.com/course/abcpopcudemy/
ACRYLIC LANDSCAPES with a Painting Knife. Beginners Level 1,2165418,Gerald Ashcroft,"Painting, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,38 mins,4.7,190,2249,"Rp149,000",3/2019,2,0,2,https://www.udemy.com/course/acrylic-landscapes-with-a-painting-knife-beginners-level-1/
Acrylic Painting Techniques for Landscape Course,1334340,Rod Moore,"Acrylic Painting, Painting, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,4 hours,4.4,329,1981,"Rp149,000",8/2017,0,0,0,https://www.udemy.com/course/acrylic-painting-techniques/
Acrylic Painting - Introduction to Acrylic Painting,1276524,Rod Moore,"Acrylic Painting, Painting, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,3.5 hours,4.4,1486,13013,"Rp149,000",7/2017,5,0,5,https://www.udemy.com/course/acrylic-painting-introduction-to-acrylic-painting/
Oil Painting for Beginners,5048554,Luis Borrero,"Oil Painting, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,12 hours,4.7,372,2870,"Rp149,000",8/2025,0,0,3,https://www.udemy.com/course/oil-painting-for-beginners-o/
The Ultimate Guide to One Stroke Painting | Acrylic Flowers,4679326,Annika T,"Acrylic Painting, Arts & Crafts, Lifestyle",Acrylic Painting,Beginner,2.5 hours,4.5,24,153,"Rp149,000",7/2022,0,0,11,https://www.udemy.com/course/the-ultimate-guide-to-one-stroke-painting-acrylic-flowers/
