course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Adobe After Effects CC Bootcamp: Beginner to Advanced,627730,"Louay Zambarakji, KaiVersity.com - Lucas Roomé","Adobe After Effects, VFX Visual Effects, VFX Compositing, Motion Graphics, 3D & Animation",Adobe After Effects,All Levels,35 hours,4.7,39323,194250,"Rp169,000",4/2026,35,0,38,https://www.udemy.com/course/after-effects-cc-bootcamp/
"After Effects CC Masters: VFX, Motion Graphics, Animation+",927360,"Phil Ebiner, Video School","Adobe After Effects, VFX Visual Effects, Video Production, Motion Graphics, Design Tools",Adobe After Effects,All Levels,27.5 hours,4.6,15496,361674,"Rp159,000",4/2024,14,0,18,https://www.udemy.com/course/after-effects-cc/
Adobe After Effects CC Master Course - VFX & Motion Graphics,6836271,HiveFlux Creative Academy,"Adobe After Effects, Motion Graphics, Video Editing, VFX Visual Effects, 3D & Animation",Adobe After Effects,All Levels,42 hours,4.8,145,3421,"Rp149,000",1/2026,2,0,21,https://www.udemy.com/course/adobe-after-effects-cc-master-course-vfx-motion-graphics/
After Effects CC: The Ultimate Motion Graphics Masterclass,973762,"Louay Zambarakji, KaiVersity.com - Lucas Roomé","Motion Graphics, Animation, VFX Visual Effects, Adobe After Effects, Video Design",Adobe After Effects,All Levels,23.5 hours,4.8,4881,102364,"Rp149,000",11/2025,21,0,21,https://www.udemy.com/course/adobe-after-effects-essential-motion-graphics-training/
Complete Adobe After Effects Megacourse: Beginner to Expert,4543668,Skillademia Academy,"Adobe After Effects, Animation, Motion Graphics, VFX Visual Effects, Video Design",Adobe After Effects,All Levels,57 hours,4.5,710,14599,"Rp159,000",2/2026,0,0,63,https://www.udemy.com/course/complete-adobe-after-effects-megacourse-beginner-to-expert/
After Effects - Motion Graphics & Data Visualization,1329786,Daniel Walter Scott,"Motion Graphics, Animation, Adobe After Effects, Data Visualization, 3D & Animation",Adobe After Effects,All Levels,6.5 hours,4.7,8879,48748,"Rp159,000",1/2025,1,0,3,https://www.udemy.com/course/animated-infographic-video-data-visualisation/
Non-Scary Adobe After Effects 2025 - Beginner to Wow,6054577,Tim Wilson,"Adobe After Effects, 3D & Animation, Design",Adobe After Effects,All Levels,9 hours,4.9,88,345,"Rp149,000",4/2025,0,0,10,https://www.udemy.com/course/non-scary-adobe-afx-beginner-to-wow/
After Effects Motion Graphics | Motion Hero,4486772,Motion Guru,"Motion Graphics, Animation, Adobe After Effects, 3D & Animation, Design",Adobe After Effects,All Levels,13.5 hours,4.7,1051,4765,"Rp149,000",10/2025,0,0,56,https://www.udemy.com/course/motion_hero_course/
After Effects Motion Graphics Beast,3017328,Alan Ayoubi,"2D Animation, Adobe After Effects, Animation, Motion Graphics, 3D & Animation",Adobe After Effects,All Levels,9 hours,4.7,3071,55382,"Rp159,000",10/2023,1,0,39,https://www.udemy.com/course/after-effects-motion-graphics-beast/
Adobe After Effects Crash Course for Creatives,2868798,"Lindsay Marsh, Ryan Collins","Adobe After Effects, Motion Graphics, Video Creation, Video Editing, Design Tools",Adobe After Effects,Beginner,12.5 hours,4.5,941,8012,"Rp149,000",8/2025,1,0,10,https://www.udemy.com/course/adobe-after-effects-crash-course-for-creatives/
After Effects for Beginners – Learn by Doing,5632116,Emir Haj Salah,"Motion Graphics, VFX Visual Effects, Animation, 3D & Animation, Design",Adobe After Effects,Beginner,15.5 hours,4.5,112,623,"Rp159,000",3/2026,0,0,0,https://www.udemy.com/course/after-effects-for-beginners-learn-by-doing/
Learn Short Form Video Editing: Premiere Pro & After Effects,6588031,Vlad Sateev,"Video Editing, Video Design, Photography & Video",Adobe After Effects,All Levels,6 hours,4.5,129,2552,"Rp159,000",1/2026,0,0,60,https://www.udemy.com/course/short-form-video-editing-course/
Adobe After Effects CC Mastery Course (VFX + Motion Design),6396651,Ukpoewole Enupe,"Adobe After Effects, Motion Graphics, VFX Compositing, Video Production, 3D & Animation",Adobe After Effects,All Levels,41.5 hours,4.5,473,12731,"Rp159,000",1/2026,2,0,21,https://www.udemy.com/course/after-effects-mastery-course-master-vfx-motion-graphics/
Adobe After Effects CC - Motion Graphics Design & VFX,940714,Daniel Walter Scott,"Motion Graphics, Adobe After Effects, 3D & Animation, Design",Adobe After Effects,Beginner,5 hours,4.5,3551,18402,"Rp149,000",1/2025,1,0,1,https://www.udemy.com/course/become-a-motion-graphic-designer-using-after-effects/
Adobe Illustrator & After Effects 2 in 1 Course for Newbies,6435243,Ewole Enupe,"Adobe After Effects, Motion Graphics, Adobe Illustrator, Illustration, 3D & Animation",Adobe After Effects,Beginner,34.5 hours,4.7,75,6712,"Rp149,000",3/2025,1,0,24,https://www.udemy.com/course/illustrator-adobe-after-effects-cc/
