course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Adobe Illustrator CC - Essentials Training Course,1514258,"Video School, Phil Ebiner, Daniel Walter Scott","Adobe Illustrator, Graphic Design, Logo Design, Character Design, Graphic Design & Illustration",Adobe Illustrator,Beginner,12 hours,4.7,32650,134382,"Rp159,000",1/2025,1,0,1,https://www.udemy.com/course/adobe-illustrator-course/
Adobe Illustrator - Beginner to Pro Level With New AI 2025,3504684,Tim Wilson,"Adobe Illustrator, Other IT & Software, IT & Software",Adobe Illustrator,All Levels,13.5 hours,4.6,1265,5467,"Rp149,000",12/2024,1,0,4,https://www.udemy.com/course/adobe-illustrator-beginner-to-guru-2021/
Adobe Illustrator Mega Course - From Beginner to Advanced,3730630,Alan Ayoubi,"Adobe Illustrator, Vector Graphics, Graphic Design, Graphic Design & Illustration, Design",Adobe Illustrator,All Levels,18.5 hours,4.5,5023,47095,"Rp159,000",10/2023,3,0,14,https://www.udemy.com/course/adobe-illustrator-mega-course/
Adobe Illustrator CC – Advanced Training Course,1623798,Daniel Walter Scott,"Adobe Illustrator, Graphic Design & Illustration, Design",Adobe Illustrator,Intermediate,10 hours,4.6,10850,60805,"Rp149,000",1/2025,1,0,1,https://www.udemy.com/course/adobe-illustrator-cc-advanced-training/
Graphic Design Masterclass - Learn GREAT Design,1643044,Lindsay Marsh,"Graphic Design, Logo Design, Adobe Illustrator, Adobe Photoshop, Graphic Design & Illustration",Adobe Illustrator,Beginner,31.5 hours,4.6,72874,295262,"Rp169,000",11/2025,1,0,56,https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/
The Adobe Illustrator CC Mega Mastery Course,6836267,HiveFlux Creative Academy,"Adobe Illustrator, Illustration, Digital Art, Vector Graphics, Graphic Design & Illustration",Adobe Illustrator,All Levels,31 hours,4.7,93,3442,"Rp149,000",1/2026,2,0,19,https://www.udemy.com/course/the-adobe-illustrator-cc-mega-mastery-course/
Adobe Illustrator CC: Essential Illustrator CC Training,2354804,"Louay Zambarakji, KaiVersity.com - Lucas Roomé","Vector Graphics, Graphic Design, Illustration, Adobe Illustrator, Graphic Design & Illustration",Adobe Illustrator,Beginner,10 hours,4.7,1177,29716,"Rp149,000",11/2025,1,0,3,https://www.udemy.com/course/adobe-illustrator-cc-graphic-design-training/
The Ultimate Adobe Illustrator CC Advanced Course,6435227,Ewole Enupe,"Illustration, Adobe Illustrator, Graphic Design & Illustration, Design",Adobe Illustrator,Intermediate,21 hours,5.0,142,6660,"Rp149,000",4/2025,2,0,13,https://www.udemy.com/course/advanced-designs-in-adobe-illustrator-cc/
Complete Adobe Illustrator Megacourse: Beginner to Expert,5037174,Skillademia Academy,"Adobe Illustrator, Digital Art, Graphic Design, Logo Design, Graphic Design & Illustration",Adobe Illustrator,All Levels,29.5 hours,4.5,145,4239,"Rp149,000",8/2023,0,0,16,https://www.udemy.com/course/complete-adobe-illustrator-megacourse-beginner-to-expert/
Illustrator MasterClass,1197206,Martin Perhiniak,"Adobe Illustrator, Graphic Design & Illustration, Design",Adobe Illustrator,All Levels,14 hours,4.4,34113,154919,"Rp279,000",2/2024,2,0,8,https://www.udemy.com/course/illustrator-cc-masterclass/
