course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Adobe InDesign CC - Essentials Training Course,1316728,Daniel Walter Scott,"Adobe InDesign, Graphic Design & Illustration, Design",Adobe InDesign,Beginner,7.5 hours,4.8,19348,73604,"Rp149,000",1/2025,1,0,2,https://www.udemy.com/course/indesign-tutorial-basics-course/
Adobe InDesign CC - Advanced Training Course,1512990,Daniel Walter Scott,"Adobe InDesign, Graphic Design & Illustration, Design",Adobe InDesign,Intermediate,8.5 hours,4.8,4409,30068,"Rp159,000",1/2025,1,0,56,https://www.udemy.com/course/adobe-indesign-cc-advanced-training/
Adobe InDesign - From Basics to Professional Level Designs,5434952,Tim Wilson,"Adobe InDesign, Graphic Design & Illustration, Design",Adobe InDesign,Beginner,11.5 hours,4.7,281,1206,"Rp159,000",6/2024,0,0,23,https://www.udemy.com/course/adobe-indesign-cc-all-the-essentials-beyond/
Adobe Indesign for Nonfiction Book Layout - Complete Guide,3821628,Aaron Linsdau,"Adobe InDesign, Graphic Design & Illustration, Design",Adobe InDesign,Beginner,6.5 hours,4.7,271,1164,"Rp149,000",3/2023,0,0,22,https://www.udemy.com/course/adobe-indesign-for-nonfiction-book-layout-complete-guide/
Learn Adobe InDesign: Design a Magazine and More in InDesign,416542,"Chad Neuman, Ph.D.","Adobe InDesign, Graphic Design, Design Tools, Design",Adobe InDesign,Beginner,7.5 hours,4.7,1685,12211,"Rp149,000",1/2026,8,0,2,https://www.udemy.com/course/indesign-course/
Adobe InDesign Masterclass 2026 (Basic to Advance Course),6846927,Jitendra Pathak,"Graphic Design, Adobe InDesign, Print On Demand, Graphic Design & Illustration, Design",Adobe InDesign,All Levels,30 hours,4.3,25,105,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/adobe-indesign-masterclass-from-beginner-to-advanced/
Adobe InDesign CC: Beginners | Workshop | Essentials,3402892,Kate Silver,"Adobe InDesign, Graphic Design & Illustration, Design",Adobe InDesign,Beginner,3 hours,4.8,217,1315,"Rp149,000",2/2023,0,0,13,https://www.udemy.com/course/adobe-indesign-cc-beginners-workshop-essentials/
Adobe InDesign CC: Your Complete Guide to InDesign,1351634,"Phil Ebiner, Kurt Anderson, Video School","Adobe InDesign, Graphic Design, Digital Marketing, Online Business, Design Tools",Adobe InDesign,All Levels,6 hours,4.6,3795,249359,"Rp199,000",4/2024,1,0,2,https://www.udemy.com/course/adobe-indesign-course/
Graphic Design Masterclass - Learn GREAT Design,1643044,Lindsay Marsh,"Graphic Design, Logo Design, Adobe Illustrator, Adobe Photoshop, Graphic Design & Illustration",Adobe InDesign,Beginner,31.5 hours,4.6,72874,295284,"Rp169,000",11/2025,1,0,56,https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/
InDesign Fast-Track,6249119,Martin Perhiniak,"Adobe InDesign, Graphic Design & Illustration, Design",Adobe InDesign,Beginner,13 hours,4.7,41,362,"Rp149,000",4/2025,3,0,20,https://www.udemy.com/course/indesign-fast-track/
