course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Adobe Lightroom CC Photo Editing: Your Lightroom Masterclass,1699008,"Phil Ebiner, Video School","Adobe Lightroom, Photography, Image Editing, Adobe Photoshop, Photography Tools",Adobe Lightroom,All Levels,23.5 hours,4.7,7159,202687,"Rp339,000",1/2026,9,0,31,https://www.udemy.com/course/adobe-lightroom-classic-cc-photo-editing-course/
Adobe Lightroom Essentials Course,4976528,Daniel Walter Scott,"Adobe Lightroom, Image Editing, Design Tools, Design",Adobe Lightroom,All Levels,9.5 hours,4.6,1014,6381,"Rp149,000",1/2025,1,0,0,https://www.udemy.com/course/adobe-lightroom-essentials-course/
Adobe Lightroom Masterclass: From Beginner to Pro Photo Edit,6946497,Abdullah Butt,"Adobe Lightroom, Video Design, Photography & Video",Adobe Lightroom,Beginner,2.5 hours,4.7,31,79,"Rp149,000",11/2025,0,0,0,https://www.udemy.com/course/adobe-lightroom-masterclass-from-beginner-to-pro-photo-edit/
Master Adobe Lightroom Classic & Lightroom CC,557194,Chris Parker,"Image Editing, Adobe Lightroom, Photography Tools, Photography & Video",Adobe Lightroom,All Levels,22.5 hours,4.5,2785,21741,"Rp219,000",11/2025,23,0,26,https://www.udemy.com/course/master-adobe-lightroom-6-in-1-day/
Photography Masterclass: Your Complete Guide to Photography,1462428,"Phil Ebiner, William Carnahan, Video School, Sam Shimizu-Jones","Photography, Photography Composition, Digital Photography, Photography Lighting, Photography & Video",Adobe Lightroom,All Levels,108 hours,4.7,78077,405976,"Rp159,000",4/2026,76,0,51,https://www.udemy.com/course/photography-masterclass-complete-guide-to-photography/
Adobe Lightroom CC Photo Editing Class Beginner to Pro,5277088,Peter Romanov,"Adobe Lightroom, Photography, Photography Tools, Photography & Video",Adobe Lightroom,Beginner,6 hours,4.4,425,1284,"Rp149,000",12/2024,1,0,0,https://www.udemy.com/course/adobe-lightroom-2023-cc-photo-editing-class-beginner-to-pro/
Adobe Photoshop Masterclass with Photoshop + AI Updates,927356,"Phil Ebiner, Video School","Adobe Photoshop, Graphic Design, Image Editing, Generative AI (GenAI), Graphic Design & Illustration",Adobe Lightroom,All Levels,12.5 hours,4.6,22533,526750,"Rp159,000",2/2026,6,0,28,https://www.udemy.com/course/adobe-photoshop-course/
Complete Adobe Lightroom Megacourse: Beginner to Expert,4197802,Skillademia Academy,"Adobe Lightroom, Digital Photography, Photography & Video",Adobe Lightroom,All Levels,46.5 hours,3.8,314,57021,"Rp149,000",10/2022,0,0,19,https://www.udemy.com/course/complete-adobe-lightroom-megacourse-beginner-to-expert/
Adobe Lightroom Classic - Beginner Level,1981576,Villiers Steyn,"Adobe Lightroom, Photography Tools, Photography & Video",Adobe Lightroom,Beginner,3 hours,4.8,341,1952,"Rp149,000",11/2023,3,0,1,https://www.udemy.com/course/adobe-lightroom-classic-cc-beginner-level/
Adobe Lightroom Classic CC & CC: Photo Editing Masterclass,926234,"Phil Ebiner, Jon Haase, Video School","Adobe Lightroom, Image Editing, Photography, Photography Tools, Photography & Video",Adobe Lightroom,All Levels,10.5 hours,4.3,7407,63171,"Rp149,000",1/2026,8,0,91,https://www.udemy.com/course/adobe-lightroom/
Adobe Lightroom Classic Course: From Beginner To Pro,6535665,Mujahid ur Rehman,"Adobe Lightroom, Digital Photography, Photography & Video",Adobe Lightroom,All Levels,6.5 hours,4.5,19,114,"Rp149,000",8/2025,4,0,3,https://www.udemy.com/course/adobe-lightroom-classic-course-from-beginner-to-pro/
Adobe Lightroom CC: Landscape Photography Editing Course,2574282,"Phil Ebiner, Video School","Adobe Lightroom, Image Editing, Landscape Photography, Photography Tools, Photography & Video",Adobe Lightroom,Beginner,3.5 hours,4.5,340,62742,"Rp149,000",1/2026,4,0,12,https://www.udemy.com/course/lightroom-landscape-photo-editing-course/
THE Photography Masterclass: Complete Course on Photography,1938954,Chris Parker,"Photography, Photography & Video",Adobe Lightroom,Beginner,28 hours,4.7,2174,46975,"Rp149,000",11/2025,26,0,20,https://www.udemy.com/course/photography-learn-photography-from-pro-take-better-photos/
iPhone Photography Mastery: Unlock Your iPhone's Potential,5061294,"Sumner Hobart, Ali Hobart","iPhone Photography, Photography, iPhone Filmmaking, Mobile Photography, Digital Photography",Adobe Lightroom,All Levels,4 hours,4.6,731,8607,"Rp159,000",5/2023,0,0,3,https://www.udemy.com/course/iphone-photography-and-videography/
Adobe Lightroom for Beginners,1274208,Ken Schultz,"Adobe Lightroom, Image Editing, Digital Photography, Photography & Video",Adobe Lightroom,Beginner,4.5 hours,4.2,91,849,"Rp149,000",11/2017,0,0,0,https://www.udemy.com/course/lightroom-for-beginners/
Lightroom Classic for Complete Beginners,2454468,Kush Sharma,"Adobe Lightroom, Image Editing, Digital Photography, Photography & Video",Adobe Lightroom,Beginner,4.5 hours,4.4,32,183,"Rp149,000",2/2026,1,0,25,https://www.udemy.com/course/lightroom-for-beginners-a-lightroom-classic-cc-tutorial/
iPhone Editing: The Complete Lightroom Mobile Masterclass,5893348,Benjamin Dizdarevic,"Adobe Lightroom, Photography, Photography Tools, Photography & Video",Adobe Lightroom,Beginner,3.5 hours,4.7,65,2364,"Rp149,000",5/2024,0,0,0,https://www.udemy.com/course/lightroom-mobile-masterclass/
The Ultimate Lightroom Classic CC course taught by a pro,1433948,Matt Brodie,"Adobe Lightroom, Digital Photography, Photography & Video",Adobe Lightroom,All Levels,5.5 hours,4.7,68,364,"Rp149,000",1/2019,0,0,2,https://www.udemy.com/course/the-ultimate-lightroom-classic-cc-course-taught-by-a-pro/
Adobe Lightroom Masterclass - Beginner to Expert,1189136,YouAccel Training,"Adobe Lightroom, Photography Tools, Photography & Video",Adobe Lightroom,All Levels,8 hours,4.0,2360,313430,"Rp199,000",6/2017,0,0,1,https://www.udemy.com/course/adobe-lightroom-masterclass-beginner-to-expert/
Lightroom CC MasterClass,1761654,Martin Perhiniak,"Adobe Lightroom, Digital Photography, Photography & Video",Adobe Lightroom,Beginner,7.5 hours,4.5,367,2538,"Rp149,000",7/2018,0,0,1,https://www.udemy.com/course/lightroom-cc-masterclass/
Mastering Adobe Lightroom - A Guide to Photo Editing,5892450,Salman Ikram,"Adobe Lightroom, Image Editing, Photography, Photography Tools, Photography & Video",Adobe Lightroom,All Levels,1 hour,5.0,3,85,"Rp149,000",4/2024,0,0,0,https://www.udemy.com/course/mastering-adobe-lightroom-a-guide-to-photo-editing/
Mastering Lightroom Classic,1563708,David Harradine,"Adobe Lightroom, Digital Photography, Photography & Video",Adobe Lightroom,All Levels,8 hours,4.5,42,170,"Rp149,000",11/2019,0,0,0,https://www.udemy.com/course/introduction-to-lightroom/
Lightroom Classic Workflow and Organization Like a Pro,5792486,Kush Sharma,"Adobe Lightroom, Photography Tools, Photography & Video",Adobe Lightroom,Beginner,3 hours,4.5,41,490,"Rp149,000",2/2026,2,0,2,https://www.udemy.com/course/lightroom-classic-workflow-and-organization-like-a-pro/
Adobe Lightroom Classic: Zero to Sixty,6809749,Joe Klocek,"Photography Tools, Photography & Video",Adobe Lightroom,Beginner,8 hours,4.8,3,12,"Rp149,000",9/2025,0,0,0,https://www.udemy.com/course/adobe-lightroom-classic-zero-to-sixty/
Adobe Lightroom Mobile,2262532,Sean Dalton Dalton,"Photography, Photography & Video",Adobe Lightroom,Beginner,2.5 hours,4.5,138,695,"Rp149,000",3/2021,0,0,0,https://www.udemy.com/course/iphone-editing/
Advanced Lightroom & Photoshop CC for Wildlife Photography,1505050,Mark Dumbleton,"Adobe Lightroom, Adobe Photoshop, Nature Photography, Photography, Other Photography & Video",Adobe Lightroom,All Levels,3 hours,4.3,113,661,"Rp149,000",2/2018,0,0,3,https://www.udemy.com/course/advanced-lightroom-photoshop-wildlife-photography/
Adobe Lightroom Classic CC - Zero to Pro,2082002,Marcin Mikus,"Image Editing, Landscape Photography, Adobe Lightroom, Photography Tools, Photography & Video",Adobe Lightroom,All Levels,8 hours,4.4,298,27936,"Rp149,000",5/2020,1,0,0,https://www.udemy.com/course/adobe-lightroom-classic-cc/
Canon Camera Course: Getting Started with Canon Photography,2140516,"Phil Ebiner, Video School","Digital Camera Functionality, Digital Photography, Photography, Photography Tools, Photography & Video",Adobe Lightroom,Beginner,3.5 hours,4.8,2355,56832,"Rp149,000",1/2026,5,0,4,https://www.udemy.com/course/canon-dslr-photography-course/
Mastering Adobe Lightroom 5 - A Definitive Tutorial,88080,Infinite Skills,"Adobe Lightroom, Design Tools, Design",Adobe Lightroom,All Levels,10 hours,4.4,364,4834,"Rp149,000",1/2017,1,0,1,https://www.udemy.com/course/adobe-lightroom-5-tutorial/
Adobe Lightroom CC - Photo editing and organize like a Pro!,4780606,David Casuto,"Adobe Lightroom, Photography, Photography & Video",Adobe Lightroom,All Levels,2.5 hours,4.6,29,2208,"Rp149,000",2/2023,0,0,0,https://www.udemy.com/course/lightroom-cc-master-class-essentials/
Adobe Lightroom Classic CC: Master the Develop Module,4900658,YouAccel Training,"Adobe Lightroom, Photography Tools, Photography & Video",Adobe Lightroom,Beginner,3.5 hours,4.5,117,36212,"Rp149,000",10/2022,0,0,1,https://www.udemy.com/course/adobe-lightroom-classic-cc-master-the-develop-module/
Moody Style Photos With Adobe Lightroom Classic,5017268,Mario Guimarey,"Adobe Lightroom, Image Editing, Photography, Photography & Video",Adobe Lightroom,All Levels,1 hour,5.0,1,13,"Rp149,000",12/2022,0,0,0,https://www.udemy.com/course/moody-style-photos-with-adobe-lightroom-classic/
iPhone Photography | Take Professional Photos On Your iPhone,1392122,Dale McManus,"iPhone Photography, Travel Photography, Landscape Photography, Photography, Digital Photography",Adobe Lightroom,Beginner,1.5 hours,4.6,34016,116587,"Rp159,000",2/2023,0,0,1,https://www.udemy.com/course/iphonephotography/
Adobe Lightroom Masterclass: Complete Photo Editing 2025,5846076,Wayne Sables,"Adobe Lightroom, Photography Tools, Photography & Video",Adobe Lightroom,All Levels,1 hour,3.0,1,4,"Rp149,000",10/2025,0,0,0,https://www.udemy.com/course/mastering-lightroom-cc/
Adobe Lightroom CC: Landscape Photography Master Class,1359352,Fabian Rosshirt,"Adobe Lightroom, Landscape Photography, Photography, Other Photography & Video, Photography & Video",Adobe Lightroom,All Levels,3 hours,4.4,637,8348,N/A,11/2021,2,0,3,https://www.udemy.com/course/lightroom-cc-masterclass-landscape-photography-workflow/
AI for Photography: A Photographer's Guide to Using AI Tools,7061839,"Phil Ebiner, Video School","Photography, Artificial Intelligence (AI), Digital Photography, Generative AI (GenAI), Photography Tools",Adobe Lightroom,Beginner,3.5 hours,4.8,19,230,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/ai-for-photography/
Night Photography for Beginners: Shoot the Night Sky,3173744,Matthew Storer,"Night Photography, Nature Photography, Travel Photography, Digital Photography, Photography & Video",Adobe Lightroom,All Levels,4.5 hours,4.7,204,1963,"Rp149,000",2/2026,1,0,0,https://www.udemy.com/course/night-photography-masterclass-capture-stunning-night-photos/
Photoshop for Photographers - Beginner to Professional,1452370,Marcin Mikus,"Adobe Photoshop, Image Editing, Photography Tools, Photography & Video",Adobe Lightroom,All Levels,8 hours,4.0,573,50664,"Rp149,000",6/2019,1,0,0,https://www.udemy.com/course/photoshop-for-photographers-beginner-to-professional/
The Ultimate Adobe Lightroom CC Course: Complete Beginner,2031784,Jon Haase,"Adobe Lightroom, Photoshop Retouching, Photography, Digital Photography, Photography & Video",Adobe Lightroom,All Levels,15 hours,4.2,50,3377,"Rp149,000",8/2021,2,0,35,https://www.udemy.com/course/adobe-lightroom-cc-t/
Wedding Photography: Complete Guide to Wedding Photography,557386,"Phil Ebiner, William Carnahan, Video School, Sam Shimizu-Jones","Wedding Photography, Business Development, Posing, Wedding Planning, Commercial Photography",Adobe Lightroom,All Levels,14 hours,4.7,2316,78351,"Rp149,000",1/2026,13,0,18,https://www.udemy.com/course/wedding-photography-course/
Master Photo Sharpening in Adobe Lightroom,1044022,Robin Whalley,"Adobe Lightroom, Image Editing, Digital Photography, Photography & Video",Adobe Lightroom,Intermediate,1.5 hours,4.4,93,1315,"Rp149,000",12/2016,0,0,7,https://www.udemy.com/course/master-photo-sharpening-in-adobe-lightroom/
The Ultimate Guide to Freelance Photography,1674416,Charlie Borland,"Photography, Digital Photography, Photography & Video",Adobe Lightroom,All Levels,57 hours,4.6,267,2339,"Rp149,000",6/2024,29,0,33,https://www.udemy.com/course/the-ultimate-guide-to-freelance-photography/
Portrait Photography Masterclass: Headshot Photography Class,949832,"Jon Haase, Phil Ebiner, Video School","Portrait Photography, Photography, Digital Photography, Photography & Video",Adobe Lightroom,All Levels,4 hours,4.5,850,7617,"Rp149,000",1/2026,6,0,3,https://www.udemy.com/course/portrait-photography/
Photography Fundamentals for Beginners: 1-Hour Crash Course,1213796,"Phil Ebiner, Video School","Digital Photography, Photography, Photography Composition, Photography Lighting, Personal Growth & Wellness",Adobe Lightroom,Beginner,1.5 hours,4.6,9390,152232,"Rp159,000",4/2024,4,0,1,https://www.udemy.com/course/photography-for-beginners/
Lightroom Classic - Professional Knowledge Test,6219807,David Stefanucz,"Other IT & Software, IT & Software",Adobe Lightroom,Expert,N/A,5.0,1,2,"Rp149,000",10/2024,0,0,0,https://www.udemy.com/course/lightroom-classic-professional-knowledge-test/
"Adobe Lightroom CC Mobile Editing | iPhone, Android + Tablet",4434532,"Chris Parker, Phil Ebiner, Video School","Adobe Lightroom, Image Editing, Mobile Photography, Photography, Photography Tools",Adobe Lightroom,Beginner,3 hours,4.4,238,2222,"Rp149,000",1/2026,18,0,8,https://www.udemy.com/course/adobe-lightroom-cc-mobile-editing-iphone-android-tablet/
Portrait Photography: Share with Joy!,309908,Jon Haase,"Portrait Photography, Digital Photography, Posing, Photography, Photography & Video",Adobe Lightroom,All Levels,18 hours,4.4,1178,10626,"Rp149,000",11/2022,9,0,652,https://www.udemy.com/course/photography-posing/
DSLR Photography for Beginners: A Step-by-Step Video Course,1814202,Kush Sharma,"Photography, Digital Photography, Digital Camera Functionality, Photography & Video",Adobe Lightroom,Beginner,6.5 hours,4.5,237,1234,"Rp149,000",1/2026,2,0,1,https://www.udemy.com/course/dslr-photography-for-beginners-a-step-by-step-video-course/
Learn Photo Editing in Lightroom Mobile,4961546,Jacob Lamb,"Adobe Lightroom, Photography Tools, Photography & Video",Adobe Lightroom,Beginner,1 hour,5.0,2,13,"Rp149,000",12/2022,0,0,0,https://www.udemy.com/course/lightroomphone/
Adobe Lightroom - Landscape Photography ULTIMATE Guide,2985286,Matthew Storer,"Adobe Lightroom, Image Editing, Landscape Photography, Travel Photography, Digital Photography",Adobe Lightroom,All Levels,6 hours,4.4,52,379,"Rp149,000",7/2022,1,0,0,https://www.udemy.com/course/adobe-lightroom-landscape-photography-ultimate-guide/
Creative Photo Editing Mastery with Adobe Lightroom Classic,5247672,Masuk Sarker Batista,"Adobe Lightroom, Photography, Photoshop Retouching, Image Editing, Digital Photography",Adobe Lightroom,All Levels,2 hours,3.7,38,11990,"Rp149,000",1/2025,0,0,0,https://www.udemy.com/course/photo-editing-mastery-with-adobe-lightroom/
Adobe Lightroom - Smart Tips To Boost Your Adobe Skills,4683652,"Peter Alkema, Mike Lanesman","Adobe Lightroom, Photography Tools, Photography & Video",Adobe Lightroom,Beginner,3.5 hours,4.4,N/A,81,"Rp149,000",1/2026,1,0,10,https://www.udemy.com/course/adobe-lightroom-smart-tips/
Pet Photography Masterclass,1450400,Marcus Kaspar,"Photography, Other Photography & Video, Photography & Video",Adobe Lightroom,Beginner,2 hours,4.4,197,1026,Free,12/2017,0,0,3,https://www.udemy.com/course/pet-photography-masterclass/
Learn Lightroom on Your iPad,4858104,Jacob Lamb,"Adobe Lightroom, Photography Tools, Photography & Video",Adobe Lightroom,Beginner,1 hour,4.7,21,102,"Rp149,000",8/2022,0,0,2,https://www.udemy.com/course/lightroomonyouripad/
