course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Adobe Photoshop CC – Essentials Training Course,1747782,Daniel Walter Scott,"Adobe Photoshop, Graphic Design & Illustration, Design",Adobe Photoshop,Beginner,11.5 hours,4.8,36413,148768,"Rp169,000",1/2025,1,0,64,https://www.udemy.com/course/adobe-photoshop-cc-essentials-training-course/
Adobe Photoshop Masterclass with Photoshop + AI Updates,927356,"Phil Ebiner, Video School","Adobe Photoshop, Graphic Design, Image Editing, Generative AI (GenAI), Graphic Design & Illustration",Adobe Photoshop,All Levels,12.5 hours,4.6,22533,526751,"Rp159,000",2/2026,6,0,28,https://www.udemy.com/course/adobe-photoshop-course/
Adobe Photoshop Elements 2018 & 2019 Mastery Course,2093568,Simon Sez IT,"Adobe Photoshop, Photography Tools, Photography & Video",Adobe Photoshop,Beginner,30.5 hours,4.6,94,440,"Rp149,000",2/2021,4,0,4,https://www.udemy.com/course/adobe-photoshop-elements-2018-and-2019-mastery-course/
Adobe Photoshop Elements 13 & 14 Mastery Course,633414,Simon Sez IT,"Adobe Photoshop, Photography Tools, Photography & Video",Adobe Photoshop,Beginner,31 hours,4.2,61,2714,"Rp169,000",2/2021,2,0,2,https://www.udemy.com/course/adobe-photoshop-elements-13-and-14-training/
Master Adobe Photoshop Elements 12 the Easy Way - 14 Hours,118286,Simon Sez IT,"Adobe Photoshop, Design Tools, Design",Adobe Photoshop,Beginner,14.5 hours,4.5,65,2616,"Rp149,000",9/2021,1,0,0,https://www.udemy.com/course/learn-adobe-photoshop-elements-12-training/
Adobe Photoshop CC For Beginners: Main Features Of Photoshop,968854,Life Progression Project,"Adobe Photoshop, Design Tools, Design",Adobe Photoshop,Beginner,1.5 hours,4.3,1849,47125,"Rp149,000",4/2020,1,0,4,https://www.udemy.com/course/adobephotoshop/
Adobe Photoshop CC – Advanced Training Course,1835828,Daniel Walter Scott,"Adobe Photoshop, Graphic Design & Illustration, Design",Adobe Photoshop,Intermediate,15.5 hours,4.7,10954,70048,"Rp329,000",1/2025,1,0,60,https://www.udemy.com/course/adobe-photoshop-cc-advanced-training-course-tutorial/
Adobe Photoshop CC Beginner to Advanced Course Bundle,5799524,Simon Sez IT,"Adobe Photoshop, Image Editing, Adobe Creative Cloud, Photoshop Retouching, Photography Tools",Adobe Photoshop,All Levels,13.5 hours,4.6,11,39,"Rp149,000",8/2024,6,0,5,https://www.udemy.com/course/adobe-photoshop-cc-beginner-advanced-bundle/
Adobe Photoshop CC Beginner to Intermediate Course,5541670,Simon Sez IT,"Adobe Photoshop, Image Editing, Adobe Creative Cloud, Photoshop Retouching, Photography Tools",Adobe Photoshop,All Levels,9 hours,4.7,28,90,"Rp149,000",8/2024,4,0,4,https://www.udemy.com/course/adobe-photoshop-cc-beginner-to-intermediate/
"Adobe: Photoshop, Illustrator, Premiere Pro, Animator + XD",4683656,"Peter Alkema, Mike Lanesman","Adobe Illustrator, Design Tools, Design",Adobe Photoshop,Beginner,18 hours,4.5,68,584,"Rp149,000",1/2026,2,0,221,https://www.udemy.com/course/adobe-illustrator-smart-tips/
Adobe Photoshop Masterclass - Get Started With Adobe PS,4725754,"Peter Alkema, Mike Lanesman","Adobe Photoshop, Design Tools, Design",Adobe Photoshop,Beginner,7.5 hours,4.9,13,232,"Rp149,000",1/2026,1,0,44,https://www.udemy.com/course/adobe-photoshop-masterclass/
