course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Adobe Premiere Pro Masterclass: Video Editing in Premiere,926512,"Phil Ebiner, Video School","Adobe Premiere Pro, Video Production, Video Marketing, Video Editing, Video Design",Adobe Premiere Pro,All Levels,27 hours,4.7,46064,517084,"Rp169,000",12/2025,7,0,6,https://www.udemy.com/course/adobe-premiere-pro-video-editing/
Adobe Premiere Pro CC – Essentials Training Course,3074134,Daniel Walter Scott,"Adobe Premiere Pro, Video Editing, Design Tools, Design",Adobe Premiere Pro,Beginner,16 hours,4.8,11435,47299,"Rp159,000",1/2025,1,0,0,https://www.udemy.com/course/adobe-premiere-pro-cc-essentials-training-course/
Premiere Pro for Beginners – Learn by Doing,5992458,Emir Haj Salah,"Adobe Premiere Pro, Video Creation, Video Editing, Color Grading, Video Design",Adobe Premiere Pro,Beginner,19 hours,4.8,155,596,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/premiere-pro-for-beginners-learn-by-doing/
Complete Adobe Premiere Pro Megacourse: Beginner to Expert,4598640,Skillademia Academy,"Adobe Premiere Pro, Color Grading, Motion Graphics, Video Editing, Video Design",Adobe Premiere Pro,All Levels,50.5 hours,4.5,720,20101,"Rp159,000",3/2026,0,0,57,https://www.udemy.com/course/complete-adobe-premiere-pro-megacourse-beginner-to-expert/
Adobe Premiere Pro CC – Advanced Training Course,4210550,Daniel Walter Scott,"Adobe Premiere Pro, Video Editing, Design Tools, Design",Adobe Premiere Pro,Intermediate,16.5 hours,4.6,1865,14939,"Rp149,000",1/2025,1,0,83,https://www.udemy.com/course/adobe-premiere-pro-cc-advanced-training-course/
The Complete Adobe Premiere Pro Video Editing Bootcamp,962108,"Louay Zambarakji, KaiVersity.com - Lucas Roomé","Video Editing, Video Production, Color Grading, Adobe Premiere Pro, Design Tools",Adobe Premiere Pro,All Levels,9.5 hours,4.6,7258,79870,"Rp149,000",11/2025,11,0,14,https://www.udemy.com/course/adobe-premiere-pro-cc-training-course/
Adobe Premiere Pro Video Editing Course Beginner to Pro,4142112,Peter Romanov,"Adobe Premiere Pro, Video Design, Photography & Video",Adobe Premiere Pro,All Levels,9 hours,4.7,684,2295,Free,12/2024,12,0,12,https://www.udemy.com/course/premierepro2021/
Premiere Pro Masterclass: The Ultimate Guide for Beginners,3352870,Ozgur Gorgun,"Adobe Premiere Pro, Audio Editing, Filmmaking, Video Editing, Video Design",Adobe Premiere Pro,All Levels,9.5 hours,4.8,119,505,"Rp149,000",8/2020,1,0,8,https://www.udemy.com/course/premiere-pro-masterclass-training-course/
Adobe Premiere Pro for Complete Beginners,4733356,"AI Video School, YouTube Academy : Support","Adobe Premiere Pro, Video Editing, Video Design, Photography & Video",Adobe Premiere Pro,Beginner,2.5 hours,4.6,1022,21751,"Rp149,000",2/2026,0,0,3,https://www.udemy.com/course/how-to-edit-video-fast-adobe-premier-pro-step-by-step/
Learn Video Editing: Adobe Premiere Pro 2025 for Beginners,6742391,Jordy Vandeput,"Adobe Premiere Pro, Video Editing, Video Design, Photography & Video",Adobe Premiere Pro,Beginner,4 hours,4.6,26,79,"Rp149,000",8/2025,0,0,0,https://www.udemy.com/course/adobe-premiere-pro-beginners-professional-video-editing/
Learn Short Form Video Editing: Premiere Pro & After Effects,6588031,Vlad Sateev,"Video Editing, Video Design, Photography & Video",Adobe Premiere Pro,All Levels,6 hours,4.5,130,2554,"Rp159,000",1/2026,0,0,60,https://www.udemy.com/course/short-form-video-editing-course/
Advanced Video Editing In Adobe Premiere Pro,3960546,Jordy Vandeput,"Video Editing, Video Creation, Video Design, Photography & Video",Adobe Premiere Pro,Intermediate,3.5 hours,4.7,223,794,"Rp149,000",7/2025,0,0,9,https://www.udemy.com/course/advanced-editing-premiere-2020/
Adobe Premiere Pro 2026 : AI Tools & Video Editing,7092891,Sant Kumar,"Video Design, Photography & Video",Adobe Premiere Pro,All Levels,5.5 hours,4.0,1,3,"Rp149,000",3/2026,0,0,1,https://www.udemy.com/course/adobe-premiere-pro-full-course-ai-tools-video-editing/
Adobe Premiere Pro Video Editing Course from a YouTuber,7048169,Daniil Orain,"Video Editing, Other Photography & Video, Photography & Video",Adobe Premiere Pro,Beginner,4.5 hours,5.0,4,6,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/adobe-premiere-pro-video-editing-course-from-a-youtuber/
Adobe Premiere Pro for Content Creators and YouTubers,7052725,Muhammad Riaz Uddin,"Adobe Premiere Pro, Graphic Design & Illustration, Design",Adobe Premiere Pro,All Levels,2 hours,3.5,5,1663,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/adobe-premiere-pro-for-content-creators-and-youtubers/
DaVinci Resolve Mastery: The Complete Video Editing Bootcamp,1390206,"Louay Zambarakji, KaiVersity.com - Lucas Roomé","DaVinci Resolve, Color Grading, VFX Compositing, Video Editing, Video Design",Adobe Premiere Pro,All Levels,16 hours,4.7,14287,80924,"Rp169,000",3/2026,3,0,4,https://www.udemy.com/course/davinci-resolve-training-course/
Complete Adobe Premiere Pro CC Course - Beginner to Advanced,3269512,"Joe Parys, Jack Cole, Joe Parys Support","Adobe Premiere Pro, Video Editing, Video Design, Photography & Video",Adobe Premiere Pro,All Levels,9.5 hours,4.6,509,23845,"Rp149,000",8/2025,1,0,68,https://www.udemy.com/course/adobepremiereprocccourse/
"Video Production Bootcamp: Videography, Cinematography+",1027180,"Phil Ebiner, William Carnahan, Sam Shimizu-Jones, Video School","Video Production, Videography, Video Marketing, Cinematography, Video Design",Adobe Premiere Pro,Beginner,10 hours,4.4,11641,187916,"Rp159,000",4/2024,2,0,14,https://www.udemy.com/course/video-production-bootcamp/
Adobe Premiere Pro CC 2024: Beginner Video Editing,1920686,Brad Newton,"Video Editing, Adobe Premiere Pro, Video Design, Photography & Video",Adobe Premiere Pro,Beginner,15.5 hours,4.5,4126,214565,"Rp159,000",12/2023,27,0,0,https://www.udemy.com/course/premiere-pro-with-brad-newton/
Adobe Premiere Pro 2025: Guide to Professional Video Editing,5723162,Programming Hub: 40 million+ global students,"Adobe Premiere Pro, Video Design, Photography & Video",Adobe Premiere Pro,Beginner,7 hours,4.5,163,13914,"Rp149,000",12/2024,0,0,0,https://www.udemy.com/course/adobe-premiere-pro-2024-guide-to-professional-video-editing/
Video Editing complete course | Adobe Premiere Pro CC 2021,3317102,Mariano Gobbi,"Video Editing, Video Creation, Color Grading, Adobe Premiere Pro, Other IT & Software",Adobe Premiere Pro,All Levels,14.5 hours,4.8,524,1899,"Rp279,000",6/2023,0,0,12,https://www.udemy.com/course/adobe_premiere_pro_2020_video_editing/
Adobe Premiere Pro CC Mega Course,4294986,Alan Ayoubi,"Adobe Premiere Pro, Video Editing, Video Design, Photography & Video",Adobe Premiere Pro,All Levels,9 hours,4.6,338,14523,"Rp149,000",3/2024,3,0,0,https://www.udemy.com/course/adobe-premiere-pro-cc-mega-course/
Premiere Plus: 30 days challenge to learn Adobe Premiere Pro,5466860,Joseph adam,"Adobe Premiere Pro, Video Design, Photography & Video",Adobe Premiere Pro,Beginner,6.5 hours,4.5,44,2129,"Rp149,000",8/2023,0,0,76,https://www.udemy.com/course/premiere-plus-30-days-challenge-to-learn-adobe-premiere-pro/
