course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Be Amazing in Affinity by Canva: Beginner to Intermediate,6913905,Tim Wilson,"Graphic Design & Illustration, Design",Affinity Designer,All Levels,19 hours,4.7,246,1535,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/affinity-vector-pixel-layout-complete/
Affinity Designer: The Complete Guide to Affinity Designer,1407170,"Jeremy Hazel, Video School","Affinity Designer, Graphic Design, Design Tools, Design",Affinity Designer,All Levels,23.5 hours,4.5,5240,49392,"Rp159,000",4/2024,22,0,32,https://www.udemy.com/course/affinity-designer-the-complete-guide-to-affinity-designer/
Affinity Designer Desktop V2 - From Beginner to Pro Level,5281376,Tim Wilson,"Affinity Designer, Graphic Design & Illustration, Design",Affinity Designer,All Levels,11.5 hours,4.7,421,2079,"Rp159,000",8/2023,0,0,2,https://www.udemy.com/course/affinity-designer-desktop-v2/
Affinity Designer for Beginners | Updated for Version 2,5009896,Affinity Revolution,"Affinity Designer, Graphic Design & Illustration, Design",Affinity Designer,Beginner,4.5 hours,4.8,468,1868,"Rp149,000",12/2022,1,0,1,https://www.udemy.com/course/affinity-designer-for-beginners-version-2/
Ultimate Affinity Designer V2 on the iPad - Zero to Hero,5831952,Tim Wilson,"Affinity Designer, Graphic Design & Illustration, Design",Affinity Designer,Beginner,8 hours,4.8,184,859,"Rp149,000",3/2024,2,0,0,https://www.udemy.com/course/ultimate-affinity-designerv2-ipad-zerotohero/
Affinity Designer: Solid Foundations,2800882,Simon Foster,"Affinity Designer, Graphic Design & Illustration, Design",Affinity Designer,Beginner,19 hours,4.8,1892,9068,"Rp149,000",12/2023,0,0,74,https://www.udemy.com/course/affinity-designer-solid-foundations/
Affinity Designer: Beyond the Basics!,5137528,Affinity Revolution,"Affinity Designer, Graphic Design & Illustration, Design",Affinity Designer,Intermediate,6 hours,4.7,148,986,"Rp149,000",2/2023,1,0,1,https://www.udemy.com/course/affinity-designer-beyond-the-basics/
Ultimate Affinity Designer 2 on iPad The Complete Course,5395440,Jhon Silva,"Affinity Designer, Illustration, Vector Graphics, Graphic Design & Illustration, Design",Affinity Designer,All Levels,5.5 hours,4.6,149,818,"Rp159,000",6/2023,0,0,1,https://www.udemy.com/course/affinitydesigner2ipad/
"Learn the Entire Affinity Suite: Photo, Designer & Publisher",2613184,"Jeremy Hazel, Lindsay Marsh","Affinity Publisher, Affinity Designer, Affinity Photo, Design Tools, Design",Affinity Designer,Beginner,13 hours,4.3,2191,14581,"Rp199,000",9/2022,8,0,13,https://www.udemy.com/course/learn-the-entire-affinity-suite-photo-designer-publisher/
Isometric Drawing in Affinity Designer,6036492,Affinity Revolution,"Affinity Designer, Graphic Design & Illustration, Design",Affinity Designer,All Levels,5.5 hours,4.8,54,264,"Rp149,000",6/2024,1,0,1,https://www.udemy.com/course/isometric-drawing-in-affinity-designer/
Guide to Make Vector Art in Affinity Designer,6418575,Mark Krukowski,"Affinity Designer, Digital Art, Graphic Design & Illustration, Design",Affinity Designer,Beginner,3 hours,5.0,1,18,"Rp149,000",3/2025,2,0,0,https://www.udemy.com/course/vector-art-in-affinity-designer/
