course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Ultimate AWS Certified Solutions Architect Associate 2026,2196488,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",Amazon AWS,All Levels,27 hours,4.7,286595,1257570,"Rp169,000",4/2026,11,0,1,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/
[NEW] Ultimate AWS Certified Cloud Practitioner CLF-C02 2026,3142166,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","Amazon AWS, Cloud Computing, AWS Certified Cloud Practitioner, IT Certifications, IT & Software",Amazon AWS,Beginner,14.5 hours,4.7,285491,1303522,"Rp169,000",4/2026,5,0,0,https://www.udemy.com/course/aws-certified-cloud-practitioner-new/
AWS From Zero to Hero - The Complete Guide,6546289,Memi Lavi,"Amazon AWS, Other IT & Software, IT & Software",Amazon AWS,Beginner,21.5 hours,4.6,403,3489,"Rp149,000",3/2026,5,0,50,https://www.udemy.com/course/aws-from-zero-to-hero-the-complete-guide/
Practice Exams | AWS Certified Solutions Architect Associate,2597160,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh","AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",Amazon AWS,N/A,N/A,4.6,21524,265939,"Rp169,000",2/2026,0,0,0,https://www.udemy.com/course/practice-exams-aws-certified-solutions-architect-associate/
Introduction to AWS - Understand AWS basics in 4 hours!,3472502,Rick Crisci,"Amazon AWS, Cloud Computing, Other IT & Software, IT & Software",Amazon AWS,Beginner,5.5 hours,4.6,20107,76673,"Rp149,000",11/2025,1,0,35,https://www.udemy.com/course/awsintro/
Ultimate AWS Certified Developer Associate 2026 DVA-C02,1921420,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified Developer - Associate, Amazon AWS, IT Certifications, IT & Software",Amazon AWS,All Levels,32 hours,4.7,121547,665004,"Rp169,000",4/2026,8,0,0,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/
Introduction to Cloud Computing on AWS for Beginners [2026],3329962,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate","Cloud Computing, Amazon AWS, Other IT & Software, IT & Software",Amazon AWS,Beginner,10 hours,4.6,38664,226922,"Rp159,000",4/2026,2,0,0,https://www.udemy.com/course/introduction-to-cloud-computing-on-amazon-aws-for-beginners/
[NEW!] AWS Certified Solutions Architect Associate (SAA-C03),6899699,Chetan Agrawal | Ex. Senior Solutions Architect at AWS,"AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",Amazon AWS,Intermediate,35 hours,4.8,236,2976,"Rp149,000",4/2026,0,0,16,https://www.udemy.com/course/new-aws-certified-solutions-architect-associate-saa-c03/
AWS For Everyone,6040616,Ashish Prajapati,"AWS Certified Solutions Architect - Associate, IT Certifications, IT & Software",Amazon AWS,Intermediate,39 hours,4.6,159,964,"Rp149,000",8/2024,0,0,25,https://www.udemy.com/course/aws_is_for_everyone/
[NEW] Ultimate AWS Certified AI Practitioner AIF-C01,6082775,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified AI Practitioner, IT Certifications, IT & Software",Amazon AWS,Beginner,10 hours,4.7,42439,212369,"Rp169,000",4/2026,4,0,0,https://www.udemy.com/course/aws-ai-practitioner-certified/
