course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Angular - The Complete Guide,756150,Maximilian Schwarzmüller,"Angular, Web Development, Development",Angular,All Levels,55.5 hours,4.7,222914,856430,"Rp169,000",1/2026,61,0,143,https://www.udemy.com/course/the-complete-guide-to-angular-2/
Complete Angular Course 2025 - Master Angular in only 6 days,4844324,"Denis Panjuta, Jannick Leismann","Angular, Web Development, Development",Angular,All Levels,9.5 hours,4.5,8130,40444,"Rp149,000",10/2025,12,0,6,https://www.udemy.com/course/complete-angular-14-course-learn-frontend-development/
Complete Angular 21 - Ultimate Guide - with Real World App,1633166,Web Academy by Harsha Vardhan,"Angular, AngularJS, Typescript, Angular Material, Web Development",Angular,All Levels,53 hours,4.7,4269,24203,"Rp149,000",4/2026,25,0,173,https://www.udemy.com/course/complete-angular-indepth-easy/
Angular Deep Dive - Beginner to Advanced (Angular 21),1885262,Angular University,"Angular, Web Development, Development",Angular,All Levels,12 hours,4.5,12361,61652,"Rp149,000",4/2026,3,0,1,https://www.udemy.com/course/angular-course/
Build an app with ASPNET Core and Angular from scratch,1455016,Neil Cummings,"ASP.NET, Entity Framework, Angular, Web Development, Development",Angular,Beginner,32 hours,4.6,25454,119752,"Rp159,000",2/2026,1,0,2,https://www.udemy.com/course/build-an-app-with-aspnet-core-and-angular-from-scratch/
Angular 19 - Beginner to Expert + Interview Q&A + E-commerce,5835266,"Init Tech Labs Dhairya Joshi, Nirmal Joshi","Angular, IT Certifications, IT & Software",Angular,All Levels,24.5 hours,4.6,830,5502,"Rp149,000",7/2025,0,0,243,https://www.udemy.com/course/mastering-angular-new-interview-questions/
Modern Angular 21 with Signals - The missing guide,6121563,Kobi Hari,"Angular, Web Development, Development",Angular,All Levels,12 hours,4.8,769,4331,"Rp149,000",3/2026,11,0,8,https://www.udemy.com/course/modern-angular-with-signals-the-missing-guide/
ANGULAR 20 and ASP.NET Core Web API - Real World Application,4253526,Sameer Saini,"ASP.NET Core, ASP.NET, Entity Framework, Angular, Web Development",Angular,All Levels,31.5 hours,4.6,3461,18751,"Rp159,000",11/2025,4,0,5,https://www.udemy.com/course/real-world-app-angular-aspnet-core-web-api-and-sql/
Angular 21 Full Course - Complete Zero to Hero Angular 2026,6115337,Hashmath Rz,"Angular, Web Development, Development",Angular,All Levels,18 hours,4.5,548,2665,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/angular-18-full-course-complete-zero-to-hero-angular-18/
Angular Crash Course for Busy Developers,719002,Mosh Hamedani,"Angular, Typescript, Web Development, Development",Angular,All Levels,10.5 hours,4.7,19132,84166,"Rp149,000",4/2018,5,0,4,https://www.udemy.com/course/angular-crash-course/
"Angular (Full App) with Angular Material, Angularfire & NgRx",1512962,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","Angular Material, Web Development, Development",Angular,All Levels,11 hours,4.8,8650,47626,"Rp159,000",6/2024,20,0,91,https://www.udemy.com/course/angular-full-app-with-angular-material-angularfire-ngrx/
The Modern Angular Bootcamp,2685124,Stephen Grider,"Angular, Typescript, RxJs, Web Development, Development",Angular,All Levels,45 hours,4.5,4729,29040,"Rp149,000",2/2026,14,0,310,https://www.udemy.com/course/the-modern-angular-bootcamp/
Design Patterns in Angular - Practical Guide,6935543,Pawan Kumawat,"Angular, Coding Interview, System Design Interview, Design Patterns (software), Web Development",Angular,All Levels,1.5 hours,5.0,6,44,"Rp149,000",4/2026,6,0,3,https://www.udemy.com/course/design-patterns-in-angular-practical-guide/
Building Reusable Components in Angular – The Missing Guide,6561917,Kobi Hari,"Web Development, Development",Angular,All Levels,14 hours,4.9,12,119,"Rp149,000",3/2026,1,0,6,https://www.udemy.com/course/building-reusable-components-in-angular-the-missing-guide/
Modern Angular Forms: A Better Way with Signals,7085039,Brian Treese,"Angular, Web Development, Development",Angular,All Levels,1 hour,4.7,9,41,"Rp149,000",3/2026,0,0,12,https://www.udemy.com/course/angular-signal-forms/
Angular + Sockets: Aplicaciones en tiempo real con Bun,7025719,"Fernando Herrera, {d/t} - DevTalles","WebSocket, Angular, Bun JS, Typescript, Web Development",Angular,Intermediate,14.5 hours,5.0,3,79,"Rp149,000",2/2026,21,0,6,https://www.udemy.com/course/angular-bun-sockets/
JavaScript Full Stack Bootcamp Node JS React JS and Angular,7086137,"James Joab Soren, Hudson Dynamic Lab","JavaScript, Programming Languages, Development",Angular,All Levels,7.5 hours,5.0,1,120,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/javascript-full-stack-bootcamp-node-js-react-js-and-angular/
CRM Fullstack Angular + Laravel | Proyecto Profesional,7105341,Adrian Lisciotti,"Web Development, Angular, Laravel, REST API, Development",Angular,Intermediate,51.5 hours,4.7,N/A,5,"Rp149,000",N/A,3,0,83,https://www.udemy.com/course/crm-fullstack-angular-laravel-proyecto-profesional/
Angular İle Scada Eğitimi,7127961,Hakan Kaya,"Angular, Web Development, Development",Angular,All Levels,39.5 hours,4.7,N/A,N/A,"Rp149,000",N/A,0,0,0,https://www.udemy.com/course/angular-ile-scada-egitimi/
Proyecto Fullstack: Plataforma Web con Admin y Pagos,7110239,Adrian Lisciotti,"Web Development, Angular, Laravel, REST API, Development",Angular,Intermediate,32 hours,4.7,N/A,4,"Rp149,000",4/2026,5,0,39,https://www.udemy.com/course/proyecto-fullstack-plataforma-web-con-admin-y-pagos/
Angular Signals In Depth (Angular 21),5908490,Angular University,"Angular, Web Development, Development",Angular,All Levels,7 hours,4.6,1473,6958,"Rp159,000",4/2026,2,0,0,https://www.udemy.com/course/angular-signals/
Full Stack: Angular and Java Spring Boot E-Commerce Website,1856950,"Chad Darby, Harinath Kuntamukkala","Spring Framework, Full Stack Web Development, Angular, Programming Languages, Development",Angular,Intermediate,26 hours,4.5,11557,118209,"Rp149,000",1/2026,12,0,214,https://www.udemy.com/course/full-stack-angular-spring-boot-tutorial/
Go Java Full Stack with Spring Boot and Angular,2023728,in28Minutes Official,"Angular, Spring Boot, RESTful Web Services, Web Development, Development",Angular,All Levels,14 hours,4.6,11375,90909,"Rp149,000",1/2026,33,0,0,https://www.udemy.com/course/full-stack-application-development-with-spring-boot-and-angular/
30 Days of Angular: Build 30 Projects with Angular,6400299,Andrew Tyranowski,"Angular, Web Development, Front End Web Development, Development",Angular,All Levels,27 hours,4.3,269,27750,"Rp149,000",9/2025,29,0,7,https://www.udemy.com/course/30-days-of-angular/
Learn to build an e-commerce app with .Net Core and Angular,2813723,Neil Cummings,".NET, E-Commerce, Angular, Business",Angular,Intermediate,31 hours,4.6,4872,28066,"Rp159,000",1/2026,1,0,1,https://www.udemy.com/course/learn-to-build-an-e-commerce-app-with-net-core-and-angular/
Angular & JavaScript Interview: Top 400 Questions (2026),5594432,Happy Rawat,"Angular, JavaScript, Coding Interview, Other IT & Software, IT & Software",Angular,All Levels,15 hours,4.7,250,1430,"Rp149,000",12/2025,0,0,8,https://www.udemy.com/course/angular-javascript-interview-top-400-questions-2023/
Full Stack Spring Boot API with Angular (ADVANCED),6765755,Get Arrays,"Spring Boot, Angular, REST API, Other IT & Software, IT & Software",Angular,All Levels,35.5 hours,4.6,29,247,"Rp159,000",12/2025,1,0,1,https://www.udemy.com/course/full-stack-spring-boot-api-with-angular-advanced/
Theming Angular 19-21 and Material MD3 - The missing guide,6390735,Kobi Hari,"Angular, Web Development, Development",Angular,All Levels,12 hours,4.8,137,852,"Rp159,000",3/2026,1,0,18,https://www.udemy.com/course/theming-angular-and-material-md3-the-missing-guide/
NgRx Signal store 19-20 for Angular - The missing guide,6178195,Kobi Hari,"Angular, Web Development, Development",Angular,All Levels,11.5 hours,4.8,374,2469,"Rp159,000",3/2026,1,0,21,https://www.udemy.com/course/ngrx-signal-store-the-missing-guide/
Learn C# Full Stack Development with Angular and ASP.NET,5344102,"Denis Panjuta, Tutorials.eu by Denis Panjuta, Jannick Leismann","Angular, Web Development, ASP.NET, Development",Angular,Intermediate,20 hours,4.5,1227,7241,"Rp149,000",7/2025,43,0,32,https://www.udemy.com/course/master-fullstack-web-development-with-angular-and-csharp-aspnet/
Angular Front End Development Legacy V2-V18 (module/zone.js),5235680,Dominic Tripodi,"Angular, Web Development, Development",Angular,All Levels,34 hours,4.6,229,2086,"Rp149,000",2/2026,14,9,4,https://www.udemy.com/course/angular-front-end-beginner-to-master/
"Reactive Angular Course (with RxJs, Angular 20)",1123098,Angular University,"RxJs, Angular, Web Development, Development",Angular,All Levels,5.5 hours,4.5,6530,31700,"Rp149,000",4/2026,2,0,0,https://www.udemy.com/course/rxjs-reactive-angular-course/
The Complete Angular Course: Beginner to Advanced,1247828,Mosh Hamedani,"Angular, Angular Material, Firebase, Typescript, Web Development",Angular,All Levels,29.5 hours,4.3,28092,119677,"Rp149,000",4/2018,10,0,38,https://www.udemy.com/course/the-complete-angular-master-class/
Complete Angular 18 Course with Project in Telugu,6132073,Satish Konduru,"Angular, Bootstrap, Angular Material, Other IT & Software, IT & Software",Angular,All Levels,38 hours,4.7,52,165,"Rp149,000",10/2024,0,0,1,https://www.udemy.com/course/angular-in-telugu/
Angular Interview Questions - Coding Interview 2026,5225396,Oleksandr Kocherhin,"Coding Interview, Angular, Typescript, RxJs, Career Development",Angular,All Levels,6 hours,4.4,759,6682,"Rp149,000",2/2026,3,0,54,https://www.udemy.com/course/angular-interview-questions-coding-interview/
Angular Interview Masterclass: Top 100 Questions (PDF)(2026),4913764,Happy Rawat,"Angular Material, Angular, Web Development, Development",Angular,All Levels,5.5 hours,4.6,341,1432,"Rp159,000",12/2025,0,0,2,https://www.udemy.com/course/angular-interview-masterclass-top-100-questions-with-pdf/
Angular Forms In Depth (Angular 21),1288304,Angular University,"Angular, Web Development, Development",Angular,All Levels,7 hours,4.6,2545,13972,"Rp149,000",4/2026,2,0,0,https://www.udemy.com/course/angular-forms-course/
Mastering Angular: From Basics to Advanced Development,6356839,Selfcode Academy,"AngularJS, Angular, Web Development, Development",Angular,All Levels,29.5 hours,4.6,77,277,"Rp149,000",1/2025,0,0,1,https://www.udemy.com/course/mastering-angular-from-basics-to-advanced-development/
Angular Real World Guide - Build Angular & Firebase Apps,6019872,Sameer Saini,"Angular, Firebase, Front End Web Development, Full Stack Web Development, Web Development",Angular,All Levels,10.5 hours,4.6,104,545,"Rp149,000",10/2025,0,0,3,https://www.udemy.com/course/angular-and-google-firebase-frontend-development/
Angular Step by Step for beginners,1863582,Shivprasad Koirala,"Angular, AngularJS, Programming Languages, Development",Angular,Beginner,8 hours,4.5,4205,28654,"Rp149,000",12/2023,0,0,12,https://www.udemy.com/course/angular-tutorial/
GraphQL with Angular for beginners,6571731,Discover Programming,"GraphQL, Angular, Web Development, Development",Angular,All Levels,3.5 hours,4.9,31,131,"Rp159,000",1/2026,3,0,43,https://www.udemy.com/course/graphql-with-angular-for-beginners/
Spring Boot REST & Angular + Full Stack Application!,2722246,Karthikeya T,"Spring Boot, REST API, RESTful Web Services, IT Certifications, IT & Software",Angular,All Levels,10 hours,4.6,737,6177,"Rp149,000",4/2025,18,0,10,https://www.udemy.com/course/spring-boot-rest-angular-full-stack-application/
Angular and NgRx - Building Real Project From Scratch,3108376,Oleksandr Kocherhin,"Angular, Redux Framework, Typescript, Web Development, Development",Angular,All Levels,7 hours,4.6,678,5819,"Rp149,000",2/2026,5,0,49,https://www.udemy.com/course/angular-and-ngrx-building-real-project-from-scratch/
Angular & NodeJS - The MEAN Stack Guide,833442,Maximilian Schwarzmüller,"Angular, Node.Js, MEAN Stack, Web Development, Development",Angular,All Levels,12.5 hours,4.6,25526,132458,"Rp289,000",10/2025,23,0,40,https://www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/
Mastering Angular + Ang 17 - 18 + Interview + E-commerce App,3807352,Nirmal Joshi,"Angular, IT Certifications, IT & Software",Angular,All Levels,20.5 hours,4.2,732,4165,"Rp149,000",12/2024,9,0,258,https://www.udemy.com/course/mastering-angular-interview-questions-e-commerce-project/
Angular Material In Depth (Angular 21),1442960,Angular University,"Angular Material, Angular, Web Development, Development",Angular,All Levels,6.5 hours,4.5,2907,15840,"Rp239,000",4/2026,2,0,0,https://www.udemy.com/course/angular-material-course/
"Ionic - Build iOS, Android & Web Apps with Ionic & Angular",1070124,Maximilian Schwarzmüller,"Ionic, Android Development, Mobile Development, Development",Angular,All Levels,20 hours,4.8,17149,76462,"Rp857,000.00",4/2024,48,0,144,https://www.udemy.com/course/ionic-2-the-practical-guide-to-building-ios-android-apps/
NgRx (with NgRx Data) - The Complete Guide (Angular 20),1673770,Angular University,"Angular, Web Development, Development",Angular,All Levels,6 hours,4.5,7652,34640,"Rp149,000",4/2026,3,0,0,https://www.udemy.com/course/ngrx-course/
Angular Testing In Depth (Signals Edition),2308032,Angular University,"Angular, Web Development, Development",Angular,All Levels,10.5 hours,4.6,6789,31877,"Rp149,000",4/2026,8,0,0,https://www.udemy.com/course/angular-testing-course/
Angular 19 Complete Guide with real time project,5981824,Tarun Kumar Saini,"Typescript, Web Development, Development",Angular,Beginner,4 hours,4.5,2,9,"Rp149,000",5/2025,0,0,0,https://www.udemy.com/course/angular-19-complete-guide-with-real-time-project/
Interactive Angular Fundamentals - Practice-driven approach,5829424,Cserkó József,"Angular, Web Development, Development",Angular,Beginner,2.5 hours,4.5,9,206,"Rp149,000",2/2024,19,0,0,https://www.udemy.com/course/interactive-angular-fundamentals-practice-driven-approach/
"AI-Powered E-Commerce App with .NET 9, Angular 20 & RAG",6878943,Rahul Sahay,"Retrieval Augmented Generation (RAG), Data Science, Development",Angular,All Levels,10.5 hours,4.8,153,831,"Rp149,000",12/2025,0,0,1,https://www.udemy.com/course/ai-powered-e-commerce-app-with-net-9-angular-20-rag/
Angular Advanced MasterClass & FREE E-Book,1204590,Angular University,"Angular, Web Development, Development",Angular,Intermediate,6.5 hours,4.3,1355,11201,"Rp149,000",4/2026,4,0,1,https://www.udemy.com/course/angular-advanced-masterclass/
Angular 20 Masterclass – Build Real Project,6746815,Imad BOU AKL,"Angular, Web Development, Development",Angular,Intermediate,4 hours,4.2,12,2132,"Rp149,000",12/2025,1,0,23,https://www.udemy.com/course/angular-20-masterclass-build-real-project/
Angular Security Masterclass (with FREE E-Book),1302770,Angular University,"Angular, Web Development, Development",Angular,All Levels,8 hours,4.2,1546,14235,"Rp149,000",4/2026,3,0,1,https://www.udemy.com/course/angular-security/
Angular Practicals (Angular 21),4527896,Pawan Kumawat,"Angular, Web Development, Development",Angular,All Levels,5.5 hours,4.5,61,559,"Rp149,000",1/2026,0,0,2,https://www.udemy.com/course/angular-practicals/
Creating .Net Core Microservices using Clean Architecture,5126654,Rahul Sahay,"Microservices, .NET, Web Development, Development",Angular,All Levels,34.5 hours,4.7,636,19051,"Rp149,000",3/2026,0,0,3,https://www.udemy.com/course/creating-net-core-microservices-using-clean-architecture/
Angular SSR In Depth (formerly Angular Universal),1572898,Angular University,"Angular, Web Development, Development",Angular,All Levels,4 hours,4.4,1229,6359,"Rp149,000",4/2026,2,0,0,https://www.udemy.com/course/angular-universal-course/
"WhatsApp Clone: Spring Boot, Angular, Keycloak & WebSocket",6396417,Bouali Ali,"Spring Boot, WebSocket, OAuth, Angular, Web Development",Angular,All Levels,6 hours,3.9,12,90,"Rp149,000",1/2025,0,0,0,https://www.udemy.com/course/whatsapp-clone-spring-boot-angular-keycloak-websocket/
Angular Router In Depth (Angular 21),3202558,Angular University,"Angular, Web Development, Development",Angular,All Levels,5 hours,4.0,1723,17621,"Rp149,000",4/2026,3,0,1,https://www.udemy.com/course/angular-router-course/
Angular Testing: Unit Testing Angular and E2E Testing,5703046,Oleksandr Kocherhin,"Angular, Unit Testing, Cypress.io, Web Development, Development",Angular,All Levels,3.5 hours,4.6,502,3794,"Rp149,000",2/2026,4,0,21,https://www.udemy.com/course/angular-testing-unit-testing-angular-and-e2e-testing/
Mastering Angular 15/16/17 From Scratch Step By Step,4671724,Kameswara Sarma Uppuluri | 25+ Years Of Experienced Corporate Trainer,"Angular, Web Development, Development",Angular,All Levels,27 hours,4.0,153,1037,"Rp149,000",7/2024,0,0,6,https://www.udemy.com/course/masteringangular/
RxJs In Practice (with FREE E-Book),1726420,Angular University,"RxJs, Reactive Programming, Web Development, Development",Angular,All Levels,4.5 hours,4.5,5885,24759,"Rp149,000",4/2026,5,0,3,https://www.udemy.com/course/rxjs-course/
Stripe In Practice,2668274,Angular University,"Stripe Payments Platform, Web Development, Development",Angular,All Levels,6 hours,4.4,294,2873,"Rp159,000",4/2026,2,0,0,https://www.udemy.com/course/stripe-course/
Angular Components - like a Pro! (Angular 2/4/5/6/7+),1362782,Enrique Oriol,"Angular, Web Development, Development",Angular,Expert,3 hours,4.4,998,6059,"Rp149,000",6/2020,2,0,0,https://www.udemy.com/course/angular-components-like-a-pro/
Building Applications with Angular 19 and ASP.NET Core 9,6148561,Felipe Gavilán,"Angular, ASP.NET Core, Web Development, Development",Angular,Intermediate,17 hours,4.3,165,944,"Rp149,000",6/2025,1,0,5,https://www.udemy.com/course/building-applications-with-angular-and-aspnet-core-v2/
Typescript Bootcamp: Beginner To Advanced (2024 Edition),986406,Angular University,"Typescript, REST API, Web Development, Development",Angular,All Levels,14.5 hours,4.5,999,6970,"Rp149,000",4/2026,2,0,0,https://www.udemy.com/course/complete-typescript-2-course/
Angular Essentials (Angular 2+ with TypeScript),1282020,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","Angular, Typescript, Programming Languages, Development",Angular,All Levels,6.5 hours,4.2,5566,38783,"Rp149,000",4/2024,19,0,23,https://www.udemy.com/course/angular-essentials-angular-2-angular-4-with-typescript/
Learn Angular From Scratch - Complete Guide Design to Deploy,3540200,Hashmath Rz,"Angular, Web Development, Development",Angular,All Levels,23 hours,4.4,290,2845,"Rp149,000",9/2024,0,0,32,https://www.udemy.com/course/angular-app-from-scratch-complete-guide-design-to-deploy/
Angular interview questions with answers,3079178,Shivprasad Koirala,"Angular, Coding Interview, Web Development, Development",Angular,Beginner,2.5 hours,4.6,2730,23603,"Rp149,000",12/2023,1,0,5,https://www.udemy.com/course/angular-interview-questions-answers/
Angular HTTP Communication,4162962,Get Arrays,"Angular, HTTP, Other IT & Software, IT & Software",Angular,All Levels,3.5 hours,4.8,49,247,"Rp149,000",7/2021,1,0,1,https://www.udemy.com/course/angular-http-communication/
Build Enterprise Applications with Angular 2 (and Angular 4),1009452,Mosh Hamedani,"Angular, Web Development, Development",Angular,Intermediate,9.5 hours,4.8,1569,12250,"Rp149,000",4/2018,5,0,13,https://www.udemy.com/course/angular2-advanced/
Angular Styling & Animations (for Angular 2+),1145430,Maximilian Schwarzmüller,"Animation, Angular, Web Development, Development",Angular,Intermediate,7 hours,4.4,2043,15460,"Rp149,000",4/2024,10,0,36,https://www.udemy.com/course/angular-styling-animations-for-angular-2-and-angular-4/
Building Amazon Style Full Stack Microservices,6586129,Rahul Sahay,"Web Development, Development",Angular,Beginner,34.5 hours,4.7,123,1890,"Rp149,000",11/2025,0,0,0,https://www.udemy.com/course/building-amazon-style-full-stack-microservices/
Interactive charts with D3 and Angular,2319662,Carlos Moura,"D3.js, Data Visualization, Angular, Other IT & Software, IT & Software",Angular,All Levels,25 hours,4.8,36,439,"Rp149,000",6/2023,8,0,28,https://www.udemy.com/course/interactive-charts-with-d3-and-angular/
Angular: Frontend Development with Real Projects,6285991,Selfcode Academy,"Angular, Web Development, Development",Angular,All Levels,12 hours,4.6,25,1056,"Rp149,000",11/2024,0,0,2,https://www.udemy.com/course/angular-frontend-development-with-real-projects/
Consuming APIs with Angular,4808984,Get Arrays,"Angular, Leaflet, Other IT & Software, IT & Software",Angular,Intermediate,2 hours,4.8,10,51,"Rp149,000",7/2022,0,0,0,https://www.udemy.com/course/consuming-apis-with-angular/
Firebase In Depth,2038962,Angular University,"Firebase, Web Development, Development",Angular,All Levels,10 hours,4.1,1622,12381,"Rp149,000",4/2026,2,0,0,https://www.udemy.com/course/firebase-course/
"AI-Powered Data Visualization with Angular, React and NodeJS",6454693,Uzochukwu Eddie Odozi,"Retrieval Augmented Generation (RAG), Artificial Intelligence (AI), React JS, Angular, Web Development",Angular,All Levels,37.5 hours,4.8,9,186,"Rp159,000",2/2025,7,0,77,https://www.udemy.com/course/ai-powered-data-visualization-with-angular-react-and-nodejs/
Typescript | Type script & Angular 13 and HTTP from Scratch,4855916,"Oak Academy, OAK Academy Team","Typescript, Front End Web Development, React JS, Angular, Programming Languages",Angular,All Levels,12 hours,4.6,35,207,"Rp149,000",4/2026,6,0,0,https://www.udemy.com/course/typescript-type-script-angular-13-and-http-from-scratch/
"Angular from Beginner to Advanced, Typescript and HTTP",3643020,"Oak Academy, OAK Academy Team","Angular, Web App Development, Web Development, Development",Angular,All Levels,7.5 hours,4.3,100,1388,"Rp149,000",4/2026,4,0,0,https://www.udemy.com/course/angular-from-beginner-to-advanced-r/
TYPESCRIPT FOR BEGINNERS,1711824,Bharath Thippireddy,"Typescript, Other IT & Software, IT & Software",Angular,Beginner,6.5 hours,4.5,3000,12949,"Rp149,000",4/2026,2,0,1,https://www.udemy.com/course/typescript-for-beginners/
".NET Identity with Angular (JWT, Email Confirmation, MFA)",5216652,Shayan Vaghei,"Angular, ASP.NET Core, Web Development, Development",Angular,Intermediate,12.5 hours,4.6,94,519,"Rp149,000",12/2025,3,0,2,https://www.udemy.com/course/aspnet-core-identity-with-angular-jwt-email-confirmation/
