course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Apple Certified Support Professional Training 2026,5842502,"Automata Technology, Drew W Smith","System Administration, IT Certifications, IT & Software",Apple,Beginner,8 hours,4.6,1465,5981,"Rp149,000",2/2026,20,0,35,https://www.udemy.com/course/apple-certified-support-professional-training-2024/
Apple Deployment and Management Certification Training 2026,5842542,"Automata Technology, Drew W Smith","System Administration, IT Certifications, IT & Software",Apple,Intermediate,9 hours,4.7,287,2016,"Rp149,000",2/2026,22,0,36,https://www.udemy.com/course/apple-deployment-and-management-certification-training-2024/
Apple macOS and iOS System Administration (2026),4747322,"Automata Technology, Drew W Smith","System Administration, Operating Systems & Servers, IT & Software",Apple,All Levels,18 hours,4.6,1310,7248,"Rp149,000",2/2026,0,0,40,https://www.udemy.com/course/apple-macos-and-ios-system-administration-2022/
Apple Support Essentials for the IT Help Desk,6716045,"Automata Technology, Drew W Smith","IT / Technical Support, Operating Systems & Servers, IT & Software",Apple,Beginner,9.5 hours,4.6,117,634,"Rp149,000",9/2025,0,0,27,https://www.udemy.com/course/apple-support-essentials-for-the-it-help-desk/
Master macOS Tahoe - All-in-One macOS Course,6804591,Luke Koubek & OneByteAcademy,"macOS, Operating Systems & Servers, IT & Software",Apple,All Levels,8.5 hours,4.6,99,493,"Rp149,000",11/2025,2,0,11,https://www.udemy.com/course/master-macos-tahoe-all-in-one-macos-course/
Apple Endpoint Management Using Microsoft Intune (2026),2330038,"Automata Technology, Drew W Smith","System Administration, Operating Systems & Servers, IT & Software",Apple,All Levels,17 hours,4.8,1355,6836,"Rp149,000",1/2026,1,0,26,https://www.udemy.com/course/apple-macos-and-ios-system-administration/
Apple Mac Basics - The Complete Course for beginners,1428694,Colin Marks,"Mac Basics, Apple, Office Productivity",Apple,All Levels,3.5 hours,4.5,5212,19759,"Rp149,000",5/2025,1,0,0,https://www.udemy.com/course/apple-mac-os-the-complete-course/
Mastering Your Mac : 10x Your Productivity,1195506,Fran Solo,"Mac Basics, Online Course Creation, Apple, Office Productivity",Apple,All Levels,11.5 hours,4.5,1071,6500,"Rp149,000",3/2024,8,0,8,https://www.udemy.com/course/mastering-your-mac-2017-10x-your-productivity/
iOS & Swift - The Complete iOS App Development Bootcamp,1778502,"Dr. Angela Yu, Developer and Lead Instructor","Swift, Xcode, ARKit, iOS Development, Mobile Development",Apple,All Levels,60 hours,4.6,96373,415672,"Rp169,000",11/2025,113,12,12,https://www.udemy.com/course/ios-13-app-development-bootcamp/
Apple Family & Home System Administration,4840928,"Automata Technology, Drew W Smith","Apple Products Basics, Apple, Office Productivity",Apple,Beginner,5 hours,4.7,15,179,"Rp149,000",12/2025,0,0,3,https://www.udemy.com/course/apple-family-sharing-homekit-2022/
Apple Certified Support Professional (ACSP) Exam Prep Course,6362235,Khalid lahyan,"System Administration, IT Certifications, IT & Software",Apple,All Levels,N/A,4.5,2,25,"Rp149,000",3/2025,0,0,0,https://www.udemy.com/course/apple-certified-support-professional-acsp-exam-prep-course-u/
Apple Reminders for Mac: The Ultimate Productivity Guide,6345935,Jonathan Wylie,"Apple, Office Productivity",Apple,Beginner,2.5 hours,4.9,15,1038,"Rp149,000",1/2025,0,0,1,https://www.udemy.com/course/apple-reminders-for-mac-productivity/
Apple Intelligence & Neural Networks Masterclass,7095921,Stephen DeStefano,"Mobile Development, Development",Apple,All Levels,9 hours,4.5,6,104,"Rp149,000",3/2026,2,0,2,https://www.udemy.com/course/apple-intelligence-neural-networks-masterclass/
Unreal Engine Login System: Google & Apple Sign-In with AWS,6998963,Daniil Tsyhanok,"Unreal Engine, Amazon AWS, Android Game Development, iOS Game Development, Other IT & Software",Apple,Intermediate,7.5 hours,4.7,N/A,2,"Rp149,000",N/A,0,0,7,https://www.udemy.com/course/unreal-engine-login-system-google-apple-sign-in-with-aws/
Apple Certified iOS Technician (ACiT) Practice Exams,7080985,Fauzia Parveen,"IT Certifications, IT & Software",Apple,All Levels,N/A,1.0,N/A,1,N/A,3/2026,0,0,0,https://www.udemy.com/course/apple-certified-ios-technician-acit-practice-exams/
DEP-2026: Apple Deployment and Management Exam Practice Test,7110423,Bee Exam,"IT Certifications, IT & Software",Apple,Intermediate,N/A,4.0,N/A,100,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/dep-2026-apple-deployment-and-management-full-exam-prep/
