course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
"Learn to Design Architecture: Interiors, Space, & Form",6448087,Dry Studio,"Architectural Design, Design",Architectural Design,All Levels,6 hours,4.4,3,16,"Rp149,000",2/2025,0,0,0,https://www.udemy.com/course/learn-to-design-architecture-interior-space-form/
Design Like An Architect,4028926,Garry Miley,"Architectural Design, Design",Architectural Design,Beginner,1.5 hours,4.6,480,2289,"Rp149,000",6/2021,0,0,4,https://www.udemy.com/course/design-like-an-architect/
Introduction to Architecture and Design,5588866,Dry Studio,"Architectural Design, Architecture Fundamentals, Sustainable Architecture, Design",Architectural Design,All Levels,7 hours,4.4,67,268,"Rp149,000",10/2023,0,0,0,https://www.udemy.com/course/introduction-to-architecture-and-design/
"Architectural Design Masterclass | ArchiCAD, BIM & Portfolio",4758542,Eric Mulwa,"Architectural Design, Design",Architectural Design,All Levels,75 hours,4.4,62,653,"Rp149,000",9/2025,5,0,17,https://www.udemy.com/course/architectural-design-course-from-beginner-to-advanced-level/
Architectural Design Fundamentals for Students & Beginners,7025435,Fida Muhammad,"Architecture Fundamentals, Design Thinking, Interior Design, Architectural Design, Design",Architectural Design,Beginner,1 hour,4.8,40,155,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/architectural-design-fundamentals-for-students-beginners/
Conceptual Sketching for Architecture and Design,6479201,Moshe Katz,"Architectural Design, Architecture Fundamentals, Sketching, Design",Architectural Design,All Levels,3 hours,4.8,22,115,"Rp149,000",2/2025,0,0,0,https://www.udemy.com/course/conceptual-sketching-for-architects/
Learn Architectural Design & Animation With Blender,6454981,Edward Harding,"Blender, Interior Design, Architectural Design, Design",Architectural Design,All Levels,20 hours,4.7,179,1018,"Rp249,000",9/2025,0,0,3,https://www.udemy.com/course/learn-architectural-design-animation-with-blender/
Sustainable Architecture & Building Design,6234669,Harry James,"Sustainable Architecture, Architectural Design, Design",Architectural Design,All Levels,3 hours,4.6,133,523,"Rp149,000",1/2025,0,0,15,https://www.udemy.com/course/sustainable-architecture-building-design/
Photoshop for Architects: From Zero to Advanced-Master Class,6805827,Mohammadreza Lajevardi,"Adobe Photoshop, Architectural Design, Design",Architectural Design,All Levels,19.5 hours,4.6,49,274,"Rp159,000",1/2026,19,0,18,https://www.udemy.com/course/photoshop-for-architects-from-zero-to-advanced-master-class/
Photoshop for Architects: All-in-One Course,6551309,Andrii Drianga,"Architectural Design, Design",Architectural Design,All Levels,5 hours,4.6,28,281,"Rp159,000",5/2025,0,0,49,https://www.udemy.com/course/photoshop-for-architects-course/
