course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Artificial Intelligence Governance Professional (AIGP),6463319,"Pavan Kumar, Avnish Singh","Artificial Intelligence Governance Professional (AIGP), Artificial Intelligence (AI), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,10 hours,4.4,792,5583,"Rp149,000",3/2026,3,0,9,https://www.udemy.com/course/artificial-intelligence-governance-professional-aigp-training/
AI Governance Professional (AIGP) Certification Masterclass,5969684,Dr. Kyle David,"Artificial Intelligence Governance Professional (AIGP), Artificial Intelligence (AI), AI Ethics and Governance, IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,19.5 hours,4.7,1546,5299,"Rp1,799,000",4/2026,19,0,5,https://www.udemy.com/course/ai-governance-professional-aigp-certification-masterclass/
Artificial Intelligence Governance Professional (AIGP) -2026,6769999,Big Data Landscape,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,5.0,2,32,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/artificial-intelligence-governance-professional-aigp/
AIGP Certification Prep Course: IAPP Official Guide 2026,6897127,"Priyanka K, Hitesh Patel, Prameela B","Artificial Intelligence Governance Professional (AIGP), AI Ethics and Governance, IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,11 hours,4.3,205,2155,"Rp1,799,000",2/2026,0,0,14,https://www.udemy.com/course/learn-aigp/
Master Class - AIGP Exam Preparation,6731359,Hemang Doshi,"Artificial Intelligence Governance Professional (AIGP), Artificial Intelligence (AI), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,2.5 hours,4.4,125,1356,"Rp149,000",4/2026,61,0,1,https://www.udemy.com/course/master-class-aigp-exam/
AI Governance (AIGP) Best 2026 Practice Exam Questions,6588609,Privacy Hub,"Artificial Intelligence Governance Professional (AIGP), Other Business, Business",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,4.3,45,526,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/ai-governance-aigp-best-2025-practice-exam-questions/
IAPP AIGP Exam Practice Test - AI Governance Certification,6712107,Kavitha Kavitha,"Artificial Intelligence Governance Professional (AIGP), Artificial Intelligence (AI), EU Artificial Intelligence Act, IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,4.2,52,746,"Rp1,299,000",10/2025,0,0,0,https://www.udemy.com/course/artificial-intelligence-governance-practice-test/
AI Governance Professional (AIGP) Certification Masterclass,6592593,Fortivance Academy,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,11 hours,4.3,78,464,"Rp149,000",3/2026,0,0,4,https://www.udemy.com/course/aigp-masterclass/
AI Governance Professional (AIGP) 2026 Complete Training,6319479,Saahil Gupta,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,11.5 hours,4.5,411,2723,"Rp1,299,000",3/2026,2,0,9,https://www.udemy.com/course/ai-governance-professional-aigp-2025/
AI Governance Professional Practice Tests (Detailed Answers),7033825,Edu Nexa,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,5.0,58,163,"Rp1,799,000",1/2026,0,0,0,https://www.udemy.com/course/ai-governance-pro-practice-tests/
Certified AI Ethics & Governance Professional (CAEGP),6269267,YouAccel Training,"AI Ethics and Governance, Generative AI (GenAI), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,18 hours,4.1,119,4618,"Rp149,000",11/2024,1,0,75,https://www.udemy.com/course/certified-ai-ethics-governance-professional/
Artificial Intelligence Governance Prof(AIGP) Practice Tests,6473933,"Raghu The Security Expert, A DevOps Engineer","Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,4.1,45,977,"Rp149,000",10/2025,0,0,0,https://www.udemy.com/course/artificial-intelligence-governance-prof-aigp-practice-tests/
AI Governance Professional (AIGP) Certification & AI Mastery,6176367,YouAccel Training,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,27.5 hours,4.2,134,5282,"Rp149,000",9/2024,1,0,102,https://www.udemy.com/course/ai-governance-professional-aigp-certification-ai-mastery/
IAPP AIGP Certification: Complete AI Governance Exam Prep,7062627,Sachin Aggarwal,"Other IT & Software, IT & Software",Artificial Intelligence Governance Professional (AIGP),Beginner,31 hours,5.0,6,54,"Rp149,000",3/2026,1,0,4,https://www.udemy.com/course/iapp-aigp-certification-full-exam-prep-practice-tests/
AIGP Artificial Intelligence Governance Pro (Practice Exam),6400679,"Andre Iacono | 395000+ Students | Author · Deep Learning AI Specialist |, NYC Training","Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,3.7,21,439,"Rp149,000",1/2025,0,0,0,https://www.udemy.com/course/artificial-intelligence-governance-professional-exam-test/
AI Governance Professional (AIGP) Certification 2025,6081643,Wesam Qawasmeh,"Artificial Intelligence Governance Professional (AIGP), Other IT & Software, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,3.9,68,1896,"Rp149,000",1/2025,0,0,0,https://www.udemy.com/course/ai-governance-professional-aigp-certification/
AI Governance Professional (AIGP) Certification Practice,6963449,Aleric Halden | Amazon Bestselling Author (AIGP Mastery Course),"Artificial Intelligence Governance Professional (AIGP), Management, Business",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,3.5,20,99,"Rp149,000",12/2025,0,0,0,https://www.udemy.com/course/aigp-exam-practice-tests/
AI Governance: The Fundamentals of AI Governance,6882983,"Data Universe, DCDG Partners","AI Ethics and Governance, EU Artificial Intelligence Act, Data Governance, Artificial Intelligence Governance Professional (AIGP), Management",Artificial Intelligence Governance Professional (AIGP),All Levels,2 hours,4.5,2681,8642,"Rp149,000",3/2026,1,0,1,https://www.udemy.com/course/ai-governance-the-fundamentals-of-ai-governance/
Certified Artificial Intelligence Governance AIGP Prep,7021843,Ruane ribeiro,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,4.7,N/A,6,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/certified-artificial-intelligence-governance-aigp-prep/
IAPP AIGP Complete Practice Tests: All 4 Domains Specific,7085333,Aravind Bhat,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),Expert,N/A,4.7,N/A,2,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/iapp-aigp-complete-practice-tests-all-4-domains-specific-j/
AI Governance & Compliance - A Complete Certification Course,6152191,Prince Patni,"AI Ethics and Governance, Artificial Intelligence (AI), Data Science, Development",Artificial Intelligence Governance Professional (AIGP),All Levels,1.5 hours,4.1,185,9047,"Rp149,000",8/2024,1,0,7,https://www.udemy.com/course/ai-governance-and-compliance-a-certification-course/
AIGP (AI Governance Professional) Practice Test 2025,6581857,Khushbu Singh,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,3.5,7,878,"Rp149,000",8/2025,0,0,0,https://www.udemy.com/course/ai-governance-professional-aigp-practice-test/
AI Governance Professional (AIGP) | Practice Exams,6341981,YouAccel Training,"Artificial Intelligence Governance Professional (AIGP), Artificial Intelligence (AI), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,3.5,5,2114,"Rp149,000",12/2024,0,0,0,https://www.udemy.com/course/ai-governance-professional-aigp-practice-exams/
AI Ethics and Governance: The Complete Professional Course,7019345,Alexander Oni,"Artificial Intelligence (AI), Personal Transformation, Personal Development",Artificial Intelligence Governance Professional (AIGP),All Levels,4.5 hours,4.8,6,55,"Rp149,000",2/2026,1,0,1,https://www.udemy.com/course/ai-ethics-and-governance-the-complete-professional-course/
IAPP AIGP Practice Exams | AI Governance Mock Tests,7046977,Priya Dw | High-Quality Practice Exam Architect | Realistic & Effective PT,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,2.0,1,31,"Rp1,799,000",2/2026,0,0,0,https://www.udemy.com/course/iapp-aigp-practice-exams-ai-governance-mock-tests/
Introduction to Artificial Intelligence (AI) Governance,6716707,Christina Kueppers,"AI Ethics and Governance, Other IT & Software, IT & Software",Artificial Intelligence Governance Professional (AIGP),Beginner,1 hour,4.4,3,114,"Rp149,000",7/2025,0,0,11,https://www.udemy.com/course/introduction-to-artificial-intelligence-governance/
IAPP AIGP Practice Tests 2026—500 Questions with Explanation,7083749,Aravind Bhat,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),Intermediate,N/A,4.7,N/A,6,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/iapp-aigp-practice-tests-2026500-questions-with-explanation/
Master AIGP from zero to pass,6399849,Prof. Ksenia Laputko,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,6.5 hours,4.7,5,21,"Rp899,000",3/2026,8,0,25,https://www.udemy.com/course/master-aigp-governance-from-zero-to-pass/
ISO/IEC 42001. Artificial intelligence management system,6623987,"Cristian Vlad Lupa, rigcert.education","AI Ethics and Governance, Artificial Intelligence (AI), Other IT & Software, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,8.5 hours,4.6,616,2651,"Rp159,000",10/2025,0,0,2,https://www.udemy.com/course/isoiec-42001-artificial-intelligence-management-system-q/
AI Governance Professional (AIGP) Certification Exam 2026,7086999,Kayla Morgan,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),Expert,N/A,4.7,N/A,117,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/ai-governance-professional-aigp-certification-exam-2026/
AIGP Exam Practice Questions 2026 - Volume 2 (Chapters 7-13),6798649,Srinivas Bommena,"IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),Expert,N/A,4.4,6,60,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/aigp-exam-practice-questions-volume-2-chapters-7-13/
AIGP – 300 Unofficial Practice Questions,6709321,"Olufunmilayo ""Funmi"" Owolabi Esq.","Artificial Intelligence Governance Professional (AIGP), Other IT & Software, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,3.5,1,4,"Rp249,000",8/2025,0,0,0,https://www.udemy.com/course/aigp-300-unofficial-practice-questions/
AIGP Exam Practice Questions 2026 – Volume 1 (Chapters 1–6),6761131,Srinivas Bommena,"IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),Expert,N/A,4.4,9,111,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/aigp-exam-practice-questions-volume-1-chapters-16/
NEW IAPP-AIGP AI Governance Professional Certification 2026,7069687,Exams Guides,"Management, Business",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,N/A,N/A,N/A,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/iapp-aigp-ai-governance-professional/
AIGP Exam Prep: 600 Practice MCQs & Detailed Explanations,7070329,Sachin Aggarwal,"IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,3.2,2,15,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/iapp-aigp-exam-practice-tests/
EU AI Act Compliance Introduction,5863828,"Robert Barcik, Jana Gecelovska","EU Artificial Intelligence Act, Compliance Management, Risk Management, Internal Auditing, Business Law",Artificial Intelligence Governance Professional (AIGP),Beginner,9.5 hours,4.7,797,3586,"Rp149,000",12/2025,18,0,13,https://www.udemy.com/course/eu-ai-act-compliance/
Ultimate AI Governance Professional (AIGP) Practice Tests,6354519,Renaldi Gondosubroto,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,2.0,1,13,"Rp1,799,000",10/2025,0,0,0,https://www.udemy.com/course/ultimate-ai-governance-professional-aigp-practice-tests/
AIGP Certification Practice Exams 2026 edition,7120539,Ritesh Vajariya,"Artificial Intelligence Governance Professional (AIGP), Management, Business",Artificial Intelligence Governance Professional (AIGP),All Levels,N/A,4.7,N/A,1,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/aigp-certification-practice-exams-2026-edition/
AI Governance and Management Systems,6462907,"Adrian Resag, QIAL, CMIIA, CIA, CRMA, CFSA, GRCP, IAAP, CIMA Adv Dip MA","AI Ethics and Governance, Artificial Intelligence (AI), Generative AI (GenAI), Management, Business",Artificial Intelligence Governance Professional (AIGP),All Levels,3.5 hours,4.6,42,305,"Rp149,000",2/2025,0,0,0,https://www.udemy.com/course/ai-governance/
Artificial Intelligence (AI) for Executives & Professionals,6453145,Pramod Kunju,"Artificial Intelligence (AI), Other IT & Software, IT & Software",Artificial Intelligence Governance Professional (AIGP),Beginner,1 hour,4.3,72,1260,"Rp149,000",2/2025,0,0,0,https://www.udemy.com/course/learn-ai-now/
The EU AI Act Compliance Masterclass 2026,5846424,Taimur Ijlal | Award winning cybersecurity leader and instructor,"EU Artificial Intelligence Act, Business Law, Business",Artificial Intelligence Governance Professional (AIGP),All Levels,2 hours,4.5,3879,6789,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/the-eu-ai-act-compliance-masterclass-2024/
A Complete Course - AI Governance and Ethics (AIGE),6062333,"Steven Khor, MIA, MIM, CFP, MBA,BA","Artificial Intelligence (AI), Management, Business",Artificial Intelligence Governance Professional (AIGP),All Levels,3 hours,4.3,9,29,"Rp149,000",8/2025,0,0,31,https://www.udemy.com/course/a-complete-course-ai-governance-and-ethics-aige/
"AI Security, Governance & Compliance",7043981,"Data Science Academy, School of AI","Artificial Intelligence Governance Professional (AIGP), Data Science, Development",Artificial Intelligence Governance Professional (AIGP),All Levels,3.5 hours,4.7,11,3031,"Rp149,000",2/2026,8,0,0,https://www.udemy.com/course/ai-security-governance-compliance/
AI governance for DPOs with practical aspects,7080107,Prof. Ksenia Laputko,"Artificial Intelligence Governance Professional (AIGP), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,12.5 hours,5.0,2,11,"Rp1,799,000",3/2026,8,0,48,https://www.udemy.com/course/ai-governance-for-dpo/
Responsible AI and Governance for Modern Organisations,6900875,Kavitha Kavitha,"AI Ethics and Governance, Artificial Intelligence (AI), Management, Business",Artificial Intelligence Governance Professional (AIGP),All Levels,5.5 hours,4.6,61,1101,"Rp149,000",11/2025,0,0,0,https://www.udemy.com/course/ethical-ai-use-in-business/
The Complete Artificial Intelligence (AI) for Professionals,5352294,"Dey Academy, IT & AI Dey Academy","Artificial Intelligence (AI), AI Content Generation, ChatGPT, Generative AI (GenAI), Data Science",Artificial Intelligence Governance Professional (AIGP),All Levels,12.5 hours,4.6,3729,47369,"Rp149,000",4/2026,81,0,1,https://www.udemy.com/course/the-complete-artificial-intelligence-ai-for-professionals/
Certified AI Implementation Professional (CAIIP),6321839,YouAccel Training,"Artificial Intelligence (AI), IT Certifications, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,18 hours,4.5,27,2957,"Rp159,000",12/2024,1,0,75,https://www.udemy.com/course/certified-ai-implementation-professional-caiip/
Mastering ISO 42001: Complete Guide to AI Management Systems,6783099,Fortivance Academy,"Artificial Intelligence (AI), Other IT & Software, IT & Software",Artificial Intelligence Governance Professional (AIGP),All Levels,6.5 hours,4.6,21,212,"Rp149,000",3/2026,0,0,4,https://www.udemy.com/course/mastering-iso-42001-complete-guide-to-ai-management-systems/
The AI Engineer Course 2026: Complete AI Engineer Bootcamp,6112535,365 Careers,"Artificial Intelligence (AI), Data Science, Development",Artificial Intelligence Governance Professional (AIGP),All Levels,29.5 hours,4.6,19039,128589,"Rp169,000",3/2026,29,107,156,https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp/
AI Audit & Assurance Mastery Training - AAIA®-Aligned 2026,6043584,"Cyvitrix Learning | CISSP, CISM, CISA, GRC, Security+, SecAI+, Security+ Courses","ISACA Advanced in AI Audit (AAIA), Generative AI (GenAI), Personal Development, Digital Transformation, Leadership",Artificial Intelligence Governance Professional (AIGP),All Levels,8.5 hours,4.5,95,1189,"Rp149,000",3/2026,11,0,105,https://www.udemy.com/course/generative-ai-for-leaders-and-decision-makers/
