course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Intro to AI: A Beginner's Guide to Artificial Intelligence,6254627,365 Careers,"Artificial Intelligence (AI), Generative AI (GenAI), Other Business, Business",Artificial Intelligence (AI),All Levels,2.5 hours,4.5,23352,62827,"Rp159,000",1/2026,1,0,2,https://www.udemy.com/course/intro-to-ai-a-beginners-guide-to-artificial-intelligence/
The Complete Artificial Intelligence (AI) for Professionals,5352294,"Dey Academy, IT & AI Dey Academy","Artificial Intelligence (AI), AI Content Generation, ChatGPT, Generative AI (GenAI), Data Science",Artificial Intelligence (AI),All Levels,12.5 hours,4.6,3729,47369,"Rp149,000",4/2026,81,0,1,https://www.udemy.com/course/the-complete-artificial-intelligence-ai-for-professionals/
"The Complete AI Guide: Learn ChatGPT, Generative AI & More",5170404,"Julian Melanson, Benza Maman, Leap Year Learning","ChatGPT, Midjourney, DALL·E, AI Art Generation, Generative AI (GenAI)",Artificial Intelligence (AI),All Levels,41.5 hours,4.5,59468,342414,"Rp169,000",3/2026,22,0,147,https://www.udemy.com/course/complete-ai-guide/
[NEW] Ultimate AWS Certified AI Practitioner AIF-C01,6082775,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified AI Practitioner, IT Certifications, IT & Software",Artificial Intelligence (AI),Beginner,10 hours,4.7,42439,212470,"Rp169,000",4/2026,4,0,0,https://www.udemy.com/course/aws-ai-practitioner-certified/
[Practice Exams] AWS Certified AI Practitioner - AIF-C01,6093727,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh","AWS Certified AI Practitioner, IT Certifications, IT & Software",Artificial Intelligence (AI),N/A,N/A,4.6,8001,72439,"Rp159,000",12/2024,0,0,0,https://www.udemy.com/course/practice-exams-aws-certified-ai-practitioner/
The AI Engineer Course 2026: Complete AI Engineer Bootcamp,6112535,365 Careers,"Artificial Intelligence (AI), Data Science, Development",Artificial Intelligence (AI),All Levels,29.5 hours,4.6,19039,128589,"Rp169,000",3/2026,29,107,156,https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp/
"Artificial Intelligence A-Z 2026: Agentic AI, Gen AI, and RL",1219332,"Hadelin de Ponteves, Kirill Eremenko, SuperDataScience Team, Luka Anicin, Ligency ​","Artificial Intelligence (AI), Data Science, Development",Artificial Intelligence (AI),All Levels,15 hours,4.4,49446,345170,"Rp159,000",1/2026,17,0,0,https://www.udemy.com/course/artificial-intelligence-az/
Artificial Intelligence (AI) Foundations for Developers,6688773,Rahul Rajat Singh,"Artificial Intelligence (AI), Other IT & Software, IT & Software",Artificial Intelligence (AI),Beginner,12 hours,4.8,32,185,"Rp149,000",8/2025,0,0,13,https://www.udemy.com/course/artificial-intelligence-ai-foundations-for-developers/
AI Fundamentals: Essential Guide to Artificial Intelligence,6216237,"Steve Ballinger, MBA","Artificial Intelligence (AI), ChatGPT, Generative AI (GenAI), Prompt Engineering, Other Business",Artificial Intelligence (AI),All Levels,2 hours,4.5,6719,19228,"Rp159,000",2/2026,1,0,1,https://www.udemy.com/course/ai-fundamentals-essential-guide-to-artificial-intelligence-course/
Artificial Intelligence and Generative AI: Volume 1,6567735,"Dey Academy, IT & AI Dey Academy","Artificial Intelligence (AI), AI Content Generation, ChatGPT, Generative AI (GenAI), Business Analytics & Intelligence",Artificial Intelligence (AI),All Levels,2.5 hours,4.5,1119,14672,"Rp149,000",4/2026,1,0,0,https://www.udemy.com/course/artificial-intelligence-and-generative-ai-volume-1/
AI Business Strategy: The Complete Guide to Modern Business,7054251,Silviu Marisk | M.B.A.,"Business Strategy, Artificial Intelligence (AI), Business Fundamentals, Management, Business",Artificial Intelligence (AI),All Levels,4.5 hours,4.9,100,282,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/ai-business-strategy-the-complete-guide-to-modern-business/
Generative AI for Beginners,5655756,Aakriti E-Learning Academy,"Generative AI (GenAI), OpenAI API, ChatGPT, Other IT & Software, IT & Software",Artificial Intelligence (AI),Beginner,4.5 hours,4.5,105164,337355,"Rp169,000",1/2026,3,0,6,https://www.udemy.com/course/generative-ai-for-beginners-b/
AI for Everyone: Understand & Use AI in Everyday Life,6504343,Rob Katz,"Artificial Intelligence (AI), Personal Productivity, Personal Development",Artificial Intelligence (AI),Beginner,1.5 hours,4.7,22,67,"Rp149,000",3/2025,0,0,4,https://www.udemy.com/course/ai-for-everyday/
"AI Business Strategy for Leaders & Managers: ChatGPT, ML, DL",5987212,"Michael James (PSM I, PSM II, PSM III, PSPO 1, PSPO II, SPS certified), Learn Management Online","Artificial Intelligence (AI), Business Strategy, ChatGPT, Business Intelligence (BI), Management",Artificial Intelligence (AI),All Levels,7.5 hours,4.6,975,3576,"Rp199,000",3/2026,4,0,0,https://www.udemy.com/course/artificial-intelligence-for-business-managers-chatgpt-to-ai/
Artificial Intelligence (AI) for Executives & Professionals,6453145,Pramod Kunju,"Artificial Intelligence (AI), Other IT & Software, IT & Software",Artificial Intelligence (AI),Beginner,1 hour,4.3,72,1260,"Rp149,000",2/2025,0,0,0,https://www.udemy.com/course/learn-ai-now/
Beginners Guide to AI (Artificial Intelligence),3134338,Siim Õunap,"Artificial Intelligence (AI), Machine Learning, Science, Teaching & Academics",Artificial Intelligence (AI),Beginner,39 mins,4.4,276,835,"Rp149,000",1/2021,0,0,0,https://www.udemy.com/course/beginners-guide-to-artificial-intelligence-or-ai/
"Artificial Intelligence with Machine Learning, Deep Learning",4415712,"Oak Academy, OAK Academy Team","Artificial Intelligence (AI), Deep Learning, Machine Learning, TensorFlow, Data Science",Artificial Intelligence (AI),All Levels,23 hours,4.5,759,6125,"Rp149,000",4/2026,5,0,0,https://www.udemy.com/course/artificial-intelligence-with-machine-learning-deep-learning/
"Artificial Intelligence for Finance, Accounting & Auditing",3100552,"AI Ascent LLC. Course Instructor: Dr. Ivy Munoko, Ph.D., ACCA, CISA","Artificial Intelligence (AI), Other IT & Software, IT & Software",Artificial Intelligence (AI),Beginner,5.5 hours,4.4,5713,17283,"Rp149,000",9/2020,0,0,20,https://www.udemy.com/course/artificial-intelligence-for-finance-accounting-auditing/
