course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Art And Craft Skills,5298202,Eric Yeboah,"Crafting, Arts & Crafts, Lifestyle",Arts & Crafts,All Levels,3 hours,3.3,6,10,"Rp149,000",9/2025,0,0,0,https://www.udemy.com/course/art-and-craft-skills/
How to Find a Profitable Micro Niche for ARTS & CRAFTS (TM),4343152,"Dr. Noble Arya Full-Stack Data Scientist, AI/ML/DL Researcher","Crafting, Other Teaching & Academics, Teaching & Academics",Arts & Crafts,All Levels,1 hour,4.4,36,702,"Rp149,000",11/2022,0,0,0,https://www.udemy.com/course/how-to-find-a-profitable-micro-niche-for-arts-crafts/
Wholesaling and Consigning your Handmade Arts and Crafts,4094088,Amy Skrocki,"Art Business, Sales, Business",Arts & Crafts,Intermediate,1 hour,4.8,6,26,"Rp149,000",6/2021,0,0,5,https://www.udemy.com/course/wholesaling-and-consigning-your-handmade-arts-and-crafts/
Create a Successful Craft Business: Craft Shows and Online,2182926,Amy Skrocki,"Crafting, Other Business, Business",Arts & Crafts,Beginner,2 hours,4.6,42,344,"Rp149,000",4/2021,3,0,13,https://www.udemy.com/course/create-a-successful-craft-business-craft-shows-and-online/
"Learn about Afro-Colombian customs, arts and crafts.",4350676,Marimbea Colombia,"Cultural Awareness, Arts & Crafts, Lifestyle",Arts & Crafts,All Levels,1 hour,5.0,4,18,"Rp149,000",3/2023,17,0,6,https://www.udemy.com/course/vibrapacificoafro-colombianculture/
How To Teach Craft Workshops,778714,Susan Yeates,"Crafting, Teacher Training, Arts & Crafts, Lifestyle",Arts & Crafts,Beginner,4.5 hours,4.6,202,1066,"Rp149,000",3/2016,0,0,9,https://www.udemy.com/course/how-to-teach-craft-workshops/
Craft Business Power: Online Selling For Artists And Makers,892044,Jason Miles,"Online Business, Entrepreneurship Fundamentals, Entrepreneurship, Business",Arts & Crafts,All Levels,1.5 hours,4.3,116,689,"Rp149,000",2/2018,14,0,14,https://www.udemy.com/course/startup-power-entrepreneurship-for-makers/
Top Tips for Selling at Art & Craft Shows,1148616,Stine Wiemann,"Crafting, Sales Skills, Entrepreneurship, Business",Arts & Crafts,Beginner,1.5 hours,4.6,N/A,2,"Rp149,000",3/2022,0,0,3,https://www.udemy.com/course/craft-shows/
Mandala Art: The Ultimate Mandala Drawing & Design Course,4450556,Art & Craft Letstute,"Mandala, Graphic Design & Illustration, Design",Arts & Crafts,All Levels,7 hours,4.4,174,1126,"Rp149,000",1/2025,0,0,1,https://www.udemy.com/course/mandala-art-the-ultimate-mandala-drawing-course/
Making & Selling Crafts - Craft Fair Strategies for Success,5647242,Kimberly Smith,"Paper Crafting, Arts & Crafts, Lifestyle",Arts & Crafts,Beginner,5 hours,4.7,17,97,"Rp149,000",11/2023,1,0,9,https://www.udemy.com/course/craft-fair/
Your Craft Business: A Step by Step Guide,911136,Kevin Partner,"Crafting, Business Fundamentals, Business Strategy, Home Business, Entrepreneurship",Arts & Crafts,Beginner,3.5 hours,4.5,263,1368,"Rp159,000",8/2016,0,0,1,https://www.udemy.com/course/your-craft-business-a-step-by-step-guide/
How to Start Your Own Hairbow Business,133146,Jacquelyn Louise,"Business Strategy, Business Fundamentals, Arts & Crafts, Lifestyle",Arts & Crafts,All Levels,2 hours,4.2,9,75,"Rp149,000",9/2015,1,0,0,https://www.udemy.com/course/how-to-start-your-own-hairbow-business/
Digital Nomads. Your Artist Bio & Sell Your Art in Galleries,1060082,Aerie North,"Personal Branding, Art Business, Professional Portfolio, Career Development, Personal Development",Arts & Crafts,All Levels,1 hour,4.2,26,261,"Rp149,000",6/2017,0,0,2,https://www.udemy.com/course/your-artist-bio-sell-your-art-in-galleries-museum-shops/
The Ultimate Origami Course - Beginner to Advanced,4108634,Kevin Hutson,"Origami, Creativity, Personal Development",Arts & Crafts,Beginner,13 hours,4.8,434,3437,"Rp149,000",8/2021,0,0,0,https://www.udemy.com/course/the-ultimate-origami-course/
Scrapbook Journalling and Art Therapy,5885980,"Chris Sivewright, Almost Random Theatre, Nancy Bennett, Elina Ghanbari","Art Therapy, Stress Management, Personal Development",Arts & Crafts,All Levels,4.5 hours,4.6,23,2061,"Rp149,000",3/2026,15,0,8,https://www.udemy.com/course/scrapbook-journalling-and-art-therapy/
Fun Crafting and Painting Projects,5440194,Chaoran Liu,"Crafting, Painting, Gouache Painting, Other Teaching & Academics, Teaching & Academics",Arts & Crafts,Beginner,1 hour,5.0,1,351,"Rp149,000",8/2023,1,0,9,https://www.udemy.com/course/fun-crafting-and-painting-projects-for-kids/
An Introduction to the Art of Book Binding,273998,Rachel Curry,"Book Binding, Art History, Arts & Crafts, Lifestyle",Arts & Crafts,All Levels,2 hours,4.4,220,1209,"Rp149,000",9/2014,0,0,2,https://www.udemy.com/course/bookbinding/
Origami Craft: The Ultimate Paper Folding & Art Course,4260578,Art & Craft Letstute,"Origami, Creativity, Personal Development",Arts & Crafts,All Levels,4.5 hours,4.0,26,4735,"Rp149,000",2/2022,0,0,0,https://www.udemy.com/course/origami-course/
Creative Learning with Santi Kusriny,4130594,Librina Creative,"Creativity, Learning Strategies, Other Teaching & Academics, Teaching & Academics",Arts & Crafts,Beginner,1 hour,4.5,N/A,N/A,"Rp149,000",7/2021,0,0,15,https://www.udemy.com/course/creative-learning-with-santi-kusriny/
How To Craft Wire Tree Sculptures With Andy Elliott,1296372,Andy Elliott,"Crafting, Arts & Crafts, Lifestyle",Arts & Crafts,All Levels,42 mins,4.6,580,2127,"Rp149,000",7/2017,0,0,0,https://www.udemy.com/course/how-to-craft-wire-tree-sculptures-with-andy-elliott/
Turn Everyday Objects into Handmade Decorative Art,2407072,BYT 1985,"Crafting, Arts & Crafts, Lifestyle",Arts & Crafts,All Levels,1 hour,5.0,2,158,"Rp149,000",12/2025,0,0,0,https://www.udemy.com/course/ibrahimbyati2/
