course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Astrology for beginners made easy with Sue Fletcher,1425718,Sue Fletcher,"Astrology, Esoteric Practices, Lifestyle",Astrology,Beginner,10 hours,4.7,675,3636,"Rp229,000",4/2018,0,0,33,https://www.udemy.com/course/astrology-for-beginners-made-easy-with-sue-fletcher/
Kundli Mastery Course by Astro Arun Pandit,6723871,Astro Arun Pandit,"Astrology, Other Teaching & Academics, Teaching & Academics",Astrology,All Levels,9.5 hours,4.5,283,1752,"Rp149,000",7/2025,0,0,68,https://www.udemy.com/course/kundli-mastery-course-by-astro-arun-pandit/
Learn Vedic Astrology Part 1,1234568,Janet M,"Astrology, Vedic Astrology, Esoteric Practices, Lifestyle",Astrology,Beginner,17 hours,4.5,3179,15135,"Rp149,000",2/2022,0,0,141,https://www.udemy.com/course/learnvedicastrologypart1/
"Astrology; Reading the birth chart, accredited course",2299918,Patricia Grootjans,"Astrology, Esoteric Practices, Lifestyle",Astrology,Beginner,7.5 hours,4.5,312,1617,"Rp159,000",1/2025,0,0,5,https://www.udemy.com/course/astrology-reading-the-birthchart/
Modern Astrology - An Introduction To Astrology,2203308,Damian McKinnon,"Astrology, Esoteric Practices, Lifestyle",Astrology,Beginner,3.5 hours,4.7,765,3468,"Rp149,000",6/2025,5,0,17,https://www.udemy.com/course/modern-astrology-an-introduction-to-natal-astrology/
Astrology Chart Reading Made Easy,5318212,Francis Dunnery,"Astrology, Personal Transformation, Personal Development",Astrology,Beginner,6 hours,5.0,21,94,"Rp149,000",12/2025,0,0,5,https://www.udemy.com/course/astrology-chart-reading-made-easy/
Astrological Forecasting for Everyone,1964958,Alexander Kolesnikov,"Astrology, Esoteric Practices, Lifestyle",Astrology,Beginner,7.5 hours,4.7,1216,6611,"Rp149,000",1/2024,3,0,158,https://www.udemy.com/course/astrological-forecasting-for-everyone/
"Astrology and Progressions, accredited course",4855642,Patricia Grootjans,"Astrology, Esoteric Practices, Lifestyle",Astrology,Intermediate,7.5 hours,4.7,106,1019,"Rp159,000",11/2024,4,0,12,https://www.udemy.com/course/astrology-and-progressions/
Fundamentals of Vedic astrology(Beginner to Intermediate),2461478,Muthu Vijayan Elango,"Vedic Astrology, Esoteric Practices, Lifestyle",Astrology,Beginner,9.5 hours,4.5,1113,5009,"Rp149,000",2/2024,1,0,61,https://www.udemy.com/course/fundamentals-of-vedic-astrology-beginner-to-intermediate/
Esoteric Astrology - The Astrology of The Soul,4751218,Damian McKinnon,"Astrology, Esoteric Practices, Lifestyle",Astrology,Expert,5.5 hours,4.6,153,1057,"Rp149,000",12/2024,0,0,1,https://www.udemy.com/course/esotericastrology/
Astrology Made Easy,6186749,A. M. Douthit,"Astrology, Esoteric Practices, Lifestyle",Astrology,All Levels,3.5 hours,4.7,25,54,"Rp449,000",2/2025,0,0,31,https://www.udemy.com/course/astrology-made-easy/
Financial Astrology,3765680,Malcolm Bucholtz,"Financial Trading, Other Business, Business",Astrology,Beginner,3.5 hours,4.5,437,2236,"Rp159,000",1/2021,0,0,5,https://www.udemy.com/course/trading-and-investing-using-financial-astrology/
Tarot Card Success - The Complete Tarot Reading Course,554014,Sal Jade,"Tarot Reading, Psychic, Spirituality, Esoteric Practices, Lifestyle",Astrology,All Levels,9.5 hours,4.8,16022,62280,"Rp319,000",3/2026,4,0,5,https://www.udemy.com/course/tarot-card-meaningshow-to-read-tarot-like-an-expert/
Learn Bhrigu Nandi Nadi astrology (Basic to professional),6723409,Piyush Goel,"Astrology, Religion & Spirituality, Personal Development",Astrology,All Levels,5.5 hours,4.5,49,247,"Rp149,000",12/2025,0,0,0,https://www.udemy.com/course/learn-bhrigu-nandi-nadi-astrology-basic-to-professional/
Basic Astrology Course By Shri Alok Khandelwal,6749743,Asttrolok - An Institute of Vedic Astrology,"Vedic Astrology, Other Business, Business",Astrology,All Levels,5 hours,4.9,21,70,"Rp149,000",9/2025,0,0,0,https://www.udemy.com/course/basic-astrology-mentorship-program-by-shri-alok-khandelwal/
Astrology for Beginners - Learning to Read the Natal Chart,5001346,Emily Reho,"Astrology, Esoteric Practices, Lifestyle",Astrology,All Levels,6.5 hours,4.6,129,638,"Rp149,000",7/2024,9,0,9,https://www.udemy.com/course/learn-the-basics-of-astrology/
