course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Audio Engineering Fundamentals,4840200,David Lauritsen,"Audio Engineering, Music Production, Music",Audio Engineering,All Levels,12 hours,4.7,483,2876,"Rp149,000",1/2025,0,0,31,https://www.udemy.com/course/audio-engineering-fundamentals-r/
Audio Engineering Fundamentals: beginner's guide,2664668,Marco Galvan,"Audio Engineering, Music Production, Music",Audio Engineering,Beginner,2 hours,4.5,597,2500,"Rp149,000",3/2026,8,0,9,https://www.udemy.com/course/audio-engineering-fundamentals/
The Complete Mixing Masterclass,2412420,J. Anthony Allen,"Music Mixing, Music Production, Music",Audio Engineering,All Levels,7.5 hours,4.5,3101,22475,"Rp239,000",12/2025,7,0,2,https://www.udemy.com/course/mixing-masterclass/
Ultimate Live Sound School (1st Edition),1163182,David Wills,"Audio Engineering, Audio Production, Music Production, Music",Audio Engineering,All Levels,4.5 hours,4.6,2323,8210,"Rp159,000",1/2018,0,0,0,https://www.udemy.com/course/ultimate-live-sound-school-1st-edition/
Audio Theory Fundamentals for Sound Design,6306661,David Lauritsen,"Sound Design, Audio Engineering, Other Music, Music",Audio Engineering,Beginner,20.5 hours,4.6,35,340,"Rp149,000",5/2025,0,0,49,https://www.udemy.com/course/audio-theory-fundamentals-for-sound-design/
FL Studio - Music Production + Mixing Music -Complete Course,1962026,"Tomas George, Ian Alexander, Digital Music Masters","FL Studio, Music Production, Audio Production, Music Mixing, Music",Audio Engineering,All Levels,25 hours,4.6,5749,35652,"Rp159,000",3/2026,34,0,21,https://www.udemy.com/course/fl-studio-music-production-course/
The Sound Kitchen - Great sound made easy,668594,Timoteo Alicino,"Audio Production, Music Mixing, Sound Design, Music Production, Music",Audio Engineering,All Levels,13.5 hours,4.7,1031,4181,"Rp149,000",10/2025,3,0,3,https://www.udemy.com/course/the-sound-kitchen-great-sound-made-easy/
Ultimate Sound Design: Mastering Sound Design,2899228,J. Anthony Allen,"Sound Design, Music Production, Music",Audio Engineering,All Levels,7.5 hours,4.6,1939,14950,"Rp159,000",12/2025,4,0,2,https://www.udemy.com/course/ultimate-sound-design/
Music Production in Logic Pro - The Complete Course!,897192,"Tomas George, Christopher Carvalho, Ian Alexander, Digital Music Masters","Music Production, Audio Production, Music Theory, Logic Pro, Music",Audio Engineering,All Levels,53 hours,4.7,14735,78791,"Rp319,000",3/2026,11,0,20,https://www.udemy.com/course/thecompletelogicprox/
Mixing & Mastering for Producers,4530948,Jor van der Poel,"Music Mixing, Sound Design, Music Production, Music",Audio Engineering,Expert,7.5 hours,4.7,136,1088,"Rp149,000",5/2025,0,0,0,https://www.udemy.com/course/mixing-mastering-for-producers/
Learn Compression & Dynamics Processing: The Complete Guide!,404741,"Signature Sound, Ian Sutton","Audio Compression, Data Compression, Music Production, Music",Audio Engineering,All Levels,7 hours,4.7,1319,8627,"Rp149,000",6/2015,1,0,0,https://www.udemy.com/course/compression/
Avid Pro Tools: Beginner to Advanced,5697056,David Lauritsen,"Audio Production, Music Production, Audio Engineering, Music Software, Music",Audio Engineering,Beginner,11.5 hours,4.6,216,1143,"Rp149,000",10/2025,0,0,9,https://www.udemy.com/course/avid-pro-tools-beginner-to-advanced/
Building Acoustics and Noise Control,4253082,Chris Field,"Acoustics, Architectural Design, Design",Audio Engineering,All Levels,5 hours,4.7,766,3887,"Rp149,000",3/2023,0,0,5,https://www.udemy.com/course/building-acoustics-and-noise-control/
Audio Engineering Basics,4578382,Kushal Patil,"Audio Engineering, Music Production, Music",Audio Engineering,All Levels,30 mins,4.4,295,3640,"Rp149,000",8/2022,0,0,0,https://www.udemy.com/course/audio-engineering-beginner-to-pro-a/
Live Sound Engineering,3143984,Hanroux Lamprecht,"Audio Engineering, Music Production, Music",Audio Engineering,Beginner,2.5 hours,4.4,481,1641,"Rp149,000",3/2021,0,0,0,https://www.udemy.com/course/live-sound-engineering-course/
