course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Autodesk AutoCAD - Beginner to Advanced level,4538614,Steve Clancy,"AutoCAD, Building Information Modeling (BIM), Technical Drawing, Design Tools, Design",AutoCAD,All Levels,19 hours,4.6,2661,21611,"Rp169,000",2/2026,4,0,69,https://www.udemy.com/course/autodesk-autocad-beginner-to-an-advanced-level/
The complete AutoCAD 2018-21 course,1271196,Jaiprakash Pandey,"AutoCAD, Architectural Design, Design",AutoCAD,Beginner,18 hours,4.7,31086,121784,"Rp169,000",5/2022,0,0,6,https://www.udemy.com/course/autocad-2018-course/
Complete AutoCAD 2D&3D From Beginners To Expert Course,4410328,Rajesh K,"AutoCAD, Design Tools, Design",AutoCAD,All Levels,72.5 hours,4.5,1309,7003,"Rp169,000",3/2026,0,0,1,https://www.udemy.com/course/autocad-2d-complete-basic-advanced-level-course/
AutoCAD 2D + 3D Complete Course 2026: Beginner to Pro,4151250,Alen Oletic,"AutoCAD, Design Tools, Design",AutoCAD,Beginner,13 hours,4.7,108,5398,"Rp159,000",3/2026,3,0,190,https://www.udemy.com/course/complete-autocad-course-2d-3d-tools-techniques/
Complete AutoCAD 2D + 3D Course in HINDI,4374946,"Er Muktar Ansari, MicroCADD India","AutoCAD, Design Tools, Design",AutoCAD,All Levels,57.5 hours,4.6,1823,6933,"Rp149,000",3/2026,0,0,40,https://www.udemy.com/course/complete-autocad-course/
AutoCAD Mastery: 500 Examples| 10 Projects| 110 Q&A|10 Tests,5691996,"Roy Academy, SNS Roy","AutoCAD, CAD Software, Geometric Dimensioning and Tolerancing (GD&T), Drawing, Design Tools",AutoCAD,All Levels,39 hours,4.6,415,3577,"Rp169,000",1/2026,89,0,428,https://www.udemy.com/course/autocad-mastery-500-drawings-10-mock-tests-100-quiz-10-projects/
AutoCAD Complete Course,1570296,Mike Freeman,"AutoCAD, Design Tools, Design",AutoCAD,All Levels,11.5 hours,4.7,6905,27745,"Rp219,000",12/2024,0,0,4,https://www.udemy.com/course/autocad-2018-getting-started-quickly-with-autocad/
AutoCAD with Beginner-Friendly and Practical Lessons,6354965,Fábio Sánchez,"AutoCAD, Other IT & Software, IT & Software",AutoCAD,Beginner,8.5 hours,4.6,132,755,"Rp159,000",1/2026,0,0,51,https://www.udemy.com/course/autocad-with-beginner-friendly-and-practical-lessons/
AutoCAD Complete Course,4804770,Murad Farooq,"AutoCAD, Architectural Design, Autodesk, AutoCAD Civil 3D, Design Tools",AutoCAD,All Levels,13.5 hours,4.5,686,6294,"Rp149,000",8/2023,0,0,8,https://www.udemy.com/course/complete-2d-3d-autocad-course-from-beginners-to-expert/
AutoCAD 2D 2026 Essentials – Complete Course,6165891,Manal Abdullal,"Other Design, Design",AutoCAD,Beginner,8 hours,4.7,174,4467,"Rp149,000",2/2026,3,0,14,https://www.udemy.com/course/autocad-2026-2d-essentials-complete-course/
AutoCAD 2D for Civil Engineers: Step-by-Step Drafting Guide,6610035,Haseebullah Sharifi,"AutoCAD, CAD Software, Architectural Design, Civil Engineering, Engineering",AutoCAD,Beginner,9.5 hours,4.9,110,2354,"Rp149,000",6/2025,0,0,2,https://www.udemy.com/course/autocad-2d-for-civil-engineers/
72 AutoCAD 2D & 3D Drawings and Practical Projects,1691762,Jaiprakash Pandey,"AutoCAD, Architectural Design, Design",AutoCAD,Intermediate,13.5 hours,4.7,1703,9960,"Rp159,000",7/2022,1,0,1,https://www.udemy.com/course/autocad-practice-drawings-projects/
AutoCAD Plant 3D 2026: From P&ID to Plant Design,7076825,Vítor Vanzolin Bento,"AutoCAD Plant 3D, Other IT & Software, IT & Software",AutoCAD,All Levels,8.5 hours,4.8,16,38,"Rp149,000",4/2026,14,0,6,https://www.udemy.com/course/autocad-plant-3d-essentials/
AutoCAD 3D Modeling Essentials,6924725,Manal Abdullal,"3D & Animation, Design",AutoCAD,All Levels,8.5 hours,5.0,62,1367,"Rp149,000",2/2026,1,0,3,https://www.udemy.com/course/autocad-3d-modeling-essentials/
Mastering AutoCAD 2023 in 2 dimensions,4651676,Konstantinos Vichoudis,"AutoCAD, Other IT & Software, IT & Software",AutoCAD,Beginner,2.5 hours,5.0,7,12,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/mastering-autocad-2023-in-2-dimensions/
AutoCAD Plant 3D Masterclass 2026,7104207,Addika Academy,"AutoCAD Plant 3D, Design Tools, Design",AutoCAD,All Levels,6.5 hours,5.0,14,120,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/autocad-plant-3d-masterclass-2026/
Complete AutoCAD Course: Beginner to Advanced Masterclass,7055295,Sayed Qasim Nawid,"Architectural Design, Design",AutoCAD,All Levels,6.5 hours,N/A,N/A,10,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/complete-autocad-course-from-beginner-to-advanced/
"Natural Gas, LPG & Condensate Plant Design & Simulation",6961887,Eng Mahmoud,"Engineering, Teaching & Academics",AutoCAD,All Levels,7.5 hours,5.0,2,3,"Rp149,000",3/2026,3,0,0,https://www.udemy.com/course/natural-gas-lpg-condensate-plant-design-simulation/
AutoCAD Tutorials,7114841,Samanwita Bagg,"Engineering, Teaching & Academics",AutoCAD,Intermediate,3 hours,5.0,N/A,N/A,"Rp149,000",N/A,0,0,6,https://www.udemy.com/course/autocad-tutorials/
AutoCAD Mastery A-Z: Beginner to Advanced Level,7114497,Mohamed Fayas,"AutoCAD, Design Tools, Design",AutoCAD,Beginner,5.5 hours,4.6,N/A,100,"Rp149,000",4/2026,0,0,1,https://www.udemy.com/course/autocad-mastery-a-z-beginner-to-advanced-level/
