course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Autodesk Fusion 360 (2026) - Complete Beginners Guide,6439263,Christopher Richardson,"Autodesk Fusion, Mechanical Engineering, CAD Software, 3D & Animation, Design",Autodesk Fusion,Beginner,10.5 hours,4.7,1949,8507,"Rp159,000",3/2026,0,0,43,https://www.udemy.com/course/autodesk-fusion-360-year-2025-complete-beginners-guide/
Fusion 360 Beginners Course,2668390,Jaiprakash Pandey,"Autodesk Fusion, 3D & Animation, Design",Autodesk Fusion,Beginner,15.5 hours,4.7,6297,28401,"Rp149,000",2/2023,0,0,2,https://www.udemy.com/course/fusion-360-beginners-course/
Complete Fusion 360 All-in-One Course for Beginners (2025),6688295,CADArtifex LLC,"Autodesk Fusion, 3D Modeling, Design Tools, Design",Autodesk Fusion,All Levels,15 hours,4.4,118,1897,"Rp149,000",4/2026,1,0,126,https://www.udemy.com/course/complete-fusion-360-all-in-one-course-for-beginners/
Designing for 3D Printing with Fusion 360,958668,Vladimir Mariano,"Autodesk Fusion, 3D Modeling, 3D Printing, 3D & Animation, Design",Autodesk Fusion,Beginner,4 hours,4.6,9909,38351,"Rp159,000",7/2021,7,0,0,https://www.udemy.com/course/designing-for-3d-printing-with-fusion-360/
Design For 3D Printing | Fusion 360 Masterclass,3991118,Steven Wolfe,"3D Printing, Autodesk Fusion, Other Design, Design",Autodesk Fusion,Beginner,9.5 hours,4.4,905,6088,"Rp149,000",12/2022,1,0,0,https://www.udemy.com/course/design-for-3d-printing-fusion-360-masterclass/
Fusion: Start To Finish Course (2026 Edition),2711086,Steven Mosbrucker,"Autodesk Fusion, 3D & Animation, Design",Autodesk Fusion,All Levels,12.5 hours,4.1,1152,7497,"Rp149,000",2/2026,1,0,10,https://www.udemy.com/course/beginning-fusion-360/
Autodesk Fusion 360 - 3D Modeling and CNC Basics,5844088,Tai Fiebig,"3D Modeling, Manufacturing, Computer Numerical Control (CNC), 3D & Animation, Design",Autodesk Fusion,Beginner,7.5 hours,4.7,177,906,"Rp149,000",1/2025,2,0,6,https://www.udemy.com/course/autodesk_fusion_cnc/
Fusion 360 Complete Course,3181440,Mike Freeman,"Autodesk Fusion, 3D Printing, CAD Software, 3D & Animation, Design",Autodesk Fusion,All Levels,9.5 hours,4.6,1667,7173,"Rp159,000",5/2023,0,0,0,https://www.udemy.com/course/fusion-360-complete-course/
Fusion 360 Design for 3D Printing,4681946,Mike Freeman,"Autodesk Fusion, Design Tools, Design",Autodesk Fusion,Intermediate,5.5 hours,4.3,115,937,"Rp149,000",7/2022,0,0,1,https://www.udemy.com/course/fusion-360-design-for-3d-printing/
Fusion 360 Component Assembly and Joint Design,4541680,J Aatish Rao,"Autodesk Fusion, Assembly Modeling, Mechanical Engineering, Autodesk, 3D & Animation",Autodesk Fusion,Intermediate,4.5 hours,4.6,57,707,"Rp149,000",6/2025,1,0,6,https://www.udemy.com/course/fusion-360-component-assembly/
Beginners Guide to 3D Printing - Bootcamp with Fusion 360,5215802,Philip Cotton,"3D Printing, Autodesk Fusion, CAD Software, 3D & Animation, Design",Autodesk Fusion,Beginner,4 hours,4.6,193,1168,"Rp149,000",5/2024,0,0,13,https://www.udemy.com/course/beginners-ultimate-guide-to-3d-printing-fusion-360/
Learn Fusion 360 with Real-World Mechanical Projects,6571209,CADArtifex LLC,"Autodesk Fusion, Design Tools, Design",Autodesk Fusion,All Levels,8 hours,4.3,34,275,"Rp149,000",8/2025,1,0,54,https://www.udemy.com/course/learn-fusion-360-with-real-world-mechanical-projects/
Fusion 360 Modeling Course - Power Drill,3755894,Kendale Jones,"Autodesk Fusion, 3D Modeling, Product Design, 3D & Animation, Design",Autodesk Fusion,All Levels,2.5 hours,4.6,46,193,"Rp149,000",1/2021,0,0,5,https://www.udemy.com/course/fusion-360-modeling-course-power-drill/
Fusion 360 Practice Questions,6779963,sarvesh Malakolikar,"Engineering, Teaching & Academics",Autodesk Fusion,Intermediate,N/A,4.8,2,6,"Rp149,000",8/2025,0,0,0,https://www.udemy.com/course/fusion-360-practice-questions/
Fusion 360 Surface Design & T-Spline Sculpting,6636321,CADArtifex LLC,"Autodesk Fusion, Engineering, Teaching & Academics",Autodesk Fusion,Beginner,3 hours,4.5,39,219,"Rp149,000",6/2025,1,0,69,https://www.udemy.com/course/fusion-360-surface-design-t-spline-sculpting/
"Autodesk Inventor, a complete guide from beginner to expert",3899754,Marius Brink,"Autodesk Inventor, Design Thinking, Technical Drawing, Engineering Instruction, Design Tools",Autodesk Fusion,All Levels,26 hours,4.6,1245,6716,"Rp159,000",4/2021,0,0,30,https://www.udemy.com/course/complete-guide-to-autodesk-inventor-from-beginner-to-expert/
Beginner's Guide to Fusion 360: Learn 3D Design the Easy Way,3634844,Philip Cotton,"Autodesk Fusion, 3D Modeling, 3D & Animation, Design",Autodesk Fusion,Beginner,1.5 hours,4.5,72,625,"Rp149,000",8/2023,0,0,2,https://www.udemy.com/course/learn-the-basics-of-fusion-360/
Fusion 360 for CNC - The best guide for beginners,3986136,Mathieu Dorion,"Autodesk Fusion, Computer Numerical Control (CNC), 3D & Animation, Design",Autodesk Fusion,All Levels,2 hours,4.6,379,2111,"Rp149,000",8/2023,1,0,5,https://www.udemy.com/course/fusion-360-for-cnc-a-cam-masterclass/
Autodesk Inventor (Year 25/2026) - Complete Beginners Guide,6316513,Christopher Richardson,"Autodesk Inventor, CAD Software, Mechanical Engineering, 3D & Animation, Design",Autodesk Fusion,Beginner,8.5 hours,4.7,348,1105,"Rp159,000",2/2026,0,0,29,https://www.udemy.com/course/autodesk-inventor-2025-complete-beginners-guide/
Best Fusion 360 Mastery Course | Certificate Preparation,5403980,sarvesh Malakolikar,"Autodesk Fusion, 3D Modeling, CAD Software, Mechanical Engineering, Other Design",Autodesk Fusion,Beginner,6 hours,4.6,28,201,"Rp149,000",4/2025,0,0,15,https://www.udemy.com/course/fusion-360-mastery-certificate-preparation-course/
"Fusion 360 Step by Step | CAD, FEM & CAM for Beginners",4244208,M.Eng. Johannes Wild,"Autodesk Fusion, CAD Software, Design Theory, Engineering, Teaching & Academics",Autodesk Fusion,Beginner,3.5 hours,4.4,77,439,"Rp149,000",8/2021,0,0,16,https://www.udemy.com/course/fusion-360-step-by-step-cad-fem-cam-for-beginners/
Fusion 360 3D Modeling Course,3667736,Kendale Jones,"Autodesk Fusion, 3D & Animation, Design",Autodesk Fusion,All Levels,3 hours,4.6,114,505,"Rp149,000",12/2020,0,0,1,https://www.udemy.com/course/fusion-360-modeling-course/
3D Printing from Zero to Hero in Blender – FDM & MSLA,839134,Thomas McDonald,"3D Printing, Blender, 3D Modeling, 3D & Animation, Design",Autodesk Fusion,Beginner,10 hours,4.6,2073,17928,"Rp159,000",2/2026,4,0,119,https://www.udemy.com/course/learn-3d-printing/
Assemble Parts and Components in Fusion 360,2858304,Jomarc Baquiran,"Autodesk Fusion, Design Tools, Design",Autodesk Fusion,Intermediate,3 hours,4.7,128,784,"Rp149,000",4/2020,0,0,23,https://www.udemy.com/course/assemble-parts-and-components-in-fusion-360-d/
Fusion 360 For Woodworking,5417258,Mike Freeman,"Autodesk Fusion, Other Design, Design",Autodesk Fusion,Beginner,5 hours,4.1,93,447,"Rp149,000",9/2025,0,0,0,https://www.udemy.com/course/fusion-360-for-woodworking/
Autodesk Fusion For Complete Beginners,5999970,Martin Lennernäs,"Autodesk Fusion, Other IT & Software, IT & Software",Autodesk Fusion,Beginner,3 hours,4.2,4,15,"Rp149,000",2/2025,0,0,0,https://www.udemy.com/course/autodesk-fusion-for-beginners/
Fusion 360 for 3D Printing - Creating Curved Bodies,1251104,Vladimir Mariano,"3D Printing, CAD Software, 3D Sculpting, Autodesk Fusion, 3D & Animation",Autodesk Fusion,Intermediate,1.5 hours,4.6,535,3115,"Rp149,000",11/2019,0,0,0,https://www.udemy.com/course/fusion-360-for-3d-printing-creating-curved-bodies/
Autodesk Fusion 360 Basic Course,4480596,Pjotrs Vartminskis,"Autodesk Fusion, Autodesk, 3D & Animation, Design",Autodesk Fusion,Beginner,8.5 hours,4.5,13,80,"Rp149,000",4/2022,0,0,19,https://www.udemy.com/course/autodesk-fusion-basic-course/
