course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
"The Professional Bass Masterclass - Bass 1, Bass 2, Bass 3",917432,Rajiv Narang,"Bass Guitar, Music Composition, Instruments, Music",Bass Guitar,All Levels,10 hours,4.7,3683,27373,"Rp299,000",7/2024,12,0,17,https://www.udemy.com/course/the-professional-bass-masterclass/
BASS MASTER CLASS - Beginner Bass Intermediate to Mastery!,2373704,Lesson Pros,"Bass Guitar, Instruments, Music",Bass Guitar,All Levels,17.5 hours,4.7,751,4887,"Rp159,000",11/2025,2,0,38,https://www.udemy.com/course/beginner-bass-course-bass-mastery-bass-guitar-electric-bass/
Ultimate Bass Guitar Course For Beginners,4651616,John Viers II,"Bass Guitar, Instruments, Music",Bass Guitar,Beginner,4.5 hours,4.6,100,463,"Rp149,000",4/2022,0,0,0,https://www.udemy.com/course/nothingbutbass/
Complete electric bass course to improve your technique,4562684,Massimiliano Alfieri,"Bass Guitar, Instruments, Music",Bass Guitar,Intermediate,15.5 hours,4.8,4,74,"Rp149,000",5/2024,1,0,1,https://www.udemy.com/course/complete-electric-bass-course-to-improve-your-technique/
25 Songs To Go From Beginner To Stage-Ready/Bass Guitar,6148787,John Viers II,"Bass Guitar, Instruments, Music",Bass Guitar,Beginner,8 hours,4.6,12,175,"Rp149,000",8/2024,0,0,24,https://www.udemy.com/course/25-songs-to-go-from-beginner-to-stage-ready/
Bass Guitar Master Class - The Ultimate Guide,3607960,Umut Aksoy,"Bass Guitar, Instruments, Music",Bass Guitar,All Levels,6.5 hours,4.2,134,1142,"Rp149,000",5/2024,1,0,13,https://www.udemy.com/course/beginner-bass-course-fingerstyle/
Ultimate Bass Technique Workout,1272354,Bogdan Radovic,"Bass Guitar, Instruments, Music",Bass Guitar,All Levels,3.5 hours,4.7,68,677,"Rp149,000",11/2019,0,0,0,https://www.udemy.com/course/ultimate-bass-technique-workout/
Beginner Bass Guitar Lessons: A Complete Guide,4548148,Marc Barnacle,"Bass Guitar, Music Theory, Songwriting, Music Improvisation, Instruments",Bass Guitar,Beginner,2 hours,4.5,213,1670,"Rp149,000",11/2023,0,0,20,https://www.udemy.com/course/beginner-bass-guitar-lessons-a-complete-guide/
How to Groove on Bass Like A Pro,2790776,Igor Odaryuk,"Bass Guitar, Instruments, Music",Bass Guitar,All Levels,2.5 hours,4.7,13,201,"Rp149,000",11/2024,0,0,6,https://www.udemy.com/course/bass-grooves/
Bass Guitar Masterclass: Learn to Play Bass in 30 days,6381505,Kelvin James,"Bass Guitar, Instruments, Music",Bass Guitar,All Levels,1 hour,4.3,32,154,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/bass-guitar-masterclass-crash-course/
Bass Guitar Lessons For Beginners,820086,Todd Porter,"Bass Guitar, Guitar, Music Theory, Instruments, Music",Bass Guitar,Beginner,2.5 hours,4.6,602,2894,"Rp149,000",2/2019,0,0,4,https://www.udemy.com/course/the-music-coach-online-bass-guitar-lesson-program/
How to SLAP bass like a PRO,4856722,Igor Odaryuk,"Bass Guitar, Instruments, Music",Bass Guitar,All Levels,2.5 hours,4.5,30,273,"Rp149,000",12/2024,1,0,94,https://www.udemy.com/course/how-to-slap-bass-like-a-pro/
The Ultimate Online Bass Course,5948722,Howard Head,"Bass Guitar, Instruments, Music",Bass Guitar,All Levels,2 hours,4.1,26,230,"Rp149,000",12/2024,0,0,11,https://www.udemy.com/course/the-ultimate-online-bass-course/
Bass guitar supplemental lessons,6021594,Enter Academy Group,"Bass Guitar, Instruments, Music",Bass Guitar,Intermediate,9.5 hours,5.0,2,41,"Rp149,000",6/2024,1,0,0,https://www.udemy.com/course/bass-guitar-supplemental-lessons/
Complete Guitar Lessons System - Beginner to Advanced,42271,Erich Andreas,"Guitar, Blues Guitar, Guitar Chords, Acoustic Guitar, Instruments",Bass Guitar,All Levels,40 hours,4.6,46101,321996,"Rp169,000",7/2025,0,0,195,https://www.udemy.com/course/complete-guitar-system-beginner-to-advanced/
Bass Guitar Lessons For Intermediate,2645448,Todd Porter,"Bass Guitar, Instruments, Music",Bass Guitar,Intermediate,3 hours,4.2,49,309,"Rp149,000",11/2019,0,0,10,https://www.udemy.com/course/bass-guitar-lessons-for-intermediate/
Beginner To Advanced Blues Guitar Masterclass,476988,Henry Olsen,"Blues Guitar, Guitar, Instruments, Music",Bass Guitar,Beginner,11.5 hours,4.6,471,13350,"Rp149,000",4/2025,0,0,35,https://www.udemy.com/course/beginner-blues-guitar/
Walking Bass - Quick Start Guide,665278,Bogdan Radovic,"Bass Guitar, Instruments, Music",Bass Guitar,All Levels,1 hour,4.5,114,785,"Rp149,000",11/2019,0,0,32,https://www.udemy.com/course/walking-bass-quick-start-guide/
Electric Bass for Busy Beginners Course 1,455676,Ted Gould,"Bass Guitar, Instruments, Music",Bass Guitar,All Levels,1.5 hours,4.3,78,374,"Rp149,000",4/2015,0,0,0,https://www.udemy.com/course/bassforbusybeginners/
Bass Guitar Setup and Stringing: A Comprehensive Guide,1398480,David Taub,"Bass Guitar, Guitar, Instruments, Music",Bass Guitar,Beginner,1 hour,4.3,46,236,"Rp149,000",10/2017,0,0,0,https://www.udemy.com/course/bass-guitar-setup-and-stringing-a-comprehensive-guide/
ADVANCED BASS GUITAR SCALES,6086439,"Marko ""Coconut"" Sternal","Bass Guitar, Instruments, Music",Bass Guitar,All Levels,3 hours,4.3,4,22,"Rp149,000",7/2024,0,0,0,https://www.udemy.com/course/advanced-bass-guitar-scales/
