course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
"Makeup Artistry Basic to Masterclass , Online Makeup Course",3193072,Hajar Beauty Academy,"Makeup Artistry, Cosmetics, Beauty & Makeup, Lifestyle",Beauty & Makeup,All Levels,7 hours,4.6,2724,13744,"Rp159,000",11/2024,0,0,4,https://www.udemy.com/course/makeup-artistry-from-basic-to-masterclass/
Black Beauty Makeup Master Course For Dark Skin Women,2243654,AFRICAN MINIMALIST Basic Looks,"Makeup Artistry, Beauty, Beauty & Makeup, Lifestyle",Beauty & Makeup,Beginner,2 hours,3.5,39,228,"Rp149,000",3/2019,4,0,23,https://www.udemy.com/course/black-beauty-makeup-master-course-for-dark-skin-women/
Confident Beauty: Self-Makeup Course,6841637,Amaliia Saakian,"Makeup Artistry, Beauty & Makeup, Lifestyle",Beauty & Makeup,Intermediate,1 hour,4.6,3,8,"Rp149,000",9/2025,0,0,0,https://www.udemy.com/course/confident-beauty-self-makeup-course/
Mastering Airbrush Makeup Techniques for Flawless Beauty,1546210,"Monique Cosmetique, LLC","Makeup Artistry, Beauty & Makeup, Lifestyle",Beauty & Makeup,Intermediate,1 hour,5.0,1,4,"Rp249,000",9/2024,13,0,6,https://www.udemy.com/course/airbrush-makeup-techniques/
Make-up for Beginners: learn doing make-up like a Pro,398016,Lana Vallo,"Cosmetics, Beauty & Makeup, Lifestyle",Beauty & Makeup,All Levels,6 hours,4.6,918,5479,"Rp159,000",8/2023,1,0,0,https://www.udemy.com/course/training-course-on-professional-makeup-for-beginners/
"Makeup Artistry Masterclass , Online Makeup Course Part 2",4776370,Hajar Beauty Academy,"Makeup Artistry, Beauty & Makeup, Lifestyle",Beauty & Makeup,All Levels,3.5 hours,4.5,106,721,"Rp149,000",11/2024,0,0,1,https://www.udemy.com/course/makeup-artistry-masterclass-makeup-online-training-course/
Unlock the Secrets to Natural Makeup: A Newbie's Guide,6133313,Katrina Haeusler,"Makeup Artistry, Personal Brand Building, Personal Development",Beauty & Makeup,Beginner,1 hour,5.0,1,5,"Rp149,000",9/2024,0,0,0,https://www.udemy.com/course/eezypeezy/
"Makeup, Skin Care, Fashion and Beauty for the Home",2599624,Greg Coon,"Makeup Artistry, Skincare, Beauty & Makeup, Lifestyle",Beauty & Makeup,All Levels,13.5 hours,4.3,35,212,"Rp249,000",4/2020,0,0,0,https://www.udemy.com/course/healthy-by-beauty-home/
The Complete Makeup Artistry Course - Beginner to Pro,4557912,Amy Loring,"Makeup Artistry, Beauty & Makeup, Lifestyle",Beauty & Makeup,Beginner,7.5 hours,4.6,300,1411,"Rp149,000",5/2023,0,0,17,https://www.udemy.com/course/the-complete-makeup-artistry-course-beginner-to-pro-2022/
"Indian Bridal Makeup Masterclass, Professional Make-up",3027798,Hajar Beauty Academy,"Makeup Artistry, Beauty, Cosmetics, Beauty & Makeup, Lifestyle",Beauty & Makeup,Intermediate,2 hours,4.7,130,585,"Rp149,000",5/2024,0,0,1,https://www.udemy.com/course/bridal-makeup-masterclass-indian-bridal-make-up/
