course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
"Big Data Engineering Bootcamp with GCP, and Azure Cloud",6242299,"Krish Naik, Mayank Aggarwal, KRISHAI Technologies Private Limited","Big Data, Finance, Finance & Accounting",Big Data,All Levels,74 hours,4.6,2226,18320,"Rp159,000",5/2025,4,0,16,https://www.udemy.com/course/big-data-engineering-bootcamp-with-gcp-and-azure-cloud/
"Big Data for Beginners 2026|Spark, Hadoop, kafka and more",4870802,Deesa Technologies,"Big Data, Apache Kafka, Apache Spark, Scala, Data Science",Big Data,All Levels,36.5 hours,4.3,354,3047,"Rp159,000",3/2026,55,0,61,https://www.udemy.com/course/the-big-data-developer-course/
The Ultimate Hands-On Hadoop: Tame your Big Data!,996228,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team","Big Data, Distributed Computing, Apache Hadoop, Business Analytics & Intelligence, Business",Big Data,All Levels,14.5 hours,4.6,31090,190043,"Rp159,000",9/2025,9,0,2,https://www.udemy.com/course/the-ultimate-hands-on-hadoop-tame-your-big-data/
AWS Certified Data Engineer Associate 2026 - Hands On!,5591620,"Sundog Education by Frank Kane, Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified Data Engineer - Associate, IT Certifications, IT & Software",Big Data,All Levels,24.5 hours,4.6,12547,105091,"Rp169,000",4/2026,9,3,1,https://www.udemy.com/course/aws-data-engineer/
Practice Exams | AWS Certified Data Engineer Associate[2025],5630800,Thomas Hass,"AWS Certified Data Engineer - Associate, IT Certifications, IT & Software",Big Data,N/A,N/A,4.2,372,3899,"Rp159,000",1/2025,0,0,0,https://www.udemy.com/course/practice-exams-aws-certified-data-engineer-associate/
The Data Science Course: Complete Data Science Bootcamp 2026,1754098,365 Careers,"Data Science, Development",Big Data,All Levels,31.5 hours,4.6,160503,797342,"Rp169,000",2/2026,93,131,546,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/
"Data Analytics, Data Science, & Machine Learning - All in 1",6833239,Analytix AI,"Data Science, Data Analysis, Machine Learning, Business Analytics & Intelligence, Business",Big Data,All Levels,66 hours,4.6,4393,9539,"Rp159,000",2/2026,35,125,70,https://www.udemy.com/course/data-analytics-data-science-machine-learning-all-in-1/
"Data Engineering for Beginners: Learn SQL, Python & Spark",3848374,"Durga Viswanatha Raju Gadiraju, Phani Bhushan Bozzam, Vinay Gadiraju","Data Engineering, Apache Spark, Python, SQL, Other IT & Software",Big Data,Intermediate,56 hours,4.3,8277,108379,"Rp159,000",3/2026,2,0,6,https://www.udemy.com/course/data-engineering-essentials-sql-python-and-spark/
Taming Big Data with Apache Spark 4 and Python - Hands On!,622414,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team","Python, Big Data, Apache Spark, Data Science, Development",Big Data,All Levels,9 hours,4.5,17981,113634,"Rp159,000",2/2026,4,0,33,https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/
Learn Big Data: The Hadoop Ecosystem Masterclass,768670,Edward Viaene,"Big Data, Apache Hadoop, Other IT & Software, IT & Software",Big Data,All Levels,6.5 hours,4.2,8893,42400,"Rp159,000",6/2025,1,0,1,https://www.udemy.com/course/learn-big-data-the-hadoop-ecosystem-masterclass/
Spark and Python for Big Data with PySpark,980798,"Jose Portilla, Pierian Training","PySpark, Big Data, Python, Data Science, Development",Big Data,Intermediate,10.5 hours,4.5,26387,149458,"Rp159,000",5/2020,4,0,4,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/
Data Lake Mastery: The Key to Big Data & Data Engineering,5645008,Nikolai Schuler,"Big Data, Data Modeling, Data Engineering, Business Analytics & Intelligence, Business",Big Data,All Levels,10 hours,4.9,599,6376,"Rp149,000",3/2026,3,0,24,https://www.udemy.com/course/data-lake-mastery-the-key-to-big-data-data-engineering/
PySpark - Apache Spark Programming for Beginners (2026),3184584,"Prashant Kumar Pandey, Learning Journal","Apache Spark, Data Science, Development",Big Data,All Levels,28.5 hours,4.6,16269,97334,"Rp159,000",1/2026,3,0,15,https://www.udemy.com/course/apache-spark-programming-in-python-for-beginners/
