course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Complete Blender Creator: 3D Modelling (Compatible with 4.3),438522,"GameDev.tv Team, Rick Davidson, Grant Abbitt","3D Modeling, Game Development Fundamentals, 3D Animation, Blender, 3D & Animation",Blender,All Levels,14 hours,4.8,68401,345031,Free,2/2026,4,0,85,https://www.udemy.com/course/blendertutorial/
Complete Blender Megacourse: Beginner to Expert,4651924,Skillademia Academy,"Blender, 3D Animation, 3D Modeling, 3D Texturing, 3D & Animation",Blender,All Levels,131 hours,4.5,10548,70466,"Rp169,000",3/2026,0,0,16,https://www.udemy.com/course/complete-blender-megacourse-beginner-to-expert/
Blender 3D for Beginners Complete Modeling & Texturing guide,6276849,"The Parabox 3D, 3d production house","Blender, 3D Rendering, 3D Texturing, 3D Modeling, 3D & Animation",Blender,All Levels,11.5 hours,4.5,809,10607,"Rp169,000",11/2025,3,0,5,https://www.udemy.com/course/blender-3d-for-beginners-complete-modeling-and-texturing-guide/
Blender Character Creator for Video Games,1356020,"GameDev.tv Team, Rick Davidson, Grant Abbitt","3D Animation, Blender, 3D Game Development, 3D Rigging, Game Development",Blender,Beginner,34.5 hours,4.8,8953,60607,"Rp169,000",3/2026,4,0,118,https://www.udemy.com/course/blendercharacters/
Full game character in Blender course - Moth Girl,6686537,NIkolay Naydenov,"Blender, Game Design, Design",Blender,Intermediate,50 hours,4.8,244,2313,"Rp159,000",6/2025,0,0,1,https://www.udemy.com/course/full-game-character-in-blender-course-moth-girl/
Complete Blender 2026: Beginner to Studio Ready,6775439,Artem Academy,"3D Modeling, 3D Animation, Blender, 3D Rendering, 3D & Animation",Blender,Beginner,9 hours,4.5,115,739,"Rp149,000",1/2026,0,0,51,https://www.udemy.com/course/blender-start/
Blender Essentials - 3D Modelling Training Course,6662041,Daniel Walter Scott,"Blender, 3D Modeling, 3D & Animation, Design",Blender,Beginner,8.5 hours,4.7,322,1821,"Rp159,000",7/2025,0,0,1,https://www.udemy.com/course/blender-essentials-3d-modelling-training-course/
Creating 3D environments in Blender,683198,"Rob Tuytel, CG Obaid (Obaidur Rahman)","3D Modeling, 3D Environment Modeling, 3D Lighting, Blender, 3D & Animation",Blender,All Levels,38 hours,4.7,14294,114792,"Rp159,000",11/2025,0,0,18,https://www.udemy.com/course/blender-environments/
"The Ultimate Blender 3D Simulations, Physics & Particles",6148541,Alex Cordebard,"Blender, 3D & Animation, Design",Blender,All Levels,37.5 hours,4.8,535,5652,"Rp159,000",3/2026,1,0,16,https://www.udemy.com/course/blender-simulations-physics-particles/
Blender Fundamentals - Modeling,4862004,Stephen Ulibarri,"Blender, 3D & Animation, Design",Blender,Beginner,9.5 hours,4.8,735,3937,"Rp159,000",2/2026,2,0,3,https://www.udemy.com/course/blender-fundamentals-modeling/
The Ultimate Blender 3D Geometry Nodes Course,5280062,Alex Cordebard,"Blender, 3D & Animation, Design",Blender,All Levels,54.5 hours,4.7,1624,14844,"Rp159,000",3/2026,1,0,29,https://www.udemy.com/course/geometry-nodes/
Blender Animation & Rigging: Bring Your Creations To Life,5602736,"GameDev.tv Team, Grant Abbitt","Blender, Character Rigging, 3D Animation, Character Animation, Game Development",Blender,All Levels,8 hours,4.8,1631,14034,"Rp159,000",7/2025,0,0,70,https://www.udemy.com/course/blender-animation-rigging/
Introduction to 3D Characters Modeling in Blender,7018859,Cisco Raya,"Blender, 3D Rendering, Character Design, 3D Modeling, 3D & Animation",Blender,Beginner,25 hours,4.5,3,62,"Rp149,000",2/2026,0,0,1,https://www.udemy.com/course/introduction-to-3d-characters-modeling-in-blender/
Blender 5 to Unreal Engine 5: Modular Haunted Street Course,7068543,3D Tudor,"3D Environment Modeling, Blender, Unreal Engine, 3D Game Development, 3D & Animation",Blender,Intermediate,31 hours,4.9,10,221,"Rp149,000",2/2026,0,0,2,https://www.udemy.com/course/blender-5-ue57-stylized-haunted-street-kit/
Blender 5 Project Based Bootcamp: 40+ Hands On Mini Projects,7045933,"Codestars • over 2.5 million students worldwide!, Raja Biswas","Blender, 3D Rendering, 3D Animation, 3D Modeling, 3D & Animation",Blender,Beginner,11 hours,4.6,8,181,"Rp149,000",3/2026,41,0,75,https://www.udemy.com/course/blender-project-based-bootcamp/
The Ultimate Blender Course from Beginner to Pro & Get Paid,7072167,Bodhi The Blenderender,"3D Animation, Video Editing, Generative AI (GenAI), Digital Marketing, Marketing",Blender,Beginner,47 hours,4.6,34,227,"Rp349,000",4/2026,1,0,73,https://www.udemy.com/course/the-ultimate-blender-course/
Blender : Takoyaki Shop,7012465,Kornwanast Samachiktummakun,"3D Modeling, 3D Rendering, 3D Animation, Blender, 3D & Animation",Blender,Beginner,2.5 hours,4.8,N/A,N/A,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/blender-takoyaki-shop/
Learn 3D Animation - The Ultimate Blender A-Z Guide,7060815,My 3D Class,"3D Animation, Character Animation, 3D Modeling, Blender, 3D & Animation",Blender,All Levels,13 hours,5.0,3,11,"Rp149,000",3/2026,0,0,26,https://www.udemy.com/course/learn-3d-animation-the-ultimate-blender-a-z-guide/
Stylized Japanese Environments in Blender,7118379,"3D Tudor, Marcus Rosefield","Blender, 3D Rendering, 3D Modeling, 3D & Animation, Design",Blender,Beginner,11 hours,4.5,N/A,73,"Rp149,000",N/A,0,0,1,https://www.udemy.com/course/stylized-japanese-environments-in-blender/
Blender Python Addon Development Vol 1,7047293,Kenzo CG.Boundary,"Python, Blender, Programming Languages, Development",Blender,Beginner,15 hours,2.5,1,17,"Rp149,000",2/2026,0,0,1,https://www.udemy.com/course/blender-addon-development-with-python-vol-1/
Learn Architectural Design & Animation With Blender,6454981,Edward Harding,"Blender, Interior Design, Architectural Design, Design",Blender,All Levels,20 hours,4.7,179,1018,"Rp159,000",9/2025,0,0,3,https://www.udemy.com/course/learn-architectural-design-animation-with-blender/
Blender Environment Artist: Create 3D Worlds,1788810,"GameDev.tv Team, Rick Davidson, Grant Abbitt","Blender, Game Development Fundamentals, 3D Texturing, 3D Rendering, 3D & Animation",Blender,Beginner,12 hours,4.8,4360,46098,"Rp159,000",1/2026,2,0,64,https://www.udemy.com/course/blenderenvironment/
Ultimate Blender 3D Character Creation & Animation Course,2915650,Alex Cordebard,"3D Animation, Animation, Blender, Character Animation, 3D & Animation",Blender,All Levels,35.5 hours,4.7,3500,25249,"Rp159,000",3/2026,1,0,11,https://www.udemy.com/course/blender3dcharacteranimation/
Blender Essentials: 3D Modeling and Animation for Beginner,6232421,"Bevel Studio, Barzu Ibrohimov","Blender, 3D Modeling, 3D Animation, 3D & Animation, Design",Blender,Beginner,15 hours,4.4,274,1589,"Rp159,000",1/2026,0,0,33,https://www.udemy.com/course/blender-4-essentials-3d-modeling-and-animation-for-beginner/
