course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
The Branding Masterclass The Entire Brand Design Process,3543948,Lindsay Marsh,"Graphic Design, Adobe Illustrator, Adobe Photoshop, Logo Design, Graphic Design & Illustration",Branding,Intermediate,8.5 hours,4.7,5514,30976,"Rp159,000",4/2023,0,0,9,https://www.udemy.com/course/the-branding-masterclass-the-entire-brand-design-process/
Branding & Brand Management with Dekker: Branding Strategy+,1263110,"Dekker the Marketer, Jyra Galosmo","Business Branding, Marketing Management, Branding, Marketing",Branding,All Levels,14 hours,4.4,2169,80281,"Rp169,000",2/2026,16,0,12,https://www.udemy.com/course/mini-mba-in-branding/
Business Branding: The Complete Course Part 1 - Strategy,2222324,Steve Houraghan,"Business Branding, Branding, Marketing",Branding,All Levels,3 hours,4.5,7091,27538,"Rp309,000",11/2019,0,0,19,https://www.udemy.com/course/business-branding-complete-course/
Personal Branding Mastery: The System To Reinvent Yourself!,636806,Silviu Marisk | M.B.A.,"Personal Branding, Business Branding, Personal Brand Building, Personal Development",Branding,All Levels,8 hours,4.9,4473,34883,"Rp159,000",2/2026,3,0,28,https://www.udemy.com/course/personal-branding-mastery/
Business Branding: The Complete Course Part 2 - Expression,2313964,Steve Houraghan,"Business Branding, Brand Management, Marketing Plan, Branding, Marketing",Branding,All Levels,4 hours,4.7,2437,15613,"Rp219,000",4/2019,0,0,5,https://www.udemy.com/course/business-branding-complete-course-2/
Advanced Brand Theory: From Identity to Growth,6646221,Ventseslav Hikov,"Brand Management, Business Branding, Marketing Strategy, Branding, Marketing",Branding,Intermediate,2 hours,4.8,108,742,"Rp149,000",2/2026,1,0,34,https://www.udemy.com/course/advanced-brand-theory-from-identity-to-growth/
4-in-1 AI Branding Mastery for Business & Personal Brands,2569950,Sumner Hobart,"Business Branding, Marketing Strategy, Personal Branding, Brand Management, Branding",Branding,All Levels,4.5 hours,4.6,229,5657,"Rp159,000",2/2026,2,0,14,https://www.udemy.com/course/business-branding-for-startups-small-business-branding-ideas-course/
Brand Strategy Bootcamp: Develop Actionable Brand Strategies,3248066,"Scott Adam Lancaster | 31,000+ Students | Entrepreneur | Leading Brand Development Consultant","Brand Management, Business Branding, Business Communication, Strategic Thinking, Branding",Branding,All Levels,2.5 hours,4.5,688,3805,Free,11/2023,0,0,2,https://www.udemy.com/course/strategic-brand-mastery-newly-released/
Graphic Design Masterclass - Learn GREAT Design,1643044,Lindsay Marsh,"Graphic Design, Logo Design, Adobe Illustrator, Adobe Photoshop, Graphic Design & Illustration",Branding,Beginner,31.5 hours,4.6,72874,295284,"Rp169,000",11/2025,1,0,56,https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/
The Strategic Use of AI in Brand Management,6741601,Ventseslav Hikov,"Brand Management, Branding, Marketing",Branding,All Levels,1.5 hours,4.8,75,812,"Rp149,000",11/2025,0,0,28,https://www.udemy.com/course/the-strategic-use-of-ai-in-brand-management/
The Complete Graphic Design Theory for Beginners Course,1864390,"Lindsay Marsh, Jeremy Deighan - 300,000+ Students","Graphic Design, Color Theory, Typography, Design Theory, Graphic Design & Illustration",Branding,Beginner,10 hours,4.6,21772,92764,"Rp359,000",4/2023,1,0,14,https://www.udemy.com/course/graphic-design-theory-for-beginners-course/
Personal Branding Master Course| Become THE Go-To Person,2172976,Ronny Hermosa,"Personal Branding, Branding, Marketing",Branding,All Levels,8 hours,4.7,1029,6819,"Rp149,000",3/2024,5,0,0,https://www.udemy.com/course/personal-branding-master-course-become-the-go-to-person/
