course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
"The No. 1 Breathwork & Meditation course | ""Breath is Life""",2027448,Michaël Bijker,"Breathing Techniques, Meditation, General Health, Health & Fitness",Breathing Techniques,All Levels,18.5 hours,4.7,13343,59528,"Rp219,000",12/2025,3,0,0,https://www.udemy.com/course/breathing/
Certified Breathwork Practitioner Course,6877377,Alain Joseph Monnet,"Mental Health, Health & Fitness",Breathing Techniques,All Levels,3 hours,5.0,5,21,"Rp149,000",10/2025,0,0,1,https://www.udemy.com/course/breathwork-practitioner-certification-course/
Breathwork Teacher Training Certificate Course,4635560,Jessica Fleming,"Breathing Techniques, Yoga, Health & Fitness",Breathing Techniques,All Levels,3.5 hours,4.7,3138,10961,"Rp149,000",5/2024,0,0,2,https://www.udemy.com/course/breathwork-teacher-training-certificate-course/
"The Ultimate Pranayama, Bhandas & Meditation Course",1849848,Michaël Bijker,"Pranayama, Meditation, Breathing Techniques, Yoga, Health & Fitness",Breathing Techniques,All Levels,19 hours,4.8,2470,19952,"Rp359,000",12/2025,3,0,0,https://www.udemy.com/course/pranayama/
Transformational Breathwork For Getting Unstuck [Accredited],5472860,Finally Detached Publishing,"Breathing Techniques, Trauma-Informed Care, Mental Health, Health & Fitness",Breathing Techniques,Beginner,5.5 hours,4.7,501,8178,"Rp149,000",2/2026,4,0,1,https://www.udemy.com/course/transformational-breathwork/
Breathwork Bootcamp - A Complete Course,4108344,Josh Seiler,"Breathing Techniques, Other Health & Fitness, Health & Fitness",Breathing Techniques,All Levels,3 hours,4.8,168,1181,"Rp159,000",7/2024,5,0,0,https://www.udemy.com/course/breathwork-bootcamp/
The Breathing Course. Your ultimate guide to breathwork.,6388867,Scott Townsend,"Breathing Techniques, Meditation, Health & Fitness",Breathing Techniques,All Levels,5.5 hours,4.4,4,30,"Rp159,000",1/2025,0,0,0,https://www.udemy.com/course/the-breathing-course-your-ultimate-guide-to-breathwork/
Pranayama (Breathwork) Teacher Training (Bodsphere),4677810,Bodsphere - Health and Wellness,"Pranayama, Yoga, Health & Fitness",Breathing Techniques,All Levels,19 hours,4.7,1818,10212,"Rp159,000",5/2025,0,0,23,https://www.udemy.com/course/pranayama-breathwork-teacher-training-yoga-alliance/
Learn 22 Breathing Techniques + FREE Breathwork Classes,6352861,"Sarah Michaels, Zein Michaels","Breathing Techniques, Stress Management, Anxiety Management, Personal Transformation, Personal Development",Breathing Techniques,All Levels,1.5 hours,4.8,7,162,"Rp149,000",1/2025,0,0,2,https://www.udemy.com/course/breathworkmastery/
Breathwork OS (Level 1 Certification),6558787,Leif Franklin,"Breathing Techniques, Personal Development, Pranayama, Personal Transformation",Breathing Techniques,All Levels,6 hours,4.8,37,199,"Rp159,000",4/2025,10,0,8,https://www.udemy.com/course/breathworkos/
Beginner Breathwork Course: 8 Breathing Techniques,5709340,Caylin White,"Breathing Techniques, General Health, Health & Fitness",Breathing Techniques,Beginner,2.5 hours,4.7,16,81,"Rp159,000",3/2024,0,0,3,https://www.udemy.com/course/breathwork-course-for-beginners/
Breathing Techniques and Breathwork Certification Course,6168325,Expert Online,"Breathing Techniques, General Health, Health & Fitness",Breathing Techniques,All Levels,2 hours,4.6,41,185,"Rp149,000",2/2026,19,0,72,https://www.udemy.com/course/breathing-techniques-and-breathwork-certification-course/
"The No. 1 QiGong Movement, Breathwork & Meditation course.",2139862,Michaël Bijker,"Qigong, Other Health & Fitness, Health & Fitness",Breathing Techniques,All Levels,11 hours,4.8,4157,29504,"Rp159,000",12/2025,15,0,1,https://www.udemy.com/course/qigong-course/
Kids Breathwork Teacher Training Course,4674342,Jessica Fleming,"Breathing Techniques, Yoga, Health & Fitness",Breathing Techniques,All Levels,1 hour,4.8,352,1473,"Rp159,000",6/2024,0,0,1,https://www.udemy.com/course/kids-breathwork-teacher-training-course/
Basics of Breathing - The Oxygen Advantage Method,4964520,David Dückers,"Breathing Techniques, Yoga, Health & Fitness",Breathing Techniques,All Levels,1 hour,4.4,33,1108,"Rp149,000",7/2023,1,0,1,https://www.udemy.com/course/basics-of-breathing-more-energy-and-less-stress/
Breathwork Facilitator Certification,6012892,Caroline Stewart,"Breathing Techniques, Yoga, Health & Fitness",Breathing Techniques,All Levels,5.5 hours,4.5,185,759,"Rp159,000",2/2025,2,0,1,https://www.udemy.com/course/breathwork-facilitator-certification-foundations-level-1/
The Complete Mindfulness & Meditation Training (MBSR/MBCT),3452988,Stan Cerulus,"Mindfulness, Personal Transformation, Personal Development",Breathing Techniques,All Levels,17.5 hours,4.4,1634,9139,"Rp159,000",11/2025,5,0,19,https://www.udemy.com/course/complete-mindfulness-program/
"Somatics 2: Sense it, Change it & Regain Control - CPD Cert",5281352,Josie McKenlay,"Somatic Therapy, Mind-Body Connection, General Health, Health & Fitness",Breathing Techniques,Intermediate,21.5 hours,4.8,80,1462,"Rp149,000",2/2026,15,0,28,https://www.udemy.com/course/somatics-sense-it-change-it-regain-control/
Master Breathwork and Breathing Techniques Certification!,6168235,Learn Online,"Breathing Techniques, Other Health & Fitness, Health & Fitness",Breathing Techniques,All Levels,2.5 hours,4.4,30,145,"Rp149,000",2/2026,19,0,72,https://www.udemy.com/course/master-breathwork-and-breathing-techniques-certification/
Breathwork for Nervous System Regulation & Stress Management,6747661,Fritz Macasa,"Stress Management, Personal Development",Breathing Techniques,All Levels,2.5 hours,4.8,15,97,"Rp149,000",7/2025,0,0,0,https://www.udemy.com/course/breathwork-for-nervous-system-regulation-stress-management/
Yoga Breath Work & Pranayama for Nervous System Regulation,5376908,"Laura Goellner E-RYT, C-IAYT","Breathing Techniques, Yoga, Health & Fitness",Breathing Techniques,Intermediate,7.5 hours,4.9,18,143,"Rp159,000",5/2024,0,0,6,https://www.udemy.com/course/breath-work-for-self-care/
You’re Breathing Wrong - And It’s Costing You,6595327,Feodor Kouznetsov,"Breathing Techniques, Mental Health, Health & Fitness",Breathing Techniques,All Levels,1.5 hours,4.8,39,1317,"Rp149,000",6/2025,0,0,0,https://www.udemy.com/course/why-you-are-breathing-wrong-by-feodor-breathing/
14 Days to Better Breathing with Feldenkrais®!,4936114,Sarah Templeton,"Breathing Techniques, Other Health & Fitness, Health & Fitness",Breathing Techniques,Beginner,3 hours,4.8,15,285,"Rp149,000",11/2025,1,0,0,https://www.udemy.com/course/14-days-to-better-breathing-with-feldenkrais/
"7-Day Breathwork, Mind & Body Training Program",3426660,Michaël Bijker,"Habits, Breathing Techniques, Meditation, Other Health & Fitness, Health & Fitness",Breathing Techniques,All Levels,5.5 hours,4.9,179,11246,"Rp149,000",12/2025,13,0,3,https://www.udemy.com/course/habit-patterns/
Breathing and the importance of meditation for good health,3991882,Peter Paul Parker,"Breathing Techniques, Meditation, Health & Fitness",Breathing Techniques,Beginner,2.5 hours,5.0,8,52,"Rp149,000",1/2025,1,0,0,https://www.udemy.com/course/breath-work-breathing-and-the-importance-of-meditation/
THE BREATH: How to control your energy levels,4049346,Matea Nikolić,"Breathing Techniques, Energy Healing, Health, Yoga, Health & Fitness",Breathing Techniques,All Levels,40 mins,5.0,42,108,"Rp149,000",5/2021,0,0,0,https://www.udemy.com/course/the-breath-how-to-control-your-energy-levels/
Breathwork: Transform Your Life Through Breathing Techniques,5790290,Ch Aqib,"Breathing Techniques, General Health, Health & Fitness",Breathing Techniques,All Levels,1.5 hours,4.7,25,100,"Rp149,000",11/2024,16,0,40,https://www.udemy.com/course/breathwork-transform-your-life-through-breathing-techniques/
Taoist Mindfulness: 36 Meditation Lessons for Inner Peace,6721030,Wonder Orient,"Mindfulness, Meditation, Personal Development, Health & Fitness",Breathing Techniques,All Levels,3.5 hours,4.6,174,595,"Rp149,000",7/2025,0,0,0,https://www.udemy.com/course/taoist-mindfulness-36-meditation-lessons-for-inner-peace/
Transform Your Core with breathwork and Hypopressives,6082095,Greys Marquez,"Posture, Other Health & Fitness, Health & Fitness",Breathing Techniques,Beginner,5.5 hours,4.9,9,167,"Rp149,000",7/2024,16,0,0,https://www.udemy.com/course/core-breathwork-hypopressives/
Learn The Buteyko Breathing Method,4588564,Maria Shapley,"Breathing Techniques, Mental Health, Health & Fitness",Breathing Techniques,Beginner,5.5 hours,3.7,25,308,"Rp149,000",8/2022,0,0,1,https://www.udemy.com/course/learn-the-buteyko-breathing-method/
Transformational Breathwork For Anxiety [Accredited],6317509,Finally Detached Publishing,"Breathing Techniques, Stress Management, Depression Relief, Anxiety Management, Mental Health",Breathing Techniques,Intermediate,2.5 hours,4.9,95,573,"Rp149,000",2/2026,1,0,0,https://www.udemy.com/course/transformational-anxiety-breathwork/
300 Hours Advanced Yoga Teacher Training: Part 3 (Bodsphere),4912316,Bodsphere - Health and Wellness,"Yoga, Health & Fitness",Breathing Techniques,All Levels,21 hours,4.7,955,4941,"Rp159,000",1/2026,0,0,14,https://www.udemy.com/course/300-hours-yoga-teacher-training-part-3-yoga-alliance/
Become a Breathwork and Meditation Coach Practitioner,5873824,Cuddy Cudworth Priority Mind Management Training in Excellence,"Breathing Techniques, Personal Transformation, Personal Development",Breathing Techniques,Intermediate,9 hours,4.4,143,765,"Rp159,000",5/2024,4,0,35,https://www.udemy.com/course/become-a-breathwork-and-meditation-coach-practitioner/
Breathing Essentials: How to Breathe for Life,3422266,Debra Dent,"Breathing Techniques, General Health, Health & Fitness",Breathing Techniques,Beginner,1.5 hours,4.7,31,175,"Rp149,000",1/2023,5,0,3,https://www.udemy.com/course/breathing-essentials-how-to-breathe-for-life/
Certified Somatic Integration Practitioner ACCREDITED,6142951,Shana Neril,"Somatic Therapy, Consciousness, Mind-Body Connection, Trauma-Informed Care, Mental Health",Breathing Techniques,All Levels,5.5 hours,4.5,395,2165,"Rp159,000",3/2026,6,0,80,https://www.udemy.com/course/trauma-informed-somatic-integration-practitioner/
Focus Mastery System: Zen Breathing for Work & Study,6657503,Wonder Orient,"Focus Mastery, Personal Development, Personal Productivity, Memory & Study Skills",Breathing Techniques,All Levels,3 hours,4.9,90,664,"Rp159,000",6/2025,0,0,0,https://www.udemy.com/course/focus-mastery-system-zen-breathing-for-work-study/
