course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
The Business Intelligence Analyst Course 2026,1653432,"365 Careers, 365 Team","Business Analysis, Business Analytics, Business Analytics & Intelligence, Business",Business Analytics & Intelligence,All Levels,21.5 hours,4.5,48897,254309,Free,2/2026,178,180,250,https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/
SQL Mastery for Data Analytics and Business Intelligence,6987295,Baraa Khatib Salkini,"SQL, Data Analysis, Business Intelligence (BI), Data Science, Business Analytics & Intelligence",Business Analytics & Intelligence,All Levels,N/A,4.8,222,925,N/A,2/2026,0,0,0,https://www.udemy.com/course/sql-mastery-for-data-analytics-and-business-intelligence/
SQL - MySQL for Data Analytics and Business Intelligence,1405632,"365 Careers, 365 Team","SQL, Business Intelligence (BI), MySQL, Data Analysis, Business Analytics & Intelligence",Business Analytics & Intelligence,All Levels,11.5 hours,4.6,64907,272840,"Rp169,000",1/2026,182,123,99,https://www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/
Business Intelligence (BI) and Predictive Analytics 101,5819920,Dr. José Prabhu J,"Business Intelligence (BI), Big Data, Predictive Analytics, Business Analytics & Intelligence, Business",Business Analytics & Intelligence,All Levels,2 hours,4.0,214,13432,"Rp149,000",6/2025,0,0,0,https://www.udemy.com/course/business-intelligence-bi-and-predictive-analytics-101/
Power BI - Business Intelligence for Beginners to Advance,2135486,Biztics Inc.,"Business Intelligence (BI), Business Analytics, Business Analysis, Microsoft Power BI, Business Analytics & Intelligence",Business Analytics & Intelligence,All Levels,46 hours,4.4,18104,89184,"Rp169,000",11/2025,9,0,92,https://www.udemy.com/course/business-data-analysis-using-microsoft-power-bi/
Introduction to Business Analytics,3148846,365 Careers,"Business Analytics, Business Analytics & Intelligence, Business",Business Analytics & Intelligence,All Levels,5 hours,4.6,8221,30461,"Rp159,000",1/2026,1,0,36,https://www.udemy.com/course/introduction-to-business-analytics/
Microsoft Power BI Desktop for Business Intelligence,1570206,"Maven Analytics • 1,500,000 Learners, Chris Dutton, Aaron Parry","Data Modeling, Business Intelligence (BI), Data Visualization, Microsoft Power BI, Business Analytics & Intelligence",Business Analytics & Intelligence,All Levels,17 hours,4.6,188926,752411,N/A,2/2026,9,0,9,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/
Data Analytics & Business Intelligence,4353542,Uplatz Training,"Business Analytics, Business Intelligence (BI), Data Analysis, Business Analysis, Business Analytics & Intelligence",Business Analytics & Intelligence,All Levels,28 hours,3.1,33,405,"Rp149,000",7/2025,0,0,4,https://www.udemy.com/course/business-intelligence-and-data-analytics/
Business Intelligence: From Foundation to Advanced Analytics,4440864,Uplatz Training,"Business Intelligence (BI), Business Analytics, Data Visualization, Data Warehouse, Business Analytics & Intelligence",Business Analytics & Intelligence,All Levels,50 hours,3.6,49,306,"Rp149,000",7/2025,0,0,4,https://www.udemy.com/course/business-intelligence-course-for-beginners/
Business Analytics using Data Science,6273827,Human and Emotion: CHRMI,"Business Analytics, Data Analysis, Other IT & Software, IT & Software",Business Analytics & Intelligence,Intermediate,9.5 hours,4.7,16,1076,"Rp149,000",11/2024,4,0,0,https://www.udemy.com/course/business-analytics-using-data-science/
