course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
An Entire MBA in 1 Course:Award Winning Business School Prof,637930,Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof.,"Business Fundamentals, MBA, Entrepreneurship, Business",Business,All Levels,8 hours,4.6,63263,509083,"Rp299,000",5/2025,36,0,31,https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/
MBA in a Box: Business Lessons from a CEO,1269254,365 Careers,"Business Fundamentals, MBA, Marketing Management, Business Strategy, Entrepreneurship",Business,All Levels,11.5 hours,4.6,23198,126811,"Rp159,000",1/2026,1,0,40,https://www.udemy.com/course/mba-in-a-box-business-lessons-from-a-ceo/
Intro to Entrepreneurship: Get started as an Entrepreneur,662354,Evan Kimbrell,"Entrepreneurship Fundamentals, Business Fundamentals, Idea Validation, Business Idea Generation, Entrepreneurship",Business,Beginner,7 hours,4.7,26207,147917,"Rp149,000",12/2025,4,0,4,https://www.udemy.com/course/intro-to-entrepreneurship-get-started-as-an-entrepreneur/
Entrepreneurship: How To Start A Business From An Idea,176758,Alex Genadinik,"Business Idea Generation, Business Fundamentals, Business Strategy, Startup, Entrepreneurship",Business,Intermediate,14 hours,4.4,4191,47413,"Rp159,000",12/2025,1,0,85,https://www.udemy.com/course/how-to-start-a-business-go-from-business-idea-to-a-business/
The Complete Business Plan Course (Includes 50 Templates),1787702,Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof.,"Business Plan, Entrepreneurship, Business",Business,All Levels,9 hours,4.6,24387,215807,"Rp329,000",5/2025,5,0,76,https://www.udemy.com/course/the-complete-business-plan-course/
The Complete Online MBA (2025),6217585,Nexus Business Academy,"Business Fundamentals, Business Strategy, Business Development, Management, Business",Business,All Levels,37.5 hours,4.5,877,4808,"Rp159,000",12/2024,0,0,20,https://www.udemy.com/course/the-complete-online-mba-2025/
Business Fundamentals: Corporate Strategy,1300254,365 Careers,"Business Strategy, Business",Business,All Levels,3 hours,4.5,32796,85484,"Rp249,000",1/2026,1,0,5,https://www.udemy.com/course/business-fundamentals-corporate-strategy/
Business Model Innovation: Differentiate & Grow Your Company,1030316,"Paul Nekh. | Business | Innovation | Video, Olena T. (FR)","Innovation, Startup, Business Model, Business Strategy, Business",Business,All Levels,5.5 hours,4.7,34434,135739,"Rp159,000",2/2026,9,0,9,https://www.udemy.com/course/disruptive-innovation-business-model-startup/
Financial Modeling for Startups & Small Businesses,1154754,"Evan Kimbrell, Symon He","Financial Modeling, Business Strategy, Entrepreneurship Fundamentals, Business Fundamentals, Financial Modeling & Analysis",Business,Beginner,11.5 hours,4.6,3722,67683,"Rp149,000",12/2025,13,0,92,https://www.udemy.com/course/financial-modeling-for-startups-small-businesses/
Part time Entrepreneur How To Start A Business From An Idea,5654318,John Masud Parvez,"Entrepreneurship Fundamentals, Personal Development, Business Strategy, Leadership",Business,Intermediate,7.5 hours,4.9,117,816,"Rp149,000",4/2026,0,0,33,https://www.udemy.com/course/part-time-entrepreneurs-toolbox/
