course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Business Analysis Fundamentals - IIBA endorsed,751792,The BA Guide | Jeremy Aschenbrenner,"Business Analysis, Business Fundamentals, Business Analytics, Business Analytics & Intelligence, Business",Business Analysis,Beginner,8 hours,4.5,70896,256567,Free,9/2025,10,0,15,https://www.udemy.com/course/business-analysis-ba/
Advanced Business Analysis (35 IIBA® PDUs),4798326,"Igor Arkhipov | Analyst's corner, Starweaver Experts, Paul Siegel","Business Analysis, IIBA Certified Business Analysis Professional (CBAP), Project Management, Business",Business Analysis,Intermediate,17 hours,4.7,4058,21330,"Rp159,000",2/2026,37,0,10,https://www.udemy.com/course/advanced-business-analysis/
"Business Analysis ""A to Z"" Masterclass",3482742,Meetul Patel,"Business Analysis, Business Analytics & Intelligence, Business",Business Analysis,All Levels,11.5 hours,4.5,11480,51368,"Rp159,000",1/2026,0,0,19,https://www.udemy.com/course/business-analysis-masterclass/
Full Business Analysis (21 IIBA® PDUs),2436666,Igor Arkhipov | Analyst's corner,"Business Analysis, IIBA Certification of Capability in Business Analysis (CCBA), Business Strategy, Business",Business Analysis,Beginner,8 hours,4.6,3271,24417,"Rp159,000",2/2026,25,0,8,https://www.udemy.com/course/business-analysis-study-guide/
Business Analysis - Beginner to Master (10 PDUs),6878811,David McLachlan,"Business Analysis, Project Management, Business",Business Analysis,All Levels,5 hours,4.7,186,1610,"Rp159,000",1/2026,1,0,1,https://www.udemy.com/course/business-analysis-mastery-including-10-pdus/
The Business Intelligence Analyst Course 2026,1653432,"365 Careers, 365 Team","Business Analysis, Business Analytics, Business Analytics & Intelligence, Business",Business Analysis,All Levels,21.5 hours,4.5,48896,254303,"Rp159,000",2/2026,178,180,250,https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/
Business Analysis Modeling Skills & Techniques,1025822,The BA Guide | Jeremy Aschenbrenner,"Business Analysis, Business Fundamentals, Process Mapping, Business Analytics & Intelligence, Business",Business Analysis,Beginner,6.5 hours,4.6,18039,79460,"Rp149,000",12/2025,15,0,33,https://www.udemy.com/course/visual-modeling-master-class/
The Complete Business Analysis Fundamentals Course + CERT,1638006,"YESI EDUCATION, Mauricio Rubio - Agile Guru & Founder of YESI EDUCATION, AgileKB & Grabdl","Business Analysis, Project Management, Business",Business Analysis,Beginner,15 hours,4.5,9096,45764,"Rp289,000",10/2025,19,0,94,https://www.udemy.com/course/business-analysis-certification/
Agile Analysis: A Guide for Modern Business Analysts. 21 PDU,2799348,Igor Arkhipov | Analyst's corner,"Business Analysis, Agile, IIBA Agile Analysis Certification (IIBA-AAC), Project Management, Business",Business Analysis,Beginner,11 hours,4.6,2116,17096,"Rp149,000",3/2026,17,0,0,https://www.udemy.com/course/agile-business-analysis-study-guide/
Fundamentals of Business Analysis,214008,Don Hussey,"Business Analysis, Business Analytics & Intelligence, Business",Business Analysis,All Levels,6 hours,4.6,30633,100957,"Rp149,000",3/2018,6,0,2,https://www.udemy.com/course/businessanalysis/
Certified Business Analysis Professional (CBAP),6321847,YouAccel Training,"IIBA Certified Business Analysis Professional (CBAP), Project Management, Business",Business Analysis,All Levels,18.5 hours,4.3,92,2281,"Rp149,000",1/2025,1,0,75,https://www.udemy.com/course/certified-business-analysis-professional-cbap-t/
"Business Analyst Bootcamp: Excel, Stats, SQL, Tableau",4990970,Leo Zhu,"Business Analytics, SQL, Microsoft Excel, Data Visualization, Business Analytics & Intelligence",Business Analysis,All Levels,23.5 hours,4.3,814,3473,"Rp159,000",7/2024,1,4,0,https://www.udemy.com/course/technical-business-analytics-for-agile-decision-making/
Business Analysis Fundamentals + CERT,7106569,Kennedy schools,"Business Analysis, Other Business, Business",Business Analysis,All Levels,2.5 hours,4.5,N/A,1,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/business-analysis-fundamentals-cert/
BCS Practitioner Business Analysis Practice Exam,7076725,Shilpi Jain,"IT Certifications, IT & Software",Business Analysis,All Levels,N/A,N/A,N/A,1,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/bcs-practitioner-certificate-in-business-analysis-practice-a/
Business Strategy in Practice : From Analysis to Advantage,7112953,Hatem El-naggar,"Business Strategy, Strategic Thinking, Business",Business Analysis,All Levels,4 hours,4.6,N/A,N/A,"Rp669,000",4/2026,0,0,3,https://www.udemy.com/course/winning-business-strategy-from-analysis-to-advantage/
1500 Questions | PMI Professional in Business Analysis 2026,7100987,Exams Practice Tests Academy,"PMI Professional in Business Analysis (PMI-PBA), IT Certifications, IT & Software",Business Analysis,All Levels,N/A,N/A,N/A,200,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/pmi-professional-in-business-analysis/
BCS Professional Business Analysis Service Delivery Exam,7077711,Shilpi Jain,"IT Certifications, IT & Software",Business Analysis,All Levels,N/A,N/A,N/A,N/A,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/bcs-professional-business-analysis-service-delivery-exam/
BCS Business Analysis: Chapter-Based Questions (Part 2),7073261,Kavin Kanagasabai,"Business Analysis, Business Strategy, Business Analytics & Intelligence, Business",Business Analysis,All Levels,N/A,4.5,N/A,N/A,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/bcs-business-analysis-chapter-based-questions-part-2/
BCS Business Analysis: Chapter-Based Questions (Part 3),7078201,Kavin Kanagasabai,"Business Analysis, Business Analytics & Intelligence, Business",Business Analysis,All Levels,N/A,4.5,N/A,N/A,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/bcs-business-analysis-chapter-based-questions-part-3/
BCS Foundation Certificate in Business Analysis Exam,7076523,Shilpi Jain,"IT Certifications, IT & Software",Business Analysis,All Levels,N/A,N/A,N/A,N/A,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/bcs-foundation-certificate-in-business-analysis-exam/
Business Analysis Professional (ECBA/CBAP) (PBA),2682696,Sorin Dumitrascu,"Business Analysis, IIBA Entry Certificate in Business Analysis (ECBA), Business Analytics & Intelligence, Business",Business Analysis,All Levels,50.5 hours,4.0,3167,15386,"Rp159,000",11/2025,93,0,582,https://www.udemy.com/course/the-business-analysis-certification-program-iiba-ecba/
"Become an IT Business Analyst: Learn, Apply, Succeed!",6261303,Mehul Thanki,"Business Analysis, Business Analytics & Intelligence, Business",Business Analysis,All Levels,11.5 hours,4.4,59,262,"Rp149,000",1/2026,0,0,22,https://www.udemy.com/course/become-an-it-business-analyst-learn-apply-succeed/
The Complete Generative AI for Business Analysis,6688401,"Codestars • over 2.5 million students worldwide!, Igor Arkhipov | Analyst's corner","Generative AI (GenAI), Business Analysis, Project Management, Business",Business Analysis,Beginner,5.5 hours,4.6,2492,7546,"Rp169,000",2/2026,23,0,4,https://www.udemy.com/course/the-complete-generative-ai-for-business-analysis/
The Complete Financial Analyst Course 2026,648826,365 Careers,"Financial Analysis, Finance Fundamentals, Financial Modeling & Analysis, Finance & Accounting",Business Analysis,All Levels,21.5 hours,4.6,102683,506269,"Rp169,000",1/2026,17,0,542,https://www.udemy.com/course/the-complete-financial-analyst-course/
Process Flowcharts & Process Mapping - The Beginner's Guide,1311030,The BA Guide | Jeremy Aschenbrenner,"Process Mapping, Business Process Modeling, Business Analytics & Intelligence, Business",Business Analysis,Beginner,3.5 hours,4.7,18890,74165,"Rp309,000",4/2024,12,0,48,https://www.udemy.com/course/process-mapping-process-flowcharts/
Business Analysis Foundations,4365890,Joseph Phillips,"Business Analysis, Management, Business",Business Analysis,Beginner,3.5 hours,4.6,3189,12654,"Rp149,000",10/2025,1,0,0,https://www.udemy.com/course/business_analysis/
"Mastering Business Analysis, Scrum and JIRA for Development",1266500,"Akhilendra Singh MBA, CSPO, PSM1","Business Analysis, Business Analytics & Intelligence, Business",Business Analysis,All Levels,16.5 hours,4.2,2078,9988,"Rp159,000",10/2024,1,0,21,https://www.udemy.com/course/business-analysis-for-everyone/
BABOK® Essentials – Learn Core Business Analysis Standards,6433995,The BA Guide | Jeremy Aschenbrenner,"Business Analysis, Project Management, Business",Business Analysis,All Levels,1.5 hours,4.6,716,2997,"Rp149,000",4/2025,3,0,2,https://www.udemy.com/course/babok-essentials-business-analysis-body-of-knowledge/
Business Analysis: Working with Use Cases,49886,Don Hussey,"Business Analysis, Financial Modeling & Analysis, Finance & Accounting",Business Analysis,All Levels,2 hours,4.6,9901,44980,"Rp149,000",5/2018,1,0,0,https://www.udemy.com/course/usecases/
PMI Professional in Business Analysis (PMI-PBA),5996966,Sorin Dumitrascu,"PMI Professional in Business Analysis (PMI-PBA), Project Management, Business",Business Analysis,Beginner,41.5 hours,4.1,178,659,"Rp149,000",11/2025,0,0,147,https://www.udemy.com/course/pmi-professional-in-business-analysis-pmi-pba-business-analyst/
Identify & Define the Problem with Business Analysis,1479112,The BA Guide | Jeremy Aschenbrenner,"Business Analysis, Problem Solving, Business Analytics & Intelligence, Business",Business Analysis,All Levels,3.5 hours,4.5,22060,62888,"Rp369,000",3/2025,8,0,19,https://www.udemy.com/course/identify-the-problem/
Conduct a Strategy Analysis using Business Analysis,1596446,The BA Guide | Jeremy Aschenbrenner,"Business Strategy, Business Analysis, Business Analytics & Intelligence, Business",Business Analysis,All Levels,8 hours,4.6,8988,34700,"Rp339,000",7/2023,12,0,44,https://www.udemy.com/course/business-analysis-conduct-a-strategy-analysis/
Business Data Analytics (14 IIBA PDUs),4392256,Igor Arkhipov | Analyst's corner,"Business Analytics, IIBA Certification in Business Data Analytics (IIBA-CBDA), Business Analytics & Intelligence, Business",Business Analysis,All Levels,7.5 hours,4.7,900,5648,"Rp149,000",1/2026,11,0,7,https://www.udemy.com/course/business-data-analytics/
Pass the ECBA: Business Analysis Certification Exam Prep,6748647,The BA Guide | Jeremy Aschenbrenner,"IIBA Entry Certificate in Business Analysis (ECBA), IT Certifications, IT & Software",Business Analysis,Beginner,2.5 hours,4.5,68,336,"Rp149,000",11/2025,3,0,11,https://www.udemy.com/course/pass-the-ecba/
Agile Business Analysis,1352388,Don Hussey,"Business Analysis, Agile, Scrum, Project Management, Business",Business Analysis,All Levels,1.5 hours,4.6,25112,61868,"Rp149,000",9/2017,0,0,0,https://www.udemy.com/course/agile-business-analysis/
Business Analysis Crash Course,3383040,"YESI EDUCATION, Mauricio Rubio - Agile Guru & Founder of YESI EDUCATION, AgileKB & Grabdl","Business Analysis, Project Management, Business",Business Analysis,Beginner,1 hour,4.3,1132,7430,"Rp149,000",10/2025,2,0,1,https://www.udemy.com/course/business-analysis-training/
Data Analysis Bootcamp™ 21 Real World Case Studies,2694796,"Rajeev D. Ratan, Lonely Pineapple AI Studios | Nidia Sukhu | Automation Engineer/LLM Specialist","Data Analysis, Data Visualization, Pandas, Google Looker Studio (Data Studio), Business Analytics & Intelligence",Business Analysis,Beginner,21 hours,4.7,1247,11047,"Rp159,000",11/2025,3,0,4,https://www.udemy.com/course/the-data-analyst-bootcamp/
Understanding User Requirements and Business Analysis,4535404,Dejan Majkic,"Product Management, Scrum, IT Requirements, Sales, Business",Business Analysis,Beginner,10.5 hours,4.6,1067,4279,"Rp149,000",10/2025,0,0,21,https://www.udemy.com/course/understanding-user-requirements-the-key-to-product-success/
Business Analysis: Developing Requirements,382516,Don Hussey,"Business Analysis, Business Analytics & Intelligence, Business",Business Analysis,Intermediate,4.5 hours,4.5,6626,29804,"Rp149,000",12/2016,1,0,13,https://www.udemy.com/course/developing-requirements/
Microsoft Power BI Desktop for Business Intelligence,1570206,"Maven Analytics • 1,500,000 Learners, Chris Dutton, Aaron Parry","Data Modeling, Business Intelligence (BI), Data Visualization, Microsoft Power BI, Business Analytics & Intelligence",Business Analysis,All Levels,17 hours,4.6,188910,752375,"Rp169,000",2/2026,9,0,9,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/
Plan the Project as a Business Analyst - IIBA Endorsed,1673044,The BA Guide | Jeremy Aschenbrenner,"Business Analysis, Project Management, Business Analytics & Intelligence, Business",Business Analysis,All Levels,5.5 hours,4.6,3583,21771,"Rp149,000",7/2023,13,0,49,https://www.udemy.com/course/business-analysis-plan-the-project/
The Microsoft Excel Data Analysis Toolkit Bundle,3833982,Simon Sez IT,"Excel Analytics, Data Analysis, Microsoft Excel, Microsoft, Office Productivity",Business Analysis,Intermediate,32.5 hours,4.7,1112,5612,"Rp149,000",3/2024,12,0,11,https://www.udemy.com/course/the-microsoft-excel-data-analysis-toolkit-bundle/
Mastering Business Analysis,6137609,"Cornelius Fichtner, PMP, CSM","Business Analysis, Business Analytics & Intelligence, Business",Business Analysis,Intermediate,5 hours,4.4,15,62,"Rp149,000",8/2024,0,0,0,https://www.udemy.com/course/mastering-business-analysis/
Business Analysis Fundamentals for Management Consultants,1322900,Asen Gyczew,"Business Analysis, Management Skills, Business Analytics, Financial Modeling & Analysis, Finance & Accounting",Business Analysis,Intermediate,7.5 hours,4.4,786,7540,"Rp169,000",4/2026,9,0,67,https://www.udemy.com/course/business-analysis-fundamentals-for-management-consultants/
Business Analysis: Data Flow Diagrams to Visualize Workflows,442872,Tom and Angela Hathaway,"Business Analysis, Technical Writing, Process Mapping, Software Development, Other IT & Software",Business Analysis,All Levels,3 hours,4.6,5499,21118,"Rp149,000",3/2026,1,0,4,https://www.udemy.com/course/data-flow-diagrams-simply-put/
"How to Elicit, Write, and Analyze Requirements in the AI Era",275246,Tom and Angela Hathaway,"IT Requirements, Software Development, Business Analysis, Management, Business",Business Analysis,All Levels,5.5 hours,4.5,1237,6588,"Rp149,000",3/2026,1,0,8,https://www.udemy.com/course/writing-software-requirements-it-projects/
SQL - MySQL for Data Analytics and Business Intelligence,1405632,"365 Careers, 365 Team","SQL, Business Intelligence (BI), MySQL, Data Analysis, Business Analytics & Intelligence",Business Analysis,All Levels,11.5 hours,4.6,64905,272833,"Rp169,000",1/2026,182,123,99,https://www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/
