course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
MBA in a Box: Business Lessons from a CEO,1269254,365 Careers,"Business Fundamentals, MBA, Marketing Management, Business Strategy, Entrepreneurship",Business Fundamentals,All Levels,11.5 hours,4.6,23198,126812,"Rp159,000",1/2026,1,0,40,https://www.udemy.com/course/mba-in-a-box-business-lessons-from-a-ceo/
Business Fundamentals: Corporate Strategy,1300254,365 Careers,"Business Strategy, Business",Business Fundamentals,All Levels,3 hours,4.5,32796,85486,"Rp249,000",1/2026,1,0,5,https://www.udemy.com/course/business-fundamentals-corporate-strategy/
Business Fundamentals: Marketing Strategy,1333914,365 Careers,"Marketing Strategy, Marketing Management, Marketing Fundamentals, Marketing",Business Fundamentals,All Levels,2 hours,4.5,14044,44074,"Rp329,000",1/2026,1,0,5,https://www.udemy.com/course/business-fundamentals-marketing-strategy/
An Entire MBA in 1 Course:Award Winning Business School Prof,637930,Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof.,"Business Fundamentals, MBA, Entrepreneurship, Business",Business Fundamentals,All Levels,8 hours,4.6,63263,509091,"Rp159,000",5/2025,36,0,31,https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/
Business Fundamentals : Build Your Business Foundation,6558415,Levent Ertunalılar,"Business Fundamentals, Business Strategy, Business Development, Entrepreneurship Fundamentals, Entrepreneurship",Business Fundamentals,All Levels,2 hours,4.6,588,3440,"Rp149,000",2/2026,2,0,0,https://www.udemy.com/course/business-fundamentals-build-your-business-foundation/
Business Analysis Fundamentals - IIBA endorsed,751792,The BA Guide | Jeremy Aschenbrenner,"Business Analysis, Business Fundamentals, Business Analytics, Business Analytics & Intelligence, Business",Business Fundamentals,Beginner,8 hours,4.5,70896,256567,"Rp169,000",9/2025,10,0,15,https://www.udemy.com/course/business-analysis-ba/
Fundamentals of Business Analysis,214008,Don Hussey,"Business Analysis, Business Analytics & Intelligence, Business",Business Fundamentals,All Levels,6 hours,4.6,30633,100957,"Rp149,000",3/2018,6,0,2,https://www.udemy.com/course/businessanalysis/
MBA -The Business fundamentals + 30 hrs of business concepts,1551386,Learning Curve,"Business Fundamentals, MBA, Management, Business",Business Fundamentals,All Levels,31.5 hours,4.4,883,6441,"Rp159,000",2/2024,0,0,1,https://www.udemy.com/course/the-business-fundamentals/
Business Fundamentals,6361993,J. Xie,"Business Plan, Entrepreneurship, Business",Business Fundamentals,Beginner,1 hour,4.7,16,109,"Rp149,000",1/2025,1,0,0,https://www.udemy.com/course/your-business-plan-step-by-step-k/
The Complete Business Plan Course (Includes 50 Templates),1787702,Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof.,"Business Plan, Entrepreneurship, Business",Business Fundamentals,All Levels,9 hours,4.6,24387,215813,"Rp329,000",5/2025,5,0,76,https://www.udemy.com/course/the-complete-business-plan-course/
The Complete Online MBA (2025),6217585,Nexus Business Academy,"Business Fundamentals, Business Strategy, Business Development, Management, Business",Business Fundamentals,All Levels,37.5 hours,4.5,877,4809,"Rp159,000",12/2024,0,0,20,https://www.udemy.com/course/the-complete-online-mba-2025/
Business Fundamentals & Questions to Answer Before Launching,4180124,"TJ Walker, Media Training Worldwide Digital","Business Fundamentals, Entrepreneurship Fundamentals, Business Communication, Business Strategy, Business",Business Fundamentals,Beginner,1 hour,4.6,146,28205,"Rp149,000",1/2026,4,0,0,https://www.udemy.com/course/business-fundamentals-questions-to-answer-before-launching/
Business Fundamentals: Go-To-Market Strategy | GTM Strategy,6803243,Boris Jovanovic,"Business Fundamentals, Business Strategy, Marketing Strategy, Entrepreneurship Fundamentals, Business",Business Fundamentals,All Levels,5.5 hours,4.5,N/A,101,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/business-fundamentals-go-to-market-strategy-gtm-strategy/
Business Analysis Fundamentals + CERT,7106569,Kennedy schools,"Business Analysis, Other Business, Business",Business Fundamentals,All Levels,2.5 hours,4.5,N/A,1,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/business-analysis-fundamentals-cert/
Entrepreneurship Certification Business fundamentals Mastery,7115199,icourse Academy,"Entrepreneurship Fundamentals, Entrepreneurship, Business",Business Fundamentals,All Levels,4 hours,4.7,N/A,200,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/entrepreneurship-masterclass-build-and-grow-your-business/
ESG Fundamentals for Business Professionals,7112799,Kavitha Kavitha,"Environmental, Social and Governance (ESG), Sustainable Development, Business Strategy, Corporate Governance, Management",Business Fundamentals,Beginner,12.5 hours,5.0,40,62,"Rp149,000",3/2026,0,0,11,https://www.udemy.com/course/esg-fundamentals-business-professionals/
The Weekend MBA: Ivy League Business Fundamentals in 9 hours,7102957,The Compact MBA,"Business Strategy, Strategic Planning, Business",Business Fundamentals,Beginner,9 hours,4.6,N/A,1,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/compact-mba-mini-strategy-fundamentals-mastery-in-2-hours/
AI Agents Fundamentals for Business Strategy & Use Cases,7087773,"Data Universe, DCDG Partners","Artificial Intelligence (AI), Business Analytics & Intelligence, Business",Business Fundamentals,All Levels,2 hours,4.7,39,156,"Rp149,000",3/2026,1,0,1,https://www.udemy.com/course/ai-agents-fundamentals-for-business-strategy-use-cases/
Agentic AI Fundamentals for Business Solutions Architects,7103411,Mana Dowlatshahi Yeganeh,"AB-100: Microsoft Agentic AI Business Solutions Architect, Artificial Intelligence (AI), Cloud Computing, AI Agents & Agentic AI, IT Certifications",Business Fundamentals,All Levels,N/A,N/A,N/A,5,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/agentic-ai-fundamentals-for-business-solutions-architects-j/
Sustainable Business in the 21st Century,7085115,Green Courses,"Business Strategy, Sustainable Development, Business",Business Fundamentals,All Levels,4 hours,4.9,3,121,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/sustainable-business/
Business Fundamentals: Management and HR Management,1917428,365 Careers,"Management Skills, Management, Business",Business Fundamentals,Beginner,1.5 hours,4.6,514,3847,"Rp149,000",10/2018,0,0,3,https://www.udemy.com/course/business-fundamentals-management-and-hr-management/
Entrepreneurship: How To Start A Business From An Idea,176758,Alex Genadinik,"Business Idea Generation, Business Fundamentals, Business Strategy, Startup, Entrepreneurship",Business Fundamentals,Intermediate,14 hours,4.4,4191,47415,"Rp149,000",12/2025,1,0,85,https://www.udemy.com/course/how-to-start-a-business-go-from-business-idea-to-a-business/
Intro to Entrepreneurship: Get started as an Entrepreneur,662354,Evan Kimbrell,"Entrepreneurship Fundamentals, Business Fundamentals, Idea Validation, Business Idea Generation, Entrepreneurship",Business Fundamentals,Beginner,7 hours,4.7,26207,147923,"Rp149,000",12/2025,4,0,4,https://www.udemy.com/course/intro-to-entrepreneurship-get-started-as-an-entrepreneur/
