course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
MBA in a Box: Business Lessons from a CEO,1269254,365 Careers,"Business Fundamentals, MBA, Marketing Management, Business Strategy, Entrepreneurship",Business Strategy,All Levels,11.5 hours,4.6,23198,126816,"Rp159,000",1/2026,1,0,40,https://www.udemy.com/course/mba-in-a-box-business-lessons-from-a-ceo/
Business Strategy Masterclass - Master Business Strategy,6063675,Salil Dhawan,"Business Strategy, Business Fundamentals, Business Analysis, Business",Business Strategy,All Levels,6 hours,4.4,627,3115,"Rp149,000",1/2026,2,0,3,https://www.udemy.com/course/business-strategy-masterclass/
Business Fundamentals: Corporate Strategy,1300254,365 Careers,"Business Strategy, Business",Business Strategy,All Levels,3 hours,4.5,32797,85489,"Rp249,000",1/2026,1,0,5,https://www.udemy.com/course/business-fundamentals-corporate-strategy/
Strategic Planning & Strategic Thinking | Business Strategy,6039866,Salil Dhawan,"Strategic Planning, Strategic Thinking, Business Strategy, Business",Business Strategy,All Levels,1.5 hours,4.6,2451,7439,"Rp159,000",1/2026,0,0,4,https://www.udemy.com/course/strategic-planning-strategic-thinking/
Strategy for Management Consultants & Business Analysts,1647046,Asen Gyczew,"Business Strategy, Business Fundamentals, Management Skills, Business",Business Strategy,Intermediate,6 hours,4.6,14003,44914,"Rp169,000",4/2026,9,0,31,https://www.udemy.com/course/strategy-for-management-consultants-business-analysts/
Business Strategy Consulting Mastery: Mini MBA Course,3888574,John Colley,"Business Strategy, Business Fundamentals, Entrepreneurship Fundamentals, MBA, Business",Business Strategy,All Levels,6.5 hours,4.8,385,2553,"Rp149,000",6/2024,1,0,92,https://www.udemy.com/course/mini-mba-foundations-of-business-strategy-consulting/
"Business Strategy Mastery: Build, Plan, Execute & Scale Fast",6466569,Radmyr Growth,"Business Strategy, Business",Business Strategy,All Levels,13.5 hours,4.8,20,2213,"Rp149,000",9/2025,10,0,10,https://www.udemy.com/course/business-strategy-mastery-build-execute-and-win/
Business Strategy Playbook for Management Consultants,5602614,"Julia Lettinger, 1001Skills by Responsive Strategy, Videokurs Manufaktur","Business Strategy, Business Analysis, Leadership, Product Management, Project Management",Business Strategy,Beginner,4.5 hours,4.7,236,4306,"Rp149,000",11/2025,5,0,14,https://www.udemy.com/course/business-product-strategy-creation/
C-level management: 100 models for business - 5 courses in 1,5947060,"Matthieu Bout, Joppe Ballet","Business Strategy, Management, Business",Business Strategy,All Levels,14.5 hours,4.6,110,12716,"Rp149,000",3/2026,15,0,65,https://www.udemy.com/course/c-level-management-100-models-for-business-success/
The Complete Online MBA (2025),6217585,Nexus Business Academy,"Business Fundamentals, Business Strategy, Business Development, Management, Business",Business Strategy,All Levels,37.5 hours,4.5,877,4809,"Rp159,000",12/2024,0,0,20,https://www.udemy.com/course/the-complete-online-mba-2025/
