course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Complete C# Masterclass,1581488,"Denis Panjuta, Tutorials.eu by Denis Panjuta","C# (programming language), Programming Fundamentals, Programming Languages, Development",C# (programming language),All Levels,44.5 hours,4.6,37091,174285,"Rp169,000",10/2025,52,30,158,https://www.udemy.com/course/complete-csharp-masterclass/
Ultimate C# Masterclass for 2026,4682614,Elegant Code – Krystyna Ślusarczyk,"C# (programming language), .NET, Programming Languages, Development",C# (programming language),All Levels,48 hours,4.7,7498,41617,"Rp159,000",4/2026,19,67,17,https://www.udemy.com/course/ultimate-csharp-masterclass/
Learn C# for Beginners Crash Course,2002956,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy","C# (programming language), Programming Languages, Development",C# (programming language),Beginner,13 hours,4.7,2339,12339,"Rp149,000",4/2025,6,0,1,https://www.udemy.com/course/learn-csharp-for-beginners-crash-course/
C# 13 - Ultimate Guide - Beginner to Advanced | Master class,3237889,Web Academy by Harsha Vardhan,"C# (programming language), Object-Oriented Programming (OOP), Programming Languages, Development",C# (programming language),All Levels,75.5 hours,4.6,5725,34223,"Rp159,000",3/2026,67,0,0,https://www.udemy.com/course/c-sharp-oop-ultimate-guide-project-master-class/
C# Basics for Beginners: Learn C# Fundamentals by Coding,382002,Mosh Hamedani,"C# (programming language), C (programming language), Programming Languages, Development",C# (programming language),Beginner,5 hours,4.6,78985,275399,"Rp159,000",12/2020,11,0,8,https://www.udemy.com/course/csharp-tutorial-for-beginners/
Complete C# Course – Beginner to Expert (C# 12 Updated 2024),3236633,Robert Gioia,"C# (programming language), Programming Languages, Development",C# (programming language),All Levels,25.5 hours,4.5,1645,8448,"Rp149,000",11/2024,1,16,5,https://www.udemy.com/course/complete-c-sharp-programming-course-beginner-to-expert/
Beginning Object-oriented Programming with C#,3532066,Zoran Horvat,"C# (programming language), Programming Languages, Development",C# (programming language),Beginner,7 hours,4.5,1443,5654,"Rp149,000",1/2023,0,0,91,https://www.udemy.com/course/beginning-oop-with-csharp/
Complete C# Programming Master Class,5730030,Imran Afzal,"C# (programming language), Other IT & Software, IT & Software",C# (programming language),All Levels,14.5 hours,4.5,1349,9937,Free,11/2025,19,24,56,https://www.udemy.com/course/complete-c-programming-master-class/
C# Programming Quiz for Beginners Job Interview Preparation,6141259,"Emenwa Global, Juliet Rona","C# (programming language), Programming Languages, Development",C# (programming language),Beginner,N/A,4.9,3,1805,"Rp149,000",3/2025,0,0,0,https://www.udemy.com/course/c-programming-quiz-for-beginners-job-interview-preparation/
C# Ultimate Masterclass: From Absolute Beginner to Expert,3168952,Aba @CoffeeNCode,"C# (programming language), Programming Languages, Development",C# (programming language),All Levels,23.5 hours,4.5,283,1214,"Rp149,000",3/2025,1,0,244,https://www.udemy.com/course/csharp-complete-masterclass/
C# Programming Mastery | Beginner to Advance Mastery Course,3181706,"Emenwa Global, Juliet Rona","C# (programming language), Programming Languages, Development",C# (programming language),All Levels,21.5 hours,4.3,51,13279,"Rp149,000",3/2026,2,0,73,https://www.udemy.com/course/complete-c-sharp-programming-fundamentals-with-example-projects-n/
C# — 100 Coding Exercises,6545193,Elegant Code – Krystyna Ślusarczyk,"C# (programming language), Programming Languages, Development",C# (programming language),All Levels,5 hours,4.7,112,1784,"Rp149,000",4/2026,1,100,0,https://www.udemy.com/course/c-sharp-100-coding-exercises/
The Complete C# and Object-Oriented Programming Course,1331290,Ahmad Mohey,"C# (programming language), Object-Oriented Programming (OOP), Programming Languages, Development",C# (programming language),All Levels,24 hours,4.6,2354,16495,"Rp149,000",11/2025,16,0,211,https://www.udemy.com/course/the-complete-c-sharp-developer-course/
C# Basics for Beginners: Introduction to Programming with C#,2339850,Victor Gorinov,"C# (programming language), Software Engineering, Programming Fundamentals, Programming Languages, Development",C# (programming language),Beginner,2 hours,4.5,1168,23426,"Rp149,000",5/2021,0,0,5,https://www.udemy.com/course/c-sharp-introduction/
The Complete C# Programming Course,1887476,"Codestars • over 2.5 million students worldwide!, Tod Vachev","C# (programming language), .NET, Programming Fundamentals, Object-Oriented Programming (OOP), Programming Languages",C# (programming language),Beginner,22 hours,4.3,1047,4845,"Rp149,000",2/2026,13,0,11,https://www.udemy.com/course/the-complete-csharp-programming-course/
Master C# Programming - Beginner to Advanced (with OOP),5793578,Sameer Saini,"C# (programming language), Object-Oriented Programming (OOP), ASP.NET Core, Programming Languages, Development",C# (programming language),All Levels,10.5 hours,4.6,550,2745,"Rp149,000",6/2024,1,3,0,https://www.udemy.com/course/csharp-programming-beginners-guide/
C# For Beginners: Learn C# Programming From Scratch,2166132,"Oak Academy, OAK Academy Team","C# (programming language), Game Development, Development",C# (programming language),Beginner,3.5 hours,4.4,213,6946,"Rp149,000",4/2026,2,0,0,https://www.udemy.com/course/c-for-beginners-learn-c-programming-from-scratch/
C# Programming: From Fundamentals to Advanced Concepts,6272381,Selfcode Academy,"C# (programming language), Programming Languages, Development",C# (programming language),All Levels,11.5 hours,4.8,18,1095,"Rp149,000",11/2024,0,0,2,https://www.udemy.com/course/c-programming-from-fundamentals-to-advanced-concepts/
C# Software Development for Absolute Beginners,5192520,Sean Gee,"C# (programming language), Programming Languages, Development",C# (programming language),Beginner,12.5 hours,4.6,40,176,"Rp149,000",12/2023,0,0,65,https://www.udemy.com/course/c-sharp-software-development-programming-for-absolute-beginners/
Programming with C#,5798508,Alan Rodrigues,"C# (programming language), Other IT & Software, IT & Software",C# (programming language),All Levels,12.5 hours,4.6,74,845,"Rp149,000",3/2026,7,0,7,https://www.udemy.com/course/programming-with-c-sharp/
Developer Bootcamp C# and ASP.NET Core,6139979,Charles Aylward,"C# (programming language), ASP.NET Core, Other IT & Software, IT & Software",C# (programming language),Beginner,21 hours,4.5,62,341,"Rp149,000",9/2024,0,0,74,https://www.udemy.com/course/developer-bootcamp-c-and-aspnet-core-for-beginners/
C# Programming: Start Coding in C#. Complete C# Programming,2275949,Zeeshan: C# Programming,"C# (programming language), Programming Fundamentals, Object-Oriented Programming (OOP), Microsoft, Office Productivity",C# (programming language),Beginner,3.5 hours,3.7,287,9179,"Rp149,000",1/2025,0,0,0,https://www.udemy.com/course/c-sharp-programming-language/
C# Programming for Beginners : The First Steps,719054,Charlie Chiarelli,"Computational Thinking, C# (programming language), Programming Languages, Development",C# (programming language),Beginner,18 hours,4.5,586,3647,"Rp149,000",3/2026,132,0,451,https://www.udemy.com/course/c-programming-a-practical-applications-approach/
C# Basics with .NET Core for Beginners: Learn by Coding,3365298,Thomas Plathanath Mathew,"C# (programming language), Programming Languages, Development",C# (programming language),Beginner,28 hours,4.5,187,797,"Rp149,000",5/2024,0,0,44,https://www.udemy.com/course/csharp-in-depth-for-beginners/
Programming in C# - From Beginner to Advanced,5066418,Felipe Gavilán,"C# (programming language), Programming Languages, Development",C# (programming language),Beginner,18.5 hours,4.4,105,570,"Rp149,000",5/2025,1,0,1,https://www.udemy.com/course/programming-in-csharp-from-beginner-to-advanced/
.NET Programming for Beginners - Windows Forms with C#,2840936,Artemakis Artemiou,"Windows Forms, .NET, C# (programming language), Microsoft Visual Studio, Programming Languages",C# (programming language),Beginner,5.5 hours,4.4,51,294,"Rp149,000",11/2025,1,0,15,https://www.udemy.com/course/dotnet-programming-beginners-windows-forms/
C# .NET with MS SQL Complete Beginner to Master 2026,4436714,Dominic Tripodi,"C# (programming language), SQL Server, .NET, Programming Languages, Development",C# (programming language),All Levels,24 hours,4.6,4375,29725,"Rp149,000",2/2026,22,7,6,https://www.udemy.com/course/net-core-with-ms-sql-beginner-to-expert/
"C# Intermediate: Classes, Interfaces and OOP",383576,Mosh Hamedani,"Object-Oriented Programming (OOP), C (programming language), C# (programming language), Programming Languages, Development",C# (programming language),Intermediate,5.5 hours,4.5,41342,176129,"Rp159,000",10/2019,5,0,1,https://www.udemy.com/course/csharp-intermediate-classes-interfaces-and-oop/
Learning C# .NET - Programming for Beginners.,11152,Infinite Skills,"C# (programming language), Programming Languages, Development",C# (programming language),All Levels,7.5 hours,4.3,447,3163,"Rp149,000",1/2017,1,0,1,https://www.udemy.com/course/c-sharp-for-beginners/
Beginner C# Programming with Visual Studio,2199076,C# Programming Tutorials,"C# (programming language), Programming Fundamentals, Microsoft Visual Studio, Programming Languages, Development",C# (programming language),Beginner,1.5 hours,4.5,131,3322,Free,8/2024,0,0,1,https://www.udemy.com/course/c-studies-basic-c-programming-with-visual-studio-2019/
LINQ Tutorial: Master the Key C# Library,4315140,Elegant Code – Krystyna Ślusarczyk,"Linq, C# (programming language), Other IT & Software, IT & Software",C# (programming language),All Levels,5 hours,4.6,1195,9043,"Rp149,000",4/2026,102,99,3,https://www.udemy.com/course/linq-tutorial-master-the-key-csharp-library/
C# Basics: From Zero to First Applications,5898132,"Anton Voroniuk, Roman Malyi, Anton Voroniuk Support","C# (programming language), Other IT & Software, IT & Software",C# (programming language),Beginner,3 hours,4.5,513,41713,"Rp149,000",11/2024,5,0,0,https://www.udemy.com/course/c-basics-from-zero-to-first-applications/
Learn C#: Learn to Code C# like a Pro Developer Course,2261390,Chuck McCullough,"C# (programming language), Other IT & Software, IT & Software",C# (programming language),Beginner,3.5 hours,4.3,21,194,"Rp149,000",6/2022,21,19,35,https://www.udemy.com/course/getting-started-in-csharp/
C# Fundamentals OOP for Absolute Beginners 35+Practice Test,1506356,Sandeep Soni,"C# (programming language), Programming Languages, Development",C# (programming language),Beginner,18 hours,4.0,157,6623,"Rp298,000.00",12/2025,0,0,57,https://www.udemy.com/course/c-language-basics-and-oops-basic-to-advanced/
C# Basics for Beginners - Learn C# Fundamentals by Coding,972778,Tod Vachev,"C# (programming language), Programming Languages, Development",C# (programming language),Beginner,13 hours,4.3,939,3778,"Rp149,000",9/2020,30,0,37,https://www.udemy.com/course/csharp-basics-for-beginners-learn-csharp-fundamentals-by-coding/
Master Multithreading & Asynchronous Programming in C#/.NET,6103403,Frank Liu,".NET, Software Engineering, Development",C# (programming language),Intermediate,8.5 hours,4.7,630,4121,"Rp159,000",10/2024,1,0,47,https://www.udemy.com/course/master-multithreading-asynchronous-programming-in-csharp-dotnet/
C# in 6 Hours: C# For Complete Beginners Learn C# by Coding,2613616,Oak Academy,"C# (programming language), Programming Languages, Development",C# (programming language),Beginner,5 hours,4.3,188,4585,"Rp149,000",4/2026,3,0,0,https://www.udemy.com/course/c-in-6-hours-c-for-complete-beginners-learn-c-by-coding/
C# Console and Windows Forms Development w/ Entity Framework,2759996,"Trevoir Williams, Learn IT University, Andrii Piatakha","C# (programming language), Linq, .NET, Windows Forms, Web Development",C# (programming language),Beginner,22.5 hours,4.7,1374,102468,"Rp149,000",1/2026,14,0,0,https://www.udemy.com/course/c-console-and-windows-forms-development-with-linq-adonet/
C# Intermediate Programming : The First Steps,778280,Charlie Chiarelli,"C# (programming language), Computational Thinking, Programming Languages, Development",C# (programming language),Intermediate,31.5 hours,4.5,976,7897,"Rp149,000",3/2026,143,0,666,https://www.udemy.com/course/c-intermediate-programming-applications-driven-approach/
AI Programming in C# - Beginner to Expert,5986812,Robert Gioia,"Artificial Intelligence (AI), C# (programming language), Machine Learning, Neural Networks, Data Science",C# (programming language),All Levels,16 hours,4.2,262,2051,"Rp149,000",3/2025,0,0,30,https://www.udemy.com/course/ai-programming-in-c-sharp-beginner-to-expert/
Getting Started with C#,1485412,Ervis Trupja,"C# (programming language), .NET, Other IT & Software, IT & Software",C# (programming language),Beginner,3 hours,4.7,1656,42251,"Rp149,000",6/2025,1,10,0,https://www.udemy.com/course/csharp-beginner-to-advanced/
Professional C#: Intermediate C# Programming Course,2452950,Chuck McCullough,"C# (programming language), Software Engineering, Development",C# (programming language),Intermediate,4 hours,4.4,65,309,"Rp149,000",3/2026,31,14,23,https://www.udemy.com/course/intermediate-csharp/
