course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Become a Calculus 1 Master,117490,Krista King,"Calculus, Math, Teaching & Academics",Calculus,All Levels,12.5 hours,4.8,12836,94451,"Rp169,000",4/2026,119,0,198,https://www.udemy.com/course/calculus1/
Become a Calculus 2 Master,128298,Krista King,"Calculus, Math, Teaching & Academics",Calculus,All Levels,27 hours,4.7,4442,57898,"Rp159,000",4/2026,202,0,371,https://www.udemy.com/course/calculus-2/
Calculus: Complete Course,5929580,Woody Lewenstein,"Calculus, Continuous Integration, Math, Differential Equations, Data Science",Calculus,All Levels,20 hours,4.6,258,1622,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/calculus-complete-course/
Become a Calculus 3 Master,128300,Krista King,"Calculus, Math, Teaching & Academics",Calculus,All Levels,24 hours,4.8,2347,42433,"Rp159,000",4/2026,170,0,313,https://www.udemy.com/course/calculus-3/
Calculus 1 with the Math Sorcerer,2399802,The Math Sorcerer,"Calculus, Math, Teaching & Academics",Calculus,All Levels,16.5 hours,4.7,1516,9674,"Rp159,000",5/2023,20,0,20,https://www.udemy.com/course/calculus-1-with-the-math-sorcerer/
"Calculus 1, part 1 of 2: Limits and continuity",5213488,"Hania Uscka-Wehlou, Martin Wehlou","Calculus, Math, Teaching & Academics",Calculus,All Levels,60 hours,4.7,269,2944,"Rp149,000",3/2026,0,0,365,https://www.udemy.com/course/calculus-1-p1/
Math 0-1: Calculus for Data Science & Machine Learning,5088876,"Lazy Programmer Inc., Lazy Programmer Team","Calculus, Machine Learning, Data Science, Development",Calculus,Beginner,14.5 hours,4.5,1578,11826,"Rp159,000",2/2026,0,0,0,https://www.udemy.com/course/calculus-data-science/
Become a Trigonometry & Precalculus Master,798018,Krista King,"Trigonometry, Math, Teaching & Academics",Calculus,All Levels,19.5 hours,4.8,4755,46184,"Rp209,000",2/2026,135,0,239,https://www.udemy.com/course/trig-by-krista-king/
"Calculus 2, part 2 of 2: Sequences and series",6203341,"Hania Uscka-Wehlou, Martin Wehlou","Calculus, Math, Teaching & Academics",Calculus,All Levels,60.5 hours,5.0,27,1105,"Rp149,000",3/2026,0,0,449,https://www.udemy.com/course/calculus-2-p2/
Master calculus 1 using Python: derivatives and applications,4881804,Mike X Cohen,"Calculus, Other IT & Software, IT & Software",Calculus,Beginner,41.5 hours,4.9,412,6090,"Rp159,000",3/2026,2,0,0,https://www.udemy.com/course/pycalc1_x/
INTUITION MATTERS! Applied Calculus in Engineering: Complete,1950248,Mark Misin Engineering Ltd,"Calculus, Math, Teaching & Academics",Calculus,All Levels,33.5 hours,4.6,620,6056,"Rp159,000",11/2025,7,0,3,https://www.udemy.com/course/intuition-matters-applied-calculus-for-engineers-complete/
Complete Mathematics Masterclass: College & University Level,3953742,Dr. Börge Göbel,"Math, Teaching & Academics",Calculus,All Levels,24.5 hours,4.4,843,10467,"Rp149,000",1/2024,32,0,15,https://www.udemy.com/course/university-mathematics/
Calculus Masterclass: Beginner to Advanced,2677386,Kumar Rohan,"Calculus, Math, Teaching & Academics",Calculus,Intermediate,15 hours,4.6,21,144,"Rp149,000",1/2021,106,0,0,https://www.udemy.com/course/calculus1-masterclass/
Calculus 1 Lectures with The Math Sorcerer,4671202,The Math Sorcerer,"Calculus, Math, Teaching & Academics",Calculus,Beginner,28 hours,4.8,188,1333,"Rp149,000",12/2023,27,0,27,https://www.udemy.com/course/calculus-1-lectures-with-the-math-sorcerer/
Calculus 1 - Limits and Continuity,1233000,Organic Chemistry Tutor,"Calculus, Math, Teaching & Academics",Calculus,All Levels,4 hours,4.9,134,811,"Rp149,000",5/2017,0,0,0,https://www.udemy.com/course/calculus-1-limits-and-continuity/
"Calculus 3 (multivariable calculus), part 2 of 2",3893282,"Hania Uscka-Wehlou, Martin Wehlou","Calculus, Math, Teaching & Academics",Calculus,All Levels,44.5 hours,4.9,177,3779,"Rp149,000",3/2026,0,0,312,https://www.udemy.com/course/calculus-3-multivariable-calculus-part-2-of-2/
Geometric Algebra: The Math You Weren't Taught,6735179,Dr. Pablo Bañón Pérez,"Linear Algebra, Math, Teaching & Academics",Calculus,Intermediate,12.5 hours,4.7,18,175,"Rp149,000",12/2025,0,0,8,https://www.udemy.com/course/geometric-linear-algebra/
Precalculus 1: Basic notions,4380230,"Hania Uscka-Wehlou, Martin Wehlou","Pre-Calculus, Math, Teaching & Academics",Calculus,All Levels,52.5 hours,4.8,1387,6801,"Rp159,000",3/2026,0,0,387,https://www.udemy.com/course/precalculus-1/
Calculus 2 with the Math Sorcerer,2405870,The Math Sorcerer,"Calculus, Math, Teaching & Academics",Calculus,All Levels,36.5 hours,4.7,662,5734,"Rp159,000",6/2023,8,0,9,https://www.udemy.com/course/calculus-2-with-the-math-sorcerer/
Ace Calculus 1 in 9 Hours (The Complete Course),3707432,Gina Chou,"Calculus, Math, Teaching & Academics",Calculus,Beginner,9 hours,4.7,41,362,"Rp149,000",3/2025,13,0,23,https://www.udemy.com/course/calculus-i-the-complete-course-9-hours/
"Calculus 1, part 2 of 2: Derivatives with applications",5552258,"Hania Uscka-Wehlou, Martin Wehlou","Calculus, Math, Teaching & Academics",Calculus,All Levels,56 hours,4.9,81,2112,"Rp159,000",3/2026,0,0,422,https://www.udemy.com/course/calculus-1-p2/
"Calculus 3 (multivariable calculus), part 1 of 2",3154046,"Hania Uscka-Wehlou, Martin Wehlou","Calculus, Math, Teaching & Academics",Calculus,All Levels,48 hours,4.9,426,4651,"Rp149,000",3/2026,0,0,339,https://www.udemy.com/course/calculus-3-multivariable-calculus-part-1-of-2/
"Calculus 2, part 1 of 2: Integrals with applications",5853656,"Hania Uscka-Wehlou, Martin Wehlou","Calculus, Math, Teaching & Academics",Calculus,Intermediate,57 hours,4.9,68,1504,"Rp149,000",3/2026,0,0,457,https://www.udemy.com/course/calculus-2-p1/
Calculus 1 Made Easy,1310632,Alireza Eshghi,"Calculus, Math, Teaching & Academics",Calculus,All Levels,12.5 hours,4.8,29,159,"Rp149,000",6/2019,27,0,0,https://www.udemy.com/course/calculus-ab/
Calculus 2 - A Complete Course in Integral Calculus,5093388,Gary Thomson,"Calculus, Math, Teaching & Academics",Calculus,Beginner,21 hours,4.9,31,228,"Rp149,000",9/2024,13,0,23,https://www.udemy.com/course/calculus-2-complete/
Precalculus - A Complete Course,5767700,Gary Thomson,"Pre-Calculus, Math, Teaching & Academics",Calculus,Beginner,11.5 hours,4.7,40,220,"Rp149,000",7/2025,14,0,26,https://www.udemy.com/course/precalculus-a-complete-course/
Become a Differential Equations Master,4467230,Krista King,"Differential Equations, Math, Teaching & Academics",Calculus,All Levels,23.5 hours,4.8,1026,13647,"Rp159,000",2/2026,99,0,178,https://www.udemy.com/course/differential-equations-master/
Become an Algebra Master,218794,Krista King,"Algebra, Pre-Algebra, Math, Teaching & Academics",Calculus,All Levels,16 hours,4.7,13150,78956,"Rp159,000",3/2026,165,0,295,https://www.udemy.com/course/integralcalc-algebra/
Discrete Mathematics 1,6549057,"Hania Uscka-Wehlou, Martin Wehlou","Discrete Math, Math, Teaching & Academics",Calculus,All Levels,61 hours,4.9,172,2012,"Rp159,000",3/2026,0,0,409,https://www.udemy.com/course/discrete-mathematics-1/
Precalculus 2: Polynomials and rational functions,4562338,"Hania Uscka-Wehlou, Martin Wehlou","Polynomials, Math, Teaching & Academics",Calculus,All Levels,42 hours,4.9,190,3474,"Rp149,000",3/2026,0,0,340,https://www.udemy.com/course/precalculus-2/
Become a Linear Algebra Master,2414236,Krista King,"Linear Algebra, Math, Teaching & Academics",Calculus,All Levels,15.5 hours,4.8,7748,50543,"Rp159,000",5/2025,99,0,172,https://www.udemy.com/course/linear-algebra-course/
Calculus 1 - A Complete Course in Differential Calculus,4393058,Gary Thomson,"Calculus, Math, Teaching & Academics",Calculus,Beginner,11 hours,4.6,9,130,"Rp149,000",9/2022,7,0,11,https://www.udemy.com/course/calculus-1-complete/
Linear Algebra and Geometry 1,4025832,"Hania Uscka-Wehlou, Martin Wehlou","Linear Algebra, Math, Teaching & Academics",Calculus,All Levels,47 hours,4.9,1208,9305,"Rp159,000",3/2026,0,0,371,https://www.udemy.com/course/linear-algebra-and-geometry-1/
