course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Canva Master Course 2026 | Design Smarter with Ronny & Diana,1626712,Ronny Hermosa,"Canva, Graphic Design, Business Branding",Canva,All Levels,34.5 hours,4.6,15798,86589,"Rp169,000",2/2026,12,0,0,https://www.udemy.com/course/canva-master-course-graphic-design-for-beginners/
Social Media Content Creation: Canva Beginner to Advanced,1529012,Maggie Stara,"Canva, Content Creation, Graphic Design, Social Media Marketing, Marketing",Canva,All Levels,13.5 hours,4.6,6878,38892,"Rp159,000",9/2025,1,0,1,https://www.udemy.com/course/design-school-create-social-media-graphics/
Canva Masterclass: Beginner to Pro Graphic Design in Canva,5870944,"Video School, Tomas George, Phil Ebiner, Media Made Fun, Digital Music Masters","Canva, Artificial Intelligence (AI), Graphic Design, Content Creation, Design Tools",Canva,All Levels,7 hours,4.6,1227,7898,"Rp159,000",3/2026,3,0,2,https://www.udemy.com/course/canva-graphic-design-masterclass/
Canva Design Essentials,6286215,Daniel Walter Scott,"Canva, AI Content Generation, Graphic Design & Illustration, Design",Canva,Beginner,7.5 hours,4.7,693,3470,"Rp159,000",4/2025,1,0,1,https://www.udemy.com/course/canva-design-essentials/
The Canva Master Course for 2025 and Beyond!,2784160,Greg Radcliffe,"Canva, Workflow, Content Marketing, Social Media Marketing, Graphic Design & Illustration",Canva,All Levels,21 hours,4.8,1977,11605,"Rp159,000",7/2025,4,0,6,https://www.udemy.com/course/the-canva-master-course/
"Canva AI Masterclass 2026: Magic Studio, AI Design & ChatGPT",4522152,Sawan Kumar,"Canva, Design Tools, Design",Canva,All Levels,26 hours,4.6,1500,14501,"Rp149,000",4/2026,45,0,2,https://www.udemy.com/course/canva-master-course-use-canva-to-grow-your-business/
The Complete Canva Masterclass: Canva Beginner to Advanced,6640223,Uma Bharathi Seera,"Canva, Online Education, Teaching & Academics",Canva,All Levels,2.5 hours,4.8,40,110,"Rp149,000",11/2025,0,0,0,https://www.udemy.com/course/the-complete-canva-masterclass-canva-beginner-to-advanced/
"Be A Master Of Canva Course, Basics To Advance Trainings",5418716,Shahtaj Ahmed Bhutto,"Canva, Graphic Design, Video Editing, AI Art Generation, Creativity",Canva,All Levels,1.5 hours,4.2,1307,31625,"Rp149,000",7/2025,0,0,2,https://www.udemy.com/course/be-a-master-of-canva-2023-with-new-tricks-basics-to-advance/
Complete Canva Megacourse: Beginner to Expert,4736024,Skillademia Academy,"Canva, Graphic Design, Logo Design, Graphic Design & Illustration, Design",Canva,All Levels,42.5 hours,4.3,493,19722,"Rp159,000",10/2025,0,0,0,https://www.udemy.com/course/complete-canva-megacourse-beginner-to-expert/
Canva Course: Beginner to Pro Master Canva AI Graphic Design,6468285,Shahtaj Ahmed Bhutto,"Canva, Artificial Intelligence (AI), Graphic Design, Generative AI (GenAI), Graphic Design & Illustration",Canva,All Levels,3.5 hours,4.5,1244,4199,"Rp159,000",10/2025,0,0,49,https://www.udemy.com/course/canva-course-beginner-to-pro-master-canva-ai-graphic-design/
