course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Video Editing in CapCut | Beginner to Pro | Desktop + Mobile,5733962,"AI Video School, Video School, Phil Ebiner, YouTube Academy : Support","CapCut, Video Production, Video Editing, Content Creation, Video Design",CapCut,All Levels,3.5 hours,4.5,3210,25178,"Rp169,000",2/2026,3,0,4,https://www.udemy.com/course/capcut-video-editing-course/
CapCut Video Editing Bootcamp: CapCut Basic to Advanced,4712914,"Louay Zambarakji, KaiVersity.com - Lucas Roomé","CapCut, Video Editing, Video Creation, DaVinci Resolve, Design Tools",CapCut,All Levels,4 hours,4.6,662,5957,"Rp169,000",6/2025,0,0,1,https://www.udemy.com/course/capcut-video-editing-course-capcut-basic-to-advanced/
"Social Media Film School: TikTok, Instagram, YouTube & AI",5136070,"AI Video School, Julian Melanson, Justice Shepard, YouTube Academy : Support","Social Media Marketing, Videography, Video Production, Video Editing, ChatGPT",CapCut,All Levels,20.5 hours,4.7,1490,28195,"Rp159,000",1/2026,6,0,48,https://www.udemy.com/course/social-media-film-school/
CapCut Mastery: Video Editing in CapCut From Beginner to Pro,5223748,Faizan Amjed,"CapCut, Video Editing, Video Design, Photography & Video",CapCut,All Levels,6.5 hours,4.4,378,3339,"Rp159,000",3/2025,0,0,8,https://www.udemy.com/course/capcut-pc-complete-capcut-video-editing-beginner-to-pro-k/
"CapCut Video Editing for Viral Shorts: ChatGPT, Elevenlabs",6438623,Nonso Michael (BLUEPRINT),"Video Editing, Video Design, Photography & Video",CapCut,All Levels,4.5 hours,4.4,175,12124,"Rp159,000",2/2026,1,0,1,https://www.udemy.com/course/master-viral-shorts-editing-chatgpt-capcut-elevenlabs/
CapCut Accelerator: Edit Viral Videos in Days (Not Months),6392545,FIVOS-PAVLOS Lazurca,"Video Editing, CapCut, Social Media Marketing, Digital Marketing, Video Design",CapCut,All Levels,7 hours,4.6,8,63,"Rp149,000",11/2025,0,0,14,https://www.udemy.com/course/capcut-accelerator-edit-viral-videos-in-days-not-months/
Capcut to Create a Finance Youtube Channel with AI & ChatGPT,6009794,Passive Income Gen Z,"Viral Marketing, Video Design, Photography & Video",CapCut,All Levels,5.5 hours,4.8,82,768,"Rp149,000",3/2025,0,0,4,https://www.udemy.com/course/capcut-to-create-a-finance-youtube-channel-with-ai-chatgpt/
DaVinci Resolve Mastery: The Complete Video Editing Bootcamp,1390206,"Louay Zambarakji, KaiVersity.com - Lucas Roomé","DaVinci Resolve, Color Grading, VFX Compositing, Video Editing, Video Design",CapCut,All Levels,16 hours,4.7,14287,80962,"Rp169,000",3/2026,3,0,4,https://www.udemy.com/course/davinci-resolve-training-course/
CapCut Video Editing Course for Content Creators,6140575,Bijan Machen,"Video Editing, Video Design, Photography & Video",CapCut,Beginner,1.5 hours,4.8,6,27,"Rp149,000",11/2024,0,0,0,https://www.udemy.com/course/capcut-video-editing-course-for-content-creators/
Video Editing Mastercourse for Total Beginners (via Capcut),6240623,Ibozi Trading,"Video Editing, Video Creation, Video Production, CapCut, Creativity",CapCut,Beginner,6 hours,4.6,85,410,"Rp149,000",10/2024,1,0,0,https://www.udemy.com/course/video-editing-mastercourse-for-total-beginners-via-capcut/
Capcut Video Editing for Beginners - Short-form Viral Videos,5882872,Kush Sharma,"CapCut, Video Editing, Video Design, Photography & Video",CapCut,Beginner,3 hours,4.6,45,714,"Rp149,000",2/2026,2,0,1,https://www.udemy.com/course/capcut-video-editing-for-beginners-short-form-viral-videos/
Adobe Premiere Pro Masterclass: Video Editing in Premiere,926512,"Phil Ebiner, Video School","Adobe Premiere Pro, Video Production, Video Marketing, Video Editing, Video Design",CapCut,All Levels,27 hours,4.7,46065,517108,"Rp169,000",12/2025,7,0,6,https://www.udemy.com/course/adobe-premiere-pro-video-editing/
CapCut Online desde cero: Edición de Video Online,7040737,Maria Leticia Ditrani,"Video Design, Photography & Video",CapCut,Beginner,5 hours,5.0,1,22,"Rp149,000",2/2026,2,0,0,https://www.udemy.com/course/capcut-online-desde-cero-edicion-de-video-online/
CapCut [2026],7088907,"GAMA Networks | +3.000 students, JN Academy","CapCut, Graphic Design & Illustration, Design",CapCut,Beginner,2 hours,4.0,1,2,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/capcut-2026/
Edição de Vídeo no Celular com CapCut,7072233,Bruna Delmanto,"Video Editing, iPhone Filmmaking, Video Production, Video Creation, Video Design",CapCut,Beginner,1.5 hours,4.7,N/A,1,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/edicao-de-video-no-celular-com-capcut/
Create AI Avatars: From Image to Video. Step-by-Step Guide,7048595,Bros Academy,"AI Content Generation, Social Media Marketing, Other Photography & Video, Photography & Video",CapCut,Beginner,1 hour,4.6,7,14,"Rp149,000",2/2026,0,0,1,https://www.udemy.com/course/create-ai-avatars-from-image-to-video-step-by-step-guide/
CapCut para Celular: Edición de Video Profesional para Reels,7040745,Maria Leticia Ditrani,"Video Editing, Video Design, Photography & Video",CapCut,Beginner,3 hours,5.0,1,27,"Rp149,000",2/2026,1,0,0,https://www.udemy.com/course/capcut-para-celular-edicion-de-video-profesional-para-reels/
İçerik Üretimi l Capcut'la İleri Seviye l Trendler,7048439,Uğur Cuya,"CapCut, Video Design, Photography & Video",CapCut,All Levels,1 hour,5.0,3,43,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/capcut_ileri_seviye_kursu/
"Capcut untuk Usaha Mikro, Kecil, dan Menengah (UMKM)",6165161,PT.Sentra Karya Integrasi Global (SKI Global),"CapCut, Video Editing, 3D & Animation, Design",CapCut,Beginner,1 hour,N/A,N/A,N/A,"Rp149,000",3/2025,0,0,0,https://www.udemy.com/course/capcut-umkm-pemula/
Maitriser CAPCUT en 20 min !,7088221,Matteo Bognel,"Video Editing, Other Photography & Video, Photography & Video",CapCut,Beginner,33 mins,4.7,N/A,N/A,"Rp149,000",3/2026,1,0,0,https://www.udemy.com/course/maitriser-capcut-en-20-min/
CapCut Desktop Video Editing Masterclass,5696614,Ali Hossain,"CapCut, Video Editing, Video Design, Photography & Video",CapCut,Beginner,1 hour,4.7,114,2690,"Rp149,000",3/2024,0,0,0,https://www.udemy.com/course/capcut-tutorial-beginners/
CapCut Desktop: A Complete Guide to Get Started,5274976,Nash Theo,"CapCut, Video Editing, Video Design, Photography & Video",CapCut,All Levels,2 hours,4.7,72,314,"Rp149,000",4/2023,0,0,1,https://www.udemy.com/course/capcut-desktop/
AI Filmmaking Bootcamp: Create Cinematic AI Video,6918779,Sky Studio,"Filmmaking, Video Design, Photography & Video",CapCut,All Levels,2.5 hours,4.5,86,522,"Rp149,000",3/2026,6,0,12,https://www.udemy.com/course/ai-filmmaking-bootcamp-create-cinematic-video/
"AI Video Creation Mastery - ChatGPT, Suno, Veo & Nano Banana",6793069,"Emenwa Global, George Steve, Chris Mendes","Video Creation, Artificial Intelligence (AI), AI Content Generation, AI Art Generation, Entrepreneurship",CapCut,All Levels,6.5 hours,4.4,225,2552,"Rp159,000",3/2026,17,0,0,https://www.udemy.com/course/ai-video-creation-mastery-chatgpt-suno-veo-nano-banana-hailou-capcut/
Advanced Capcut & Generative AI Video Editing Masterclass,5736618,Passive Income Gen Z,"AI Content Generation, CapCut, Video Design, Photography & Video",CapCut,All Levels,14 hours,4.3,102,1150,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/capcut-chatgpt-generative-ai-video-editing-masterclass/
Master CapCut | The Complete Video Editing Course,6452441,Hammad Habib,"Video Editing, CapCut, Video Design, Photography & Video",CapCut,All Levels,3.5 hours,4.6,14,75,"Rp149,000",2/2025,0,0,1,https://www.udemy.com/course/master-capcut-the-complete-video-editing-course/
How To Edit Viral Shorts In CapCut,5686830,Talha Bhatti,"Video Editing, Audio Editing, CapCut, Video Design, Photography & Video",CapCut,Beginner,1.5 hours,4.6,798,36494,"Rp457,000.00",3/2026,1,0,0,https://www.udemy.com/course/how-to-edit-viral-shorts-in-capcut/
"Create Stunning Videos with CapCut, From Beginner to Pro",6868989,Hanif Najafi,"Video Design, Photography & Video",CapCut,All Levels,4 hours,4.8,8,1010,"Rp149,000",10/2025,0,0,0,https://www.udemy.com/course/learn-capcut/
21 Million Youtube Views & 20K Subs with 600+ AI Prompts,6704485,Passive Income Gen Z,"YouTube Audience Growth, Other Photography & Video, Photography & Video",CapCut,All Levels,41 hours,4.2,82,1443,"Rp169,000",2/2026,2,0,23,https://www.udemy.com/course/how-i-hit-21m-youtube-views-20k-subs-with-600-ai-prompts/
CapCut & Veo 3: AI Video Editing for TikTok & YouTube,6807321,Nonso Michael (BLUEPRINT),"Video Editing, AI Content Generation, Video Design, Photography & Video",CapCut,All Levels,8.5 hours,4.2,77,7850,"Rp149,000",11/2025,1,0,1,https://www.udemy.com/course/capcut-veo-3-ai-video-editing/
Advanced Capcut Course Learn Professional Video Editing,6236307,Sayman Creative Institute,"CapCut, Video Design, Photography & Video",CapCut,All Levels,5 hours,4.2,202,25883,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/advanced-capcut-course-learn-professional-video-editing/
CapCut Video Editing for Social Media Beginner to Pro,5832268,"James Joab Soren, Hudson Dynamic Lab","CapCut, Video Design, Photography & Video",CapCut,All Levels,4 hours,4.0,451,38521,"Rp149,000",4/2025,1,0,1,https://www.udemy.com/course/capcut-video-editing-for-social-media-beginner-to-pro/
Learning Capcut Online from Scratch,5755968,Pratik Pradhan,"CapCut, Video Editing, Video Design, Photography & Video",CapCut,Beginner,2 hours,4.7,2,327,"Rp159,000",3/2024,0,0,0,https://www.udemy.com/course/learning-capcut-online-from-scratch/
iPhone Filmmaker Masterclass,5586348,Adi Singh,"Videography, Video Design, Photography & Video",CapCut,Beginner,6 hours,4.6,576,2647,"Rp169,000",10/2023,0,0,0,https://www.udemy.com/course/iphone-filmmaker-masterclass/
CapCut Team Accelerator: Zero to Pro Video Editor in 1 Day,6826211,"Imran Afzal, AI Whisperer Academy","CapCut, Video Design, Photography & Video",CapCut,All Levels,3.5 hours,4.0,59,2921,"Rp149,000",9/2025,0,0,0,https://www.udemy.com/course/capcut-team-accelerator-zero-to-pro-video-editor-in-1-day/
"Master Faceless YouTube Automation with AI, ChatGPT & Canva!",6289225,Daniel Thomas,"YouTube Marketing, Digital Marketing, Social Media Marketing, Marketing",CapCut,All Levels,7.5 hours,4.4,1354,10186,"Rp159,000",2/2025,0,0,12,https://www.udemy.com/course/master-faceless-youtube-automation-with-ai-chatgpt-canva/
Mastering CapCut: Complete Video Editing Guide for Beginners,6837045,Muhammad Husnain,"CapCut, Video Design, Photography & Video",CapCut,Beginner,2 hours,4.6,20,244,"Rp149,000",9/2025,0,0,0,https://www.udemy.com/course/mastering-capcut-complete-video-editing-guide-for-beginners/
CapCut Video Edit With AI ChatGPT and Motion Cinematography,6731221,Sustoab Soren,"CapCut, Motion Graphics, ChatGPT, Video Design, Photography & Video",CapCut,All Levels,4.5 hours,4.0,67,12681,"Rp149,000",7/2025,0,0,0,https://www.udemy.com/course/capcut-video-edit-with-ai-chatgpt-and-motion-cinematography/
video editing:Creating hot tiktok videos,5649140,leo qu,"VideoScribe, TikTok Marketing, Video Design, Photography & Video",CapCut,Beginner,2.5 hours,5.0,1,23,"Rp149,000",3/2024,0,0,8,https://www.udemy.com/course/creating-hot-tiktok-videos-with-capcut/
"2026 Short Form Content Masterclass - TikTok, Reels, Shorts",5969408,Lambros Lazopoulos,"Content Creation, Social Media Marketing, Marketing",CapCut,Beginner,3 hours,4.0,102,1549,"Rp159,000",3/2026,2,0,0,https://www.udemy.com/course/2024-short-form-content-masteclass-tiktok-reels-shorts/
"CapCut Video Editing To Create Viral Youtube, Tiktok Stories",5602206,"Xiohoo 相 助, Amplify Stack","Video Editing, Video Production, Video Creation, CapCut, Video Design",CapCut,All Levels,6 hours,4.5,44,511,"Rp149,000",11/2024,0,0,0,https://www.udemy.com/course/capcut-video-editing-course-for-tiktok-instagram-reels-youtube-shorts/
