course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Career Development - Discover your life purpose & ideal job,2727128,Chris Croft,"Career Development, Career Change, Interviewing Skills, Personal Development",Career Development,All Levels,3.5 hours,4.8,279,1228,"Rp149,000",5/2025,0,0,16,https://www.udemy.com/course/career-goals/
Career Coaching Certification in Career Development Coaching,691512,"Holistic Coach Academy, Louise Anne Maurice Leadership Mentor","Career Coach Training, Life Coach Training, Career Development, Career Change, Personal Development",Career Development,All Levels,33.5 hours,4.1,2561,13498,N/A,4/2026,1,0,452,https://www.udemy.com/course/certification-career-development-career-coaching/
CAREER MASTERY : Become Unstoppable In Your Career.,4548734,Venugopal Muvvala,"Career Development, Personal Development",Career Development,All Levels,4 hours,4.8,63,368,"Rp149,000",2/2024,0,0,0,https://www.udemy.com/course/career-development-career-growth-acceleration/
Career Training: Career Development,793550,Libby Seery,"Career Development, Personal Development",Career Development,All Levels,2 hours,4.3,211,844,"Rp149,000",9/2017,16,0,35,https://www.udemy.com/course/create-your-dream-job-find-your-true-meaning/
The Complete Career Coaching Course - Career Development,3754798,"TJ Walker, Bob Berkowitz, Media Training Worldwide Digital","Career Coach Training, Career Development, Career Change, Interviewing Skills, Personal Development",Career Development,All Levels,3.5 hours,4.4,318,43254,"Rp149,000",1/2026,1,0,0,https://www.udemy.com/course/the-complete-career-coaching-course-career-development/
Career Coach Practitioner: CV Job Search & Growth [EN],6546545,PapaHR ⇢ 1.6M+ Enrollments • 500+ HR Courses • 30 Languages AI in HR | Analytics | Talent | Comp&Ben | HRCI | SHRM-CP | PHRi,"Career Coach Training, Human Resources, Business",Career Development,All Levels,4 hours,4.2,45,8195,"Rp149,000",3/2026,1,0,10,https://www.udemy.com/course/career-coaching-counseling-cv-job-search-growth/
Discover Your Career Path & Land a Job You Love in 12 Weeks,2475620,Mark Langford,"Career Development, Career Change, Job Search, Personal Development",Career Development,All Levels,7 hours,4.7,424,9285,"Rp149,000",2/2026,0,0,92,https://www.udemy.com/course/careermastery/
Boost Your Career Success by Developing Your Soft Skills,479988,Denise Fletcher,"Personal Development, Career Development, Career Coach Training",Career Development,All Levels,1 hour,4.6,16789,34199,"Rp149,000",8/2019,2,0,8,https://www.udemy.com/course/personal-development-for-success/
Professional Certificate in Career Coaching,5952512,"MTF Institute of Management, Technology and Finance","Career Coach Training, Coaching, Life Coach Training, Career Development, Personal Development",Career Development,All Levels,4.5 hours,4.2,169,12101,"Rp149,000",10/2025,15,0,15,https://www.udemy.com/course/professional-certificate-in-career-coaching/
Career Development Masterclass™: Build a Successful Career,2007400,VSight - Business Development & Branding,"Career Development, Career Coach Training, Career Change, Human Resources, Business",Career Development,All Levels,1.5 hours,4.1,34,4344,"Rp149,000",1/2025,0,0,0,https://www.udemy.com/course/career-coaching-masterclass/
New Employee Professional Development Career Growth Guide,5929584,Alex Genadinik,"Career Development, Personal Development",Career Development,Beginner,1.5 hours,4.6,97,320,"Rp149,000",7/2025,0,0,0,https://www.udemy.com/course/new-employee-professional-development-career-guide/
Personal Development for Career Success: From A to Z,5981264,Diego Guevara,"Personal Development, Career Development",Career Development,All Levels,5 hours,4.8,4,1300,Free,4/2025,0,0,18,https://www.udemy.com/course/personal-development-for-career-success-from-a-to-z/
"Communication, Leadership & Management - 3 in 1 Masterclass",3881744,Peter Alkema,"Communication Skills, Business Communication, Communication, Business",Career Development,Beginner,56.5 hours,4.6,8077,36358,N/A,11/2025,7,0,606,https://www.udemy.com/course/high-impact-communication-skills/
Career Planning,5086658,Soma Sekhar,"Career Development, Personal Development",Career Development,Beginner,N/A,4.8,4,15,N/A,1/2023,0,0,0,https://www.udemy.com/course/career-planning-d/
We can’t find the page you’re looking for,N/A,N/A,N/A,Career Development,All Levels,N/A,N/A,38,N/A,N/A,N/A,0,0,0,https://www.udemy.com/course/job-search-career-development-and-career-change-masterclass/
Career Coaching Masterclass: From Goals to Growth,6869387,Billiard Training Academy,"Coaching, Human Resources, Business",Career Development,All Levels,N/A,4.4,N/A,2,N/A,11/2025,0,0,0,https://www.udemy.com/course/career-coaching-masterclass-from-goals-to-growth/
Creating a Career Development Plan,4771282,Jade Ball,"Career Development, Personal Development",Career Development,All Levels,N/A,4.4,5,428,"Rp149,000",7/2022,0,0,0,https://www.udemy.com/course/creating-a-career-development-plan/
We can’t find the page you’re looking for,N/A,N/A,N/A,Career Development,Intermediate,N/A,N/A,329,N/A,N/A,N/A,0,0,0,https://www.udemy.com/course/certification-course-in-talent-development-management/
CHANGE YOUR CAREER with the help of a top Career Coach,6384371,Laura Allen,"Life Purpose, Personal Development, Career Development, Career Change",Career Development,All Levels,N/A,4.6,10,51,N/A,1/2025,0,0,0,https://www.udemy.com/course/the-career-change-strategy-that-works/
We can’t find the page you’re looking for,N/A,N/A,N/A,Career Development,All Levels,N/A,N/A,4,N/A,N/A,N/A,0,0,0,https://www.udemy.com/course/professional-skills-resume-gd-interviews-etiquette/
Leadership: Essentials for Career Development,2355914,Andrew LeMasters,"Leadership, Personal Development",Career Development,All Levels,2.5 hours,4.4,4385,14057,N/A,6/2020,0,0,0,https://www.udemy.com/course/leadership-development-and-project-management/
