course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
[CFA] Chartered Financial Analyst Exam,7133721,Shilpi Jain,"IT Certifications, IT & Software",Chartered Financial Analyst (CFA),All Levels,N/A,N/A,N/A,N/A,"Rp349,000",N/A,0,0,0,https://www.udemy.com/course/cfa-chartered-financial-analyst-exam/
Level 1 CFA® Exam Prep Bootcamp (Part 1/2),2626524,"365 Careers, Ivan Kitov, CFA","Chartered Financial Analyst (CFA), Finance Cert & Exam Prep, Finance & Accounting",Chartered Financial Analyst (CFA),All Levels,26 hours,4.7,6677,52396,"Rp169,000",1/2026,38,0,55,https://www.udemy.com/course/level-1-cfa-exam-prep-bootcamp/
Chartered Financial Analyst (CFA) Level I: Foundation,6817935,sandy H,"Chartered Financial Analyst (CFA), Finance Cert & Exam Prep, Finance & Accounting",Chartered Financial Analyst (CFA),Beginner,N/A,3.5,1,6,"Rp149,000",9/2025,0,0,0,https://www.udemy.com/course/chartered-financial-analyst-cfa-level-i-foundation/
Level 1 CFA® Exam Prep Bootcamp (Part 2/2),2995888,"365 Careers, Ivan Kitov, CFA","Chartered Financial Analyst (CFA), Finance, Finance & Accounting",Chartered Financial Analyst (CFA),All Levels,29.5 hours,4.8,1939,28001,"Rp169,000",1/2026,44,0,59,https://www.udemy.com/course/exam-prep-cfa-level-1-bootcamp-2020-curriculum-part-22/
The Complete Financial Analyst Course 2026,648826,365 Careers,"Financial Analysis, Finance Fundamentals, Financial Modeling & Analysis, Finance & Accounting",Chartered Financial Analyst (CFA),All Levels,21.5 hours,4.6,102686,506307,"Rp169,000",1/2026,17,0,542,https://www.udemy.com/course/the-complete-financial-analyst-course/
The Complete Financial Analyst Training & Investing Course,1202988,Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof.,"Financial Analysis, Finance Fundamentals, Microsoft Excel, Investing, Investing & Trading",Chartered Financial Analyst (CFA),All Levels,23 hours,4.5,34065,276313,"Rp169,000",5/2025,8,0,34,https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/
Complete CFA Level 1 Course 2025,6285105,Kuldeep Sharma,"Chartered Financial Analyst (CFA), Finance Cert & Exam Prep, Finance & Accounting",Chartered Financial Analyst (CFA),All Levels,54.5 hours,4.4,190,2037,"Rp169,000",6/2025,1,0,0,https://www.udemy.com/course/complete-cfa-level-1-course/
CFA Chartered Financial Analyst Practice Exams,6817795,Practice Tests Testing,"Chartered Financial Analyst (CFA), IT Certifications, IT & Software",Chartered Financial Analyst (CFA),All Levels,N/A,N/A,N/A,1,"Rp149,000",9/2025,0,0,0,https://www.udemy.com/course/cfa-chartered-financial-analyst-practice-exams/
Financial Management A Complete Study for CA/CMA/CS/CFA/ACCA,375594,"Raja Natarajan, B.Com., PGDBA, FCA","Certified Management Accountant (CMA), Association of Chartered Certified Accountants (ACCA), Chartered Financial Analyst (CFA), Finance, Finance Cert & Exam Prep",Chartered Financial Analyst (CFA),All Levels,62.5 hours,4.3,3772,32257,"Rp159,000",5/2025,2,0,31,https://www.udemy.com/course/financial-management-a-complete-study/
CFA Level 1: Financial Statement Analysis – Core Readings,6731341,Markos Kolatsis,"Chartered Financial Analyst (CFA), Finance Cert & Exam Prep, Finance & Accounting",Chartered Financial Analyst (CFA),Intermediate,5.5 hours,5.0,1,16,"Rp149,000",7/2025,0,0,34,https://www.udemy.com/course/cfa-level-1-financial-statement-analysis-core-readings/
Corporate Finance Analyst (CFA),5820744,Sorin Dumitrascu,"Finance Fundamentals, Corporate Finance, Finance, Finance & Accounting",Chartered Financial Analyst (CFA),Beginner,41 hours,4.2,221,1055,"Rp159,000",11/2025,1,0,90,https://www.udemy.com/course/corporate-finance-analyst-cfa/
CFA Level 1 Practice Exams: 1000+ Questions,6893513,Mr. ExamMaster,"Chartered Financial Analyst (CFA), Finance Cert & Exam Prep, Finance & Accounting",Chartered Financial Analyst (CFA),All Levels,N/A,3.9,4,270,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/cfa-level-1-practice-exams-1000-questions/
Advanced Financial Management for CA/CMA/CFA/ACCA/CS/MBA,658766,"Raja Natarajan, B.Com., PGDBA, FCA","Financial Management, Association of Chartered Certified Accountants (ACCA), Chartered Financial Analyst (CFA), Certified Management Accountant (CMA), Finance",Chartered Financial Analyst (CFA),All Levels,44.5 hours,4.7,1060,12606,"Rp159,000",8/2024,1,0,76,https://www.udemy.com/course/advanced-financial-management-a-comprehensive-study/
Level II - FINANCIAL ANALYST - Exams in 2026,5926862,Finance & Business Professional Education (FBPE),"Chartered Financial Analyst (CFA), Finance Cert & Exam Prep, Finance & Accounting",Chartered Financial Analyst (CFA),Intermediate,N/A,3.3,4,161,"Rp149,000",10/2025,0,0,0,https://www.udemy.com/course/level-ii-chartered-financial-analyst-cfa-exams-in-2024/
CFA Level 1: 1500 MCQs with Solutions | Latest Syllabus,6616945,AI & ML SkillShift E-Learning Academy,"Finance Cert & Exam Prep, Finance & Accounting",Chartered Financial Analyst (CFA),All Levels,N/A,4.8,2,78,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/cfa-level-1-2026-1500-mcqs-with-solutions/
