course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
"The Complete AI Guide: Learn ChatGPT, Generative AI & More",5170404,"Julian Melanson, Benza Maman, Leap Year Learning","ChatGPT, Midjourney, DALL·E, AI Art Generation, Generative AI (GenAI)",ChatGPT,All Levels,41.5 hours,4.5,59475,342484,"Rp169,000",3/2026,22,0,147,https://www.udemy.com/course/complete-ai-guide/
ChatGPT: Complete ChatGPT Course For Work 2026 (Ethically)!,5061666,"Steve Ballinger, MBA","ChatGPT, Business Communication, Productivity Apps, AI Content Generation, Personal Productivity",ChatGPT,All Levels,14 hours,4.5,127881,267382,"Rp169,000",4/2026,7,0,1,https://www.udemy.com/course/chatgpt-complete-chatgpt-course-for-work-2023-ethically-chat-gpt/
ChatGPT & Generative AI - The Complete Guide,5291332,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller, Manuel Lorenz","ChatGPT, Other IT & Software, IT & Software",ChatGPT,All Levels,21 hours,4.6,28917,104062,"Rp159,000",11/2025,12,0,18,https://www.udemy.com/course/chatgpt-bard-bing-complete-guide-to-chatgpt-openai-apis/
The Ultimate ChatGPT Course for Beginners 2026 - ChatGPT A-Z,5532920,"Joshua George, ClickSlice Ltd","ChatGPT, Prompt Engineering, Digital Marketing, Marketing",ChatGPT,Beginner,6.5 hours,4.6,2718,14984,"Rp149,000",1/2026,21,0,18,https://www.udemy.com/course/ultimate-chatgpt-course-for-beginners/
ChatGPT/AI for Finance Professionals: Investing & Analysis,5624446,"Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof., Luka Anicin","ChatGPT, Finance, Finance & Accounting",ChatGPT,All Levels,10 hours,4.6,1887,13538,"Rp159,000",10/2025,3,0,15,https://www.udemy.com/course/chatgpt-for-finance-professionals-investing-analysis/
Create Awesome Graphics with ChatGPT,6560849,Scott Bromander,"ChatGPT, Design Tools, Design",ChatGPT,Beginner,5 hours,4.8,98,553,"Rp149,000",5/2025,0,0,37,https://www.udemy.com/course/create-awesome-graphics-with-chatgpt/
ChatGPT Masterclass: The Guide to AI & Prompt Engineering,5306194,"Robin & Jesper, One Day Website Pro","ChatGPT, Other IT & Software, IT & Software",ChatGPT,All Levels,16.5 hours,4.6,6338,46530,"Rp169,000",2/2026,3,0,63,https://www.udemy.com/course/chatgpt-ai-masterclass/
ChatGPT Masterclass - The Ultimate Guide,5461968,Nikolai Schuler,"ChatGPT, Midjourney, Prompt Engineering, Generative AI (GenAI), Other IT & Software",ChatGPT,All Levels,13 hours,4.5,3310,37332,"Rp149,000",3/2026,4,0,50,https://www.udemy.com/course/chatgpt-complete-masterclass/
ChatGPT & AI Prompt Engineering Mastery,6866679,"Dr. Tahira, Hadia Baig","Prompt Engineering, ChatGPT, Software Development Tools, Development",ChatGPT,All Levels,13 hours,4.6,621,1582,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/chatgpt-ai-prompt-engineering-mastery/
ChatGPT & AI Tools - From Beginner to Expert,6255363,Todd McLeod,"ChatGPT, Other Office Productivity, Office Productivity",ChatGPT,Beginner,26 hours,4.4,1314,5484,"Rp159,000",8/2025,0,0,1,https://www.udemy.com/course/learn-ai/
