course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
The Complete Guide to Chess for Beginners (Rated 0 to 1500),4044560,Tryfon Gavriel,"Chess, Games & Gaming, Lifestyle",Chess,Beginner,40.5 hours,4.2,907,9318,"Rp149,000",10/2025,1,0,0,https://www.udemy.com/course/the-complete-beginners-guide-to-chess/
Tactic Ninja - Sharpen Your Chess Tactics with a Grandmaster,5506619,GM Avetik Grigoryan,"Chess, Other Teaching & Academics, Teaching & Academics",Chess,Beginner,19.5 hours,4.8,413,1779,"Rp159,000",10/2023,0,0,0,https://www.udemy.com/course/tactic-ninja-sharpen-your-chess-tactics-with-a-grandmaster/
Chess Course! 13 COURSES in 1 [MASTER THE GAME] + 19 EXTRAS!,6269029,"Professor Átila [Over 4,130 Chess Students] ♙","Chess, Creativity, Personal Development",Chess,All Levels,19.5 hours,4.7,58,1338,"Rp149,000",2/2026,31,0,0,https://www.udemy.com/course/chess-academy/
The Complete Guide to Chess Tactics,3553549,Tryfon Gavriel,"Chess, Games & Gaming, Lifestyle",Chess,All Levels,22 hours,4.5,1651,14613,"Rp149,000",10/2025,5,0,5,https://www.udemy.com/course/the-complete-guide-to-chess-tactics/
Understanding chess openings | How to play ANY opening well,3199818,Mykhaylo Oleksiyenko,"Chess, Games & Gaming, Lifestyle",Chess,Beginner,3.5 hours,4.7,2204,10742,"Rp149,000",11/2021,0,0,12,https://www.udemy.com/course/understanding-chess-openings-how-to-play-any-opening-well/
The Complete Guide to Chess Visualization,5403164,Tryfon Gavriel,"Chess, Games & Gaming, Lifestyle",Chess,All Levels,29 hours,4.5,144,1349,"Rp149,000",2/2026,4,0,1,https://www.udemy.com/course/the-complete-guide-to-chess-visualization/
Understanding chess tactics | How to calculate tactics well,2449002,Mykhaylo Oleksiyenko,"Chess, Games & Gaming, Lifestyle",Chess,Beginner,2.5 hours,4.8,834,3781,"Rp149,000",6/2020,0,0,22,https://www.udemy.com/course/understanding-chess-tactics/
Complete Chess Grandmaster Technique,739718,Igor Smirnov,"Chess, Games & Gaming, Lifestyle",Chess,All Levels,1.5 hours,4.7,151,894,"Rp149,000",1/2022,14,0,10,https://www.udemy.com/course/the-grandmasters-secrets/
Understanding chess principles | 37 vital chess principles,5126368,Mykhaylo Oleksiyenko,"Chess, Games & Gaming, Lifestyle",Chess,Beginner,3 hours,4.9,262,1073,"Rp149,000",2/2023,0,0,1,https://www.udemy.com/course/understanding-chess-principles-37-vital-chess-principles/
Mastering Positional Chess,6065875,Kesaris Angelo,"Chess, Other Teaching & Academics, Teaching & Academics",Chess,All Levels,11.5 hours,4.8,11,131,"Rp249,000",7/2024,0,0,0,https://www.udemy.com/course/mastering-positional-chess/
