course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Cisco CCNA 200-301 – The Complete Guide to Getting Certified,1203374,Neil Anderson,"Cisco Certified Network Associate (CCNA), IT Certifications, IT & Software",Cisco Certified Network Associate (CCNA),Beginner,42.5 hours,4.8,86622,311444,"Rp169,000",4/2026,31,0,235,https://www.udemy.com/course/ccna-complete/
Cisco CCNA 200-301 Practice Tests | 1200 Questions | 2026,7063405,IT Assurance Academy Center,"Cisco Certified Network Associate (CCNA), IT Certifications, IT & Software",Cisco Certified Network Associate (CCNA),All Levels,N/A,4.9,39,229,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/ccna-200-301-v11-exam-level-practice-questions-and-answers/
Complete Cisco CCNA 200-301 Prep: From Beginner to Certified,6770565,Imran Afzal,"Cisco Certified Network Associate (CCNA), Cisco, IT Certifications, IT & Software",Cisco Certified Network Associate (CCNA),All Levels,25 hours,4.8,46,502,"Rp149,000",3/2026,1,0,32,https://www.udemy.com/course/complete-cisco-ccna-200-301-prep-from-beginner-to-certified/
CCNA 200-301 v1.1 Exam-Level Practice Tests (400+ Questions),2804061,Shaun Hummel,"Cisco Certified Network Associate (CCNA), IT Certifications, IT & Software",Cisco Certified Network Associate (CCNA),N/A,N/A,4.0,889,12437,"Rp149,000",4/2025,0,0,0,https://www.udemy.com/course/ccna-200-301-pre-exam-testing/
Cisco Certified Network Associate (CCNA): Practice Exam 2026,6741087,Davide Marzano,"Cisco Certified Network Associate (CCNA), IT Certifications, IT & Software",Cisco Certified Network Associate (CCNA),All Levels,N/A,5.0,1,7,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/ccna-exam-2025/
The Complete Networking Fundamentals Course. Your CCNA start,751094,David Bombal,"Cisco Certified Network Associate (CCNA), IT Networking Fundamentals, IT Certifications, IT & Software",Cisco Certified Network Associate (CCNA),Beginner,73 hours,4.7,56760,292514,"Rp169,000",9/2025,15,0,116,https://www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/
Cisco Certified Network Associate : CCNA 200-301,3031766,Stone River eLearning,"IT Networking Fundamentals, IT Certifications, IT & Software",Cisco Certified Network Associate (CCNA),All Levels,11.5 hours,4.5,47,255,"Rp149,000",4/2020,0,0,10,https://www.udemy.com/course/cisco-certified-network-associate-ccna-200-301/
Master Cisco CCNA 200-301: Comprehensive All-in-One Course,5419300,Jeremy McDowell,"Cisco Certified Network Associate (CCNA), IT Certifications, IT & Software",Cisco Certified Network Associate (CCNA),Beginner,50 hours,4.8,5480,33115,"Rp169,000",12/2025,0,0,193,https://www.udemy.com/course/ccna-jitl/
Cisco Certified Network Associate (CCNA) Practice test,5103566,Bikar IT,"Cisco Certified Network Associate (CCNA), IT Certifications, IT & Software",Cisco Certified Network Associate (CCNA),All Levels,N/A,4.5,15,4771,"Rp149,000",3/2023,0,0,0,https://www.udemy.com/course/cisco-certified-network-associate-ccna-practice-test-d/
Cisco Certified Network Associate CCNA Practice Exams,7021229,Ruane ribeiro,"Cisco Certified Network Associate (CCNA), IT Certifications, IT & Software",Cisco Certified Network Associate (CCNA),All Levels,N/A,4.8,N/A,N/A,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/cisco-certified-network-associate-ccna-practice-exams-u/
