course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
The Complete Claude Code & Claude Cowork Masterclass [2026],7066971,"Prof. Ryan Ahmed, Ph.D., MBA | 500,000+ Students | Best-Selling Instructor","Claude AI, Claude Code, Business Analytics & Intelligence, Business",Claude AI,All Levels,15 hours,4.7,570,7747,Free,3/2026,2,0,2,https://www.udemy.com/course/claude-aiagents-cowork-masterclass/
Claude AI: The AI Assistant You’ll Actually Use,6539589,"Anna Kolenkina, FutureVersity School .","Claude AI, Other Office Productivity, Office Productivity",Claude AI,All Levels,8 hours,4.5,2330,12631,"Rp159,000",3/2026,6,0,61,https://www.udemy.com/course/claude-ai-the-ai-assistant-youll-actually-use/
AI Coder: Vibe Coder to Agentic Engineer in 3 Weeks,7053781,"Ligency ​, Ed Donner","Claude Code, Vibe Coding, AI Agents & Agentic AI, Large Language Models (LLM), Software Development Tools",Claude AI,All Levels,16 hours,4.7,2924,24701,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/ai-coder-from-vibe-coder-to-agentic-engineer/
"Claude - Master Claude Cowork, Claude Code, Skills & Plugins",7067201,"Krystian Wojtarowicz, Damian Danelczyk AdaptifyAI OU, DFA Course Academy, Damian Danelczyk, Krystian Wojtarowicz - Support","Claude AI, Artificial Intelligence (AI), Claude Code, Generative AI (GenAI), Other IT & Software",Claude AI,All Levels,14 hours,4.7,88,1374,"Rp149,000",4/2026,15,0,76,https://www.udemy.com/course/claude-code-cowork-course/
Claude Code - The Practical Guide,7029917,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","Claude Code, Software Development Tools, Development",Claude AI,All Levels,3 hours,4.6,5050,35175,"Rp149,000",3/2026,10,0,1,https://www.udemy.com/course/claude-code-the-practical-guide/
Claude Code Beginner to Pro: Agentic Coding for Developers,6747921,"Tom Phillips, WebDevEducation (Tom Phillips)","Claude Code, Next.js, Software Development Tools, Development",Claude AI,All Levels,5.5 hours,4.5,1426,10635,"Rp149,000",3/2026,2,0,13,https://www.udemy.com/course/learn-claude-code/
Claude Code Masterclass: Code 5× Faster with Agentic AI,6871391,Arunprabu nallasamy,"Claude Code, Artificial Intelligence (AI), Other IT & Software, IT & Software",Claude AI,Intermediate,3 hours,4.6,324,2819,"Rp149,000",4/2026,0,0,1,https://www.udemy.com/course/claude-code-masterclass/
Claude AI Pro - The Ultimate Course,6073595,George Smarts,"Claude AI, Artificial Intelligence (AI), AI Content Generation, ChatGPT, Other Office Productivity",Claude AI,Beginner,2 hours,4.3,406,2226,"Rp159,000",4/2026,1,0,17,https://www.udemy.com/course/claude-ai-training-the-ultimate-course/
Mastering Claude Cowork & AI Agents in 5 hours [2026],7096439,"Prof. Ryan Ahmed, Ph.D., MBA | 500,000+ Students | Best-Selling Instructor","AI Agents & Agentic AI, Claude AI, Business Analytics & Intelligence, Business",Claude AI,All Levels,5 hours,4.7,51,1229,"Rp149,000",4/2026,1,0,1,https://www.udemy.com/course/mastering-claude-cowork-ai-agents/
OpenClaw: Run Powerful & Autonomous AI Agents Securely,7040357,Arnold Oberleiter,"OpenClaw, AI Agents & Agentic AI, Artificial Intelligence (AI), Generative AI (GenAI), Data Science",Claude AI,All Levels,5 hours,4.7,493,4479,"Rp149,000",2/2026,2,0,6,https://www.udemy.com/course/openclaw-run-powerful-autonomous-ai-agents-securely/
"Claude for Beginners: AI in Business, Marketing & Automation",6553707,"Anton Voroniuk, Anton Voroniuk Support","Claude AI, Generative AI (GenAI), Other Business, Business",Claude AI,Beginner,16 hours,4.2,167,21882,"Rp149,000",4/2026,2,0,0,https://www.udemy.com/course/claude-pro-mastery-ai-for-business-marketing-automation/
Claude Code Beginner Crash Course: Claude Code In a Day,6744497,Eden Marco,"Claude Code, Other IT & Software, IT & Software",Claude AI,Beginner,9.5 hours,4.2,2391,18436,"Rp169,000",4/2026,2,0,1,https://www.udemy.com/course/claudecode/
Claude AI For Finance: Claude Powered Corporate Finance A-Z,7059709,ExpertEase Global,"Claude AI, Financial Analysis, Corporate Finance, Finance Fundamentals, Management",Claude AI,All Levels,2.5 hours,5.0,4,11,"Rp149,000",4/2026,0,0,5,https://www.udemy.com/course/claude-ai-for-finance-claude-powered-corporate-finance-a-z/
Ultimate Agentic AI DevOps with Claude Code,7056235,Pravin Mishra | AWS Certified Cloud Practitioner | Solutions Architect,"Claude Code, AI Agents & Agentic AI, DevOps, Claude AI, Other IT & Software",Claude AI,Beginner,5 hours,4.8,175,1049,"Rp149,000",3/2026,5,0,16,https://www.udemy.com/course/ultimate-agentic-ai-devops-with-claude-code/
Claude for Everyone: A Hands-On AI Masterclass,7069779,SeaportAi .,"Claude AI, Other Office Productivity, Office Productivity",Claude AI,Beginner,2.5 hours,4.5,8,57,"Rp149,000",4/2026,0,0,12,https://www.udemy.com/course/claudeexcelpowerpoint/
Claude AI: Build What Used to Take Teams,7107735,Snowbrix Academy,"Claude AI, Other IT & Software, IT & Software",Claude AI,All Levels,1.5 hours,4.8,5,9,"Rp149,000",3/2026,1,0,4,https://www.udemy.com/course/claude-ai-build-what-used-to-take-teams/
Claude Code Power User: Architecting AI-Native Dev Workflows,7068011,School of AI,"Claude Code, Data Science, Development",Claude AI,All Levels,5.5 hours,3.5,5,1575,"Rp149,000",4/2026,22,0,0,https://www.udemy.com/course/claude-code-power-user-architecting-ai-native-dev-workflows/
Master Claude Code: Build AI Operating Systems & Workflows,7059155,"Data Science Academy, School of AI","Claude AI, Data Science, Development",Claude AI,All Levels,6 hours,3.7,14,3367,"Rp149,000",2/2026,2,0,0,https://www.udemy.com/course/master-claude-code-build-ai-operating-systems-workflows/
Claude CoWork Mastery: Build AI Teammates That Actually Work,7122513,School of AI,"Claude AI, Data Science, Development",Claude AI,All Levels,2 hours,4.7,N/A,304,"Rp149,000",4/2026,13,0,0,https://www.udemy.com/course/claude-cowork-mastery-build-ai-teammates-that-actually-work/
Claude Cowork For Beginners: AI Automations and Workflows,6870227,"Tom Phillips, WebDevEducation (Tom Phillips)","Claude AI, Claude Code, AI Agents & Agentic AI, Other Business, Business",Claude AI,All Levels,1.5 hours,4.4,15,142,"Rp149,000",3/2026,1,0,32,https://www.udemy.com/course/learn-claude-cowork/
"AI Engineer Core Track: LLM Engineering, RAG, QLoRA, Agents",6100015,"Ligency ​, Ed Donner","Large Language Models (LLM), Artificial Intelligence (AI), ChatGPT, Data Science, Development",Claude AI,All Levels,33.5 hours,4.7,32294,229353,"Rp169,000",2/2026,0,0,0,https://www.udemy.com/course/llm-engineering-master-ai-and-large-language-models/
GenAI & AI Agents for QA Automation | Copilot & Claude code,6124701,Rahul Shetty Academy,"AI Agents & Agentic AI, Software Testing, Development",Claude AI,All Levels,11 hours,4.6,16352,81761,"Rp159,000",3/2026,13,0,4,https://www.udemy.com/course/generative-ai-in-software-testing/
"The Complete AI Coding Course (2025) - Cursor, Claude Code",6517507,Brendan AI,"Artificial Intelligence (AI), Web Development, Development",Claude AI,All Levels,12 hours,4.4,2549,17720,"Rp169,000",7/2025,0,0,1,https://www.udemy.com/course/the-complete-ai-coding-course-2025-cursor-ai-v0-vercel/
Claude for Work: Learn to Work Faster and Smarter,6974391,"Anton Voroniuk, Anton Voroniuk Support, Phil Ebiner","Claude AI, Project Management, Generative AI (GenAI), Artificial Intelligence (AI), Business",Claude AI,All Levels,8.5 hours,4.2,115,1130,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/claude-for-work-learn-to-work-faster-and-smarter/
AI Engineer Agentic Track: The Complete Agent & MCP Course,6566789,"Ed Donner, Ligency ​","AI Agents & Agentic AI, Large Language Models (LLM), Data Science, Development",Claude AI,Intermediate,17 hours,4.7,36580,244565,"Rp169,000",2/2026,0,0,0,https://www.udemy.com/course/the-complete-agentic-ai-engineering-course/
Claude AI Masterclass: Automation & AI Agents,7097863,"Ankit Mistry : 200,000+ Students, Ajay Gadhave","Claude AI, Claude Code, Software Development Tools, Development",Claude AI,All Levels,8.5 hours,4.6,13,107,"Rp149,000",4/2026,2,0,32,https://www.udemy.com/course/claude-ai-masterclass/
"The Complete AI Guide: Learn ChatGPT, Generative AI & More",5170404,"Julian Melanson, Benza Maman, Leap Year Learning","ChatGPT, Midjourney, DALL·E, AI Art Generation, Generative AI (GenAI)",Claude AI,All Levels,41.5 hours,4.5,59475,342484,"Rp169,000",3/2026,22,0,147,https://www.udemy.com/course/complete-ai-guide/
Claude Code Masterclass,7038607,The Net Ninja (Shaun Pelling),"Claude Code, Other IT & Software, IT & Software",Claude AI,All Levels,7 hours,4.6,371,3563,"Rp149,000",2/2026,1,0,0,https://www.udemy.com/course/claude-code-master-class/
"AI Builder: Create Agents, Voice Agents & Automations in n8n",6973513,"Ligency ​, Ed Donner","AI Agents & Agentic AI, n8n, No-Code Development, Development",Claude AI,Beginner,14.5 hours,4.8,1784,13940,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/ai-builder-with-n8n-create-agents-voice-agents/
"Claude Code: Building Faster with AI, from Prototype to Prod",6720528,"Sundog Education by Frank Kane, Frank Kane","Claude Code, Claude AI, Generative AI (GenAI), Vibe Coding, Other IT & Software",Claude AI,Beginner,4 hours,4.3,2008,10739,"Rp149,000",2/2026,5,0,0,https://www.udemy.com/course/anthropic-claude-code/
WordPress Plugin Development with Claude AI (No Coding),6841413,Tanzeel Ur Rehman,"WordPress Plugins, No-Code Development, Development",Claude AI,All Levels,25.5 hours,4.9,23,259,"Rp149,000",1/2026,3,2,12,https://www.udemy.com/course/wp-plugin-development-claude-code/
The Claude Master Class: From First Prompt to Power User,6905209,Mike West,"Large Language Models (LLM), Other IT & Software, IT & Software",Claude AI,Beginner,2 hours,4.2,139,943,"Rp149,000",12/2025,4,0,9,https://www.udemy.com/course/the-claude-master-class-from-first-prompt-to-power-user/
Claude AI in Excel for Finance,7016581,"Carlos Martínez, PhD • Instructor with 20+ Best-Selling Courses","Claude AI, Financial Analysis, Excel Analytics, Financial Modeling, Other Business",Claude AI,All Levels,4.5 hours,5.0,6,65,"Rp149,000",3/2026,1,0,46,https://www.udemy.com/course/claude-in-excel-for-finance/
"The Complete Claude, Claude Code & AI for Work Productivity",6959827,"Codestars • over 2.5 million students worldwide!, Aaron Lynn","Artificial Intelligence (AI), Other Business, Business",Claude AI,All Levels,3 hours,4.6,44,440,"Rp149,000",2/2026,2,0,0,https://www.udemy.com/course/complete-chatgpt-claude-gemini-ai-for-office-productivity/
"AI for Beginners – Learn ChatGPT, Claude, Gemini and Copilot",6779965,"Rapid Reskill by Mike Wheeler, Evan Wheeler, Aiden Wheeler","Generative AI (GenAI), Other IT & Software, IT & Software",Claude AI,All Levels,3 hours,4.4,288,2276,"Rp149,000",2/2026,2,0,1,https://www.udemy.com/course/ai-begin/
