course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Claude Code - The Practical Guide,7029917,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","Claude Code, Software Development Tools, Development",Claude Code,All Levels,3 hours,4.6,5050,35175,"Rp149,000",3/2026,10,0,1,https://www.udemy.com/course/claude-code-the-practical-guide/
AI Coder: Vibe Coder to Agentic Engineer in 3 Weeks,7053781,"Ligency ​, Ed Donner","Claude Code, Vibe Coding, AI Agents & Agentic AI, Large Language Models (LLM), Software Development Tools",Claude Code,All Levels,16 hours,4.7,2924,24701,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/ai-coder-from-vibe-coder-to-agentic-engineer/
The Complete Claude Code & Claude Cowork Masterclass [2026],7066971,"Prof. Ryan Ahmed, Ph.D., MBA | 500,000+ Students | Best-Selling Instructor","Claude AI, Claude Code, Business Analytics & Intelligence, Business",Claude Code,All Levels,15 hours,4.7,570,7747,"Rp149,000",3/2026,2,0,2,https://www.udemy.com/course/claude-aiagents-cowork-masterclass/
"Claude - Master Claude Cowork, Claude Code, Skills & Plugins",7067201,"Krystian Wojtarowicz, Damian Danelczyk AdaptifyAI OU, DFA Course Academy, Damian Danelczyk, Krystian Wojtarowicz - Support","Claude AI, Artificial Intelligence (AI), Claude Code, Generative AI (GenAI), Other IT & Software",Claude Code,All Levels,14 hours,4.7,88,1374,"Rp149,000",4/2026,15,0,76,https://www.udemy.com/course/claude-code-cowork-course/
Claude Code Beginner to Pro: Agentic Coding for Developers,6747921,"Tom Phillips, WebDevEducation (Tom Phillips)","Claude Code, Next.js, Software Development Tools, Development",Claude Code,All Levels,5.5 hours,4.5,1426,10635,"Rp149,000",3/2026,2,0,13,https://www.udemy.com/course/learn-claude-code/
Claude Code Masterclass,7038607,The Net Ninja (Shaun Pelling),"Claude Code, Other IT & Software, IT & Software",Claude Code,All Levels,7 hours,4.6,371,3563,"Rp149,000",2/2026,1,0,0,https://www.udemy.com/course/claude-code-master-class/
Claude Code Beginner Crash Course: Claude Code In a Day,6744497,Eden Marco,"Claude Code, Other IT & Software, IT & Software",Claude Code,Beginner,9.5 hours,4.2,2391,18436,"Rp169,000",4/2026,2,0,1,https://www.udemy.com/course/claudecode/
Claude Code Masterclass: Code 5× Faster with Agentic AI,6871391,Arunprabu nallasamy,"Claude Code, Artificial Intelligence (AI), Other IT & Software, IT & Software",Claude Code,Intermediate,3 hours,4.6,324,2819,"Rp149,000",4/2026,0,0,1,https://www.udemy.com/course/claude-code-masterclass/
"Claude Code: Building Faster with AI, from Prototype to Prod",6720528,"Sundog Education by Frank Kane, Frank Kane","Claude Code, Claude AI, Generative AI (GenAI), Vibe Coding, Other IT & Software",Claude Code,Beginner,4 hours,4.3,2008,10739,"Rp149,000",2/2026,5,0,0,https://www.udemy.com/course/anthropic-claude-code/
OpenClaw: Run Powerful & Autonomous AI Agents Securely,7040357,Arnold Oberleiter,"OpenClaw, AI Agents & Agentic AI, Artificial Intelligence (AI), Generative AI (GenAI), Data Science",Claude Code,All Levels,5 hours,4.7,493,4479,"Rp149,000",2/2026,2,0,6,https://www.udemy.com/course/openclaw-run-powerful-autonomous-ai-agents-securely/
