course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Professional Life Coach Certification & Guide (Accredited),789146,"Joeel & Natalie of Transformation Services, Transformation Services","Life Coach Training, Personal Transformation, Personal Development",Coaching,All Levels,12.5 hours,4.6,25689,88925,"Rp159,000",3/2026,5,0,90,https://www.udemy.com/course/life-coaching-a-complete-guide/
Certified Life Coach Training (Beginner to Advanced),1080376,"Kain Ramsay, Academy of Applied Psychology","Life Coach Training, Personal Transformation, Personal Development",Coaching,All Levels,33 hours,4.6,38831,161751,"Rp159,000",8/2025,3,0,159,https://www.udemy.com/course/life-coaching-online-certification-course-life-coach-training/
Management Coaching: Coaching Employees for High Performance,1049496,"Ramon Janssen, Management Mavericks","Management Coaching, Communication Skills, Manager Training, Management Skills, Management",Coaching,All Levels,9.5 hours,4.7,1734,8093,"Rp149,000",11/2025,2,0,23,https://www.udemy.com/course/management-training-coaching/
Becoming a Sought-After Coach,6574067,"Alin Marin, Patrick Snow","Coaching, Career Coach Training, Life Coach Training, Entrepreneurship Fundamentals, Entrepreneurship",Coaching,All Levels,3 hours,4.9,259,4298,"Rp149,000",4/2025,0,0,10,https://www.udemy.com/course/becoming-a-sought-after-coach/
5 in 1 Accredited Holistic Wellness Coach With 42 CPD Hours,6462067,Kirsty Watson,"Mental Health, Life Coach Training, Health & Fitness",Coaching,All Levels,10 hours,4.8,202,807,"Rp149,000",3/2026,61,0,202,https://www.udemy.com/course/5-in-1-accredited-holistic-wellness-practitioner/
Management Coaching for Continuous Improvement,852606,"Lawrence M. Miller, Institute for Leadership Excellence LLC","Management Coaching, Executive Coaching, Management, Business",Coaching,All Levels,4.5 hours,4.6,6536,22494,"Rp159,000",3/2026,0,0,25,https://www.udemy.com/course/coaching-leaders-for-success/
Transformation Life Coach Certification (Accredited),1895312,"Joeel & Natalie of Transformation Services, Transformation Services","Personal Transformation, Life Coach Training, Personal Development, Personal Success",Coaching,All Levels,8.5 hours,4.6,5651,27360,"Rp249,000",3/2026,45,0,56,https://www.udemy.com/course/transformation-life-coach-certification/
Transformative Life Coaching (Advanced Skills Training),1328616,"Kain Ramsay, Academy of Applied Psychology","Life Coach Training, Personal Development, Personal Transformation, Career Development",Coaching,All Levels,31.5 hours,4.7,3485,21013,"Rp159,000",8/2025,3,0,190,https://www.udemy.com/course/life-coaching-practitioner-diploma-achology-certified/
Life Coach Training: Life Coaching From Zero To Hero,6936153,Mind Stack,"Life Coach Training, Personal Transformation, Personal Development",Coaching,All Levels,10 hours,4.9,29,1908,"Rp159,000",12/2025,0,0,0,https://www.udemy.com/course/life-coach-training-course/
Group Coaching 101: Build and Lead Impactful Programs,6559073,"Dominique Mas, Group Coaching HQ","Coaching and Consulting Business, Other Business, Business",Coaching,Beginner,6 hours,4.9,12,57,"Rp149,000",7/2025,0,0,43,https://www.udemy.com/course/group-coaching-101/
Trauma Informed Coaching - CPD Certified and IPHM Accredited,6529237,Kirsty Watson,"Trauma-Informed Care, Personal Development, Life Coach Training, Mental Health, Health & Fitness",Coaching,All Levels,5.5 hours,4.5,209,795,"Rp159,000",3/2026,49,0,49,https://www.udemy.com/course/trauma-informed-coaching/
DISC Certification Pt. 1 International Coaching Association,5299834,Hellen Davis,"Life Coach Training, Personal Transformation, Personal Development",Coaching,All Levels,1.5 hours,4.5,706,1598,"Rp159,000",3/2026,0,0,4,https://www.udemy.com/course/disc-coaching-certification-level-1-ica-fully-accredited/
4th Master in Coaching IM2-4 + CERTIFICATE,7065737,Mywebstudies,"Coaching, Fear, Communication Skills, Management, Business",Coaching,All Levels,27 hours,4.4,N/A,1,"Rp149,000",2/2026,1,0,0,https://www.udemy.com/course/curso-online-7065737/
Coaching for managers : how to become a manager coach,7051229,Jamal Lazaar,"Management Coaching, Management Skills, Coaching, Management, Business",Coaching,All Levels,1.5 hours,5.0,26,52,"Rp149,000",2/2026,3,0,1,https://www.udemy.com/course/corporate-coaching-for-managers/
Tarot for Life Coaches: A Structured Coaching Tool (CPD),6414279,Rachel Hope,"Career Development, Personal Development",Coaching,All Levels,5 hours,N/A,N/A,2,"Rp149,000",N/A,0,0,37,https://www.udemy.com/course/tarot-for-life-coaches-structured-method/
International-Level Life Coach Under ICF Standards [2026],7059931,"UP. UNIVERSITY ⇢ Leadership, Human Development, Business & Organizational Systems, Management, Professional Grow, Andrey Nekrasov ⇢ CEO & Founder of 7 Companies, PhD in Corporate Culture, Business Mentor and Executive Coach, MCC ICF, SP EMCC, Halyna Hudyma","Coaching, Life Coach Training, Executive Coaching, Communication Skills, Personal Transformation",Coaching,All Levels,17.5 hours,5.0,5,14,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/coaching-under-icf-standards-2026-en001117/
Envision Empowerment Life Coaching Advance Bundle,7083763,Dr. Henry Epps,"Empowerment, Other Personal Development, Personal Development",Coaching,Intermediate,16.5 hours,5.0,N/A,N/A,"Rp149,000",3/2026,0,0,10,https://www.udemy.com/course/envision-empowerment-life-coaching-advance-bundle/
Health Coach Certification: Mock Exam & Practice Test,7101989,Neneng Mulyani,"Health Coach Training, Fitness, Health & Fitness",Coaching,Intermediate,N/A,N/A,N/A,100,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/health-coach-certification-mock-exam-practice-test-u/
Soccer Rondos: Passing & Possession Drills for Coaches,5857532,Chris King,"Soccer, Sports Coaching, Sports, Health & Fitness",Coaching,Beginner,1.5 hours,4.5,4,19,"Rp149,000",3/2026,0,0,1,https://www.udemy.com/course/soccer-rondos-grassroots-coaching/
The Business Playbook for Ambitious Coaches & Therapists,7090877,Julien Giraud,"Coaching and Consulting Business, Business Strategy, Business Fundamentals, Business Development, Entrepreneurship",Coaching,All Levels,1.5 hours,5.0,2,3,"Rp149,000",3/2026,2,0,0,https://www.udemy.com/course/business-playbook-for-ambitious-coaches-therapists/
NLP Practitioner & NLP Life Coach Certification (Accredited),2323532,"Joeel & Natalie of Transformation Services, David Key, Transformation Services","Neuro-Linguistic Programming (NLP), Life Coach Training, Personal Transformation, Personal Development",Coaching,All Levels,20 hours,4.5,3136,15019,"Rp229,000",3/2026,22,0,38,https://www.udemy.com/course/nlp-practitioner-and-life-coach-certification-accredited/
Burnout Coach & Trainer Certification,6900881,Graham Nicholls,"Other Lifestyle, Lifestyle",Coaching,Intermediate,6.5 hours,4.8,31,185,"Rp149,000",2/2026,1,0,2,https://www.udemy.com/course/burnout-coach-trainer-certification/
Career Coaching: Life Coach Certification (Accredited),3350492,"Joeel & Natalie of Transformation Services, Transformation Services, Adam Mitchell-Hardt","Career Coach Training, Life Coach Training, Career Development, Personal Development",Coaching,All Levels,8 hours,4.2,1267,4781,"Rp149,000",3/2026,4,0,40,https://www.udemy.com/course/career-coaching-life-coach-certification-accredited/
Mindfulness Life Coach Certification & Mindfulness Blueprint,2065799,"Joeel & Natalie of Transformation Services, Transformation Services","Life Coach Training, Meditation, Mindfulness, Personal Transformation, Personal Development",Coaching,All Levels,7 hours,4.8,3025,13543,"Rp159,000",3/2026,6,0,66,https://www.udemy.com/course/mindfulness-life-coach-certification/
Happiness Life Coach Certification (Accredited),673484,"Joeel & Natalie of Transformation Services, Transformation Services","Life Coach Training, Personal Success, Happiness, Personal Development",Coaching,All Levels,5.5 hours,4.7,6308,29478,"Rp209,000",3/2026,4,0,16,https://www.udemy.com/course/happiness-life-coach-certification/
Christian Coaching: Life Coach Certification,6576821,"Transformation Services, Gladies Flores Ramos, Joeel & Natalie of Transformation Services","Christianity, Ministry, Life Coach Training, Religion & Spirituality, Personal Development",Coaching,All Levels,7 hours,4.5,182,628,"Rp149,000",3/2026,7,0,42,https://www.udemy.com/course/christian-coaching-life-coach-certification/
Coach Like a Pro – The Foundation of Effective Coaching,5243332,"Salvatore Princi Academy, Salvatore Princi | Official Udemy Partner","Coaching, Coaching and Consulting Business, Life Coach Training, Communication, Business",Coaching,All Levels,2.5 hours,4.6,658,1856,"Rp149,000",2/2026,0,0,2,https://www.udemy.com/course/coach-like-a-pro-the-foundation-of-effective-coaching/
Spiritual Coach Certification (Accredited),3029632,"Joeel & Natalie of Transformation Services, Emily Andrews","Life Coach Training, Spirituality, Religion & Spirituality, Personal Development",Coaching,All Levels,4 hours,4.8,6192,21424,"Rp159,000",3/2026,3,0,29,https://www.udemy.com/course/spiritual-life-coach-certification-accredited/
Coaching Toolbox | 40+ Methods and Tools Business/Life Coach,4636020,Fassnacht-Ohnesorge Coaching,"Coaching, Executive Coaching, Management Coaching, Coaching and Consulting Business, Career Development",Coaching,Beginner,4.5 hours,4.3,109,912,"Rp149,000",5/2025,2,0,47,https://www.udemy.com/course/coaching-toolbox/
Fundamentals of Life Coaching Certification,4485770,"Roger Kay Allen, Ph.D.","Life Coach Training, Personal Success, Empowerment, Personal Transformation, Personal Development",Coaching,Beginner,5 hours,4.7,154,569,"Rp149,000",2/2026,2,0,45,https://www.udemy.com/course/fundamentals-of-life-coaching/
The Ultimate Guide To Life Coaching (2026) (Accredited),5150752,Frank Macri,"Life Coach Training, Personal Transformation, Personal Development",Coaching,All Levels,17 hours,4.6,332,1211,"Rp159,000",4/2026,1,0,1,https://www.udemy.com/course/ultimateguidetolifecoaching/
Mindfulness Life Coach Certification: Accredited,2204132,"Patrick Howell, CiPP Master Coach and Trainer","Life Coach Training, Meditation, Anxiety Management, Mindfulness, Happiness",Coaching,All Levels,4 hours,4.8,1521,5678,"Rp149,000",7/2024,9,0,40,https://www.udemy.com/course/mindfulness-life-coach-practitioner-training-certification/
REBT Mindset Life Coach Certification (Accredited),1670314,"Joeel & Natalie of Transformation Services, Transformation Services","Life Coach Training, Cognitive Behavioral Therapy (CBT), Rational Emotive Behavior Therapy (REBT), Mental Health, Health & Fitness",Coaching,All Levels,6 hours,4.8,2806,14387,"Rp149,000",3/2026,5,0,54,https://www.udemy.com/course/rebt-mindset-life-coach-certification/
Self Coaching with ChatGPT: AI Life Coaching for Growth,6458495,Alex Field,"Other Personal Development, Personal Development",Coaching,Beginner,2 hours,4.9,15,58,"Rp149,000",3/2025,0,0,11,https://www.udemy.com/course/self-coaching-with-chatgpt/
Holistic Wellness Life Coach Certification,6897733,"Transformation Services, Gladies Flores Ramos, Joeel & Natalie of Transformation Services","Holistic Medicine, General Health, Health & Fitness",Coaching,All Levels,7 hours,4.7,38,199,"Rp149,000",3/2026,4,0,121,https://www.udemy.com/course/holistic-wellness-coach-certification/
CBT Cognitive Behavior Life Coach Certification: Accredited,1606056,"Joeel & Natalie of Transformation Services, Transformation Services","Life Coach Training, Cognitive Behavioral Therapy (CBT), Personal Transformation, Personal Development",Coaching,All Levels,5.5 hours,4.6,5214,23919,"Rp219,000",3/2026,4,0,56,https://www.udemy.com/course/cbt-cognitive-behavioral-life-coach-certification/
Life Purpose Life Coach Certification (Accredited),610740,"Joeel & Natalie of Transformation Services, Transformation Services","Life Coach Training, Personal Success, Life Purpose, Personal Transformation, Personal Development",Coaching,All Levels,6.5 hours,4.8,10083,48185,"Rp159,000",3/2026,4,0,18,https://www.udemy.com/course/life-purpose-coach-certification/
NLP Coaching Certification (Coaching Skills Mastery),1590312,"Steven Burns, Brian Costello","Life Coach Training, Neuro-Linguistic Programming (NLP), Personal Transformation, Personal Development",Coaching,All Levels,20 hours,4.5,597,4102,"Rp149,000",4/2024,2,0,26,https://www.udemy.com/course/coaching-skills-mastery-nlp-life-coaching/
ICF Professional Certified Coach (PCC) Practice Tests | 2025,6549169,Danh Hien,"Coaching, Work Life Balance, Life Coach Training, Personal Transformation, Personal Development",Coaching,All Levels,N/A,3.6,61,3367,"Rp149,000",10/2025,0,0,0,https://www.udemy.com/course/icf-professional-certified-coach-pcc-practice-tests-2025-l/
