course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
CBT Practitioner Course (Cognitive Behavioral Therapy),1091520,"Kain Ramsay, Academy of Applied Psychology","Cognitive Behavioral Therapy (CBT), Mental Health, Health & Fitness",Cognitive Behavioral Therapy (CBT),All Levels,32 hours,4.5,37257,171063,"Rp229,000",8/2025,2,0,172,https://www.udemy.com/course/cognitive-behavioural-therapy-online-course-cbt-practitioner-course/
A Beginner’s Guide to Cognitive Behavioral Therapy (CBT),1166522,"Kain Ramsay, Academy of Applied Psychology","Cognitive Behavioral Therapy (CBT), Mental Health, Health & Fitness",Cognitive Behavioral Therapy (CBT),Beginner,14.5 hours,4.5,1078,5427,"Rp209,000",8/2025,2,0,61,https://www.udemy.com/course/cognitive-behavioural-therapy-cbt-online-course-an-introduction-to/
CBT and Positive Psychology: Your Journey to Happiness,2297798,"Roger Kay Allen, Ph.D.","Happiness, Positive Psychology, Cognitive Behavioral Therapy (CBT), Personal Development",Cognitive Behavioral Therapy (CBT),All Levels,7 hours,4.8,533,3280,"Rp149,000",12/2025,23,0,23,https://www.udemy.com/course/claiming-your-power-to-live-a-happy-and-abundant-life/
Cognitive Behavioural Therapy (CBT) Certificate,3978988,"Chris Worfolk, Holbeck College","Cognitive Behavioral Therapy (CBT), Social Science, Teaching & Academics",Cognitive Behavioral Therapy (CBT),Beginner,5.5 hours,4.6,2347,12623,"Rp159,000",1/2026,15,0,8,https://www.udemy.com/course/cognitive-behavioural-therapy/
Cognitive Behavioral Therapy (CBT): The Complete Course,3760110,Neven Coaching Academy,"Cognitive Behavioral Therapy (CBT), Personal Transformation, Personal Development",Cognitive Behavioral Therapy (CBT),All Levels,4.5 hours,4.1,142,637,"Rp149,000",11/2024,4,0,17,https://www.udemy.com/course/cognitive-behavioral-therapy-cbt-the-complete-course/
Practitioner Certificate in Cognitive Behavior Therapy (CBT),5870768,Dr. Ankita Kashyap,"Cognitive Behavioral Therapy (CBT), Counseling, Psychotherapy, Psychology, Mental Health",Cognitive Behavioral Therapy (CBT),All Levels,1.5 hours,4.2,36,2086,"Rp149,000",6/2025,3,0,2,https://www.udemy.com/course/practitioner-certificate-cognitive-behavior-therapy-cbt/
Cognitive Behavioral Therapy (CBT): From Theory to Practice,6810575,Prashant Zambre,"Cognitive Behavioral Therapy (CBT), Mental Health, Health & Fitness",Cognitive Behavioral Therapy (CBT),All Levels,2 hours,4.2,23,1826,"Rp149,000",9/2025,0,0,0,https://www.udemy.com/course/cognitive-behavioral-therapy-cbt-from-theory-to-practice/
Cognitive Behavioral Therapy (CBT) Certification Course,5641440,Neven Coaching Academy,"Cognitive Behavioral Therapy (CBT), Personal Transformation, Personal Development",Cognitive Behavioral Therapy (CBT),All Levels,3.5 hours,4.6,77,335,"Rp149,000",5/2025,6,0,8,https://www.udemy.com/course/cognitive-behavioral-therapy-cbt-certification-course/
Introduction to CBT: Cognitive Behavioral Therapy,248826,Libby Seery,"Cognitive Behavioral Therapy (CBT), Mental Health, Health & Fitness",Cognitive Behavioral Therapy (CBT),All Levels,1.5 hours,4.4,5104,21229,"Rp149,000",9/2017,2,0,48,https://www.udemy.com/course/train-to-be-your-own-counsellor-cbt-therapist/
Cognitive Behavioral Therapy(CBT) for Beginners Crash Course,5526620,Dr. Amna Umer,"Cognitive Behavioral Therapy (CBT), Mindfulness, Mental Health, Health & Fitness",Cognitive Behavioral Therapy (CBT),Beginner,1.5 hours,4.5,25,2173,"Rp149,000",7/2025,1,0,8,https://www.udemy.com/course/cognitive-behavioral-therapy-cbt-course-for-beginners/
