course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Color Grading with Da Vinci Resolve: Beginner to Advanced,1924662,Matthew Falconer,"Color Grading, Video Design, Photography & Video",Color Grading,All Levels,34 hours,4.5,5186,33561,"Rp209,000",7/2025,13,0,0,https://www.udemy.com/course/color-grading-with-da-vinci-resolve-beginner-to-advanced/
The Ultimate Color Grading Bootcamp in DaVinci Resolve,6558867,Sana Shaharyar,"Color Grading, DaVinci Resolve, Video Design, Photography & Video",Color Grading,All Levels,8.5 hours,4.8,366,3683,"Rp159,000",7/2025,0,0,10,https://www.udemy.com/course/the-ultimate-color-grading-bootcamp-in-davinci-resolve/
DaVinci Resolve Mastery: The Complete Video Editing Bootcamp,1390206,"Louay Zambarakji, KaiVersity.com - Lucas Roomé","DaVinci Resolve, Color Grading, VFX Compositing, Video Editing, Video Design",Color Grading,All Levels,16 hours,4.7,14287,80962,"Rp169,000",3/2026,3,0,4,https://www.udemy.com/course/davinci-resolve-training-course/
Adobe Premiere Pro: Color Grading Masterclass,1524522,George Katsilidis,"Color Grading, Adobe Premiere Pro, Video Design, Photography & Video",Color Grading,All Levels,3.5 hours,4.4,714,3631,"Rp149,000",3/2026,3,0,1,https://www.udemy.com/course/adobe-premiere-color-grading-masterclass/
Premiere Pro Lumetri: Color Correct & Color Grade,3992024,Jordy Vandeput,"Color Grading, Color Theory, Video Design, Photography & Video",Color Grading,Intermediate,2 hours,4.5,539,1503,"Rp149,000",7/2025,0,0,1,https://www.udemy.com/course/premiere-lumetri-2020/
Master Color Grading in DaVinci Resolve,5644926,Kasia Jarco,"Color Grading, Video Design, Photography & Video",Color Grading,All Levels,2 hours,4.4,240,1763,"Rp149,000",4/2024,0,0,0,https://www.udemy.com/course/master-color-grading-in-davinci-resolve/
Adobe Lightroom CC Photo Editing: Your Lightroom Masterclass,1699008,"Phil Ebiner, Video School","Adobe Lightroom, Photography, Image Editing, Adobe Photoshop, Photography Tools",Color Grading,All Levels,23.5 hours,4.7,7159,202704,"Rp339,000",1/2026,9,0,31,https://www.udemy.com/course/adobe-lightroom-classic-cc-photo-editing-course/
Adobe Premiere Pro Masterclass: Video Editing in Premiere,926512,"Phil Ebiner, Video School","Adobe Premiere Pro, Video Production, Video Marketing, Video Editing, Video Design",Color Grading,All Levels,27 hours,4.7,46065,517108,"Rp169,000",12/2025,7,0,6,https://www.udemy.com/course/adobe-premiere-pro-video-editing/
DaVinci Resolve 20 Masterclass,6829233,Adi Singh,"DaVinci Resolve, Video Design, Photography & Video",Color Grading,All Levels,6.5 hours,4.6,139,644,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/davinci-resolve-20-masterclass/
Understanding Color in Adobe Premiere Pro,3820686,william Buckley,"Color Grading, Other Photography & Video, Photography & Video",Color Grading,All Levels,5 hours,4.6,104,405,"Rp149,000",1/2025,0,0,6,https://www.udemy.com/course/understanding-color-in-adobe-premiere-pro/
Color Grading Masterclass: Theory & Techniques,3831512,George Katsilidis,"Color Grading, Color Theory, Video Design, Photography & Video",Color Grading,All Levels,2.5 hours,4.2,58,297,"Rp149,000",4/2021,2,0,0,https://www.udemy.com/course/color-grading-masterclass-theory-techniques/
Photography Masterclass: Your Complete Guide to Photography,1462428,"Phil Ebiner, William Carnahan, Video School, Sam Shimizu-Jones","Photography, Photography Composition, Digital Photography, Photography Lighting, Photography & Video",Color Grading,All Levels,108 hours,4.6,78078,406025,"Rp159,000",4/2026,76,0,51,https://www.udemy.com/course/photography-masterclass-complete-guide-to-photography/
Masterclass: Zero to Hero Color Grading for Filmmakers Pt.1,6534769,Joddy Eric Matthews,"Video Design, Photography & Video",Color Grading,All Levels,6 hours,5.0,2,23,"Rp149,000",3/2025,0,0,7,https://www.udemy.com/course/masterclass-zero-to-hero-color-grading-for-filmmakers-pt1/
Mastering Advanced Color Grading in Photoshop,1202478,Marcin Mikus,"Adobe Photoshop, Photoshop Retouching, Color Grading, Digital Photography, Photography & Video",Color Grading,All Levels,4 hours,4.2,641,41496,"Rp149,000",12/2017,1,0,0,https://www.udemy.com/course/mastering-color-grading-in-photoshop/
Premiere Pro Lumetri: Color Correct like a Pro,675740,Jordy Vandeput,"Adobe Premiere Pro, Color Grading, Video Design, Photography & Video",Color Grading,Intermediate,2 hours,4.7,1412,4951,"Rp149,000",8/2016,0,0,11,https://www.udemy.com/course/premiere-pro-lumetri-color-correct-like-a-pro/
