course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Product Photography for All: Create Photos That Sell,4044684,Rose Nene,"Product Photography, Photography, Photography & Video",Commercial Photography,All Levels,7 hours,4.6,847,15845,"Rp159,000",11/2025,0,0,20,https://www.udemy.com/course/diy-product-photography/
Photography Masterclass: Your Complete Guide to Photography,1462428,"Phil Ebiner, William Carnahan, Video School, Sam Shimizu-Jones","Photography, Photography Composition, Digital Photography, Photography Lighting, Photography & Video",Commercial Photography,All Levels,108 hours,4.6,78082,406025,"Rp159,000",4/2026,76,0,51,https://www.udemy.com/course/photography-masterclass-complete-guide-to-photography/
Commercial Photography Marketing Masterclass,3430418,Amy V. Cooper,"Marketing Strategy, Photography Business, Commercial Photography, Photography & Video",Commercial Photography,All Levels,4.5 hours,4.9,109,484,"Rp799,000",2/2023,0,0,53,https://www.udemy.com/course/commercial-photography-masterclass/
The Ultimate Guide to Freelance Photography,1674416,Charlie Borland,"Photography, Digital Photography, Photography & Video",Commercial Photography,All Levels,57 hours,4.6,267,2340,"Rp149,000",6/2024,29,0,33,https://www.udemy.com/course/the-ultimate-guide-to-freelance-photography/
THE Photography Masterclass: Complete Course on Photography,1938954,Chris Parker,"Photography, Photography & Video",Commercial Photography,Beginner,28 hours,4.7,2176,46985,"Rp149,000",11/2025,26,0,20,https://www.udemy.com/course/photography-learn-photography-from-pro-take-better-photos/
Product Photography – Master Level,3869372,Photo Art Study,"Product Photography, Commercial Photography, Photography & Video",Commercial Photography,Intermediate,3.5 hours,3.8,223,900,"Rp149,000",10/2021,0,0,21,https://www.udemy.com/course/product-photography-master-level/
Sports & Action Photography For Beginners,1185036,Don McPeak,"Photography, Photography & Video",Commercial Photography,Beginner,4 hours,4.5,572,2415,"Rp149,000",1/2018,0,0,17,https://www.udemy.com/course/sports-action-photography-for-beginners/
Portrait Photography Masterclass: Headshot Photography Class,949832,"Jon Haase, Phil Ebiner, Video School","Portrait Photography, Photography, Digital Photography, Photography & Video",Commercial Photography,All Levels,4 hours,4.5,850,7622,"Rp149,000",1/2026,6,0,3,https://www.udemy.com/course/portrait-photography/
Street Photography Masterclass,3935052,Adam Tan,"Street Photography, Digital Photography, Photography & Video",Commercial Photography,Intermediate,2 hours,4.4,1417,6909,"Rp159,000",5/2021,0,0,1,https://www.udemy.com/course/street-photography-masterclass/
Wedding Photography: Complete Guide to Wedding Photography,557386,"Phil Ebiner, William Carnahan, Video School, Sam Shimizu-Jones","Wedding Photography, Business Development, Posing, Wedding Planning, Commercial Photography",Commercial Photography,All Levels,14 hours,4.7,2316,78352,"Rp149,000",1/2026,13,0,18,https://www.udemy.com/course/wedding-photography-course/
