course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
The Complete Communication Skills Master Class for Life,1802404,TJ Walker,"Communication Skills, Communication, Business",Communication,All Levels,36.5 hours,4.5,34275,214235,"Rp169,000",1/2026,9,0,107,https://www.udemy.com/course/the-complete-communication-skills-master-class-for-life/
Communication Fundamentals: How To Communicate Better,1355610,"Life Progression Project, Dr. Lorraine Wiseman, PhD","Communication Skills, Business Communication, Communication, Business",Communication,All Levels,1.5 hours,4.5,144183,308556,"Rp159,000",3/2026,0,0,10,https://www.udemy.com/course/communication-fundamentals-how-to-communicate-better/
Effective Communication in the Workplace,1984246,Lecturio GmbH,"Business Communication, Communication Skills, Communication, Business",Communication,All Levels,3 hours,4.5,60945,108219,"Rp159,000",1/2024,0,0,14,https://www.udemy.com/course/effective-communication-in-the-workplace/
Foundations to Communication Mastery,4276608,Vinh Giang,"Public Speaking, Communication Skills, Presentation Skills, Personal Transformation, Personal Development",Communication,Beginner,2 hours,4.6,5325,18104,"Rp159,000",9/2021,0,0,0,https://www.udemy.com/course/foundations-to-communication-mastery/
"Communication Skills: Become Clear, Concise, Confident",2129860,Alex Lyon,"Communication Skills, Communication, Business",Communication,All Levels,1 hour,4.6,17804,41654,"Rp149,000",10/2019,0,0,0,https://www.udemy.com/course/clear-concise-confident/
Communication Skills: 11 Communication Courses In 1,4748530,"Expert Academy, Lahcen Bouya","Communication Skills, Communication, Business",Communication,All Levels,13.5 hours,4.5,2820,22918,"Rp149,000",4/2026,0,0,44,https://www.udemy.com/course/master-communication-skills/
Communication Skills : Mastering Communication,6525971,Levent Ertunalılar,"Communication Skills, Business Strategy, Business Communication, Presentation Skills, Communication",Communication,All Levels,8 hours,4.6,4092,10908,"Rp149,000",2/2026,2,0,0,https://www.udemy.com/course/communication-skills-mastering-communication/
Self Esteem & Social Skills Course for Anxious and Awkward,4860912,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support","Self-Esteem, Self Esteem & Confidence, Personal Development",Communication,Beginner,9.5 hours,4.8,1362,6391,"Rp149,000",11/2025,0,0,71,https://www.udemy.com/course/self-esteem-social-skills-course-for-anxious-and-awkward/
Master Business Communication & Leadership Skills,2745692,Jason Hurley,"Communication Skills, Business Etiquette, Career Development, Business Communication, Communication",Communication,All Levels,3.5 hours,4.8,638,12083,"Rp149,000",8/2025,0,0,13,https://www.udemy.com/course/business-communication-skills-eq-intelligent-interactions/
Effective Communication Skills for Workplace Career Growth,6994017,"Santhosh S, Kavitha Kavitha","Business Communication, Personal Branding, Personal Development, Assertiveness, Communication",Communication,Beginner,2 hours,4.8,53,133,"Rp149,000",2/2026,1,0,5,https://www.udemy.com/course/effective-communication-skills-for-workplace-career-growth/
