course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
The Complete Communication Skills Master Class for Life,1802404,TJ Walker,"Communication Skills, Communication, Business",Communication Skills,All Levels,36.5 hours,4.5,34275,214235,"Rp169,000",1/2026,9,0,107,https://www.udemy.com/course/the-complete-communication-skills-master-class-for-life/
Effective Communication Skills for Workplace Career Growth,6994017,"Santhosh S, Kavitha Kavitha","Business Communication, Personal Branding, Personal Development, Assertiveness, Communication",Communication Skills,Beginner,2 hours,4.8,53,133,"Rp149,000",2/2026,1,0,5,https://www.udemy.com/course/effective-communication-skills-for-workplace-career-growth/
Effective Communication in the Workplace,1984246,Lecturio GmbH,"Business Communication, Communication Skills, Communication, Business",Communication Skills,All Levels,3 hours,4.5,60945,108219,"Rp159,000",1/2024,0,0,14,https://www.udemy.com/course/effective-communication-in-the-workplace/
Communication Skills : Mastering Communication,6525971,Levent Ertunalılar,"Communication Skills, Business Strategy, Business Communication, Presentation Skills, Communication",Communication Skills,All Levels,8 hours,4.6,4092,10908,"Rp149,000",2/2026,2,0,0,https://www.udemy.com/course/communication-skills-mastering-communication/
"Communication Skills: Become Clear, Concise, Confident",2129860,Alex Lyon,"Communication Skills, Communication, Business",Communication Skills,All Levels,1 hour,4.6,17804,41654,"Rp149,000",10/2019,0,0,0,https://www.udemy.com/course/clear-concise-confident/
Workplace Communication: You Can Speak Up at Meetings!,363274,TJ Walker,"Meetings, Communication Skills, Business Communication, Personal Brand Building, Personal Development",Communication Skills,All Levels,34.5 hours,4.5,28788,102918,"Rp159,000",3/2025,10,0,105,https://www.udemy.com/course/how-to-speak-up-at-meetings/
Foundations to Communication Mastery,4276608,Vinh Giang,"Public Speaking, Communication Skills, Presentation Skills, Personal Transformation, Personal Development",Communication Skills,Beginner,2 hours,4.6,5325,18104,"Rp159,000",9/2021,0,0,0,https://www.udemy.com/course/foundations-to-communication-mastery/
Communication Skills: 11 Communication Courses In 1,4748530,"Expert Academy, Lahcen Bouya","Communication Skills, Communication, Business",Communication Skills,All Levels,13.5 hours,4.5,2820,22918,"Rp149,000",4/2026,0,0,44,https://www.udemy.com/course/master-communication-skills/
"Soft Skills Masterclass - 7 in 1, Communication, Leadership",5092138,Salil Dhawan,"Soft Skills, Personal Development, Communication Skills, Personal Transformation",Communication Skills,All Levels,31 hours,4.5,1765,7018,"Rp489,000",1/2026,0,0,5,https://www.udemy.com/course/soft-skills-masterclass/
Communication Skills for Beginners,1551970,TJ Walker,"Communication Skills, Communication, Business",Communication Skills,Beginner,36.5 hours,4.5,8453,101389,"Rp149,000",1/2026,9,0,109,https://www.udemy.com/course/communication-skills-for-beginners-d/
Assertive Communication Skills Masterclass,2343574,Kara Ronin,"Assertiveness, Business Communication, Communication Skills, Difficult Conversations, Communication",Communication Skills,All Levels,3.5 hours,4.6,17739,54095,"Rp159,000",4/2026,3,0,14,https://www.udemy.com/course/assertive-communication-skills-masterclass/
Business Communication Skills: Business Writing & Grammar,2323470,Alex Genadinik,"Business Communication, Business Etiquette, Business Writing, Career Development, Personal Development",Communication Skills,Beginner,19.5 hours,4.7,31735,120939,"Rp199,000",12/2025,0,0,182,https://www.udemy.com/course/professional-communication-and-business-writing/
COMMUNICATION SKILLS: Communication Course (COMPLETE 2026),7112465,COMMUNICATION SKILLS: Communication Course (COMPLETE 2026) Màyara Farche,"Communication Skills, Communication, Business",Communication Skills,All Levels,7 hours,5.0,3,5,"Rp149,000",4/2026,0,0,3,https://www.udemy.com/course/communication-skills-communication/
4th Master in Coaching IM2-4 + CERTIFICATE,7065737,Mywebstudies,"Coaching, Fear, Communication Skills, Management, Business",Communication Skills,All Levels,27 hours,4.4,N/A,1,"Rp149,000",2/2026,1,0,0,https://www.udemy.com/course/curso-online-7065737/
Communication Skills: Communicate Clearly Under Pressure,7080509,"Capt. Aaron Keith Hawkins, Ret.","Communication Skills, Business Communication, Communication, Business",Communication Skills,All Levels,6 hours,4.5,.,2,"Rp149,000",3/2026,0,0,2,https://www.udemy.com/course/communication-skills-communicate-clearly-under-pressure/
Communication Skills in the AI Era: 2026 Leadership Mastery,7045835,Bich Hoang,"Communication Skills, Leadership, Personal Development",Communication Skills,All Levels,2.5 hours,4.6,51,331,"Rp149,000",4/2026,1,0,22,https://www.udemy.com/course/impactfulcommunicationskills/
Communication Skills Masterclass: Become a Better Speaker,6932165,Mind Stack,"Communication Skills, Communication, Business",Communication Skills,All Levels,6.5 hours,4.8,38,1135,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/communications-masterclass/
Communication Skills for Professionals,6735277,Lalit Koundal,"Communication Skills, Personal Transformation, Personal Development",Communication Skills,All Levels,2.5 hours,4.5,N/A,1,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/communication-skills-for-professionals-o/
Master in communication skill,7103527,Puran Gajera,"Communication Skills, No-Code Development, Development",Communication Skills,All Levels,2 hours,4.5,N/A,N/A,"Rp149,000",3/2026,0,0,1,https://www.udemy.com/course/master-in-communication-skill/
Speak English Fluently and Confidently,7105597,Asmita Mainali,"Communication Skills, Personal Transformation, Personal Development",Communication Skills,Intermediate,4.5 hours,5.0,2,19,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/speak-english-fluently-and-confidently/
COMMUNICATION SKILLS: Communication Course (COMPLETE),6831093,COMMUNICATION SKILLS: Communication Course (COMPLETE 2026) Màyara Farche,"Communication Skills, Communication, Business",Communication Skills,All Levels,5.5 hours,4.5,117,289,"Rp149,000",1/2026,0,0,2,https://www.udemy.com/course/communication-skills-communication-course-complete/
"Communication, Leadership & Management - 3 in 1 Masterclass",3881744,Peter Alkema,"Communication Skills, Business Communication, Communication, Business",Communication Skills,Beginner,56.5 hours,4.6,8079,36360,"Rp149,000",11/2025,7,0,606,https://www.udemy.com/course/high-impact-communication-skills/
Soft Skills: The 11 Essential Career Soft Skills,1546424,TJ Walker,"Soft Skills, Career Development, Personal Development",Communication Skills,All Levels,39 hours,4.6,10004,94777,"Rp489,000",1/2026,9,0,104,https://www.udemy.com/course/soft-skills-the-11-essential-career-soft-skills/
Self Esteem & Social Skills Course for Anxious and Awkward,4860912,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support","Self-Esteem, Self Esteem & Confidence, Personal Development",Communication Skills,Beginner,9.5 hours,4.8,1362,6391,"Rp149,000",11/2025,0,0,71,https://www.udemy.com/course/self-esteem-social-skills-course-for-anxious-and-awkward/
Communication Skills Masterclass: A Blueprint for Home/Work,6198509,"Roger Kay Allen, Ph.D.","Communication Skills, Emotional Intelligence, Relationship Building, Leadership, Personal Development",Communication Skills,All Levels,6 hours,4.8,694,3181,"Rp149,000",2/2026,1,0,55,https://www.udemy.com/course/communication-skills-masterclass-a-blueprint-for-homework/
Master Business Communication & Leadership Skills,2745692,Jason Hurley,"Communication Skills, Business Etiquette, Career Development, Business Communication, Communication",Communication Skills,All Levels,3.5 hours,4.8,638,12083,"Rp149,000",8/2025,0,0,13,https://www.udemy.com/course/business-communication-skills-eq-intelligent-interactions/
Business Communication Skills: Handling Clients & Customers,4787816,Viktoriya Maya,"Customer Service, Communication Skills, Soft Skills, Customer Success Management (CSM), Sales",Communication Skills,All Levels,3 hours,4.5,17670,46849,"Rp149,000",3/2026,21,0,14,https://www.udemy.com/course/customer-service-soft-skills-training/
"How to Present Your Thoughts Smoothly, Clearly & Powerfully",1322562,Michael Williams,"Presentation Skills, Public Speaking, Communication, Business",Communication Skills,All Levels,4 hours,4.5,14447,43893,"Rp159,000",1/2025,1,0,23,https://www.udemy.com/course/how-to-present-your-thoughts-smoothly-clearly-powerfully/
Communication Skills for the Global Workplace,4608718,Jamie Dixon,"Communication Skills, Communication, Business",Communication Skills,Intermediate,6 hours,4.7,3211,8939,"Rp149,000",4/2022,0,0,20,https://www.udemy.com/course/communication-skills-for-the-global-workplace/
Communication Skills for Professionals,2147672,Alex Lyon,"Communication Skills, Leadership, Communication, Business",Communication Skills,All Levels,37 mins,4.6,17397,42808,"Rp149,000",1/2019,0,0,0,https://www.udemy.com/course/essential-communication-skills-for-professionals/
Communication Skills That Work,6615613,Ervin Zenelaj,"Leadership, Personal Development",Communication Skills,Beginner,208 hours,4.8,14,60,"Rp149,000",5/2025,0,0,0,https://www.udemy.com/course/communication-skills-that-work/
"Business Communication Skills: Speak, Write, and Influence",4992364,"Omni Academy 500,000+ students, Gustavo Farias 600.000+ Alunos, Mirko Perkusich, Ph.D., Omni Academy - Student Care & Support","Communication Skills, Communication, Business",Communication Skills,Beginner,5 hours,4.6,1489,5930,"Rp159,000",5/2025,7,0,3,https://www.udemy.com/course/communication-skills-the-complete-guide-oral-written-body/
Leadership Communication Skills for Influence and Impact,1328594,"Kain Ramsay, Jason Cask","Leadership, Management Skills, Communication Skills, Personal Development",Communication Skills,All Levels,6 hours,4.6,4412,15268,"Rp149,000",11/2021,6,0,42,https://www.udemy.com/course/communication-skills-for-leadership-and-management-influence/
A Complete Guide to Communication Skills and Social Success,627016,"Kain Ramsay, The School for Self-Improvement and Personal Growth, Academy of Applied Psychology","Communication Skills, Relationship Building, Social Skills, Influence, Personal Development",Communication Skills,All Levels,16 hours,4.5,1340,9611,"Rp199,000",8/2025,3,0,53,https://www.udemy.com/course/communication-skills-become-a-superstar-communicator/
Communication Skills: Communication Skills for Beginners,5510834,"Kritikka Tripathi, MBA, Certified Counsellor","Communication Skills, Business Communication, Storytelling, Communication, Business",Communication Skills,Beginner,10 hours,4.4,1002,6337,"Rp149,000",9/2025,1,0,35,https://www.udemy.com/course/communication-skills-storytelling-communication-tips/
Communication Skills Fundamentals,5493560,Jamal Lazaar,"Communication Skills, Business Communication, Listening Skills, Communication, Business",Communication Skills,All Levels,2 hours,4.6,3571,9910,"Rp149,000",2/2026,4,0,0,https://www.udemy.com/course/communication-skills-fundamentals/
Communication Skills: How to Have Meaningful Conversations,6350811,Hans Heijnen,"Communication Skills, Communication, Business",Communication Skills,All Levels,1.5 hours,4.7,89,2020,"Rp149,000",5/2025,0,0,1,https://www.udemy.com/course/the-fundamentals-of-excellent-conversations/
