course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
CompTIA A+ Core 1 (220-1201) Full Course & Practice Exam,4802926,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA A+, IT Certifications, IT & Software",CompTIA A+,All Levels,26 hours,4.7,43328,169792,"Rp169,000",3/2026,1,0,0,https://www.udemy.com/course/comptia-a-core-1/
TOTAL: CompTIA A+ Core 1 (220-1201) Course + Practice Exam,2359992,"Total Seminars Over 1 Million Enrollments, Mike Meyers, Dakota Snow","CompTIA A+, IT Certifications, IT & Software",CompTIA A+,All Levels,20.5 hours,4.6,88154,231241,"Rp169,000",3/2026,0,0,26,https://www.udemy.com/course/comptia-aplus-core-1/
CompTIA A+ 220-1201 Core 1 Hands-On Course Full Training,4914508,"TIA Training, Andrew Ramdayal","CompTIA A+, IT Certifications, IT & Software",CompTIA A+,All Levels,15 hours,4.8,6914,21115,"Rp149,000",2/2026,2,0,2,https://www.udemy.com/course/comptia-a-plus-core-1-course-hands-on-training/
CompTIA A+ Core 1 (220-1201) 6 Practice Exams,6141679,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA A+, IT Certifications, IT & Software",CompTIA A+,All Levels,N/A,4.5,1104,14270,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/comptia-a-core-1-220-1201-6-practice-exams/
CompTIA A+ Core 2 (220-1202) Full Course & Practice Exam,4802826,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA A+, IT Certifications, IT & Software",CompTIA A+,Beginner,37.5 hours,4.7,12391,98839,"Rp169,000",4/2026,1,0,0,https://www.udemy.com/course/comptia-a-core-2/
TOTAL: CompTIA A+ Core 2 (220-1202) Course + Practice Exam,2360064,"Total Seminars Over 1 Million Enrollments, Mike Meyers, Dakota Snow","CompTIA A+, IT / Technical Support, IT Certifications, IT & Software",CompTIA A+,All Levels,21.5 hours,4.7,24986,146018,"Rp159,000",3/2026,0,0,26,https://www.udemy.com/course/comptia-aplus-core-2/
"CompTIA A+ CompTIA A+ 220-1201, CompTIA A+ 220-1202 Prep Lab",4735232,"Oak Academy, OAK Academy Team","CompTIA A+, IT / Technical Support, Linux, CompTIA IT Fundamentals (ITF+) (Retired), IT Certifications",CompTIA A+,All Levels,19 hours,4.3,605,4365,"Rp149,000",4/2026,3,0,0,https://www.udemy.com/course/comptia-a-comptia-a-220-1101-comptia-a-220-1102-prep-lab/
CompTIA A+ 220-1202 Core 2 Hands-On Course - Full Training,4934960,"TIA Training, Andrew Ramdayal","CompTIA A+, IT Certifications, IT & Software",CompTIA A+,Beginner,14 hours,4.8,4797,17593,"Rp149,000",2/2026,2,0,2,https://www.udemy.com/course/comptia-a-plus-core-2-exam-prep/
CompTIA A+ Core 2 (220-1202) 6 Practice Exams,6502301,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA A+, IT Certifications, IT & Software",CompTIA A+,All Levels,N/A,4.5,451,8630,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/comptia-a-core-2-220-1202-6-practice-exams/
"CompTIA A+ Lab & Comptia A 220-1001, 220-1002 Practice Exams",4591290,"Oak Academy, OAK Academy Team","CompTIA A+, IT / Technical Support, Linux, CompTIA IT Fundamentals (ITF+) (Retired), IT Certifications",CompTIA A+,All Levels,9 hours,4.1,70,260,"Rp149,000",4/2026,3,0,0,https://www.udemy.com/course/comptia-a-lab-comptia-a-220-1001-220-1002-practice-exams/
