course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
CompTIA Network+ (N10-009) Full Course & Practice Exam,4223486,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Network+, IT Certifications, IT & Software",CompTIA Network+,Beginner,33 hours,4.7,39140,199790,"Rp169,000",4/2026,1,0,0,https://www.udemy.com/course/comptia-network-009/
"CompTIA Network+ N10-009 Full Course, Labs, Course Notes",6020890,"TIA Training, Andrew Ramdayal","CompTIA Network+, IT Certifications, IT & Software",CompTIA Network+,All Levels,30 hours,4.8,8461,31883,"Rp159,000",9/2025,3,0,9,https://www.udemy.com/course/comptia_network_plus/
TOTAL: CompTIA Network+ (N10-009) + Practice Exam,1780698,"Total Seminars Over 1 Million Enrollments, Mike Meyers","CompTIA Network+, Network & Security, IT Certifications, IT & Software",CompTIA Network+,All Levels,19 hours,4.6,34431,138071,"Rp159,000",1/2026,0,0,19,https://www.udemy.com/course/comptia-networkplus-certification/
CompTIA Network+ (N10-009) 6 Practice Exams Set 1,5787684,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Network+, IT Certifications, IT & Software",CompTIA Network+,All Levels,N/A,4.5,1945,29797,"Rp159,000",4/2026,0,0,0,https://www.udemy.com/course/comptia-network-n10-009-6-practice-exams-and-pbqs-set-1/
CompTIA Network+ (Exam - N10-009) Full-Length Practice Tests,6856025,Edu Nexa,"CompTIA Network+, IT Certifications, IT & Software",CompTIA Network+,All Levels,N/A,5.0,131,236,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/comptia-network-plus-exam-tests/
2025 CompTIA Network Plus (N10-009) Course & Lab Guides,6611973,Vision Training Systems : IT Training,"CompTIA Network+, Network & Security, IT & Software",CompTIA Network+,Beginner,41.5 hours,4.7,95,739,"Rp149,000",11/2025,0,0,7,https://www.udemy.com/course/comptia-network-n10-009-vision/
CompTIA Network+ N10-009 Practice Exams,6180741,"TIA Training, Andrew Ramdayal","CompTIA Network+, IT Certifications, IT & Software",CompTIA Network+,All Levels,N/A,4.5,713,7331,"Rp149,000",8/2025,0,0,0,https://www.udemy.com/course/network-plus-practice-exams/
CompTIA Network+ (N10-009) 6 Practice Exams Set 2,5787688,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Network+, IT Certifications, IT & Software",CompTIA Network+,All Levels,N/A,4.2,375,7345,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/comptia-network-n10-009-6-practice-exams-and-pbqs-set-2/
CompTIA Network+ N10-009 - 2026,5280642,IT Cert Doctor,"IT Networking Fundamentals, IT Certifications, IT & Software",CompTIA Network+,Beginner,27 hours,4.8,567,4897,"Rp149,000",2/2026,5,0,1,https://www.udemy.com/course/comptia-network-plus-it-cert-doctor/
CompTIA Network+ N10-009 Labs Only Don't Just Be Paper Cert,6491957,Network Specialist (Professor Mo Max),"CompTIA Network+, IT Certifications, IT & Software",CompTIA Network+,All Levels,25.5 hours,4.7,34,331,"Rp149,000",6/2025,0,0,0,https://www.udemy.com/course/comptia-network-n10-009-labs-only-dont-just-be-paper-cert/
CompTIA Security+ (SY0-701) Complete Course & Practice Exam,2015076,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Security+, Cybersecurity, Information Security, IT Certifications, IT & Software",CompTIA Network+,All Levels,31 hours,4.7,116623,481947,"Rp169,000",4/2026,1,0,0,https://www.udemy.com/course/securityplus/
Cisco CCNA 200-301 – The Complete Guide to Getting Certified,1203374,Neil Anderson,"Cisco Certified Network Associate (CCNA), IT Certifications, IT & Software",CompTIA Network+,Beginner,42.5 hours,4.8,86649,311471,"Rp169,000",4/2026,31,0,235,https://www.udemy.com/course/ccna-complete/
CompTIA A+ Core 1 (220-1201) Full Course & Practice Exam,4802926,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA A+, IT Certifications, IT & Software",CompTIA Network+,All Levels,26 hours,4.7,43328,169792,"Rp169,000",3/2026,1,0,0,https://www.udemy.com/course/comptia-a-core-1/
"CompTIA Network+ Full Course, Practice Exams, Quizzes",6356247,John Bandin,"CompTIA Network+, IT Certifications, IT & Software",CompTIA Network+,Beginner,18 hours,4.7,58,982,"Rp149,000",3/2025,0,0,30,https://www.udemy.com/course/comptia-network-plus-n10-009-trepa/
CompTIA Network+ Practice Tests – 100% Exam Preparation,6825601,Ankur Marwaha,"CompTIA Network+, IT Certifications, IT & Software",CompTIA Network+,Intermediate,N/A,5.0,34,3358,"Rp149,000",9/2025,0,0,0,https://www.udemy.com/course/comptia-network-practice-tests-100-exam-preparation/
Network+ (N10-009) - 1400+ Questions & Real-World Scenarios,6208043,Cyber Pulse Academy,"CompTIA Network+, Network & Security, IT & Software",CompTIA Network+,All Levels,4 hours,4.9,66,188,"Rp149,000",12/2025,39,0,1,https://www.udemy.com/course/comptia-network-n10-009-practical-course-2500-quiz-2-exams/
TOTAL: CompTIA A+ Core 1 (220-1201) Course + Practice Exam,2359992,"Total Seminars Over 1 Million Enrollments, Mike Meyers, Dakota Snow","CompTIA A+, IT Certifications, IT & Software",CompTIA Network+,All Levels,20.5 hours,4.6,88154,231241,"Rp159,000",3/2026,0,0,26,https://www.udemy.com/course/comptia-aplus-core-1/
"CompTIA Security+ SY0-701 Full Course, Labs, and Study Plan",5668016,"TIA Training, Andrew Ramdayal","CompTIA Security+, IT Certifications, IT & Software",CompTIA Network+,All Levels,26 hours,4.7,11128,41737,"Rp149,000",8/2025,1,0,4,https://www.udemy.com/course/comptia_security_plus/
CompTIA A+ Core 2 (220-1202) Full Course & Practice Exam,4802826,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA A+, IT Certifications, IT & Software",CompTIA Network+,Beginner,37.5 hours,4.7,12391,98839,"Rp169,000",4/2026,1,0,0,https://www.udemy.com/course/comptia-a-core-2/
CompTIA Network+ V9 (N10-009) 9 SIMULATIONS,6525239,Dean Cyber,"CompTIA Network+, IT Certifications, IT & Software",CompTIA Network+,Intermediate,2 hours,4.2,202,842,"Rp159,000",2/2026,0,0,0,https://www.udemy.com/course/comptia-network-plus-simulations-pbq/
The Complete Networking Fundamentals Course. Your CCNA start,751094,David Bombal,"Cisco Certified Network Associate (CCNA), IT Networking Fundamentals, IT Certifications, IT & Software",CompTIA Network+,Beginner,73 hours,4.7,56769,292524,"Rp169,000",9/2025,15,0,116,https://www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/
CompTIA Network+ (Exam N10-009) Practice Tests,6012616,On Top eLearning,"CompTIA Network+, IT Certifications, IT & Software",CompTIA Network+,All Levels,N/A,5.0,177,475,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/comptia-network-plus-n10-009-practice-test/
CompTIA CySA+ (CS0-003) Complete Course & Practice Exam,5017474,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Cybersecurity Analyst (CySA+), IT Certifications, IT & Software",CompTIA Network+,Intermediate,36 hours,4.6,11470,68158,"Rp169,000",4/2026,1,0,3,https://www.udemy.com/course/comptia-cysa-003/
CompTIA Tech+ (FC0-U71) Complete Course & Practice Exam,5916486,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Tech+, IT Certifications, IT & Software",CompTIA Network+,All Levels,17 hours,4.7,813,3652,"Rp149,000",4/2026,1,0,3,https://www.udemy.com/course/comptia-tech-fc0-u71-complete-course-exam/
