course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
CompTIA Security+ (SY0-701) Complete Course & Practice Exam,2015076,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Security+, Cybersecurity, Information Security, IT Certifications, IT & Software",CompTIA Security+,All Levels,31 hours,4.7,116623,481947,"Rp169,000",4/2026,1,0,0,https://www.udemy.com/course/securityplus/
CompTIA Security+ (SY0-701) Practice Exams Set 1,5652528,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Jamario Kelly, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Security+, IT Certifications, IT & Software",CompTIA Security+,All Levels,N/A,4.5,4593,58631,"Rp169,000",4/2026,0,0,0,https://www.udemy.com/course/comptia-security-sy0-701-practice-exams/
"CompTIA Security+ SY0-701 Full Course, Labs, and Study Plan",5668016,"TIA Training, Andrew Ramdayal","CompTIA Security+, IT Certifications, IT & Software",CompTIA Security+,All Levels,26 hours,4.7,11128,41737,"Rp149,000",8/2025,1,0,4,https://www.udemy.com/course/comptia_security_plus/
CompTIA Security+ (SY0-701) Practice Exams Set 2,5652536,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Jamario Kelly, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Security+, IT Certifications, IT & Software",CompTIA Security+,All Levels,N/A,4.4,935,16096,"Rp159,000",4/2026,0,0,0,https://www.udemy.com/course/comptia-security-sy0-701-practice-exams-2nd-edition/
TOTAL: CompTIA Security+ Course + Practice Exam SY0-701,1596138,"Total Seminars Over 1 Million Enrollments, Mike Meyers, Lyndon WIlliams, Dan Lachance","CompTIA Security+, Network & Security, IT Certifications, IT & Software",CompTIA Security+,All Levels,20.5 hours,4.6,37776,145395,"Rp159,000",3/2026,0,0,30,https://www.udemy.com/course/total-comptia-security-plus/
CompTIA Security Plus Course SY0-701 and Hands on Labs,6657115,Vision Training Systems : IT Training,"CompTIA Security+, IT Certifications, IT & Software",CompTIA Security+,All Levels,30.5 hours,4.7,121,991,"Rp149,000",1/2026,0,0,7,https://www.udemy.com/course/comptia-security-sy0-701-vision/
CompTIA Security+ (SY0-701) Practice Exams,5754880,"TIA Training, Andrew Ramdayal","CompTIA Security+, IT Certifications, IT & Software",CompTIA Security+,All Levels,N/A,4.4,869,11065,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/securitypluspracticeexams/
SY0-701 CompTIA Security+ Practice Exams [2026],7068819,Nex Arc,"CompTIA Security+, Information Security, IT Certifications, IT & Software",CompTIA Security+,All Levels,N/A,5.0,36,334,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/comptia-security-plus-practice-exams-sy0/
CompTIA Security+ 701 - REALISTIC Practice Exam!,6074185,Cyber James,"CompTIA Security+, Network & Security, IT & Software",CompTIA Security+,Beginner,N/A,4.5,353,2262,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/passsecurityplus/
CompTIA CySA+ (CS0-003) Complete Course & Practice Exam,5017474,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Cybersecurity Analyst (CySA+), IT Certifications, IT & Software",CompTIA Security+,Intermediate,36 hours,4.6,11470,68158,"Rp169,000",4/2026,1,0,3,https://www.udemy.com/course/comptia-cysa-003/
CompTIA Security+ (Sec+) SY0-701 Each Option Explained 2026,6488601,Yusuf Marks,"CompTIA Security+, IT Certifications, IT & Software",CompTIA Security+,All Levels,N/A,4.8,10,109,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/comptia-security-sec-sy0-701-exam-questions-2025/
The Complete Hands-On Cybersecurity Analyst Course,6176211,"Mike S, Josh G","Cybersecurity, Network & Security, IT & Software",CompTIA Security+,All Levels,91.5 hours,4.7,1374,12510,"Rp169,000",3/2026,0,0,2,https://www.udemy.com/course/the-complete-hands-on-cybersecurity-analyst-course/
Security+ Certification: 600 Practice EXAM STYLE Qs,6887245,CyberCert Education Institute,"CompTIA Security+, Cybersecurity, IT Certifications, IT & Software",CompTIA Security+,All Levels,N/A,4.9,63,577,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/security-certification-600-practice-exam-style-qs-r/
CompTIA Security+ SY0-701 Full Training Guide,4929520,Alexander Oni,"CompTIA Security+, IT Certifications, IT & Software",CompTIA Security+,All Levels,15 hours,4.8,392,2362,"Rp149,000",9/2024,7,0,3,https://www.udemy.com/course/comptia-security-sy0-601-complete-training-guide/
CompTIA Security+ (SY0-701): Comprehensive Practice Exams,5712844,"Nasser Alaeddine | Ph.D., CISSP, CISM, PMP","CompTIA Security+, IT Certifications, IT & Software",CompTIA Security+,All Levels,N/A,4.4,579,8665,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/comptia-security-plus-sy0-701-practice-exams/
Security+ 701 Just Labs: The Ultimate Hands-On Bootcamp,6853389,Anand Rao Nednur,"CompTIA Security+, Network & Security, IT & Software",CompTIA Security+,Intermediate,35 hours,4.7,87,431,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/security-701-just-labs-the-ultimate-hands-on-bootcamp/
