course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
"Anti-Money Laundering Concepts: AML, KYC and Compliance",3385322,GenMan Solutions,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Compliance,All Levels,2.5 hours,4.6,26095,142261,"Rp159,000",2/2026,7,0,2,https://www.udemy.com/course/anti-money-laundering-aml-kyc/
Certificate in Compliance Management,4559416,AJK Consulting,"Compliance Management, Business Law, Compliance (IT), Business",Compliance,Beginner,2 hours,4.3,2273,6115,"Rp149,000",2/2024,13,0,0,https://www.udemy.com/course/certificate-in-compliance-management/
"GRC - Governance, Risk & Compliance Professional Masterclass",5559024,"Cyvitrix Learning | CISSP, CISM, CISA, GRC, Security+, SecAI+, Security+ Courses","Certified in Governance, Risk and Compliance (CGRC), IT Governance, Risk Management, Compliance Management, IT Certifications",Compliance,All Levels,32 hours,4.6,3362,20642,"Rp159,000",3/2026,28,0,279,https://www.udemy.com/course/cgrc-training-isc2/
Professional Certificate in Regulatory Compliance,6037222,"MTF Institute of Management, Technology and Finance, Barbara Gutsch","Compliance Management, Anti-Money Laundering (AML), Finance Fundamentals, Internal Auditing, Compliance",Compliance,All Levels,3 hours,4.5,1206,14403,"Rp149,000",1/2026,5,0,7,https://www.udemy.com/course/professional-certificate-in-regulatory-compliance-in-finance/
ISO 37301:2021. Compliance management,4816762,"Cristian Vlad Lupa, rigcert.education","Compliance Management, Management, Business",Compliance,All Levels,3.5 hours,4.6,1558,4632,"Rp149,000",1/2024,0,0,2,https://www.udemy.com/course/iso-37301-compliance-management/
"Certificate in Compliance, Audit & Risk Management",6597735,Academy of Genius Graduates,"Compliance Management, Management, Business",Compliance,All Levels,3 hours,4.2,128,6085,"Rp149,000",1/2026,4,0,7,https://www.udemy.com/course/fundamentals-of-compliance-management-and-risk-management/
"Compliance Management: Protect, Prevent, Prosper",6784511,"Expert Academy, Lahcen Bouya","Compliance Management, Business Law, Business",Compliance,All Levels,6 hours,4.7,52,1179,"Rp149,000",4/2026,0,0,42,https://www.udemy.com/course/compliance-management-course/
Certified Anti-Money Laundering and Compliance Expert (CAML),6390251,YouAccel Training,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Compliance,All Levels,18.5 hours,4.4,782,3904,"Rp159,000",1/2025,1,0,74,https://www.udemy.com/course/certified-anti-money-laundering-and-compliance-expert/
The Complete AML & KYC Compliance Masterclass,6643627,Sudeep Suresh,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Compliance,All Levels,2.5 hours,4.5,1426,4365,"Rp149,000",3/2026,4,0,0,https://www.udemy.com/course/aml-kyc-kyb-ubo-cdd-compliance-training/
"CGRC - Governance, Risk and Compliance Certification Mastery",6176877,YouAccel Training,"Certified in Governance, Risk and Compliance (CGRC), IT Certifications, IT & Software",Compliance,All Levels,20.5 hours,4.5,396,7536,"Rp149,000",10/2024,1,0,75,https://www.udemy.com/course/cgrc-governance-risk-and-compliance-certification-mastery/
Diploma in Anti Money Laundering (AML) KYC and Compliance,6844801,Training Excellence,"Anti-Money Laundering (AML), Compliance Management, Banking, Financial Accounting, Compliance",Compliance,All Levels,3.5 hours,4.6,88,244,"Rp149,000",1/2026,1,0,0,https://www.udemy.com/course/aml-anti-money-laundering-kyc/
"Anti-Money Laundering Basics - AML, KYC, Compliance, CDD",6062441,Compliance Ninja,"Anti-Money Laundering (AML), Certified in Governance, Risk and Compliance (CGRC), Compliance, Finance & Accounting",Compliance,All Levels,3.5 hours,4.7,220,471,"Rp149,000",3/2026,2,0,4,https://www.udemy.com/course/intro-to-anti-money-laundering-aml-compliance-kyc/
CCEP Mock Exams: 6 Full Practice Tests for Compliance Pros,7044873,ExamReady Team,"Compliance Management, Compliance (IT), Certified in Governance, Risk and Compliance (CGRC), Professional Ethics, Compliance",Compliance,All Levels,N/A,5.0,1,6,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/ccep-mock-exams-6-full-practice-tests-for-compliance-pros/
"Data Privacy Masterclass - Understand GDPR, PDPL, CCPA ""2026",7075123,"Cyvitrix Learning | CISSP, CISM, CISA, GRC, Security+, SecAI+, Security+ Courses","GDPR, Management, Business",Compliance,All Levels,7 hours,4.5,N/A,3,"Rp149,000",3/2026,1,0,1,https://www.udemy.com/course/privacy-laws-mastery-gdpr-ccpa-pdpl/
Certified Regulatory Compliance Manager (CRCM),7112403,pritam Madake,"Other Teaching & Academics, Teaching & Academics",Compliance,All Levels,N/A,N/A,N/A,N/A,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/certified-regulatory-compliance-manager-crcm-v/
Pass ServiceNow CIS Risk and Compliance GRC IRM R&C 2026 Apr,7049483,Lucky X,"ServiceNow Certified Implementation Specialist - Risk and Compliance, ServiceNow, IT Certifications, IT & Software",Compliance,All Levels,N/A,5.0,5,99,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/pass-servicenow-cis-risk-and-compliance-grc-irm-rc/
Corporate Compliance (OHCC) AIHC,7117747,Shilpi Jain,"IT Certifications, IT & Software",Compliance,All Levels,N/A,N/A,N/A,N/A,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/corporate-compliance-ohcc-aihc-d/
HIPAA Compliance (CHCO) AIHC,7117757,Shilpi Jain,"IT Certifications, IT & Software",Compliance,All Levels,N/A,N/A,N/A,N/A,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/hipaa-compliance-chco-aihc-f/
DORA EU Compliance: The 5 Pillars Explained,7044775,Mustafa Husain,"EU Digital Operational Resilience Act (DORA), Finance, Finance & Accounting",Compliance,Intermediate,2 hours,4.0,N/A,N/A,Free,3/2026,0,0,0,https://www.udemy.com/course/dora-for-operational-leaders-what-you-must-do-to-pass-audit/
Auditing for Compliance (CHA) AIHC,7112483,Shilpi Jain,"IT Certifications, IT & Software",Compliance,All Levels,N/A,N/A,N/A,N/A,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/auditing-for-compliance-cha-aihc/
Introduction to Compliance Risk Management CRM,2969728,Governance Risk and Compliance GRC,"Risk Management, Compliance, Finance & Accounting",Compliance,Intermediate,3.5 hours,4.4,986,2957,"Rp149,000",7/2025,0,0,0,https://www.udemy.com/course/introduction-to-compliance-risk-management-crm/
Fundamentals of Compliance and Compliance Governance Model,4837024,Governance Risk and Compliance GRC,"Compliance Management, Compliance, Finance & Accounting",Compliance,Intermediate,2 hours,4.3,2638,6756,"Rp149,000",8/2022,0,0,4,https://www.udemy.com/course/fundamentals-of-compliance-and-compliance-governance-model/
AI Governance & Compliance - A Complete Certification Course,6152191,Prince Patni,"AI Ethics and Governance, Artificial Intelligence (AI), Data Science, Development",Compliance,All Levels,1.5 hours,4.1,185,9047,"Rp149,000",8/2024,1,0,7,https://www.udemy.com/course/ai-governance-and-compliance-a-certification-course/
"ISC2 CGRC - Certified in Governance, Risk, Compliance Course",6071571,"Cyvitrix Learning | CISSP, CISM, CISA, GRC, Security+, SecAI+, Security+ Courses","Certified in Governance, Risk and Compliance (CGRC), IT Governance, Compliance (IT), NIST Risk Management Framework (RMF), IT Certifications",Compliance,All Levels,13.5 hours,4.5,449,3506,"Rp149,000",3/2026,13,0,66,https://www.udemy.com/course/cgrc-certified-in-governance-risk-and-compliance-cap/
Introduction to Regulatory Compliance,3723352,Governance Risk and Compliance GRC,"Compliance (IT), Compliance, Finance & Accounting",Compliance,Intermediate,3.5 hours,4.2,327,958,"Rp149,000",5/2025,0,0,6,https://www.udemy.com/course/introduction-to-regulatory-compliance/
Anti Money Laundering (AML / CFT) Compliance Requirements,3714918,Governance Risk and Compliance GRC,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Compliance,Intermediate,3.5 hours,4.5,2535,6555,"Rp149,000",7/2025,0,0,0,https://www.udemy.com/course/anti-money-laundering-aml-cft-compliance-requirements/
Third Party Risk Management (TPRM) Complete Course,5992734,Alexander Shafe,"Risk Management, IT Certifications, IT & Software",Compliance,All Levels,3.5 hours,4.5,604,2311,"Rp149,000",3/2026,0,0,2,https://www.udemy.com/course/third-party-risk-management-tprm-complete-course/
CCO Chief Compliance Officer Executive Certification,5368060,"MTF Institute of Management, Technology and Finance","Compliance Management, Business Fundamentals, Business Law, Leadership, Business",Compliance,All Levels,N/A,4.2,214,15622,"Rp149,000",10/2025,0,0,0,https://www.udemy.com/course/chief-compliance-officer/
"Anti-Money Laundering: AML, KYC, CDD & EDD Compliance",6560793,Mayfair Real Estate Institute,"Anti-Money Laundering (AML), Compliance, Finance & Accounting",Compliance,All Levels,2 hours,4.7,411,875,"Rp159,000",6/2025,1,0,4,https://www.udemy.com/course/anti-money-laundering-aml-kyc-cdd-edd-compliance/
